symbol,entry_date,high_52wk,breakout_level,entry,sl,tp,quantity,position_value,risk_amount,volume_ratio,exit_date,exit_price,exit_reason,pnl_rupees,r_multiple,holding_days
360ONE,2023-07-12,498.4,499.4,502.45,498.4,510.55,199,99987.55,805.95,1.74,2023-07-13,498.4,SL_HIT,-805.95,-1.0,1
360ONE,2023-09-11,545.0,546.09,549.9,545.0,559.7,181,99531.9,886.9,2.34,2023-09-12,545.0,SL_HIT,-886.9,-1.0,1
360ONE,2023-11-30,570.0,571.14,572.25,570.0,576.75,174,99571.5,391.5,2.53,2023-12-01,576.75,TP_HIT,783.0,2.0,1
360ONE,2023-12-06,633.5,634.77,649.45,633.5,681.35,153,99365.85,2440.35,2.22,2023-12-11,633.5,SL_HIT,-2440.35,-1.0,5
360ONE,2024-02-26,744.9,746.39,769.6,744.9,819.0,101,77729.6,2494.7,2.09,2024-02-27,744.9,SL_HIT,-2494.7,-1.0,1
360ONE,2024-04-18,788.95,790.53,799.4,788.95,820.3,125,99925.0,1306.25,4.4,2024-04-19,788.95,SL_HIT,-1306.25,-1.0,1
360ONE,2024-06-27,900.95,902.75,934.7,900.95,1002.2,74,69167.8,2497.5,3.75,2024-06-28,1002.2,TP_HIT,4995.0,2.0,1
360ONE,2024-07-29,1065.0,1067.13,1068.15,1065.0,1074.45,93,99337.95,292.95,1.59,2024-07-30,1074.45,TP_HIT,585.9,2.0,1
360ONE,2024-07-31,1113.0,1115.23,1132.3,1113.0,1170.9,88,99642.4,1698.4,1.76,2024-08-01,1113.0,SL_HIT,-1698.4,-1.0,1
3MINDIA,2023-06-01,25319.0,25369.64,26290.7,25319.0,28234.1,2,52581.4,1943.4,2.09,2023-06-14,28234.1,TP_HIT,3886.8,2.0,13
3MINDIA,2023-08-11,29190.0,29248.38,29469.3,29190.0,30027.9,3,88407.9,837.9,2.41,2023-08-14,29190.0,SL_HIT,-837.9,-1.0,3
3MINDIA,2023-09-04,31989.0,32052.98,32820.85,31989.0,34484.55,3,98462.55,2495.55,1.72,2023-09-12,31989.0,SL_HIT,-2495.55,-1.0,8
ABB,2022-08-16,2850.0,2855.7,2898.0,2850.0,2994.0,34,98532.0,1632.0,2.05,2022-08-19,2850.0,SL_HIT,-1632.0,-1.0,3
ABB,2022-08-24,2935.0,2940.87,3060.45,2935.0,3311.35,19,58148.55,2383.55,1.99,2022-09-01,3311.35,TP_HIT,4767.1,2.0,8
ABB,2023-05-04,3480.0,3486.96,3645.35,3480.0,3976.05,15,54680.25,2480.25,3.56,2023-05-19,3894.75,TIME_EXIT,3741.0,1.51,15
ABB,2023-05-31,4059.95,4068.07,4125.9,4059.95,4257.8,24,99021.6,1582.8,3.3,2023-06-01,4059.95,SL_HIT,-1582.8,-1.0,1
ABB,2023-06-13,4299.0,4307.6,4319.8,4299.0,4361.4,23,99355.4,478.4,1.63,2023-06-14,4299.0,SL_HIT,-478.4,-1.0,1
ABB,2023-12-05,4683.0,4692.37,4846.6,4683.0,5173.8,15,72699.0,2454.0,3.44,2023-12-13,4683.0,SL_HIT,-2454.0,-1.0,8
