datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,232.39,232.39,224.24,226.17,17547734
2026-05-06 10:15:00+05:30,226.1,227.0,224.67,225.73,5352227
2026-05-06 11:15:00+05:30,225.75,227.45,225.21,226.89,3639414
2026-05-06 12:15:00+05:30,226.81,226.81,225.59,226.11,1820946
2026-05-06 13:15:00+05:30,226.11,230.25,226.02,229.37,7774994
2026-05-06 14:15:00+05:30,229.4,230.0,228.06,228.77,5431385
2026-05-06 15:15:00+05:30,228.88,229.89,228.52,229.1,3402010
2026-05-07 09:15:00+05:30,230.0,233.3,229.87,230.81,10818245
2026-05-07 10:15:00+05:30,230.89,233.47,230.74,232.75,9872057
2026-05-07 11:15:00+05:30,232.75,233.21,230.77,230.98,3372712
2026-05-07 12:15:00+05:30,230.9,231.32,229.74,230.68,3668103
2026-05-07 13:15:00+05:30,230.68,230.88,230.01,230.65,2136634
2026-05-07 14:15:00+05:30,230.55,230.87,230.0,230.34,4021961
2026-05-07 15:15:00+05:30,230.3,230.5,229.5,230.3,3024258
2026-05-08 09:15:00+05:30,231.0,231.43,228.32,230.92,7786813
2026-05-08 10:15:00+05:30,230.92,231.02,227.5,227.8,4642535
2026-05-08 11:15:00+05:30,227.79,228.0,226.3,226.43,3357164
2026-05-08 12:15:00+05:30,226.45,227.26,226.0,226.26,2138123
2026-05-08 13:15:00+05:30,226.22,227.04,226.06,226.51,1646673
2026-05-08 14:15:00+05:30,226.53,227.26,225.14,225.26,4074073
2026-05-08 15:15:00+05:30,225.22,225.5,224.03,225.02,3364496
2026-05-11 09:15:00+05:30,224.5,224.5,217.8,221.47,11369335
2026-05-11 10:15:00+05:30,221.47,221.55,218.45,220.13,2944362
2026-05-11 11:15:00+05:30,220.13,222.29,220.07,222.28,3452438
2026-05-11 12:15:00+05:30,222.28,222.48,220.75,222.09,1879250
2026-05-11 13:15:00+05:30,222.09,223.9,222.05,222.49,3601538
