datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,87.02,87.55,86.88,87.0,1065084
2026-05-06 10:15:00+05:30,87.0,87.04,86.85,86.98,445485
2026-05-06 11:15:00+05:30,86.95,87.02,86.91,87.0,238576
2026-05-06 12:15:00+05:30,87.0,87.0,86.52,86.7,485219
2026-05-06 13:15:00+05:30,86.7,86.7,86.34,86.4,426242
2026-05-06 14:15:00+05:30,86.4,87.02,86.36,86.95,2282300
2026-05-06 15:15:00+05:30,86.94,87.25,86.85,87.25,743467
2026-05-07 09:15:00+05:30,87.41,88.25,87.2,87.76,1725851
2026-05-07 10:15:00+05:30,87.84,88.69,87.8,88.34,1081609
2026-05-07 11:15:00+05:30,88.38,88.52,88.14,88.5,553239
2026-05-07 12:15:00+05:30,88.47,88.7,88.42,88.59,607098
2026-05-07 13:15:00+05:30,88.59,88.99,88.4,88.96,1004834
2026-05-07 14:15:00+05:30,88.96,89.2,87.85,87.9,1797113
2026-05-07 15:15:00+05:30,87.9,87.9,87.72,87.8,820343
2026-05-08 09:15:00+05:30,87.8,87.97,86.88,87.49,1347677
2026-05-08 10:15:00+05:30,87.49,87.49,87.2,87.33,518721
2026-05-08 11:15:00+05:30,87.33,87.42,87.16,87.29,310991
2026-05-08 12:15:00+05:30,87.29,87.35,87.1,87.3,319170
2026-05-08 13:15:00+05:30,87.3,87.42,87.2,87.36,331866
2026-05-08 14:15:00+05:30,87.36,87.86,87.25,87.57,739049
2026-05-08 15:15:00+05:30,87.6,87.65,87.4,87.6,314540
2026-05-11 09:15:00+05:30,86.99,86.99,85.55,86.03,1348890
2026-05-11 10:15:00+05:30,86.03,86.42,85.78,86.35,394751
2026-05-11 11:15:00+05:30,86.35,87.09,86.28,86.61,585242
2026-05-11 12:15:00+05:30,86.61,86.64,86.46,86.58,573513
2026-05-11 13:15:00+05:30,86.58,86.63,86.5,86.58,485256
2026-05-11 14:15:00+05:30,86.56,86.65,86.15,86.21,703136
2026-05-11 15:15:00+05:30,86.19,86.39,86.06,86.29,349576
2026-05-12 09:15:00+05:30,85.8,86.39,85.1,85.32,1078716
2026-05-12 10:15:00+05:30,85.32,85.44,84.8,84.84,610755
2026-05-12 11:15:00+05:30,84.84,84.94,84.75,84.86,324504
2026-05-12 12:15:00+05:30,84.86,84.89,84.22,84.35,625221
2026-05-12 13:15:00+05:30,84.35,84.54,84.05,84.1,491288
2026-05-12 14:15:00+05:30,84.1,84.37,83.7,83.75,926197
