datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,10600,10798,10528,10759,19723
2026-05-06 10:15:00+05:30,10759,10799,10654,10672,8859
2026-05-06 11:15:00+05:30,10672,10676,10600,10602,2552
2026-05-06 12:15:00+05:30,10606,10608,10514,10539,2399
2026-05-06 13:15:00+05:30,10539,10606,10532,10575,2439
2026-05-06 14:15:00+05:30,10575,10637,10570,10626,5511
2026-05-06 15:15:00+05:30,10627,10630,10590,10630,5590
2026-05-07 09:15:00+05:30,10800,10804,10542,10559,15440
2026-05-07 10:15:00+05:30,10559,10649,10550,10608,6880
2026-05-07 11:15:00+05:30,10608,10657,10593,10625,7924
2026-05-07 12:15:00+05:30,10625,10734,10625,10656,26183
2026-05-07 13:15:00+05:30,10656,10677,10597,10609,7043
2026-05-07 14:15:00+05:30,10609,10780,10560,10573,62331
2026-05-07 15:15:00+05:30,10570,10629,10557,10601,13639
2026-05-08 09:15:00+05:30,10545,10579,10342,10525,23247
2026-05-08 10:15:00+05:30,10525,10667,10500,10625,9539
2026-05-08 11:15:00+05:30,10625,10675,10596,10663,6902
2026-05-08 12:15:00+05:30,10662,10662,10601,10606,3563
2026-05-08 13:15:00+05:30,10606,10840,10554,10772,18963
2026-05-08 14:15:00+05:30,10772,10775,10568,10607,10219
2026-05-08 15:15:00+05:30,10605,10725,10591,10678,7195
2026-05-11 09:15:00+05:30,10632,10662,10411,10534,12836
2026-05-11 10:15:00+05:30,10534,10538,10437,10502,4341
2026-05-11 11:15:00+05:30,10502,10550,10478,10535,3089
2026-05-11 12:15:00+05:30,10535,10540,10500,10528,2057
2026-05-11 13:15:00+05:30,10528,10547,10511,10524,1242
2026-05-11 14:15:00+05:30,10524,10585,10400,10412,6889
2026-05-11 15:15:00+05:30,10412,10426,10370,10392,3827
2026-05-12 09:15:00+05:30,10410,10525,10336,10404,9277
2026-05-12 10:15:00+05:30,10404,10454,10360,10381,4906
2026-05-12 11:15:00+05:30,10381,10381,10315,10316,3093
2026-05-12 12:15:00+05:30,10316,10327,10237,10265,5440
2026-05-12 13:15:00+05:30,10265,10276,10161,10172,5208
2026-05-12 14:15:00+05:30,10165,10226,10062,10077,8384
2026-05-12 15:15:00+05:30,10077,10113,10071,10100,5998
2026-05-13 09:15:00+05:30,10060,10195,10046,10132,5553
2026-05-13 10:15:00+05:30,10132,10156,10090,10114,2844
2026-05-13 11:15:00+05:30,10114,10160,10096,10160,2253
2026-05-13 12:15:00+05:30,10160,10160,10099,10121,2674
2026-05-13 13:15:00+05:30,10121,10139,10071,10075,1753
2026-05-13 14:15:00+05:30,10082,10153,10012,10020,11915
2026-05-13 15:15:00+05:30,10020,10023,9958,9975,5247
2026-05-14 09:15:00+05:30,10074,10097,9940,9980,9542
2026-05-14 10:15:00+05:30,9979,10029,9978,10000,4638
2026-05-14 11:15:00+05:30,10000,10449,9999,10385,17390
2026-05-14 12:15:00+05:30,10385,10473,10298,10299,10101
2026-05-14 13:15:00+05:30,10299,10349,10278,10345,4270
2026-05-14 14:15:00+05:30,10345,10390,10312,10357,7292
2026-05-14 15:15:00+05:30,10354,10366,10323,10360,4694
2026-05-15 09:15:00+05:30,10305,10482,10300,10404,6375
2026-05-15 10:15:00+05:30,10408,10442,10375,10395,2003
2026-05-15 11:15:00+05:30,10395,10440,10357,10412,2322
2026-05-15 12:15:00+05:30,10412,10456,10387,10432,1915
2026-05-15 13:15:00+05:30,10432,10439,10352,10399,1625
2026-05-15 14:15:00+05:30,10399,10400,10300,10313,3751
2026-05-15 15:15:00+05:30,10312,10343,10229,10309,2953
2026-05-18 09:15:00+05:30,10250,10257,10100,10122,7429
2026-05-18 10:15:00+05:30,10122,10281,10122,10275,4898
2026-05-18 11:15:00+05:30,10275,10341,10246,10296,2664
2026-05-18 12:15:00+05:30,10296,10344,10295,10320,1923
2026-05-18 13:15:00+05:30,10320,10377,10320,10377,1721
2026-05-18 14:15:00+05:30,10377,10425,10300,10346,5973
2026-05-18 15:15:00+05:30,10346,10387,10310,10373,5868
2026-05-19 09:15:00+05:30,10367,10475,10367,10439,7018
2026-05-19 10:15:00+05:30,10439,10443,10383,10387,2129
2026-05-19 11:15:00+05:30,10387,10405,10360,10396,2692
2026-05-19 12:15:00+05:30,10396,10400,10339,10349,3433
2026-05-19 13:15:00+05:30,10349,10400,10344,10384,2332
2026-05-19 14:15:00+05:30,10384,10386,10285,10318,8872
2026-05-19 15:15:00+05:30,10318,10326,10270,10320,4432
2026-05-20 09:15:00+05:30,10237,10294,10171,10273,6693
2026-05-20 10:15:00+05:30,10273,10300,10265,10295,2403
2026-05-20 11:15:00+05:30,10295,10312,10282,10298,2596
2026-05-20 12:15:00+05:30,10298,10356,10282,10328,4432
2026-05-20 13:15:00+05:30,10328,10462,10295,10443,9299
2026-05-20 14:15:00+05:30,10443,10474,10413,10472,6905
2026-05-20 15:15:00+05:30,10472,10498,10455,10498,7230
2026-05-21 09:15:00+05:30,10540,10685,10468,10655,19609
2026-05-21 10:15:00+05:30,10655,10670,10543,10565,15249
2026-05-21 11:15:00+05:30,10565,10580,10491,10499,6522
2026-05-21 12:15:00+05:30,10499,10516,10424,10464,10026
2026-05-21 13:15:00+05:30,10464,10573,10455,10554,16393
2026-05-21 14:15:00+05:30,10554,10579,10465,10467,4603
2026-05-21 15:15:00+05:30,10467,10469,10200,10389,6022
2026-05-22 09:15:00+05:30,10389,10525,10370,10492,6812
2026-05-22 10:15:00+05:30,10492,10540,10482,10492,2212
2026-05-22 11:15:00+05:30,10460,10575,10441,10550,3187
2026-05-22 12:15:00+05:30,10550,10570,10501,10539,893
2026-05-22 13:15:00+05:30,10539,10541,10497,10520,723
2026-05-22 14:15:00+05:30,10518,10555,10435,10475,10820
2026-05-22 15:15:00+05:30,10475,10539,10460,10500,4528
2026-05-25 09:15:00+05:30,10650,10650,10535,10608,4712
2026-05-25 10:15:00+05:30,10608,10699,10602,10695,4683
2026-05-25 11:15:00+05:30,10695,10741,10647,10685,4238
2026-05-25 12:15:00+05:30,10685,10695,10637,10669,2883
2026-05-25 13:15:00+05:30,10669,10689,10606,10650,3516
2026-05-25 14:15:00+05:30,10650,10693,10650,10692,2987
2026-05-25 15:15:00+05:30,10692,10700,10600,10630,10210
2026-05-26 09:15:00+05:30,10681,10730,10601,10729,5071
2026-05-26 10:15:00+05:30,10729,10774,10700,10731,3396
2026-05-26 11:15:00+05:30,10731,10931,10716,10810,14988
2026-05-26 12:15:00+05:30,10810,10821,10734,10747,5180
2026-05-26 13:15:00+05:30,10747,10759,10666,10680,4924
2026-05-26 14:15:00+05:30,10680,10740,10680,10712,8703
2026-05-26 15:15:00+05:30,10712,10714,10661,10714,4770
2026-05-27 09:15:00+05:30,10705,10710,10590,10639,5717
2026-05-27 10:15:00+05:30,10636,10693,10628,10628,5279
2026-05-27 11:15:00+05:30,10628,10673,10575,10591,2305
2026-05-27 12:15:00+05:30,10591,10607,10560,10599,2314
2026-05-27 13:15:00+05:30,10599,10619,10575,10599,1793
2026-05-27 14:15:00+05:30,10599,10615,10540,10560,7443
2026-05-27 15:15:00+05:30,10565,10588,10500,10515,5943
2026-05-29 09:15:00+05:30,10570,10620,10455,10522,11574
2026-05-29 10:15:00+05:30,10522,10539,10490,10519,3776
2026-05-29 11:15:00+05:30,10519,10526,10468,10473,2366
2026-05-29 12:15:00+05:30,10473,10487,10415,10423,4149
2026-05-29 13:15:00+05:30,10423,10445,10402,10420,4151
2026-05-29 14:15:00+05:30,10420,10458,10325,10361,44146
2026-05-29 15:15:00+05:30,10363,10431,10270,10431,33559
2026-06-01 09:15:00+05:30,10450,10547,10383,10500,13608
2026-06-01 10:15:00+05:30,10500,10538,10493,10501,3408
2026-06-01 11:15:00+05:30,10501,10512,10412,10435,6796
2026-06-01 12:15:00+05:30,10435,10483,10406,10457,6734
2026-06-01 13:15:00+05:30,10457,10517,10384,10387,21125
2026-06-01 14:15:00+05:30,10390,10400,10250,10261,9523
2026-06-01 15:15:00+05:30,10264,10281,10200,10200,5420
2026-06-02 09:15:00+05:30,10295,10295,10073,10173,9633
2026-06-02 10:15:00+05:30,10173,10219,10155,10180,2975
2026-06-02 11:15:00+05:30,10180,10213,10134,10152,5494
2026-06-02 12:15:00+05:30,10152,10274,10143,10234,2959
2026-06-02 13:15:00+05:30,10231,10311,10212,10296,2628
2026-06-02 14:15:00+05:30,10296,10318,10221,10264,4047
2026-06-02 15:15:00+05:30,10257,10260,10200,10248,3479
2026-06-03 09:15:00+05:30,10200,10265,10120,10197,6525
2026-06-03 10:15:00+05:30,10197,10217,10141,10155,2665
2026-06-03 11:15:00+05:30,10155,10178,10060,10076,3409
2026-06-03 12:15:00+05:30,10076,10187,10067,10149,3373
2026-06-03 13:15:00+05:30,10149,10220,10149,10155,2903
2026-06-03 14:15:00+05:30,10158,10230,10136,10187,4485
2026-06-03 15:15:00+05:30,10179,10204,10155,10175,2468
2026-06-04 09:15:00+05:30,10149,10237,10125,10226,4269
2026-06-04 10:15:00+05:30,10226,10278,10196,10204,2086
2026-06-04 11:15:00+05:30,10204,10220,10190,10202,979
2026-06-04 12:15:00+05:30,10202,10231,10200,10200,1702
2026-06-04 13:15:00+05:30,10200,10214,10151,10167,6252
2026-06-04 14:15:00+05:30,10167,10199,10100,10107,4905
2026-06-04 15:15:00+05:30,10107,10161,10081,10081,4141
2026-06-05 09:15:00+05:30,10189,10344,10131,10322,21887
2026-06-05 10:15:00+05:30,10322,10355,10233,10315,5114
2026-06-05 11:15:00+05:30,10315,10321,10269,10281,2121
2026-06-05 12:15:00+05:30,10281,10311,10223,10233,3643
2026-06-05 13:15:00+05:30,10233,10267,10188,10240,11047
2026-06-05 14:15:00+05:30,10240,10250,10180,10200,20395
2026-06-05 15:15:00+05:30,10200,10211,10172,10200,4520
2026-06-08 09:15:00+05:30,10092,10092,9972,9989,12229
2026-06-08 10:15:00+05:30,9985,10018,9973,9990,4130
2026-06-08 11:15:00+05:30,9990,10007,9972,9991,3523
2026-06-08 12:15:00+05:30,9991,10007,9972,9988,3592
2026-06-08 13:15:00+05:30,9988,10010,9946,9988,8395
2026-06-08 14:15:00+05:30,9988,9988,9860,9870,7435
2026-06-08 15:15:00+05:30,9870,9870,9816,9825,6149
2026-06-09 09:15:00+05:30,9938,10115,9870,10098,10793
2026-06-09 10:15:00+05:30,10092,10147,10034,10118,22969
2026-06-09 11:15:00+05:30,10118,10148,10100,10146,2310
2026-06-09 12:15:00+05:30,10146,10220,10146,10194,5122
2026-06-09 13:15:00+05:30,10194,10215,10156,10210,2674
2026-06-09 14:15:00+05:30,10210,10279,10205,10250,8197
2026-06-09 15:15:00+05:30,10251,10280,10201,10220,5342
2026-06-10 09:15:00+05:30,10280,10283,10170,10187,7135
2026-06-10 10:15:00+05:30,10187,10243,10145,10206,4125
2026-06-10 11:15:00+05:30,10206,10234,10200,10205,5258
2026-06-10 12:15:00+05:30,10205,10212,10166,10174,3960
2026-06-10 13:15:00+05:30,10174,10189,10140,10149,3671
2026-06-10 14:15:00+05:30,10149,10155,9989,9989,5749
2026-06-10 15:15:00+05:30,9993,10061,9974,10050,2945
2026-06-11 09:15:00+05:30,9976,10021,9911,9931,5507
2026-06-11 10:15:00+05:30,9931,9968,9911,9915,2644
2026-06-11 11:15:00+05:30,9916,9975,9916,9951,1311
2026-06-11 12:15:00+05:30,9951,9970,9903,9909,5851
2026-06-11 13:15:00+05:30,9908,9908,9867,9886,4719
2026-06-11 14:15:00+05:30,9886,9906,9850,9863,7291
2026-06-11 15:15:00+05:30,9866,9883,9852,9872,2562
2026-06-12 09:15:00+05:30,9958,10024,9904,9961,6014
2026-06-12 10:15:00+05:30,9964,10021,9945,10005,2488
2026-06-12 11:15:00+05:30,10006,10017,9978,9984,883
2026-06-12 12:15:00+05:30,9984,9990,9952,9980,1372
2026-06-12 13:15:00+05:30,9980,10119,9965,10099,6356
2026-06-12 14:15:00+05:30,10099,10171,10096,10161,8246
2026-06-12 15:15:00+05:30,10161,10199,10136,10156,3866
2026-06-15 09:15:00+05:30,10280,10531,10254,10516,16387
2026-06-15 10:15:00+05:30,10520,10552,10470,10511,7014
2026-06-15 11:15:00+05:30,10511,10535,10469,10477,2206
2026-06-15 12:15:00+05:30,10477,10477,10400,10429,9390
2026-06-15 13:15:00+05:30,10429,10495,10357,10364,11559
2026-06-15 14:15:00+05:30,10364,10391,10254,10272,11202
2026-06-15 15:15:00+05:30,10272,10296,10255,10281,4659
2026-06-16 09:15:00+05:30,10350,10442,10295,10395,10492
2026-06-16 10:15:00+05:30,10395,10425,10388,10413,2263
2026-06-16 11:15:00+05:30,10413,10464,10396,10458,3927
2026-06-16 12:15:00+05:30,10458,10460,10400,10449,2694
2026-06-16 13:15:00+05:30,10449,10470,10429,10467,2567
2026-06-16 14:15:00+05:30,10467,10476,10445,10470,4438
2026-06-16 15:15:00+05:30,10470,10500,10436,10453,5872
2026-06-17 09:15:00+05:30,10500,10550,10414,10504,7828
2026-06-17 10:15:00+05:30,10504,10575,10490,10568,4307
2026-06-17 11:15:00+05:30,10568,10598,10510,10540,5461
2026-06-17 12:15:00+05:30,10540,10543,10492,10500,2736
2026-06-17 13:15:00+05:30,10499,10517,10469,10496,2757
2026-06-17 14:15:00+05:30,10496,10527,10483,10500,10360
2026-06-17 15:15:00+05:30,10504,10535,10452,10519,5843
2026-06-18 09:15:00+05:30,10550,10647,10503,10581,9603
2026-06-18 10:15:00+05:30,10585,10668,10540,10540,5514
2026-06-18 11:15:00+05:30,10540,10566,10500,10554,6879
2026-06-18 12:15:00+05:30,10554,10611,10554,10586,3458
2026-06-18 13:15:00+05:30,10586,10616,10560,10560,3251
2026-06-18 14:15:00+05:30,10559,10690,10555,10677,10758
2026-06-18 15:15:00+05:30,10672,10705,10654,10690,10452
2026-06-19 09:15:00+05:30,10740,10844,10582,10837,13114
2026-06-19 10:15:00+05:30,10836,10840,10725,10767,12428
2026-06-19 11:15:00+05:30,10767,10770,10676,10691,4668
2026-06-19 12:15:00+05:30,10691,10709,10633,10640,3855
2026-06-19 13:15:00+05:30,10640,10653,10622,10638,2267
2026-06-19 14:15:00+05:30,10638,10713,10604,10693,12095
2026-06-19 15:15:00+05:30,10688,10719,10635,10695,7757
2026-06-22 09:15:00+05:30,10741,10849,10700,10827,34334
2026-06-22 10:15:00+05:30,10827,10841,10761,10764,5807
2026-06-22 11:15:00+05:30,10764,10771,10713,10739,4336
2026-06-22 12:15:00+05:30,10739,10748,10690,10741,4375
2026-06-22 13:15:00+05:30,10741,10768,10726,10765,5550
2026-06-22 14:15:00+05:30,10765,10915,10760,10901,23892
2026-06-22 15:15:00+05:30,10901,10939,10888,10922,18997
2026-06-23 09:15:00+05:30,10920,10995,10849,10973,12299
2026-06-23 10:15:00+05:30,10973,10991,10950,10985,6954
2026-06-23 11:15:00+05:30,10985,10988,10710,10716,26173
2026-06-23 12:15:00+05:30,10716,10721,10646,10657,3652
2026-06-23 13:15:00+05:30,10660,10672,10613,10658,3308
2026-06-23 14:15:00+05:30,10658,10693,10602,10615,9694
2026-06-23 15:15:00+05:30,10614,10622,10600,10601,4976
2026-06-24 09:15:00+05:30,10630,10701,10565,10653,10355
2026-06-24 10:15:00+05:30,10653,10653,10524,10545,5777
2026-06-24 11:15:00+05:30,10545,10640,10523,10628,8680
2026-06-24 12:15:00+05:30,10628,10660,10556,10641,8711
2026-06-24 13:15:00+05:30,10641,10662,10614,10651,5216
2026-06-24 14:15:00+05:30,10651,10663,10577,10580,11900
2026-06-24 15:15:00+05:30,10574,10635,10547,10620,10164
2026-06-25 09:15:00+05:30,10583,10810,10570,10698,11220
2026-06-25 10:15:00+05:30,10698,10800,10690,10744,3732
2026-06-25 11:15:00+05:30,10744,10773,10705,10752,2216
2026-06-25 12:15:00+05:30,10752,10765,10673,10680,3288
2026-06-25 13:15:00+05:30,10680,10731,10670,10674,2269
2026-06-25 14:15:00+05:30,10674,10698,10593,10597,7480
