datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,11400,11405,11315,11338,73526
2026-05-06 10:15:00+05:30,11334,11345,11298,11336,24470
2026-05-06 11:15:00+05:30,11336,11342,11260,11267,29097
2026-05-06 12:15:00+05:30,11271,11275,11152,11220,58439
2026-05-06 13:15:00+05:30,11217,11300,11210,11262,53721
2026-05-06 14:15:00+05:30,11265,11327,11263,11294,74659
2026-05-06 15:15:00+05:30,11297,11343,11266,11297,50957
2026-05-07 09:15:00+05:30,11350,11395,11282,11291,79256
2026-05-07 10:15:00+05:30,11291,11380,11280,11330,45356
2026-05-07 11:15:00+05:30,11327,11331,11197,11204,80493
2026-05-07 12:15:00+05:30,11200,11255,11053,11130,135889
2026-05-07 13:15:00+05:30,11131,11170,11102,11155,48207
2026-05-07 14:15:00+05:30,11155,11156,11029,11036,127576
2026-05-07 15:15:00+05:30,11039,11079,11006,11074,100382
2026-05-08 09:15:00+05:30,11040,11265,11011,11194,118164
2026-05-08 10:15:00+05:30,11195,11228,11146,11170,64121
2026-05-08 11:15:00+05:30,11164,11174,11082,11144,48969
2026-05-08 12:15:00+05:30,11144,11150,10973,11025,68643
2026-05-08 13:15:00+05:30,11025,11059,10690,10699,177861
2026-05-08 14:15:00+05:30,10699,10829,10580,10821,289002
2026-05-08 15:15:00+05:30,10821,10835,10784,10825,49391
2026-05-11 09:15:00+05:30,10773,10900,10537,10886,293648
2026-05-11 10:15:00+05:30,10886,10956,10840,10858,110207
2026-05-11 11:15:00+05:30,10862,10865,10783,10821,32175
2026-05-11 12:15:00+05:30,10821,10875,10805,10831,39176
2026-05-11 13:15:00+05:30,10831,10884,10804,10823,27310
2026-05-11 14:15:00+05:30,10824,10845,10730,10749,63190
2026-05-11 15:15:00+05:30,10749,10815,10749,10781,38122
2026-05-12 09:15:00+05:30,10744,10744,10374,10397,247856
2026-05-12 10:15:00+05:30,10396,10501,10378,10394,113019
2026-05-12 11:15:00+05:30,10394,10464,10380,10385,62513
2026-05-12 12:15:00+05:30,10385,10416,10342,10359,49903
2026-05-12 13:15:00+05:30,10356,10378,10220,10238,108872
2026-05-12 14:15:00+05:30,10237,10282,10100,10119,157421
2026-05-12 15:15:00+05:30,10112,10169,10103,10120,89234
2026-05-13 09:15:00+05:30,10255,10696,10158,10646,733240
2026-05-13 10:15:00+05:30,10643,10669,10433,10489,275771
2026-05-13 11:15:00+05:30,10489,11030,10452,11016,363800
2026-05-13 12:15:00+05:30,11011,11020,10815,10911,339138
2026-05-13 13:15:00+05:30,10916,10988,10890,10938,143054
2026-05-13 14:15:00+05:30,10938,11232,10934,11130,701758
2026-05-13 15:15:00+05:30,11132,11160,11081,11129,125122
2026-05-14 09:15:00+05:30,11150,11191,10834,10970,289888
2026-05-14 10:15:00+05:30,10970,10970,10853,10859,102857
2026-05-14 11:15:00+05:30,10856,11138,10852,11100,199404
2026-05-14 12:15:00+05:30,11100,11180,11077,11127,80390
2026-05-14 13:15:00+05:30,11124,11180,11108,11140,65576
2026-05-14 14:15:00+05:30,11142,11165,11071,11101,82087
2026-05-14 15:15:00+05:30,11102,11125,11100,11110,33880
2026-05-15 09:15:00+05:30,11103,11360,11050,11185,287607
2026-05-15 10:15:00+05:30,11183,11250,11122,11130,59993
2026-05-15 11:15:00+05:30,11129,11147,11011,11017,73529
2026-05-15 12:15:00+05:30,11017,11065,10932,11037,71948
2026-05-15 13:15:00+05:30,11035,11065,10980,11015,36989
2026-05-15 14:15:00+05:30,11013,11075,10952,10978,79888
2026-05-15 15:15:00+05:30,10978,10994,10950,10974,36691
2026-05-18 09:15:00+05:30,10871,10900,10655,10664,150428
2026-05-18 10:15:00+05:30,10672,10712,10570,10702,87734
2026-05-18 11:15:00+05:30,10702,10740,10658,10735,77705
2026-05-18 12:15:00+05:30,10735,10872,10735,10810,86670
2026-05-18 13:15:00+05:30,10810,10841,10751,10812,52374
2026-05-18 14:15:00+05:30,10809,10819,10698,10750,64104
2026-05-18 15:15:00+05:30,10751,10808,10746,10803,50477
2026-05-19 09:15:00+05:30,10820,11089,10783,11085,215082
2026-05-19 10:15:00+05:30,11085,11098,10940,10955,101129
2026-05-19 11:15:00+05:30,10955,11080,10936,11067,58053
2026-05-19 12:15:00+05:30,11067,11067,11001,11022,33408
2026-05-19 13:15:00+05:30,11020,11140,11017,11077,69019
2026-05-19 14:15:00+05:30,11077,11080,11033,11057,67852
2026-05-19 15:15:00+05:30,11057,11069,11012,11015,40480
2026-05-20 09:15:00+05:30,10870,11080,10850,10945,117012
2026-05-20 10:15:00+05:30,10948,10971,10855,10915,77469
2026-05-20 11:15:00+05:30,10914,11034,10882,10985,73244
2026-05-20 12:15:00+05:30,10985,10996,10945,10952,21775
2026-05-20 13:15:00+05:30,10952,10972,10926,10963,23710
2026-05-20 14:15:00+05:30,10963,11019,10960,10996,45059
2026-05-20 15:15:00+05:30,10996,11010,10991,11005,19478
2026-05-21 09:15:00+05:30,11010,11143,10930,10957,107000
2026-05-21 10:15:00+05:30,10957,10984,10911,10949,40869
2026-05-21 11:15:00+05:30,10945,11325,10925,11269,219414
2026-05-21 12:15:00+05:30,11266,11275,11140,11240,92023
2026-05-21 13:15:00+05:30,11240,11250,11160,11185,70128
2026-05-21 14:15:00+05:30,11185,11307,11180,11266,138856
2026-05-21 15:15:00+05:30,11266,11273,11230,11250,35711
2026-05-22 09:15:00+05:30,11285,11860,11261,11675,614089
2026-05-22 10:15:00+05:30,11675,11825,11652,11803,213818
2026-05-22 11:15:00+05:30,11802,11835,11702,11710,146495
2026-05-22 12:15:00+05:30,11710,11755,11681,11705,82597
2026-05-22 13:15:00+05:30,11705,11740,11660,11670,92828
2026-05-22 14:15:00+05:30,11670,11744,11655,11725,141037
2026-05-22 15:15:00+05:30,11724,11758,11707,11720,70965
2026-05-25 09:15:00+05:30,11850,11878,11602,11701,178264
2026-05-25 10:15:00+05:30,11705,11835,11703,11755,107487
2026-05-25 11:15:00+05:30,11755,11820,11740,11800,60267
2026-05-25 12:15:00+05:30,11800,11835,11772,11804,61324
2026-05-25 13:15:00+05:30,11804,11849,11804,11830,41199
2026-05-25 14:15:00+05:30,11830,11888,11810,11848,90905
2026-05-25 15:15:00+05:30,11846,11858,11782,11799,36701
2026-05-26 09:15:00+05:30,11798,11829,11700,11745,97633
2026-05-26 10:15:00+05:30,11745,11799,11736,11749,24797
2026-05-26 11:15:00+05:30,11749,11765,11715,11722,22328
2026-05-26 12:15:00+05:30,11725,11738,11663,11676,54169
2026-05-26 13:15:00+05:30,11679,11720,11670,11707,23886
2026-05-26 14:15:00+05:30,11707,11718,11670,11690,48209
2026-05-26 15:15:00+05:30,11690,11690,11620,11683,39898
2026-05-27 09:15:00+05:30,11675,11925,11641,11882,143646
2026-05-27 10:15:00+05:30,11881,11916,11807,11819,65506
2026-05-27 11:15:00+05:30,11814,11839,11773,11782,30737
2026-05-27 12:15:00+05:30,11781,11818,11753,11783,31471
2026-05-27 13:15:00+05:30,11783,11800,11747,11748,40571
2026-05-27 14:15:00+05:30,11748,11770,11725,11756,34808
2026-05-27 15:15:00+05:30,11759,11765,11745,11755,23693
2026-05-29 09:15:00+05:30,11770,11831,11605,11712,107407
2026-05-29 10:15:00+05:30,11708,11725,11647,11685,32811
2026-05-29 11:15:00+05:30,11685,11715,11641,11653,25026
2026-05-29 12:15:00+05:30,11651,11760,11636,11638,47159
2026-05-29 13:15:00+05:30,11638,11739,11617,11635,47265
2026-05-29 14:15:00+05:30,11640,11676,11480,11496,126330
2026-05-29 15:15:00+05:30,11496,11576,11482,11550,111612
2026-06-01 09:15:00+05:30,11600,11648,11406,11445,92211
2026-06-01 10:15:00+05:30,11445,11595,11425,11594,48952
2026-06-01 11:15:00+05:30,11594,11598,11507,11573,33404
2026-06-01 12:15:00+05:30,11573,11585,11530,11536,28537
2026-06-01 13:15:00+05:30,11536,11564,11462,11464,28932
2026-06-01 14:15:00+05:30,11465,11578,11440,11462,49401
2026-06-01 15:15:00+05:30,11463,11499,11432,11475,21576
2026-06-02 09:15:00+05:30,11422,11570,11361,11511,90044
2026-06-02 10:15:00+05:30,11507,11590,11478,11504,40591
2026-06-02 11:15:00+05:30,11512,11548,11444,11446,27461
2026-06-02 12:15:00+05:30,11446,11596,11440,11576,45151
2026-06-02 13:15:00+05:30,11576,11656,11570,11623,51013
2026-06-02 14:15:00+05:30,11620,11645,11564,11603,45456
2026-06-02 15:15:00+05:30,11603,11618,11590,11600,16769
2026-06-03 09:15:00+05:30,11620,11640,11385,11415,84993
2026-06-03 10:15:00+05:30,11415,11450,11350,11361,50760
