datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,19400,20400,19252,20342,114404
2026-05-06 10:15:00+05:30,20342,20372,19935,20018,42206
2026-05-06 11:15:00+05:30,20022,20155,19991,20110,20208
2026-05-06 12:15:00+05:30,20110,20140,20021,20057,15505
2026-05-06 13:15:00+05:30,20057,20241,20040,20152,13840
2026-05-06 14:15:00+05:30,20145,20264,20002,20083,30045
2026-05-06 15:15:00+05:30,20068,20280,20064,20250,19627
2026-05-07 09:15:00+05:30,20350,20450,19978,20111,30953
2026-05-07 10:15:00+05:30,20111,20193,20100,20157,6541
2026-05-07 11:15:00+05:30,20157,20380,20105,20334,11740
2026-05-07 12:15:00+05:30,20334,21074,20330,20950,56208
2026-05-07 13:15:00+05:30,20950,21040,20809,20891,23060
2026-05-07 14:15:00+05:30,20891,20957,20625,20651,17725
2026-05-07 15:15:00+05:30,20650,20767,20628,20696,12200
2026-05-08 09:15:00+05:30,20696,20917,20415,20502,33090
2026-05-08 10:15:00+05:30,20520,21180,20441,20896,33590
2026-05-08 11:15:00+05:30,20896,21012,20850,20886,11676
2026-05-08 12:15:00+05:30,20889,20956,20760,20803,9373
2026-05-08 13:15:00+05:30,20803,20980,20781,20901,9572
2026-05-08 14:15:00+05:30,20913,20963,20850,20900,13315
2026-05-08 15:15:00+05:30,20902,20918,20825,20880,12850
2026-05-11 09:15:00+05:30,20668,20998,20490,20701,31896
2026-05-11 10:15:00+05:30,20701,20705,20525,20608,12541
2026-05-11 11:15:00+05:30,20608,20660,20543,20580,7046
2026-05-11 12:15:00+05:30,20580,20615,20358,20517,14238
2026-05-11 13:15:00+05:30,20517,20849,20477,20640,15407
2026-05-11 14:15:00+05:30,20636,20767,20550,20582,12646
2026-05-11 15:15:00+05:30,20582,20665,20572,20640,7088
2026-05-12 09:15:00+05:30,20600,20639,20214,20310,21828
2026-05-12 10:15:00+05:30,20310,20364,20070,20070,11073
2026-05-12 11:15:00+05:30,20070,20188,20051,20072,5565
2026-05-12 12:15:00+05:30,20072,20092,19833,20050,12560
2026-05-12 13:15:00+05:30,20050,20100,19937,20028,6747
2026-05-12 14:15:00+05:30,20020,20122,19800,19831,15751
2026-05-12 15:15:00+05:30,19831,19872,19731,19840,8787
2026-05-13 09:15:00+05:30,19950,20133,19753,19998,22091
2026-05-13 10:15:00+05:30,19998,20131,19750,19829,10168
2026-05-13 11:15:00+05:30,19829,20195,19812,20188,9946
2026-05-13 12:15:00+05:30,20188,20195,20000,20024,5858
2026-05-13 13:15:00+05:30,20024,20075,19960,20052,5294
2026-05-13 14:15:00+05:30,20052,20062,19850,19889,6984
2026-05-13 15:15:00+05:30,19880,20020,19860,20020,5798
2026-05-14 09:15:00+05:30,20217,20330,19400,19495,34406
2026-05-14 10:15:00+05:30,19495,19690,19417,19590,11399
2026-05-14 11:15:00+05:30,19590,19871,19590,19843,21890
2026-05-14 12:15:00+05:30,19843,20149,19843,20005,14850
2026-05-14 13:15:00+05:30,20005,20045,19870,20029,6484
2026-05-14 14:15:00+05:30,20029,20140,20006,20057,12749
2026-05-14 15:15:00+05:30,20057,20250,20046,20201,10150
2026-05-15 09:15:00+05:30,20209,21100,20050,20798,77180
2026-05-15 10:15:00+05:30,20798,20850,20484,20495,19599
2026-05-15 11:15:00+05:30,20497,20560,20320,20482,15667
2026-05-15 12:15:00+05:30,20482,20642,20463,20522,8200
2026-05-15 13:15:00+05:30,20522,20553,20350,20419,7339
2026-05-15 14:15:00+05:30,20419,20472,20310,20410,11430
2026-05-15 15:15:00+05:30,20401,20410,20261,20275,10367
2026-05-18 09:15:00+05:30,20099,20099,19423,19500,33622
2026-05-18 10:15:00+05:30,19500,19590,19344,19575,15212
2026-05-18 11:15:00+05:30,19571,19770,19550,19610,10057
2026-05-18 12:15:00+05:30,19610,19724,19552,19648,6993
2026-05-18 13:15:00+05:30,19648,19658,19554,19641,5580
2026-05-18 14:15:00+05:30,19631,19640,19505,19550,9362
2026-05-18 15:15:00+05:30,19555,19614,19505,19613,10121
2026-05-19 09:15:00+05:30,19650,19683,19420,19550,23489
2026-05-19 10:15:00+05:30,19550,19580,19302,19340,14836
2026-05-19 11:15:00+05:30,19340,19516,19292,19375,10084
2026-05-19 12:15:00+05:30,19379,19379,19229,19275,12376
2026-05-19 13:15:00+05:30,19275,19349,19230,19321,5876
2026-05-19 14:15:00+05:30,19321,19322,19188,19215,12255
2026-05-19 15:15:00+05:30,19215,19240,19160,19220,11280
2026-05-20 09:15:00+05:30,19006,19085,18780,18935,27815
2026-05-20 10:15:00+05:30,18935,19173,18906,18980,15597
2026-05-20 11:15:00+05:30,18980,19173,18960,19009,14669
2026-05-20 12:15:00+05:30,19009,19110,19001,19044,7584
2026-05-20 13:15:00+05:30,19044,19062,18972,19062,5557
2026-05-20 14:15:00+05:30,19061,19182,19012,19031,22115
2026-05-20 15:15:00+05:30,19031,19180,19030,19172,10058
2026-05-21 09:15:00+05:30,19482,19690,19366,19443,48231
2026-05-21 10:15:00+05:30,19446,19717,19302,19522,28257
2026-05-21 11:15:00+05:30,19515,19568,19388,19492,9278
2026-05-21 12:15:00+05:30,19492,19518,19388,19440,8809
2026-05-21 13:15:00+05:30,19440,19530,19380,19422,10525
2026-05-21 14:15:00+05:30,19422,19474,19304,19363,8671
2026-05-21 15:15:00+05:30,19360,19360,19306,19306,8027
2026-05-22 09:15:00+05:30,19475,19674,19252,19449,29952
2026-05-22 10:15:00+05:30,19449,19675,19435,19579,15614
2026-05-22 11:15:00+05:30,19575,19790,19568,19732,16372
2026-05-22 12:15:00+05:30,19732,20197,19712,20197,24093
2026-05-22 13:15:00+05:30,20198,20454,19975,20055,42708
2026-05-22 14:15:00+05:30,20055,20080,19811,19870,21516
2026-05-22 15:15:00+05:30,19870,19919,19830,19880,8904
2026-05-25 09:15:00+05:30,20150,20850,20078,20549,77690
2026-05-25 10:15:00+05:30,20550,20577,20350,20355,20920
2026-05-25 11:15:00+05:30,20363,20445,20300,20406,8328
2026-05-25 12:15:00+05:30,20406,20438,20280,20379,8205
2026-05-25 13:15:00+05:30,20373,20423,20316,20325,5293
2026-05-25 14:15:00+05:30,20325,20420,20232,20263,13926
2026-05-25 15:15:00+05:30,20260,20270,20096,20140,9576
2026-05-26 09:15:00+05:30,20214,20300,19984,20191,22596
2026-05-26 10:15:00+05:30,20184,20192,20050,20096,6792
2026-05-26 11:15:00+05:30,20096,20120,19952,20011,7883
2026-05-26 12:15:00+05:30,20011,20040,19908,19921,6619
2026-05-26 13:15:00+05:30,19921,19935,19692,19745,11237
2026-05-26 14:15:00+05:30,19745,19906,19733,19870,13478
2026-05-26 15:15:00+05:30,19870,19890,19787,19831,10017
2026-05-27 09:15:00+05:30,19833,19949,19722,19764,16870
2026-05-27 10:15:00+05:30,19764,19866,19700,19708,6807
2026-05-27 11:15:00+05:30,19716,19820,19705,19731,5228
2026-05-27 12:15:00+05:30,19731,19795,19670,19747,7571
2026-05-27 13:15:00+05:30,19747,19899,19706,19850,6818
2026-05-27 14:15:00+05:30,19850,20026,19800,19823,12019
2026-05-27 15:15:00+05:30,19832,19947,19811,19901,8413
2026-05-29 09:15:00+05:30,19905,20098,19760,19840,15785
2026-05-29 10:15:00+05:30,19840,19916,19760,19760,5832
2026-05-29 11:15:00+05:30,19772,19795,19666,19677,5614
