datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,716.0,720.8,693.55,695.3,1311903
2026-05-06 10:15:00+05:30,695.35,695.5,685.3,686.75,870569
2026-05-06 11:15:00+05:30,686.8,692.1,685.55,689.75,356486
2026-05-06 12:15:00+05:30,689.45,691.9,682.9,691.45,392532
2026-05-06 13:15:00+05:30,691.45,698.05,691.05,694.0,413158
2026-05-06 14:15:00+05:30,694.0,699.8,693.0,697.8,490841
2026-05-06 15:15:00+05:30,697.8,703.85,696.75,702.0,431597
2026-05-07 09:15:00+05:30,703.9,711.95,701.1,705.25,822660
2026-05-07 10:15:00+05:30,705.25,706.0,699.0,703.75,244425
2026-05-07 11:15:00+05:30,703.5,719.5,703.5,711.3,1051035
2026-05-07 12:15:00+05:30,711.3,712.5,701.7,703.45,400947
2026-05-07 13:15:00+05:30,703.45,705.65,700.2,704.6,167714
2026-05-07 14:15:00+05:30,704.95,705.3,703.0,703.6,253912
2026-05-07 15:15:00+05:30,703.7,704.9,701.7,704.4,316017
2026-05-08 09:15:00+05:30,704.45,707.45,690.3,691.65,779217
2026-05-08 10:15:00+05:30,691.7,695.9,689.45,691.85,244698
2026-05-08 11:15:00+05:30,691.85,693.0,686.85,688.35,350864
2026-05-08 12:15:00+05:30,688.65,689.9,685.1,688.0,231824
2026-05-08 13:15:00+05:30,688.8,689.35,685.85,685.9,188569
2026-05-08 14:15:00+05:30,685.9,689.8,684.0,684.6,328600
2026-05-08 15:15:00+05:30,684.3,686.7,682.2,685.0,274809
2026-05-11 09:15:00+05:30,681.0,681.0,664.5,668.1,764723
2026-05-11 10:15:00+05:30,668.35,672.8,662.7,672.05,352696
2026-05-11 11:15:00+05:30,672.55,672.8,667.0,668.65,168410
2026-05-11 12:15:00+05:30,668.65,668.95,657.35,658.5,466728
2026-05-11 13:15:00+05:30,658.5,662.2,654.5,661.05,468396
2026-05-11 14:15:00+05:30,661.4,669.6,660.8,661.6,434109
2026-05-11 15:15:00+05:30,661.6,665.9,661.6,665.0,263678
2026-05-12 09:15:00+05:30,662.5,677.0,661.05,672.45,1183513
2026-05-12 10:15:00+05:30,671.95,677.4,666.2,666.7,487505
2026-05-12 11:15:00+05:30,666.4,677.65,664.05,664.05,361819
