datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,620.0,625.55,618.65,618.75,1572178
2026-05-06 10:15:00+05:30,619.5,621.45,616.8,617.4,541727
2026-05-06 11:15:00+05:30,617.4,623.6,616.5,621.95,1259457
2026-05-06 12:15:00+05:30,622.0,631.85,620.5,630.75,2782038
2026-05-06 13:15:00+05:30,630.75,638.5,630.05,637.75,2034997
2026-05-06 14:15:00+05:30,637.75,637.75,632.3,633.6,1297916
2026-05-06 15:15:00+05:30,633.95,635.95,633.6,635.45,630067
2026-05-07 09:15:00+05:30,644.9,645.65,636.4,638.35,2432173
2026-05-07 10:15:00+05:30,638.5,643.95,638.4,641.55,1026011
2026-05-07 11:15:00+05:30,641.6,645.65,637.65,644.45,1298997
2026-05-07 12:15:00+05:30,644.45,644.65,640.7,642.2,938855
2026-05-07 13:15:00+05:30,642.2,643.7,641.55,642.5,418739
2026-05-07 14:15:00+05:30,642.45,642.55,636.2,636.9,1156875
2026-05-07 15:15:00+05:30,636.8,637.15,634.6,636.75,528871
2026-05-08 09:15:00+05:30,634.75,640.0,629.15,635.0,1121415
2026-05-08 10:15:00+05:30,635.0,637.15,633.55,635.15,274696
2026-05-08 11:15:00+05:30,635.1,642.5,634.6,639.5,623531
2026-05-08 12:15:00+05:30,639.75,640.5,636.1,636.35,414674
2026-05-08 13:15:00+05:30,636.35,638.0,634.5,637.5,479766
2026-05-08 14:15:00+05:30,637.45,639.45,634.4,634.5,377923
2026-05-08 15:15:00+05:30,634.6,635.6,634.6,635.0,250288
2026-05-11 09:15:00+05:30,631.0,635.8,626.3,632.0,1114525
2026-05-11 10:15:00+05:30,631.85,632.25,628.15,630.65,456339
2026-05-11 11:15:00+05:30,630.6,637.0,629.0,637.0,543278
2026-05-11 12:15:00+05:30,637.0,637.25,631.05,633.35,438419
2026-05-11 13:15:00+05:30,633.3,638.0,632.55,636.0,564710
2026-05-11 14:15:00+05:30,636.0,637.0,627.7,628.1,438402
2026-05-11 15:15:00+05:30,628.1,630.5,627.9,629.85,262883
2026-05-12 09:15:00+05:30,647.0,651.5,641.8,648.35,4813770
2026-05-12 10:15:00+05:30,648.0,653.25,647.0,651.5,1823481
2026-05-12 11:15:00+05:30,651.5,653.0,649.65,650.0,1326099
2026-05-12 12:15:00+05:30,650.0,651.25,645.25,647.05,1846271
2026-05-12 13:15:00+05:30,647.05,647.85,643.1,643.45,854985
2026-05-12 14:15:00+05:30,643.45,644.75,639.2,640.75,1456478
2026-05-12 15:15:00+05:30,640.85,643.95,640.0,643.2,739473
2026-05-13 09:15:00+05:30,660.0,676.8,659.95,671.85,6709900
2026-05-13 10:15:00+05:30,671.85,673.5,666.95,671.0,1658482
2026-05-13 11:15:00+05:30,671.2,674.9,669.5,670.35,1014544
