datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,548.0,548.2,533.4,533.95,67454
2026-05-06 10:15:00+05:30,533.95,535.0,529.05,531.6,38475
2026-05-06 11:15:00+05:30,531.65,533.8,531.0,531.5,9558
2026-05-06 12:15:00+05:30,531.5,531.55,529.1,530.3,8753
2026-05-06 13:15:00+05:30,530.0,533.15,529.35,532.3,18226
2026-05-06 14:15:00+05:30,532.3,533.25,531.25,532.65,18720
2026-05-06 15:15:00+05:30,532.5,534.75,531.5,531.5,21039
2026-05-07 09:15:00+05:30,534.6,541.55,530.35,533.0,89763
2026-05-07 10:15:00+05:30,533.0,534.2,529.0,532.65,55479
2026-05-07 11:15:00+05:30,532.65,534.35,531.65,533.1,5787
2026-05-07 12:15:00+05:30,533.1,534.25,531.95,532.3,5633
2026-05-07 13:15:00+05:30,532.3,533.3,530.5,531.7,19918
2026-05-07 14:15:00+05:30,531.7,532.2,529.6,531.4,25219
2026-05-07 15:15:00+05:30,531.4,534.0,530.7,533.0,11290
2026-05-08 09:15:00+05:30,531.4,535.0,529.15,533.0,51659
2026-05-08 10:15:00+05:30,533.0,533.2,528.3,530.65,10644
2026-05-08 11:15:00+05:30,530.0,531.95,530.0,530.0,14084
2026-05-08 12:15:00+05:30,530.0,530.6,530.0,530.0,9092
2026-05-08 13:15:00+05:30,530.0,530.55,529.9,530.0,19265
2026-05-08 14:15:00+05:30,530.0,530.95,529.0,530.05,33617
2026-05-08 15:15:00+05:30,529.8,530.5,528.1,530.0,17424
2026-05-11 09:15:00+05:30,530.0,532.0,518.45,530.9,36841
2026-05-11 10:15:00+05:30,530.85,537.2,530.2,536.7,30797
2026-05-11 11:15:00+05:30,536.7,542.0,536.15,541.2,47797
2026-05-11 12:15:00+05:30,541.2,543.45,539.5,541.0,16714
2026-05-11 13:15:00+05:30,541.0,545.0,539.7,542.0,34382
2026-05-11 14:15:00+05:30,542.0,544.35,541.45,543.1,79772
2026-05-11 15:15:00+05:30,543.1,544.5,541.5,542.5,50041
2026-05-12 09:15:00+05:30,543.0,546.15,529.15,535.0,36419
2026-05-12 10:15:00+05:30,535.0,536.85,534.5,535.0,22858
2026-05-12 11:15:00+05:30,535.0,535.9,531.85,532.75,49203
2026-05-12 12:15:00+05:30,532.75,535.95,532.1,533.75,26601
2026-05-12 13:15:00+05:30,533.75,535.95,527.55,528.45,20531
2026-05-12 14:15:00+05:30,528.45,533.0,526.2,529.1,54053
2026-05-12 15:15:00+05:30,529.1,530.1,525.5,526.0,60451
2026-05-13 09:15:00+05:30,528.05,534.0,523.1,523.75,28236
2026-05-13 10:15:00+05:30,523.75,527.85,523.0,527.35,15978
2026-05-13 11:15:00+05:30,527.35,528.5,526.35,527.15,6028
2026-05-13 12:15:00+05:30,527.15,527.65,525.0,525.25,14715
2026-05-13 13:15:00+05:30,525.25,526.95,524.65,525.0,15276
2026-05-13 14:15:00+05:30,525.0,525.6,519.0,519.5,14457
2026-05-13 15:15:00+05:30,519.5,521.6,519.05,520.5,7538
2026-05-14 09:15:00+05:30,525.1,526.35,512.55,516.05,22931
2026-05-14 10:15:00+05:30,516.05,516.05,508.55,510.2,28175
2026-05-14 11:15:00+05:30,509.75,512.6,508.95,510.55,13038
2026-05-14 12:15:00+05:30,510.55,512.75,506.85,510.2,61307
2026-05-14 13:15:00+05:30,510.2,512.25,509.8,511.1,9698
2026-05-14 14:15:00+05:30,511.2,517.9,510.15,515.2,19317
2026-05-14 15:15:00+05:30,515.6,517.0,514.75,515.0,13522
2026-05-15 09:15:00+05:30,517.65,520.9,511.0,518.95,26825
2026-05-15 10:15:00+05:30,518.95,521.95,514.15,514.45,17914
2026-05-15 11:15:00+05:30,514.05,515.05,512.35,513.05,12256
2026-05-15 12:15:00+05:30,513.05,516.65,509.85,516.05,16623
2026-05-15 13:15:00+05:30,516.05,518.55,514.2,517.1,30384
2026-05-15 14:15:00+05:30,517.1,517.75,512.25,515.35,57388
2026-05-15 15:15:00+05:30,518.7,518.7,515.0,515.0,19772
2026-05-18 09:15:00+05:30,516.1,516.1,501.1,502.95,78275
2026-05-18 10:15:00+05:30,502.95,506.75,501.35,505.55,31269
2026-05-18 11:15:00+05:30,505.55,507.7,499.9,503.15,25280
2026-05-18 12:15:00+05:30,503.15,507.85,502.3,506.05,18519
2026-05-18 13:15:00+05:30,506.9,508.15,505.05,507.35,6360
2026-05-18 14:15:00+05:30,507.35,510.9,506.2,510.0,25928
2026-05-18 15:15:00+05:30,509.9,512.8,508.75,512.2,7100
2026-05-19 09:15:00+05:30,512.3,518.2,508.0,517.25,23771
2026-05-19 10:15:00+05:30,517.25,520.0,516.45,518.7,7540
2026-05-19 11:15:00+05:30,518.7,519.4,515.0,516.45,4451
2026-05-19 12:15:00+05:30,516.45,516.8,514.0,515.4,5493
2026-05-19 13:15:00+05:30,515.4,515.7,509.5,512.0,6515
2026-05-19 14:15:00+05:30,512.0,513.65,511.0,511.6,11195
2026-05-19 15:15:00+05:30,511.6,512.6,510.65,512.0,9139
2026-05-20 09:15:00+05:30,504.2,519.8,504.2,512.5,109819
2026-05-20 10:15:00+05:30,511.85,519.4,510.3,516.8,41512
2026-05-20 11:15:00+05:30,516.8,517.2,514.95,515.0,5898
2026-05-20 12:15:00+05:30,515.0,516.75,512.1,515.5,25170
2026-05-20 13:15:00+05:30,515.15,518.5,514.0,516.1,16095
2026-05-20 14:15:00+05:30,516.05,516.8,511.95,514.1,28304
2026-05-20 15:15:00+05:30,514.0,515.35,511.9,515.3,14275
2026-05-21 09:15:00+05:30,510.15,517.85,510.15,511.6,21099
2026-05-21 10:15:00+05:30,511.6,513.25,510.1,510.25,4733
2026-05-21 11:15:00+05:30,510.9,513.5,510.0,510.15,9512
2026-05-21 12:15:00+05:30,510.15,511.9,508.15,509.5,8009
2026-05-21 13:15:00+05:30,509.5,510.6,508.85,509.75,3614
2026-05-21 14:15:00+05:30,509.65,511.8,507.15,509.35,16877
2026-05-21 15:15:00+05:30,509.35,509.95,508.15,509.15,8397
2026-05-22 09:15:00+05:30,509.25,514.25,508.55,509.15,13977
2026-05-22 10:15:00+05:30,509.15,513.85,509.0,511.7,9226
2026-05-22 11:15:00+05:30,511.15,511.55,510.3,510.3,8430
2026-05-22 12:15:00+05:30,510.3,510.55,509.05,510.2,3885
2026-05-22 13:15:00+05:30,510.2,512.9,510.0,511.15,6092
2026-05-22 14:15:00+05:30,511.15,511.75,507.1,508.65,19009
2026-05-22 15:15:00+05:30,508.2,510.0,507.05,510.0,11436
2026-05-25 09:15:00+05:30,509.05,525.0,509.05,523.05,65461
2026-05-25 10:15:00+05:30,523.05,525.65,520.15,520.8,17201
2026-05-25 11:15:00+05:30,520.8,520.8,512.3,514.1,33941
2026-05-25 12:15:00+05:30,514.1,516.8,513.45,514.5,8431
2026-05-25 13:15:00+05:30,514.1,517.0,514.0,515.35,12378
2026-05-25 14:15:00+05:30,515.35,518.3,514.0,517.4,32432
2026-05-25 15:15:00+05:30,517.4,517.9,515.6,517.9,7409
2026-05-26 09:15:00+05:30,521.75,522.9,514.15,520.55,29759
2026-05-26 10:15:00+05:30,520.55,525.0,519.9,520.6,20098
2026-05-26 11:15:00+05:30,520.6,520.6,517.75,517.9,7190
2026-05-26 12:15:00+05:30,517.9,520.25,517.65,519.55,10346
2026-05-26 13:15:00+05:30,519.35,519.8,514.2,514.95,11655
2026-05-26 14:15:00+05:30,514.95,519.6,514.5,516.95,23143
2026-05-26 15:15:00+05:30,516.9,520.0,515.95,520.0,9710
2026-05-27 09:15:00+05:30,524.2,532.0,521.0,523.35,81566
2026-05-27 10:15:00+05:30,523.35,524.95,519.35,521.4,14031
2026-05-27 11:15:00+05:30,521.4,522.0,517.1,519.85,10214
2026-05-27 12:15:00+05:30,519.85,521.4,519.5,520.65,5203
2026-05-27 13:15:00+05:30,520.65,523.0,518.65,521.0,21103
2026-05-27 14:15:00+05:30,521.0,523.2,518.0,519.0,23133
2026-05-27 15:15:00+05:30,518.6,520.9,514.35,517.55,16308
2026-05-29 09:15:00+05:30,523.45,525.7,515.0,524.4,100961
2026-05-29 10:15:00+05:30,524.4,526.2,520.0,521.5,49983
2026-05-29 11:15:00+05:30,521.5,524.7,521.1,522.5,28145
2026-05-29 12:15:00+05:30,522.5,535.0,522.0,529.0,146690
2026-05-29 13:15:00+05:30,529.0,529.0,524.95,525.2,33832
2026-05-29 14:15:00+05:30,525.2,526.0,521.2,522.7,139131
2026-05-29 15:15:00+05:30,522.5,522.9,508.1,512.9,82509
2026-06-01 09:15:00+05:30,525.5,530.0,516.2,519.5,44827
2026-06-01 10:15:00+05:30,519.5,521.35,517.05,519.65,17313
2026-06-01 11:15:00+05:30,519.65,520.25,512.05,514.1,13320
2026-06-01 12:15:00+05:30,514.1,515.4,510.25,510.85,9549
2026-06-01 13:15:00+05:30,510.85,513.65,508.8,508.8,19834
2026-06-01 14:15:00+05:30,508.8,511.75,508.55,510.0,20529
2026-06-01 15:15:00+05:30,509.15,510.5,508.55,509.85,10648
2026-06-02 09:15:00+05:30,510.0,516.45,510.0,510.55,64654
2026-06-02 10:15:00+05:30,510.55,512.95,510.2,510.75,10502
2026-06-02 11:15:00+05:30,510.75,514.9,510.2,514.25,28489
2026-06-02 12:15:00+05:30,514.25,515.3,513.65,514.25,8301
2026-06-02 13:15:00+05:30,514.25,515.0,512.8,514.0,19646
2026-06-02 14:15:00+05:30,514.0,520.55,513.05,519.5,68040
2026-06-02 15:15:00+05:30,519.5,519.6,514.55,515.0,23531
2026-06-03 09:15:00+05:30,518.05,518.05,510.25,512.4,23930
2026-06-03 10:15:00+05:30,512.4,512.4,506.7,507.4,31536
2026-06-03 11:15:00+05:30,507.4,513.65,505.45,505.45,32009
2026-06-03 12:15:00+05:30,505.45,511.65,504.9,510.25,14860
2026-06-03 13:15:00+05:30,510.25,518.35,509.7,515.2,21751
2026-06-03 14:15:00+05:30,515.2,521.3,513.95,520.1,54109
2026-06-03 15:15:00+05:30,520.1,520.95,520.0,520.0,24031
2026-06-04 09:15:00+05:30,519.95,521.5,516.05,519.0,19295
2026-06-04 10:15:00+05:30,519.0,520.95,516.1,517.35,5631
2026-06-04 11:15:00+05:30,517.35,519.6,516.5,516.5,5098
2026-06-04 12:15:00+05:30,516.5,517.7,515.0,516.65,10329
2026-06-04 13:15:00+05:30,516.6,518.0,515.25,516.65,12853
2026-06-04 14:15:00+05:30,516.45,518.75,516.2,517.0,12800
2026-06-04 15:15:00+05:30,517.0,520.9,516.15,518.0,8629
2026-06-05 09:15:00+05:30,518.0,530.3,517.7,529.55,105258
2026-06-05 10:15:00+05:30,529.1,530.65,526.0,528.0,45001
2026-06-05 11:15:00+05:30,528.0,528.3,524.55,526.0,19604
2026-06-05 12:15:00+05:30,526.0,526.8,523.4,523.95,9198
2026-06-05 13:15:00+05:30,523.95,525.2,518.95,521.7,30878
2026-06-05 14:15:00+05:30,521.7,525.0,520.2,524.4,14801
2026-06-05 15:15:00+05:30,523.45,524.75,520.3,523.0,22763
2026-06-08 09:15:00+05:30,520.0,530.9,517.15,522.05,81999
2026-06-08 10:15:00+05:30,522.1,523.7,521.15,522.5,17726
2026-06-08 11:15:00+05:30,522.75,523.35,516.95,517.2,18444
2026-06-08 12:15:00+05:30,517.2,519.8,517.0,518.05,63817
2026-06-08 13:15:00+05:30,518.3,518.3,512.25,513.5,17579
2026-06-08 14:15:00+05:30,513.5,516.1,511.25,512.6,30699
2026-06-08 15:15:00+05:30,512.8,512.95,511.25,512.95,19653
2026-06-09 09:15:00+05:30,515.1,524.0,515.1,523.4,31714
2026-06-09 10:15:00+05:30,523.4,525.2,520.85,521.85,32599
2026-06-09 11:15:00+05:30,521.85,523.75,520.0,522.5,11013
2026-06-09 12:15:00+05:30,522.5,527.5,520.95,521.7,37715
2026-06-09 13:15:00+05:30,521.7,523.0,520.4,521.25,20834
2026-06-09 14:15:00+05:30,521.25,524.9,521.0,524.7,78652
2026-06-09 15:15:00+05:30,524.65,525.0,524.0,525.0,14501
2026-06-10 09:15:00+05:30,521.0,536.45,520.95,523.2,58013
2026-06-10 10:15:00+05:30,523.2,529.35,522.55,527.25,57399
2026-06-10 11:15:00+05:30,528.2,532.7,526.0,531.5,54939
2026-06-10 12:15:00+05:30,531.95,535.0,528.05,530.6,93150
2026-06-10 13:15:00+05:30,530.6,533.65,523.0,523.15,78240
2026-06-10 14:15:00+05:30,523.15,524.8,518.05,518.95,70772
2026-06-10 15:15:00+05:30,518.95,521.7,516.75,518.0,23099
2026-06-11 09:15:00+05:30,516.0,523.6,514.5,517.25,24253
2026-06-11 10:15:00+05:30,517.25,518.4,514.5,514.5,9451
2026-06-11 11:15:00+05:30,514.5,516.2,511.65,512.0,13843
