datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,34.75,35.16,34.75,34.93,1226277
2026-05-06 10:15:00+05:30,34.91,34.96,34.8,34.8,576512
2026-05-06 11:15:00+05:30,34.8,34.85,34.76,34.8,260321
2026-05-06 12:15:00+05:30,34.82,34.83,34.65,34.7,396377
2026-05-06 13:15:00+05:30,34.68,34.86,34.68,34.84,698903
2026-05-06 14:15:00+05:30,34.86,35.5,34.82,35.19,2771915
2026-05-06 15:15:00+05:30,35.18,35.22,35.11,35.15,491761
2026-05-07 09:15:00+05:30,35.5,35.5,35.07,35.19,1191471
2026-05-07 10:15:00+05:30,35.19,35.27,35.16,35.25,403049
2026-05-07 11:15:00+05:30,35.25,35.44,35.21,35.4,938427
2026-05-07 12:15:00+05:30,35.4,35.43,35.27,35.3,594162
2026-05-07 13:15:00+05:30,35.3,35.42,35.26,35.4,310943
2026-05-07 14:15:00+05:30,35.4,35.4,35.12,35.14,693511
2026-05-07 15:15:00+05:30,35.14,35.35,35.12,35.3,618812
2026-05-08 09:15:00+05:30,35.17,35.2,34.84,34.98,928646
2026-05-08 10:15:00+05:30,34.97,34.99,34.9,34.98,243768
2026-05-08 11:15:00+05:30,34.96,34.98,34.85,34.9,206574
2026-05-08 12:15:00+05:30,34.9,34.92,34.73,34.82,629230
2026-05-08 13:15:00+05:30,34.8,34.82,34.62,34.68,662218
2026-05-08 14:15:00+05:30,34.68,34.89,34.65,34.87,609175
2026-05-08 15:15:00+05:30,34.87,34.87,34.71,34.71,253308
2026-05-11 09:15:00+05:30,34.49,34.49,34.15,34.36,929834
2026-05-11 10:15:00+05:30,34.37,34.45,34.3,34.41,245749
2026-05-11 11:15:00+05:30,34.44,34.49,34.4,34.44,186471
2026-05-11 12:15:00+05:30,34.46,34.48,34.36,34.46,194156
2026-05-11 13:15:00+05:30,34.46,34.47,34.36,34.36,135417
2026-05-11 14:15:00+05:30,34.36,34.41,34.27,34.28,392651
2026-05-11 15:15:00+05:30,34.28,34.34,34.22,34.31,342648
2026-05-12 09:15:00+05:30,34.05,34.25,33.84,34.0,941099
2026-05-12 10:15:00+05:30,34.0,34.02,33.86,33.91,330128
2026-05-12 11:15:00+05:30,33.91,33.97,33.86,33.9,237521
2026-05-12 12:15:00+05:30,33.9,33.94,33.74,33.9,449569
2026-05-12 13:15:00+05:30,33.9,33.91,33.6,33.63,369166
2026-05-12 14:15:00+05:30,33.63,33.76,33.58,33.71,499466
2026-05-12 15:15:00+05:30,33.68,33.84,33.4,33.84,373601
2026-05-13 09:15:00+05:30,33.5,33.79,33.23,33.5,1231474
2026-05-13 10:15:00+05:30,33.5,33.75,33.5,33.7,618765
2026-05-13 11:15:00+05:30,33.7,34.02,33.68,33.94,412981
2026-05-13 12:15:00+05:30,33.95,34.0,33.79,33.88,361861
2026-05-13 13:15:00+05:30,33.88,33.9,33.79,33.86,114699
2026-05-13 14:15:00+05:30,33.86,33.86,33.62,33.75,443011
