datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,21.8,21.84,21.55,21.6,2359838
2026-05-06 10:15:00+05:30,21.6,21.64,21.55,21.61,946002
2026-05-06 11:15:00+05:30,21.61,21.62,21.57,21.6,443743
2026-05-06 12:15:00+05:30,21.6,21.61,21.5,21.55,956054
2026-05-06 13:15:00+05:30,21.55,21.64,21.53,21.61,776387
2026-05-06 14:15:00+05:30,21.61,21.89,21.59,21.82,3543884
2026-05-06 15:15:00+05:30,21.82,21.85,21.8,21.85,839067
2026-05-07 09:15:00+05:30,21.9,21.96,21.68,21.72,2894401
2026-05-07 10:15:00+05:30,21.72,21.81,21.7,21.76,1249264
2026-05-07 11:15:00+05:30,21.77,21.8,21.71,21.78,958019
2026-05-07 12:15:00+05:30,21.78,21.89,21.78,21.86,1285335
2026-05-07 13:15:00+05:30,21.86,21.87,21.76,21.83,572082
2026-05-07 14:15:00+05:30,21.83,21.88,21.66,21.69,2346605
2026-05-07 15:15:00+05:30,21.68,21.7,21.58,21.7,3241294
2026-05-08 09:15:00+05:30,21.67,21.77,21.34,21.43,4201025
2026-05-08 10:15:00+05:30,21.45,21.48,21.39,21.45,844784
2026-05-08 11:15:00+05:30,21.45,21.46,21.38,21.42,876453
2026-05-08 12:15:00+05:30,21.42,21.46,21.38,21.45,670377
2026-05-08 13:15:00+05:30,21.45,21.51,21.38,21.4,720212
2026-05-08 14:15:00+05:30,21.4,21.54,21.4,21.42,1225988
2026-05-08 15:15:00+05:30,21.42,21.46,21.39,21.46,1053381
2026-05-11 09:15:00+05:30,21.48,21.59,21.19,21.55,4484368
2026-05-11 10:15:00+05:30,21.55,21.59,21.44,21.59,1313575
2026-05-11 11:15:00+05:30,21.59,21.68,21.54,21.58,1548740
2026-05-11 12:15:00+05:30,21.58,21.6,21.48,21.51,1038696
2026-05-11 13:15:00+05:30,21.52,21.56,21.46,21.5,815201
2026-05-11 14:15:00+05:30,21.49,21.54,21.31,21.32,1775903
2026-05-11 15:15:00+05:30,21.32,21.34,21.24,21.29,874346
2026-05-12 09:15:00+05:30,21.3,21.37,20.88,21.04,3743085
2026-05-12 10:15:00+05:30,21.05,21.08,20.9,20.91,751141
2026-05-12 11:15:00+05:30,20.91,20.97,20.9,20.92,480060
2026-05-12 12:15:00+05:30,20.92,21.0,20.86,20.99,1019328
2026-05-12 13:15:00+05:30,20.99,21.01,20.92,20.95,1059504
2026-05-12 14:15:00+05:30,20.95,21.12,20.65,20.68,3103018
2026-05-12 15:15:00+05:30,20.68,20.85,20.68,20.8,1000437
2026-05-13 09:15:00+05:30,20.7,20.8,20.37,20.52,3654661
2026-05-13 10:15:00+05:30,20.52,20.63,20.37,20.45,1514257
2026-05-13 11:15:00+05:30,20.45,20.66,20.45,20.63,1808481
2026-05-13 12:15:00+05:30,20.65,20.68,20.48,20.63,1090033
2026-05-13 13:15:00+05:30,20.63,20.65,20.54,20.62,675553
2026-05-13 14:15:00+05:30,20.64,20.64,20.41,20.41,1743809
2026-05-13 15:15:00+05:30,20.42,20.49,20.4,20.49,762536
2026-05-14 09:15:00+05:30,20.55,20.65,20.21,20.29,3136054
2026-05-14 10:15:00+05:30,20.29,20.31,20.07,20.11,1456701
2026-05-14 11:15:00+05:30,20.11,20.39,20.1,20.33,1385537
2026-05-14 12:15:00+05:30,20.33,20.48,20.33,20.45,1038289
2026-05-14 13:15:00+05:30,20.45,20.5,20.39,20.46,691939
2026-05-14 14:15:00+05:30,20.45,20.47,20.34,20.38,1504356
2026-05-14 15:15:00+05:30,20.36,20.43,20.36,20.42,575195
2026-05-15 09:15:00+05:30,20.38,20.5,20.2,20.38,2635350
2026-05-15 10:15:00+05:30,20.38,20.52,20.35,20.35,883261
2026-05-15 11:15:00+05:30,20.33,20.49,20.31,20.41,1245612
2026-05-15 12:15:00+05:30,20.42,20.49,20.37,20.48,1319736
2026-05-15 13:15:00+05:30,20.48,20.5,20.31,20.35,509793
2026-05-15 14:15:00+05:30,20.35,20.37,20.23,20.31,1377304
2026-05-15 15:15:00+05:30,20.31,20.37,20.27,20.35,476293
2026-05-18 09:15:00+05:30,20.29,20.29,19.72,19.76,3595494
2026-05-18 10:15:00+05:30,19.76,20.05,19.72,20.0,1309089
2026-05-18 11:15:00+05:30,20.0,20.2,19.95,20.01,1540920
2026-05-18 12:15:00+05:30,20.02,20.16,19.97,20.12,683111
2026-05-18 13:15:00+05:30,20.12,20.19,20.06,20.13,480890
2026-05-18 14:15:00+05:30,20.13,20.24,20.05,20.22,1397919
2026-05-18 15:15:00+05:30,20.22,20.3,20.22,20.29,612785
2026-05-19 09:15:00+05:30,20.26,20.33,20.01,20.27,2118454
2026-05-19 10:15:00+05:30,20.27,20.37,20.25,20.32,850560
2026-05-19 11:15:00+05:30,20.33,20.33,20.2,20.24,507073
2026-05-19 12:15:00+05:30,20.24,20.24,20.15,20.2,543687
2026-05-19 13:15:00+05:30,20.2,20.25,20.15,20.24,503022
2026-05-19 14:15:00+05:30,20.24,20.29,20.18,20.21,1307440
2026-05-19 15:15:00+05:30,20.21,20.25,20.14,20.18,634123
2026-05-20 09:15:00+05:30,20.0,20.11,19.95,20.05,1878687
2026-05-20 10:15:00+05:30,20.05,20.2,20.04,20.16,944081
2026-05-20 11:15:00+05:30,20.16,20.24,20.12,20.2,422132
2026-05-20 12:15:00+05:30,20.2,20.25,20.1,20.12,551755
2026-05-20 13:15:00+05:30,20.12,21.11,19.99,20.87,6536132
2026-05-20 14:15:00+05:30,20.86,21.59,20.77,21.09,41519667
2026-05-20 15:15:00+05:30,21.09,21.22,21.04,21.13,4664915
2026-05-21 09:15:00+05:30,21.15,22.12,21.13,22.04,20549826
2026-05-21 10:15:00+05:30,22.04,22.4,21.97,22.36,14380151
2026-05-21 11:15:00+05:30,22.34,23.95,22.22,23.85,116002815
2026-05-21 12:15:00+05:30,23.83,23.94,22.73,22.75,137900970
2026-05-21 13:15:00+05:30,22.74,23.2,22.61,22.76,53608448
2026-05-21 14:15:00+05:30,22.76,23.27,22.61,22.93,64740088
2026-05-21 15:15:00+05:30,22.94,22.98,22.36,22.55,21623741
2026-05-22 09:15:00+05:30,22.79,22.93,22.31,22.51,19808875
2026-05-22 10:15:00+05:30,22.53,22.6,22.45,22.52,4312256
2026-05-22 11:15:00+05:30,22.52,22.54,22.4,22.43,3183078
2026-05-22 12:15:00+05:30,22.43,22.44,22.31,22.39,3510957
2026-05-22 13:15:00+05:30,22.37,22.4,22.31,22.36,2332394
2026-05-22 14:15:00+05:30,22.36,22.37,22.02,22.06,6390661
2026-05-22 15:15:00+05:30,22.07,22.07,21.91,21.99,3671781
2026-05-25 09:15:00+05:30,22.43,22.43,21.8,21.83,10238409
2026-05-25 10:15:00+05:30,21.85,21.94,21.81,21.88,2790873
2026-05-25 11:15:00+05:30,21.87,21.93,21.82,21.84,1684188
2026-05-25 12:15:00+05:30,21.85,21.87,21.75,21.8,1221034
2026-05-25 13:15:00+05:30,21.8,21.86,21.75,21.77,1411570
2026-05-25 14:15:00+05:30,21.77,21.85,21.52,21.64,4312040
2026-05-25 15:15:00+05:30,21.63,21.71,21.58,21.7,2746972
