datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,733.0,738.9,722.0,731.6,27911
2026-05-06 10:15:00+05:30,731.6,731.75,725.55,725.85,9411
2026-05-06 11:15:00+05:30,725.85,728.0,725.5,728.0,7808
2026-05-06 12:15:00+05:30,728.0,729.6,723.7,725.25,11098
2026-05-06 13:15:00+05:30,725.25,735.4,725.25,734.2,48276
2026-05-06 14:15:00+05:30,734.6,743.0,734.0,741.5,74070
2026-05-06 15:15:00+05:30,741.5,746.85,741.4,745.4,28020
2026-05-07 09:15:00+05:30,748.9,753.0,741.0,749.5,63464
2026-05-07 10:15:00+05:30,749.5,754.5,749.2,750.1,29134
2026-05-07 11:15:00+05:30,750.8,755.9,749.35,754.5,25509
2026-05-07 12:15:00+05:30,754.5,761.95,754.5,757.85,94274
2026-05-07 13:15:00+05:30,757.85,762.0,757.85,761.3,28590
2026-05-07 14:15:00+05:30,761.3,762.8,753.25,753.95,24821
2026-05-07 15:15:00+05:30,753.0,764.0,751.15,764.0,35794
2026-05-08 09:15:00+05:30,764.05,764.7,750.0,753.05,34351
2026-05-08 10:15:00+05:30,753.35,758.8,750.6,751.25,15569
2026-05-08 11:15:00+05:30,751.75,751.95,744.85,749.0,13300
2026-05-08 12:15:00+05:30,749.0,753.95,745.5,750.2,35046
2026-05-08 13:15:00+05:30,750.2,754.6,745.25,749.55,43089
2026-05-08 14:15:00+05:30,749.55,749.55,742.3,742.4,24713
2026-05-08 15:15:00+05:30,742.8,745.25,739.35,743.4,46227
2026-05-11 09:15:00+05:30,739.95,739.95,721.2,731.25,63735
2026-05-11 10:15:00+05:30,730.6,731.85,725.0,728.1,13427
2026-05-11 11:15:00+05:30,728.1,737.1,725.4,735.6,22698
2026-05-11 12:15:00+05:30,735.6,745.0,735.6,743.7,48148
2026-05-11 13:15:00+05:30,743.75,752.4,737.25,740.9,60337
2026-05-11 14:15:00+05:30,740.9,758.35,732.15,740.05,157649
2026-05-11 15:15:00+05:30,739.55,739.8,735.1,736.25,11080
2026-05-12 09:15:00+05:30,735.05,737.45,722.2,725.9,26045
2026-05-12 10:15:00+05:30,725.9,729.85,720.15,729.45,12494
2026-05-12 11:15:00+05:30,729.45,729.45,722.1,722.25,9556
2026-05-12 12:15:00+05:30,722.25,724.45,716.5,718.95,13121
2026-05-12 13:15:00+05:30,719.0,720.0,713.3,715.2,7145
2026-05-12 14:15:00+05:30,715.8,722.1,714.95,721.75,24396
2026-05-12 15:15:00+05:30,720.95,723.0,703.45,704.9,88039
2026-05-13 09:15:00+05:30,702.1,724.0,702.1,723.05,36138
2026-05-13 10:15:00+05:30,723.05,728.75,715.55,718.8,9083
2026-05-13 11:15:00+05:30,718.8,723.25,718.3,722.35,7466
2026-05-13 12:15:00+05:30,722.35,726.6,720.15,724.6,5815
2026-05-13 13:15:00+05:30,724.6,727.2,719.8,721.25,29245
2026-05-13 14:15:00+05:30,721.25,725.6,720.45,725.0,32192
2026-05-13 15:15:00+05:30,725.0,728.9,722.0,726.95,15534
2026-05-14 09:15:00+05:30,728.0,735.0,716.6,724.75,13043
2026-05-14 10:15:00+05:30,724.2,726.55,715.0,723.1,19922
2026-05-14 11:15:00+05:30,724.1,742.0,721.55,734.35,32736
2026-05-14 12:15:00+05:30,734.35,740.0,732.7,737.95,11040
2026-05-14 13:15:00+05:30,737.95,746.0,737.35,742.35,39508
2026-05-14 14:15:00+05:30,742.35,742.95,733.15,733.5,21622
2026-05-14 15:15:00+05:30,733.5,738.3,733.0,738.0,7254
2026-05-15 09:15:00+05:30,740.0,752.5,731.4,746.2,43768
2026-05-15 10:15:00+05:30,746.2,748.4,743.0,746.3,19763
2026-05-15 11:15:00+05:30,746.3,748.5,743.2,747.25,12933
2026-05-15 12:15:00+05:30,746.55,747.6,741.55,744.5,13810
2026-05-15 13:15:00+05:30,744.5,746.5,735.65,737.0,25853
2026-05-15 14:15:00+05:30,737.0,737.65,729.95,731.65,21201
2026-05-15 15:15:00+05:30,728.0,734.1,727.35,727.35,13149
2026-05-18 09:15:00+05:30,725.0,731.0,709.55,710.25,22556
2026-05-18 10:15:00+05:30,710.25,717.25,708.15,714.5,9982
2026-05-18 11:15:00+05:30,714.5,716.4,710.6,712.5,7193
2026-05-18 12:15:00+05:30,712.5,714.85,710.9,711.3,2448
2026-05-18 13:15:00+05:30,711.35,715.4,710.5,715.0,4105
2026-05-18 14:15:00+05:30,715.0,720.45,712.4,719.1,19242
2026-05-18 15:15:00+05:30,719.1,725.45,719.1,721.5,11354
2026-05-19 09:15:00+05:30,725.45,735.15,723.1,734.3,31927
2026-05-19 10:15:00+05:30,734.3,738.95,730.5,736.4,17492
2026-05-19 11:15:00+05:30,736.4,738.2,732.0,732.25,10785
2026-05-19 12:15:00+05:30,732.25,734.35,729.95,732.65,7844
2026-05-19 13:15:00+05:30,732.7,733.05,728.5,729.6,12151
2026-05-19 14:15:00+05:30,729.6,729.6,725.65,725.65,10833
2026-05-19 15:15:00+05:30,725.0,728.55,725.0,725.0,6340
2026-05-20 09:15:00+05:30,726.25,728.7,720.1,726.55,10245
2026-05-20 10:15:00+05:30,726.55,732.8,725.5,730.9,9390
2026-05-20 11:15:00+05:30,730.8,735.0,728.75,732.05,11032
2026-05-20 12:15:00+05:30,732.05,734.45,731.75,732.05,3629
2026-05-20 13:15:00+05:30,732.05,734.8,731.0,733.5,4007
2026-05-20 14:15:00+05:30,733.5,737.9,732.0,736.9,15217
2026-05-20 15:15:00+05:30,737.0,737.65,734.0,734.0,8385
2026-05-21 09:15:00+05:30,733.65,764.0,733.65,761.5,161148
2026-05-21 10:15:00+05:30,761.5,764.5,755.25,761.3,65928
2026-05-21 11:15:00+05:30,762.5,769.5,758.2,765.0,112126
2026-05-21 12:15:00+05:30,765.0,765.0,748.5,749.6,74180
2026-05-21 13:15:00+05:30,749.2,756.4,746.8,748.15,113157
2026-05-21 14:15:00+05:30,748.0,750.0,746.55,747.5,32689
2026-05-21 15:15:00+05:30,748.45,749.25,745.35,747.85,15139
2026-05-22 09:15:00+05:30,755.95,756.05,740.2,744.85,44490
2026-05-22 10:15:00+05:30,744.85,748.8,742.5,743.4,18183
2026-05-22 11:15:00+05:30,743.7,743.85,732.95,735.0,39655
2026-05-22 12:15:00+05:30,735.0,735.0,729.85,732.5,19715
2026-05-22 13:15:00+05:30,732.55,734.85,732.35,732.5,9938
2026-05-22 14:15:00+05:30,732.5,733.95,728.75,728.9,23145
2026-05-22 15:15:00+05:30,728.75,730.05,718.2,724.85,27809
2026-05-25 09:15:00+05:30,731.1,735.0,722.0,728.8,31689
2026-05-25 10:15:00+05:30,728.8,732.3,725.3,727.9,15952
2026-05-25 11:15:00+05:30,727.3,727.85,722.0,722.4,12277
2026-05-25 12:15:00+05:30,722.4,729.5,719.8,729.5,18540
2026-05-25 13:15:00+05:30,729.5,729.65,726.85,727.15,4760
2026-05-25 14:15:00+05:30,727.15,733.0,726.05,732.0,26999
2026-05-25 15:15:00+05:30,732.0,733.0,731.0,732.0,13267
2026-05-26 09:15:00+05:30,727.55,738.5,727.55,730.45,36167
2026-05-26 10:15:00+05:30,730.7,737.0,730.7,735.15,13164
2026-05-26 11:15:00+05:30,735.15,736.3,730.75,733.5,26684
2026-05-26 12:15:00+05:30,733.5,739.0,725.15,728.05,35912
2026-05-26 13:15:00+05:30,728.05,730.0,676.0,716.7,67387
2026-05-26 14:15:00+05:30,716.7,737.6,683.0,700.0,823606
2026-05-26 15:15:00+05:30,702.55,703.8,695.5,703.45,105225
2026-05-27 09:15:00+05:30,700.0,715.0,695.35,698.85,143695
2026-05-27 10:15:00+05:30,698.95,705.0,696.6,698.9,32859
2026-05-27 11:15:00+05:30,698.9,699.7,690.0,691.5,101295
2026-05-27 12:15:00+05:30,691.5,695.95,687.8,688.25,67837
2026-05-27 13:15:00+05:30,688.55,691.25,680.4,681.5,64358
2026-05-27 14:15:00+05:30,681.5,682.8,675.65,680.7,105822
2026-05-27 15:15:00+05:30,680.7,682.4,675.2,678.55,38429
2026-05-29 09:15:00+05:30,683.85,687.35,671.35,676.75,43583
2026-05-29 10:15:00+05:30,676.75,678.05,662.3,662.3,118149
2026-05-29 11:15:00+05:30,662.3,663.8,656.35,657.15,51135
2026-05-29 12:15:00+05:30,657.15,659.15,651.1,651.55,74584
2026-05-29 13:15:00+05:30,651.75,652.2,643.35,643.35,62651
2026-05-29 14:15:00+05:30,643.35,655.2,641.25,642.05,153437
2026-05-29 15:15:00+05:30,642.5,650.0,636.0,650.0,86224
2026-06-01 09:15:00+05:30,650.0,657.0,641.1,641.1,44372
2026-06-01 10:15:00+05:30,641.4,650.7,640.1,649.25,20913
2026-06-01 11:15:00+05:30,649.25,651.2,645.65,648.45,13852
2026-06-01 12:15:00+05:30,648.45,648.85,644.0,644.05,6834
2026-06-01 13:15:00+05:30,644.05,645.0,638.1,639.0,15649
2026-06-01 14:15:00+05:30,639.0,641.95,636.5,638.45,24606
2026-06-01 15:15:00+05:30,638.7,646.0,635.2,637.7,16430
2026-06-02 09:15:00+05:30,641.25,641.5,624.75,636.0,67275
2026-06-02 10:15:00+05:30,636.2,642.95,635.55,638.55,18853
2026-06-02 11:15:00+05:30,638.55,641.0,629.65,630.6,43159
2026-06-02 12:15:00+05:30,630.6,633.45,628.35,633.25,32206
2026-06-02 13:15:00+05:30,633.25,636.0,632.0,634.55,31449
