datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,374.0,375.1,372.15,373.25,1547083
2026-05-06 10:15:00+05:30,373.3,373.65,371.3,372.45,1558832
2026-05-06 11:15:00+05:30,372.45,374.0,370.2,370.75,3715459
2026-05-06 12:15:00+05:30,370.7,370.8,365.65,365.8,4750689
2026-05-06 13:15:00+05:30,365.8,369.3,365.75,368.95,3184751
2026-05-06 14:15:00+05:30,369.1,376.25,368.7,376.05,15469325
2026-05-06 15:15:00+05:30,376.0,380.0,375.25,377.15,5933718
2026-05-07 09:15:00+05:30,376.1,380.1,374.3,379.75,7684245
2026-05-07 10:15:00+05:30,379.75,381.2,378.9,379.4,3748423
2026-05-07 11:15:00+05:30,379.4,380.9,377.9,380.25,4055665
2026-05-07 12:15:00+05:30,380.25,382.45,379.75,380.45,2099887
2026-05-07 13:15:00+05:30,380.6,380.75,379.15,379.55,4338357
2026-05-07 14:15:00+05:30,379.55,380.6,378.5,379.2,3561333
2026-05-07 15:15:00+05:30,379.2,380.6,379.15,380.5,1727123
2026-05-08 09:15:00+05:30,379.0,379.0,374.0,376.5,3438100
2026-05-08 10:15:00+05:30,376.35,377.55,375.6,377.5,1557036
2026-05-08 11:15:00+05:30,377.5,380.0,377.0,378.85,2733908
2026-05-08 12:15:00+05:30,379.0,379.9,376.75,377.05,4223428
2026-05-08 13:15:00+05:30,377.15,378.2,376.55,377.45,677484
2026-05-08 14:15:00+05:30,377.3,381.2,377.3,381.05,2365255
2026-05-08 15:15:00+05:30,381.05,381.5,380.7,381.0,1149521
2026-05-11 09:15:00+05:30,376.1,379.9,376.1,376.6,2763739
2026-05-11 10:15:00+05:30,376.55,381.0,374.4,380.65,2230572
2026-05-11 11:15:00+05:30,380.6,381.95,380.3,381.85,2815438
2026-05-11 12:15:00+05:30,381.85,384.9,380.75,384.9,3728033
2026-05-11 13:15:00+05:30,384.8,386.0,384.6,385.4,3805486
2026-05-11 14:15:00+05:30,385.35,385.45,380.85,381.1,4319733
2026-05-11 15:15:00+05:30,381.1,381.45,379.65,380.45,1635004
2026-05-12 09:15:00+05:30,380.2,381.05,377.3,378.5,2664282
2026-05-12 10:15:00+05:30,378.45,379.2,377.7,378.5,1231639
2026-05-12 11:15:00+05:30,378.5,379.5,377.25,378.95,1962935
