datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,783.95,795.3,780.5,788.7,531331
2026-05-06 10:15:00+05:30,788.7,790.65,783.3,788.25,235752
2026-05-06 11:15:00+05:30,788.25,791.0,783.25,783.8,161552
2026-05-06 12:15:00+05:30,784.0,792.75,722.5,752.25,3260436
2026-05-06 13:15:00+05:30,752.0,793.7,728.85,734.85,5445777
2026-05-06 14:15:00+05:30,735.2,750.2,735.0,748.65,1785708
2026-05-06 15:15:00+05:30,748.8,750.7,747.2,749.45,566787
2026-05-07 09:15:00+05:30,748.55,748.55,709.2,720.75,4144050
2026-05-07 10:15:00+05:30,720.5,720.9,714.2,714.9,977159
2026-05-07 11:15:00+05:30,714.9,717.6,713.3,715.05,493676
2026-05-07 12:15:00+05:30,715.0,720.75,713.85,716.9,733880
2026-05-07 13:15:00+05:30,716.85,720.0,715.5,717.4,408368
2026-05-07 14:15:00+05:30,717.2,724.9,713.35,724.15,1225528
2026-05-07 15:15:00+05:30,724.35,725.0,723.05,724.3,681402
2026-05-08 09:15:00+05:30,722.6,726.3,704.0,723.0,2267994
2026-05-08 10:15:00+05:30,722.65,733.0,722.65,728.85,818815
2026-05-08 11:15:00+05:30,728.35,730.05,724.75,726.5,232212
2026-05-08 12:15:00+05:30,726.8,731.0,724.95,728.65,169810
2026-05-08 13:15:00+05:30,728.65,732.0,727.25,731.05,218295
2026-05-08 14:15:00+05:30,731.3,735.8,727.1,727.1,669037
2026-05-08 15:15:00+05:30,727.85,729.75,724.5,725.0,167550
2026-05-11 09:15:00+05:30,728.0,728.55,715.0,723.45,533389
2026-05-11 10:15:00+05:30,723.7,732.0,718.85,729.6,281541
2026-05-11 11:15:00+05:30,729.6,732.0,726.6,729.7,149461
2026-05-11 12:15:00+05:30,729.7,730.5,725.25,730.5,164559
2026-05-11 13:15:00+05:30,730.45,735.85,729.65,734.6,262553
2026-05-11 14:15:00+05:30,734.5,737.2,732.2,733.55,466631
2026-05-11 15:15:00+05:30,733.55,734.65,733.0,733.0,126865
2026-05-12 09:15:00+05:30,733.0,733.0,703.25,709.3,951436
2026-05-12 10:15:00+05:30,709.3,713.35,705.5,711.2,281254
2026-05-12 11:15:00+05:30,711.2,714.4,710.25,712.15,214029
2026-05-12 12:15:00+05:30,712.15,717.4,710.0,717.4,306589
2026-05-12 13:15:00+05:30,717.4,717.6,710.3,712.1,245985
2026-05-12 14:15:00+05:30,712.0,715.6,711.5,712.05,635328
2026-05-12 15:15:00+05:30,712.05,713.8,708.05,709.6,298029
2026-05-13 09:15:00+05:30,711.0,716.0,707.6,714.6,333509
2026-05-13 10:15:00+05:30,714.85,718.05,708.05,709.4,145639
2026-05-13 11:15:00+05:30,709.2,712.4,707.0,711.55,138927
2026-05-13 12:15:00+05:30,711.45,712.9,707.5,708.85,134554
2026-05-13 13:15:00+05:30,708.85,711.55,705.0,711.2,173918
2026-05-13 14:15:00+05:30,711.2,712.3,710.2,710.8,271868
2026-05-13 15:15:00+05:30,710.65,711.4,710.5,710.7,98405
2026-05-14 09:15:00+05:30,711.0,714.95,695.0,696.6,641963
2026-05-14 10:15:00+05:30,696.5,703.0,693.0,696.15,310629
2026-05-14 11:15:00+05:30,696.0,703.8,696.0,703.8,210088
2026-05-14 12:15:00+05:30,703.8,713.0,703.8,710.4,277810
2026-05-14 13:15:00+05:30,710.4,716.7,710.2,713.0,220795
2026-05-14 14:15:00+05:30,713.0,714.0,708.35,708.95,238112
2026-05-14 15:15:00+05:30,709.0,709.55,705.0,705.95,84993
2026-05-15 09:15:00+05:30,708.2,726.45,706.0,714.25,541430
2026-05-15 10:15:00+05:30,714.4,715.9,710.0,710.45,105570
2026-05-15 11:15:00+05:30,710.65,712.75,708.9,710.25,89017
2026-05-15 12:15:00+05:30,710.25,710.7,705.85,708.25,85559
2026-05-15 13:15:00+05:30,708.6,709.15,704.1,705.15,126967
2026-05-15 14:15:00+05:30,705.25,706.2,702.25,703.8,144189
2026-05-15 15:15:00+05:30,703.5,704.5,702.0,702.2,121119
2026-05-18 09:15:00+05:30,702.0,710.7,692.15,693.65,313354
2026-05-18 10:15:00+05:30,693.65,699.7,690.45,698.0,133537
2026-05-18 11:15:00+05:30,697.9,702.95,696.55,700.45,102817
2026-05-18 12:15:00+05:30,700.45,705.4,699.35,702.8,116522
2026-05-18 13:15:00+05:30,702.8,711.7,702.05,708.7,196002
2026-05-18 14:15:00+05:30,708.7,709.2,700.55,707.5,217204
2026-05-18 15:15:00+05:30,707.45,709.95,706.95,709.5,83778
2026-05-19 09:15:00+05:30,712.0,732.0,710.0,728.45,716052
2026-05-19 10:15:00+05:30,728.6,733.9,728.0,733.6,297740
2026-05-19 11:15:00+05:30,733.6,733.65,728.15,731.3,212534
2026-05-19 12:15:00+05:30,731.3,734.0,730.2,732.7,119246
2026-05-19 13:15:00+05:30,733.0,750.9,732.5,749.1,1067034
2026-05-19 14:15:00+05:30,749.1,750.5,742.0,742.3,595015
2026-05-19 15:15:00+05:30,742.3,746.9,742.3,746.9,206009
2026-05-20 09:15:00+05:30,745.05,760.9,741.5,750.55,1320484
2026-05-20 10:15:00+05:30,750.35,752.75,742.85,751.1,697939
2026-05-20 11:15:00+05:30,751.1,752.9,750.0,751.2,184280
2026-05-20 12:15:00+05:30,751.2,755.35,750.75,751.6,428327
2026-05-20 13:15:00+05:30,751.6,753.0,750.6,751.95,145215
2026-05-20 14:15:00+05:30,751.95,752.7,750.1,750.95,220599
2026-05-20 15:15:00+05:30,750.95,751.95,748.35,750.6,189223
2026-05-21 09:15:00+05:30,755.6,756.95,742.5,747.6,295957
2026-05-21 10:15:00+05:30,747.9,752.15,746.7,750.2,161392
2026-05-21 11:15:00+05:30,750.2,756.0,747.5,755.0,792307
2026-05-21 12:15:00+05:30,755.0,755.65,750.0,750.55,207287
2026-05-21 13:15:00+05:30,750.55,754.1,749.0,750.7,114101
2026-05-21 14:15:00+05:30,750.4,754.45,750.4,751.0,530155
2026-05-21 15:15:00+05:30,751.0,751.15,747.9,750.0,251421
2026-05-22 09:15:00+05:30,752.0,753.5,744.4,749.3,260390
2026-05-22 10:15:00+05:30,749.35,764.5,748.95,762.0,332654
2026-05-22 11:15:00+05:30,762.0,762.15,759.5,760.0,309231
2026-05-22 12:15:00+05:30,760.0,760.2,755.55,756.5,145651
2026-05-22 13:15:00+05:30,756.5,759.95,755.5,756.65,85517
2026-05-22 14:15:00+05:30,756.6,756.6,750.0,750.8,194394
2026-05-22 15:15:00+05:30,751.25,753.0,749.9,752.0,136299
2026-05-25 09:15:00+05:30,753.95,764.65,753.95,763.55,227830
2026-05-25 10:15:00+05:30,763.5,772.65,762.2,771.0,447133
2026-05-25 11:15:00+05:30,771.0,771.5,762.5,762.55,319914
2026-05-25 12:15:00+05:30,762.55,763.6,758.75,761.55,123642
2026-05-25 13:15:00+05:30,761.55,763.6,758.2,759.2,84885
2026-05-25 14:15:00+05:30,759.2,760.25,755.75,755.95,152181
2026-05-25 15:15:00+05:30,755.95,759.0,755.8,759.0,137255
2026-05-26 09:15:00+05:30,756.4,762.6,753.95,757.5,196135
2026-05-26 10:15:00+05:30,757.75,771.9,757.15,770.05,383369
2026-05-26 11:15:00+05:30,770.05,770.75,764.65,765.4,195510
2026-05-26 12:15:00+05:30,765.4,766.6,765.0,765.85,165077
2026-05-26 13:15:00+05:30,765.65,771.35,765.35,768.2,270099
2026-05-26 14:15:00+05:30,768.35,788.0,767.85,787.85,547381
2026-05-26 15:15:00+05:30,787.85,797.5,786.05,790.0,475669
2026-05-27 09:15:00+05:30,783.5,795.0,768.05,772.7,477003
2026-05-27 10:15:00+05:30,772.65,779.8,772.4,776.0,126927
2026-05-27 11:15:00+05:30,776.0,776.0,771.3,771.3,48055
2026-05-27 12:15:00+05:30,771.5,774.6,769.0,771.3,68793
2026-05-27 13:15:00+05:30,771.3,774.3,767.55,768.4,274125
2026-05-27 14:15:00+05:30,768.3,771.25,766.25,770.7,96488
2026-05-27 15:15:00+05:30,770.7,773.5,770.55,773.0,168022
2026-05-29 09:15:00+05:30,778.0,792.55,771.05,780.5,366092
2026-05-29 10:15:00+05:30,780.5,784.6,777.1,783.9,153662
2026-05-29 11:15:00+05:30,783.9,791.0,782.5,788.0,233732
2026-05-29 12:15:00+05:30,788.0,793.95,785.35,786.15,258458
2026-05-29 13:15:00+05:30,786.15,788.25,781.2,782.4,113233
2026-05-29 14:15:00+05:30,782.2,785.05,770.25,771.15,184949
2026-05-29 15:15:00+05:30,771.2,771.45,764.35,769.7,118382
2026-06-01 09:15:00+05:30,776.05,792.95,776.05,784.65,464732
2026-06-01 10:15:00+05:30,784.65,792.95,784.0,791.6,230109
2026-06-01 11:15:00+05:30,791.6,805.85,790.45,803.1,633037
2026-06-01 12:15:00+05:30,803.1,803.2,793.1,793.4,332612
2026-06-01 13:15:00+05:30,793.25,794.45,787.0,788.65,198981
2026-06-01 14:15:00+05:30,788.65,790.4,782.4,785.6,191964
2026-06-01 15:15:00+05:30,785.8,789.75,785.0,789.75,138877
2026-06-02 09:15:00+05:30,789.05,816.95,783.0,813.2,1177567
2026-06-02 10:15:00+05:30,813.2,826.0,812.0,820.6,961276
2026-06-02 11:15:00+05:30,820.6,825.0,805.2,805.8,655737
2026-06-02 12:15:00+05:30,805.8,814.0,805.65,812.65,280454
2026-06-02 13:15:00+05:30,812.65,814.8,808.0,808.85,294076
2026-06-02 14:15:00+05:30,808.85,811.0,806.4,810.55,278008
2026-06-02 15:15:00+05:30,810.5,812.3,807.05,808.0,236356
2026-06-03 09:15:00+05:30,800.8,800.8,772.2,774.95,775412
2026-06-03 10:15:00+05:30,774.95,782.95,770.6,781.0,438697
2026-06-03 11:15:00+05:30,781.0,784.8,773.25,776.2,235323
2026-06-03 12:15:00+05:30,776.2,782.4,774.5,781.0,155263
2026-06-03 13:15:00+05:30,781.45,784.95,778.05,778.85,210601
2026-06-03 14:15:00+05:30,778.85,781.0,773.0,773.85,287671
2026-06-03 15:15:00+05:30,773.6,774.5,771.15,771.85,125408
2026-06-04 09:15:00+05:30,770.0,776.25,758.0,775.4,307199
2026-06-04 10:15:00+05:30,775.45,775.65,770.3,773.15,80702
2026-06-04 11:15:00+05:30,773.0,778.25,771.05,777.25,88700
2026-06-04 12:15:00+05:30,777.25,779.45,774.25,774.55,67792
2026-06-04 13:15:00+05:30,774.55,777.35,773.0,776.9,53597
2026-06-04 14:15:00+05:30,776.9,777.45,772.2,774.55,91575
2026-06-04 15:15:00+05:30,774.45,774.75,770.9,773.2,60952
