datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,426.0,429.8,423.3,424.7,60122
2026-05-06 10:15:00+05:30,424.7,424.7,421.55,422.65,27538
2026-05-06 11:15:00+05:30,422.65,424.6,422.1,423.7,18803
2026-05-06 12:15:00+05:30,423.7,424.25,421.5,423.3,10916
2026-05-06 13:15:00+05:30,423.3,425.95,423.2,425.05,27626
2026-05-06 14:15:00+05:30,425.25,430.35,425.25,428.55,79699
2026-05-06 15:15:00+05:30,428.6,430.0,428.0,430.0,41325
2026-05-07 09:15:00+05:30,430.0,432.0,424.6,428.3,104312
2026-05-07 10:15:00+05:30,428.3,430.35,427.0,427.4,32555
2026-05-07 11:15:00+05:30,427.4,428.4,427.05,428.25,18376
2026-05-07 12:15:00+05:30,428.25,428.75,426.0,427.75,46241
2026-05-07 13:15:00+05:30,427.45,430.0,426.55,428.0,41329
2026-05-07 14:15:00+05:30,427.8,434.85,427.0,432.05,134383
2026-05-07 15:15:00+05:30,432.05,432.3,431.65,432.0,45351
2026-05-08 09:15:00+05:30,432.2,432.25,428.0,430.75,51352
2026-05-08 10:15:00+05:30,430.75,430.9,429.05,429.55,10345
2026-05-08 11:15:00+05:30,429.55,431.0,428.35,429.9,16673
2026-05-08 12:15:00+05:30,429.9,430.55,428.5,429.3,11274
2026-05-08 13:15:00+05:30,429.0,431.0,427.0,430.7,21066
2026-05-08 14:15:00+05:30,430.35,431.5,430.1,431.5,59716
2026-05-08 15:15:00+05:30,431.95,431.95,427.0,427.0,31251
2026-05-11 09:15:00+05:30,427.9,428.0,418.2,422.0,82696
2026-05-11 10:15:00+05:30,422.0,423.15,420.35,422.8,19723
2026-05-11 11:15:00+05:30,422.8,423.85,421.6,422.2,11134
2026-05-11 12:15:00+05:30,422.2,422.6,420.25,420.6,16706
2026-05-11 13:15:00+05:30,420.6,421.2,418.35,418.35,22113
2026-05-11 14:15:00+05:30,418.4,418.65,414.35,416.05,73893
2026-05-11 15:15:00+05:30,416.45,417.25,415.35,416.9,26418
2026-05-12 09:15:00+05:30,415.5,418.7,408.05,415.5,68508
2026-05-12 10:15:00+05:30,415.2,416.2,412.0,412.65,29866
2026-05-12 11:15:00+05:30,412.65,414.35,411.5,412.45,21287
2026-05-12 12:15:00+05:30,412.45,413.0,409.45,410.95,21576
2026-05-12 13:15:00+05:30,411.2,412.65,408.25,411.85,38511
2026-05-12 14:15:00+05:30,411.85,415.0,403.05,403.45,126587
2026-05-12 15:15:00+05:30,403.45,406.65,403.45,406.65,28899
2026-05-13 09:15:00+05:30,405.8,415.0,405.5,414.65,74299
2026-05-13 10:15:00+05:30,414.7,415.15,409.0,411.65,54762
2026-05-13 11:15:00+05:30,411.65,415.1,411.2,413.7,46553
2026-05-13 12:15:00+05:30,413.55,419.05,413.3,418.55,46179
2026-05-13 13:15:00+05:30,418.65,419.0,414.6,416.85,32702
2026-05-13 14:15:00+05:30,417.0,417.2,412.7,413.0,29325
2026-05-13 15:15:00+05:30,412.9,414.25,411.5,412.0,26645
2026-05-14 09:15:00+05:30,416.55,420.0,411.3,414.9,48639
2026-05-14 10:15:00+05:30,415.0,415.15,407.85,409.65,26543
2026-05-14 11:15:00+05:30,409.5,414.35,409.5,413.05,30026
2026-05-14 12:15:00+05:30,413.05,416.0,412.55,413.4,23375
2026-05-14 13:15:00+05:30,413.3,413.85,411.05,411.15,20676
2026-05-14 14:15:00+05:30,411.2,411.9,410.05,410.7,24589
2026-05-14 15:15:00+05:30,410.9,413.0,409.15,410.9,20035
2026-05-15 09:15:00+05:30,404.75,413.85,395.8,398.95,162489
2026-05-15 10:15:00+05:30,398.55,399.5,397.15,397.7,37191
2026-05-15 11:15:00+05:30,397.7,412.9,396.6,411.0,379294
2026-05-15 12:15:00+05:30,411.0,412.5,408.85,411.1,27055
2026-05-15 13:15:00+05:30,411.1,411.65,408.35,409.3,40809
2026-05-15 14:15:00+05:30,409.3,411.25,406.45,408.9,55560
2026-05-15 15:15:00+05:30,409.1,410.0,408.9,408.9,26558
2026-05-18 09:15:00+05:30,405.2,407.9,394.2,394.25,83839
2026-05-18 10:15:00+05:30,394.2,397.25,393.05,396.95,31381
2026-05-18 11:15:00+05:30,396.95,401.6,396.9,398.8,55694
2026-05-18 12:15:00+05:30,398.55,399.95,397.25,398.65,19728
2026-05-18 13:15:00+05:30,398.55,404.9,398.4,403.05,49338
2026-05-18 14:15:00+05:30,403.05,406.45,403.0,405.35,35346
2026-05-18 15:15:00+05:30,405.95,405.95,402.05,403.0,22770
2026-05-19 09:15:00+05:30,402.05,408.35,402.0,407.8,45950
2026-05-19 10:15:00+05:30,407.8,410.35,407.45,408.2,22536
2026-05-19 11:15:00+05:30,408.2,409.3,406.0,407.45,14848
2026-05-19 12:15:00+05:30,407.45,407.65,406.15,407.1,10260
2026-05-19 13:15:00+05:30,407.1,409.05,405.0,408.0,29910
2026-05-19 14:15:00+05:30,408.0,412.5,407.85,412.1,80052
2026-05-19 15:15:00+05:30,412.45,412.9,410.4,412.2,30366
2026-05-20 09:15:00+05:30,409.25,410.3,401.05,402.1,66309
2026-05-20 10:15:00+05:30,402.0,402.25,401.05,401.7,24510
2026-05-20 11:15:00+05:30,401.5,401.9,400.15,400.85,30921
2026-05-20 12:15:00+05:30,400.85,401.05,400.25,400.25,10176
2026-05-20 13:15:00+05:30,400.25,403.0,398.6,400.3,81016
2026-05-20 14:15:00+05:30,400.3,405.5,400.0,404.3,80620
2026-05-20 15:15:00+05:30,404.3,404.3,402.5,402.5,24399
2026-05-21 09:15:00+05:30,407.0,409.0,402.5,406.7,39825
2026-05-21 10:15:00+05:30,406.7,406.85,404.1,404.4,9781
2026-05-21 11:15:00+05:30,404.4,405.3,402.1,404.85,11999
2026-05-21 12:15:00+05:30,404.9,405.15,403.0,405.15,10522
2026-05-21 13:15:00+05:30,405.15,405.5,400.65,401.8,23030
2026-05-21 14:15:00+05:30,401.85,402.15,399.7,400.2,24214
2026-05-21 15:15:00+05:30,400.2,404.35,400.2,401.0,39364
2026-05-22 09:15:00+05:30,402.3,403.95,396.65,396.7,75356
2026-05-22 10:15:00+05:30,396.8,397.65,396.4,396.55,33327
2026-05-22 11:15:00+05:30,396.55,396.55,395.2,396.0,56824
2026-05-22 12:15:00+05:30,396.0,401.3,395.5,398.8,75636
2026-05-22 13:15:00+05:30,398.8,398.8,397.0,397.65,13156
2026-05-22 14:15:00+05:30,397.65,397.7,396.3,397.2,18342
2026-05-22 15:15:00+05:30,397.2,397.3,395.5,395.7,17106
2026-05-25 09:15:00+05:30,399.0,406.2,399.0,404.45,48281
2026-05-25 10:15:00+05:30,404.25,405.5,403.5,404.1,32433
2026-05-25 11:15:00+05:30,405.0,405.1,403.5,404.65,8725
2026-05-25 12:15:00+05:30,404.65,405.45,403.35,404.2,19145
2026-05-25 13:15:00+05:30,404.2,407.65,403.6,404.5,46883
2026-05-25 14:15:00+05:30,404.5,406.3,404.4,405.2,25763
2026-05-25 15:15:00+05:30,405.1,406.0,404.55,405.0,15281
2026-05-26 09:15:00+05:30,410.1,411.35,404.1,410.85,65819
2026-05-26 10:15:00+05:30,410.85,415.75,410.0,414.35,88832
2026-05-26 11:15:00+05:30,414.35,414.7,413.5,413.85,26287
2026-05-26 12:15:00+05:30,413.8,413.95,412.1,413.25,29453
2026-05-26 13:15:00+05:30,413.25,413.5,412.05,412.05,23205
2026-05-26 14:15:00+05:30,412.05,412.3,409.65,410.45,50774
2026-05-26 15:15:00+05:30,410.35,411.8,409.8,410.8,14631
2026-05-27 09:15:00+05:30,410.0,411.15,406.65,407.3,37957
2026-05-27 10:15:00+05:30,407.3,408.3,405.8,406.6,25798
2026-05-27 11:15:00+05:30,406.6,406.8,405.0,405.55,20044
2026-05-27 12:15:00+05:30,405.65,406.45,405.15,406.35,13440
2026-05-27 13:15:00+05:30,406.4,406.85,404.55,405.75,31637
2026-05-27 14:15:00+05:30,405.75,406.35,404.5,404.95,21713
2026-05-27 15:15:00+05:30,404.8,406.0,404.0,406.0,14286
2026-05-29 09:15:00+05:30,406.9,411.0,403.6,405.55,70347
2026-05-29 10:15:00+05:30,405.55,407.85,404.8,404.8,40162
2026-05-29 11:15:00+05:30,404.8,405.65,403.05,403.55,23200
2026-05-29 12:15:00+05:30,403.55,404.35,397.2,397.3,74579
2026-05-29 13:15:00+05:30,397.2,397.9,393.55,394.6,72832
2026-05-29 14:15:00+05:30,394.8,395.0,390.25,391.0,89249
2026-05-29 15:15:00+05:30,391.0,396.0,389.0,390.0,80154
2026-06-01 09:15:00+05:30,393.95,396.0,384.45,385.65,114310
2026-06-01 10:15:00+05:30,385.65,389.65,385.0,389.05,35146
2026-06-01 11:15:00+05:30,389.05,389.25,381.0,382.75,91893
2026-06-01 12:15:00+05:30,382.75,383.5,381.5,381.5,24684
2026-06-01 13:15:00+05:30,381.5,383.3,379.0,381.35,113189
2026-06-01 14:15:00+05:30,381.45,383.75,381.0,382.25,148884
2026-06-01 15:15:00+05:30,382.15,383.5,379.1,380.35,62170
2026-06-02 09:15:00+05:30,380.0,384.9,377.0,382.5,81600
2026-06-02 10:15:00+05:30,382.5,384.5,379.3,379.8,31655
2026-06-02 11:15:00+05:30,379.75,381.9,379.5,379.85,14583
2026-06-02 12:15:00+05:30,379.85,385.7,379.25,384.25,37538
2026-06-02 13:15:00+05:30,384.75,385.85,384.15,385.1,32717
2026-06-02 14:15:00+05:30,385.35,390.35,385.0,390.3,83928
2026-06-02 15:15:00+05:30,389.95,397.8,389.95,391.8,78911
2026-06-03 09:15:00+05:30,390.8,390.8,379.5,379.5,95877
2026-06-03 10:15:00+05:30,379.5,381.8,379.05,379.65,73580
2026-06-03 11:15:00+05:30,379.65,380.9,377.0,378.4,55052
2026-06-03 12:15:00+05:30,378.1,384.25,378.0,379.5,90999
2026-06-03 13:15:00+05:30,379.75,382.35,379.05,379.8,77755
2026-06-03 14:15:00+05:30,379.55,382.75,379.4,382.0,99491
2026-06-03 15:15:00+05:30,381.75,382.2,379.05,379.55,59449
2026-06-04 09:15:00+05:30,378.0,386.55,378.0,386.25,67496
2026-06-04 10:15:00+05:30,386.25,387.0,384.45,385.0,19251
2026-06-04 11:15:00+05:30,385.0,385.65,384.4,384.85,12652
2026-06-04 12:15:00+05:30,384.85,385.3,384.0,384.0,17931
2026-06-04 13:15:00+05:30,384.0,387.4,383.15,386.5,39918
2026-06-04 14:15:00+05:30,386.5,388.75,384.8,385.2,47004
2026-06-04 15:15:00+05:30,385.2,386.2,384.8,385.9,17543
2026-06-05 09:15:00+05:30,385.35,391.65,384.1,385.1,86463
2026-06-05 10:15:00+05:30,385.1,385.55,384.0,384.95,48564
2026-06-05 11:15:00+05:30,384.95,386.15,384.25,384.9,16539
2026-06-05 12:15:00+05:30,384.9,386.35,381.55,382.1,64127
2026-06-05 13:15:00+05:30,382.1,384.95,381.75,384.65,41873
2026-06-05 14:15:00+05:30,384.5,385.4,383.4,384.4,33881
2026-06-05 15:15:00+05:30,384.45,386.0,384.2,385.8,15536
2026-06-08 09:15:00+05:30,378.6,381.9,377.0,377.7,66466
2026-06-08 10:15:00+05:30,377.7,378.0,376.0,376.25,51951
2026-06-08 11:15:00+05:30,376.25,382.7,376.0,382.0,101323
2026-06-08 12:15:00+05:30,382.1,383.2,378.75,379.6,52842
2026-06-08 13:15:00+05:30,379.35,379.8,375.0,375.05,48467
2026-06-08 14:15:00+05:30,375.05,376.0,374.0,374.3,67179
2026-06-08 15:15:00+05:30,374.3,374.3,370.35,373.3,64467
2026-06-09 09:15:00+05:30,372.85,379.85,372.05,375.15,95679
2026-06-09 10:15:00+05:30,375.15,375.85,374.0,375.8,18475
