datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,82.25,84.15,82.14,83.99,14764016
2026-05-06 10:15:00+05:30,83.98,83.99,83.19,83.24,4444865
2026-05-06 11:15:00+05:30,83.2,83.99,83.12,83.97,4283555
2026-05-06 12:15:00+05:30,83.97,83.97,83.33,83.4,3196396
2026-05-06 13:15:00+05:30,83.4,83.85,82.88,83.06,2872773
2026-05-06 14:15:00+05:30,83.04,83.9,83.03,83.46,5649899
2026-05-06 15:15:00+05:30,83.46,83.98,83.43,83.94,2062274
2026-05-07 09:15:00+05:30,84.34,85.54,83.71,84.26,7901866
2026-05-07 10:15:00+05:30,84.25,85.21,84.16,84.92,3748015
2026-05-07 11:15:00+05:30,84.92,85.75,84.85,85.37,3751298
2026-05-07 12:15:00+05:30,85.35,85.49,85.21,85.3,1648681
2026-05-07 13:15:00+05:30,85.3,85.42,85.08,85.29,1770370
2026-05-07 14:15:00+05:30,85.29,85.37,84.8,85.1,2909751
2026-05-07 15:15:00+05:30,85.08,85.9,85.08,85.52,1972065
2026-05-08 09:15:00+05:30,85.31,85.31,83.41,84.36,5399403
2026-05-08 10:15:00+05:30,84.36,84.41,83.7,83.95,1423379
2026-05-08 11:15:00+05:30,83.95,84.0,83.52,83.55,1344050
2026-05-08 12:15:00+05:30,83.57,83.57,82.9,83.36,3231498
2026-05-08 13:15:00+05:30,83.32,83.58,82.67,82.97,2157478
2026-05-08 14:15:00+05:30,82.94,84.15,82.72,83.78,4739547
2026-05-08 15:15:00+05:30,83.83,84.0,83.6,83.89,1253122
2026-05-11 09:15:00+05:30,82.5,82.5,79.85,79.98,8362638
2026-05-11 10:15:00+05:30,79.98,82.0,79.89,81.84,5121143
2026-05-11 11:15:00+05:30,81.86,82.14,81.7,82.0,1243100
2026-05-11 12:15:00+05:30,82.0,82.14,81.53,81.97,1162152
2026-05-11 13:15:00+05:30,81.98,82.15,81.59,81.79,1906653
2026-05-11 14:15:00+05:30,81.78,81.87,80.81,80.98,2014705
2026-05-11 15:15:00+05:30,80.98,82.02,80.9,81.85,2275211
2026-05-12 09:15:00+05:30,81.0,82.45,80.66,81.87,4399690
2026-05-12 10:15:00+05:30,81.86,81.94,80.86,80.9,1689704
2026-05-12 11:15:00+05:30,80.88,81.05,80.12,80.15,1489999
2026-05-12 12:15:00+05:30,80.12,80.35,79.25,79.7,2552476
2026-05-12 13:15:00+05:30,79.65,79.77,78.77,78.93,1882985
2026-05-12 14:15:00+05:30,78.9,79.48,78.2,78.27,2904768
2026-05-12 15:15:00+05:30,78.27,78.59,78.0,78.56,2445105
2026-05-13 09:15:00+05:30,78.35,79.92,78.13,79.67,4593359
2026-05-13 10:15:00+05:30,79.68,80.24,79.1,79.5,2496932
2026-05-13 11:15:00+05:30,79.46,80.48,79.19,80.43,1701580
2026-05-13 12:15:00+05:30,80.45,80.48,79.72,80.1,1675970
2026-05-13 13:15:00+05:30,80.15,80.4,79.92,80.31,1087157
2026-05-13 14:15:00+05:30,80.3,80.38,79.81,80.08,2039753
2026-05-13 15:15:00+05:30,80.04,80.23,79.8,80.04,894564
2026-05-14 09:15:00+05:30,80.5,80.7,77.34,77.69,5048694
2026-05-14 10:15:00+05:30,77.69,77.91,77.3,77.91,1953301
2026-05-14 11:15:00+05:30,77.91,78.45,77.91,78.45,1626107
2026-05-14 12:15:00+05:30,78.45,79.08,78.42,78.7,2022600
2026-05-14 13:15:00+05:30,78.72,78.8,78.4,78.57,866962
2026-05-14 14:15:00+05:30,78.58,78.71,78.15,78.55,1780583
2026-05-14 15:15:00+05:30,78.55,78.8,78.44,78.79,1007039
2026-05-15 09:15:00+05:30,78.7,78.97,77.77,78.13,2975554
2026-05-15 10:15:00+05:30,78.12,78.89,78.11,78.39,1465969
2026-05-15 11:15:00+05:30,78.4,78.58,77.92,78.3,1551135
2026-05-15 12:15:00+05:30,78.3,78.49,78.1,78.48,456528
2026-05-15 13:15:00+05:30,78.48,78.8,78.25,78.41,804179
2026-05-15 14:15:00+05:30,78.4,78.48,77.8,78.01,1528112
2026-05-15 15:15:00+05:30,78.01,78.15,78.0,78.0,931983
2026-05-18 09:15:00+05:30,77.5,77.58,76.2,76.91,3918074
2026-05-18 10:15:00+05:30,76.99,77.79,76.75,77.75,1562056
2026-05-18 11:15:00+05:30,77.76,77.9,77.31,77.55,858653
2026-05-18 12:15:00+05:30,77.57,77.82,77.2,77.25,1145001
2026-05-18 13:15:00+05:30,77.25,77.33,76.97,77.15,1215438
2026-05-18 14:15:00+05:30,77.14,78.0,77.0,77.66,2496861
2026-05-18 15:15:00+05:30,77.66,78.0,77.66,77.95,975419
2026-05-19 09:15:00+05:30,77.8,78.45,77.42,78.23,2393465
