datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,83.5,83.77,82.8,82.87,1965872
2026-05-06 10:15:00+05:30,82.87,82.93,82.54,82.75,909467
2026-05-06 11:15:00+05:30,82.73,83.09,82.5,83.09,676543
2026-05-06 12:15:00+05:30,83.06,83.14,82.79,82.94,827391
2026-05-06 13:15:00+05:30,82.93,83.19,82.88,83.18,521238
2026-05-06 14:15:00+05:30,83.18,83.72,83.13,83.52,2954509
2026-05-06 15:15:00+05:30,83.57,83.9,83.53,83.57,1671087
2026-05-07 09:15:00+05:30,83.99,84.08,82.55,82.74,2791273
2026-05-07 10:15:00+05:30,82.72,83.05,82.05,82.12,2963711
2026-05-07 11:15:00+05:30,82.1,82.19,81.81,82.11,2486788
2026-05-07 12:15:00+05:30,82.08,82.2,81.9,81.97,1744709
2026-05-07 13:15:00+05:30,82.0,82.09,81.75,81.99,1833549
2026-05-07 14:15:00+05:30,82.0,82.07,81.45,81.47,3428509
2026-05-07 15:15:00+05:30,81.46,81.7,81.26,81.64,1996331
2026-05-08 09:15:00+05:30,81.65,82.19,81.0,81.7,4429789
2026-05-08 10:15:00+05:30,81.68,82.1,81.17,81.2,2807586
2026-05-08 11:15:00+05:30,81.21,81.22,80.77,80.9,1738861
2026-05-08 12:15:00+05:30,80.9,81.3,80.8,81.25,1423803
2026-05-08 13:15:00+05:30,81.24,81.3,80.8,80.9,1146054
2026-05-08 14:15:00+05:30,80.88,81.27,80.8,80.8,2441772
2026-05-08 15:15:00+05:30,80.8,80.84,80.6,80.7,1717252
2026-05-11 09:15:00+05:30,80.77,80.79,78.91,79.15,5189658
2026-05-11 10:15:00+05:30,79.16,79.22,78.59,79.12,2416034
2026-05-11 11:15:00+05:30,79.12,79.46,79.09,79.35,1350545
2026-05-11 12:15:00+05:30,79.35,80.28,79.26,80.14,2662930
2026-05-11 13:15:00+05:30,80.14,80.35,79.87,79.95,1033904
2026-05-11 14:15:00+05:30,79.99,80.3,79.01,79.09,1781786
2026-05-11 15:15:00+05:30,79.09,79.26,79.02,79.15,1036373
2026-05-12 09:15:00+05:30,78.85,79.38,78.01,78.79,3099248
2026-05-12 10:15:00+05:30,78.79,78.84,78.34,78.46,1100147
2026-05-12 11:15:00+05:30,78.46,78.54,77.85,77.92,1956944
2026-05-12 12:15:00+05:30,77.92,78.08,77.52,77.67,909434
2026-05-12 13:15:00+05:30,77.66,77.75,77.1,77.24,946132
2026-05-12 14:15:00+05:30,77.23,77.41,76.64,76.8,2032764
2026-05-12 15:15:00+05:30,76.8,76.98,76.6,76.84,1396052
2026-05-13 09:15:00+05:30,76.77,77.4,76.44,77.05,3135586
2026-05-13 10:15:00+05:30,77.09,77.4,76.98,77.16,1364527
2026-05-13 11:15:00+05:30,77.16,77.75,77.09,77.72,1423659
2026-05-13 12:15:00+05:30,77.72,78.37,77.5,78.08,1600153
2026-05-13 13:15:00+05:30,78.08,78.35,77.97,78.32,858562
2026-05-13 14:15:00+05:30,78.3,78.47,78.0,78.22,1811852
2026-05-13 15:15:00+05:30,78.22,78.35,78.01,78.34,1192703
2026-05-14 09:15:00+05:30,78.3,79.5,77.8,78.3,3732482
2026-05-14 10:15:00+05:30,78.29,78.66,77.76,77.93,1426563
2026-05-14 11:15:00+05:30,77.94,78.55,77.85,78.52,737794
2026-05-14 12:15:00+05:30,78.52,78.68,78.15,78.22,1166365
2026-05-14 13:15:00+05:30,78.22,78.54,78.05,78.54,536469
2026-05-14 14:15:00+05:30,78.54,78.69,78.26,78.33,1439117
2026-05-14 15:15:00+05:30,78.4,78.68,78.37,78.43,809948
2026-05-15 09:15:00+05:30,78.78,79.03,77.43,77.78,2129300
2026-05-15 10:15:00+05:30,77.78,78.07,77.6,77.64,853136
2026-05-15 11:15:00+05:30,77.61,77.66,77.1,77.16,1320791
2026-05-15 12:15:00+05:30,77.16,77.48,76.91,77.42,897397
2026-05-15 13:15:00+05:30,77.42,77.45,77.04,77.2,716980
2026-05-15 14:15:00+05:30,77.23,77.23,76.65,76.82,1780108
2026-05-15 15:15:00+05:30,76.78,76.88,76.6,76.86,942383
2026-05-18 09:15:00+05:30,76.76,78.55,76.1,76.88,9856192
2026-05-18 10:15:00+05:30,76.88,77.27,76.45,77.03,2550159
2026-05-18 11:15:00+05:30,77.07,77.09,75.91,76.16,2622983
2026-05-18 12:15:00+05:30,76.16,76.6,76.15,76.42,1317979
2026-05-18 13:15:00+05:30,76.45,77.45,76.43,77.34,2148169
2026-05-18 14:15:00+05:30,77.32,77.9,77.15,77.72,2835441
2026-05-18 15:15:00+05:30,77.74,77.84,77.53,77.69,1258899
2026-05-19 09:15:00+05:30,77.9,78.85,77.62,78.53,4368341
2026-05-19 10:15:00+05:30,78.53,78.55,78.22,78.32,1509369
2026-05-19 11:15:00+05:30,78.32,78.55,78.04,78.43,1231855
2026-05-19 12:15:00+05:30,78.43,78.8,78.28,78.57,1586322
2026-05-19 13:15:00+05:30,78.57,79.39,78.52,79.35,2103073
2026-05-19 14:15:00+05:30,79.35,79.5,79.0,79.09,2573759
2026-05-19 15:15:00+05:30,79.09,79.13,79.0,79.02,1563545
2026-05-20 09:15:00+05:30,78.7,78.79,77.93,78.1,2832988
2026-05-20 10:15:00+05:30,78.14,78.38,78.01,78.2,998927
2026-05-20 11:15:00+05:30,78.18,78.63,78.1,78.57,1822104
2026-05-20 12:15:00+05:30,78.57,79.35,78.52,79.24,2179973
2026-05-20 13:15:00+05:30,79.27,79.45,78.9,79.38,1735958
2026-05-20 14:15:00+05:30,79.36,79.7,79.26,79.5,4564956
2026-05-20 15:15:00+05:30,79.5,79.89,79.35,79.78,1617475
2026-05-21 09:15:00+05:30,79.75,80.49,79.6,80.1,3535456
2026-05-21 10:15:00+05:30,80.1,80.2,79.72,79.72,1119199
2026-05-21 11:15:00+05:30,79.72,80.08,79.6,79.68,941297
2026-05-21 12:15:00+05:30,79.68,79.8,79.11,79.2,1423432
2026-05-21 13:15:00+05:30,79.2,79.4,79.07,79.19,852797
