datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,194.8,196.66,194.41,195.33,155586
2026-05-06 10:15:00+05:30,195.33,196.0,194.59,195.7,58543
2026-05-06 11:15:00+05:30,195.56,198.83,195.46,198.37,179663
2026-05-06 12:15:00+05:30,198.15,200.0,198.01,199.0,160211
2026-05-06 13:15:00+05:30,199.0,199.56,198.39,199.31,150894
2026-05-06 14:15:00+05:30,199.32,199.5,198.38,198.7,247087
2026-05-06 15:15:00+05:30,198.7,200.65,198.5,199.01,158797
2026-05-07 09:15:00+05:30,201.0,201.5,195.55,196.19,209024
2026-05-07 10:15:00+05:30,196.2,196.98,195.61,195.7,70720
2026-05-07 11:15:00+05:30,195.7,200.49,195.1,200.22,392340
2026-05-07 12:15:00+05:30,200.22,200.65,199.82,200.1,190121
2026-05-07 13:15:00+05:30,200.09,200.5,200.0,200.25,94426
2026-05-07 14:15:00+05:30,200.25,201.39,200.02,200.5,199494
2026-05-07 15:15:00+05:30,200.47,203.95,200.47,203.45,219136
2026-05-08 09:15:00+05:30,202.96,207.5,198.76,199.7,634552
2026-05-08 10:15:00+05:30,199.7,199.81,198.76,199.56,73861
2026-05-08 11:15:00+05:30,199.56,199.95,198.65,199.44,62529
2026-05-08 12:15:00+05:30,199.44,199.65,198.8,199.28,42921
2026-05-08 13:15:00+05:30,199.28,199.62,196.52,196.59,116120
2026-05-08 14:15:00+05:30,196.59,197.08,195.83,196.05,168648
2026-05-08 15:15:00+05:30,196.19,196.6,195.5,196.6,83938
2026-05-11 09:15:00+05:30,196.14,196.49,191.47,194.63,166342
2026-05-11 10:15:00+05:30,194.63,194.96,193.75,194.5,44888
2026-05-11 11:15:00+05:30,194.5,195.0,193.85,194.24,25800
2026-05-11 12:15:00+05:30,194.24,197.99,193.98,196.71,248155
2026-05-11 13:15:00+05:30,196.71,198.47,195.63,196.36,553338
2026-05-11 14:15:00+05:30,196.36,197.26,194.7,195.38,332573
2026-05-11 15:15:00+05:30,195.48,197.0,193.0,193.0,69649
2026-05-12 09:15:00+05:30,194.0,195.09,190.45,190.78,279777
2026-05-12 10:15:00+05:30,190.78,191.74,189.28,190.9,161081
2026-05-12 11:15:00+05:30,190.88,193.0,190.28,191.17,191151
2026-05-12 12:15:00+05:30,191.17,191.88,189.58,190.91,389981
2026-05-12 13:15:00+05:30,190.91,191.88,190.49,190.62,77395
2026-05-12 14:15:00+05:30,190.62,191.36,187.17,187.5,520956
2026-05-12 15:15:00+05:30,187.54,188.01,187.54,187.95,86245
2026-05-13 09:15:00+05:30,184.0,184.94,172.89,173.55,2024659
2026-05-13 10:15:00+05:30,173.55,174.6,167.1,168.55,2047431
2026-05-13 11:15:00+05:30,168.74,171.78,168.21,169.46,2815980
2026-05-13 12:15:00+05:30,169.46,169.46,160.0,162.2,4929360
2026-05-13 13:15:00+05:30,162.2,163.48,151.16,161.79,9838903
2026-05-13 14:15:00+05:30,161.78,163.85,158.68,160.8,6630458
2026-05-13 15:15:00+05:30,160.76,166.0,160.5,165.0,5709592
