datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,107.29,108.58,106.35,106.63,12082249
2026-05-06 10:15:00+05:30,106.62,106.66,105.79,106.19,3528757
2026-05-06 11:15:00+05:30,106.2,106.26,105.63,105.77,2147586
2026-05-06 12:15:00+05:30,105.77,105.82,104.84,105.39,3292852
2026-05-06 13:15:00+05:30,105.38,105.9,105.28,105.85,3375963
2026-05-06 14:15:00+05:30,105.88,107.38,105.85,106.95,15227200
2026-05-06 15:15:00+05:30,106.97,107.21,106.87,107.21,4520985
2026-05-07 09:15:00+05:30,107.81,107.86,106.01,106.4,8884485
2026-05-07 10:15:00+05:30,106.4,106.75,106.03,106.13,2721575
2026-05-07 11:15:00+05:30,106.12,106.57,105.97,106.5,2532357
2026-05-07 12:15:00+05:30,106.5,106.86,106.22,106.4,4762149
2026-05-07 13:15:00+05:30,106.4,106.58,106.11,106.29,2548718
2026-05-07 14:15:00+05:30,106.3,106.31,105.93,106.02,4135610
2026-05-07 15:15:00+05:30,106.01,106.1,105.92,106.0,2329692
2026-05-08 09:15:00+05:30,105.82,105.82,104.72,105.36,4133169
2026-05-08 10:15:00+05:30,105.36,105.44,105.0,105.06,1653580
2026-05-08 11:15:00+05:30,105.06,105.12,104.78,104.93,2042680
2026-05-08 12:15:00+05:30,104.93,105.17,104.66,104.87,1603175
2026-05-08 13:15:00+05:30,104.84,105.12,103.61,103.96,4987735
2026-05-08 14:15:00+05:30,103.97,104.83,103.91,104.11,9220310
2026-05-08 15:15:00+05:30,104.11,104.31,103.98,104.17,3039048
2026-05-11 09:15:00+05:30,103.2,103.44,101.85,102.12,7244154
2026-05-11 10:15:00+05:30,102.12,102.46,101.89,102.26,2305370
2026-05-11 11:15:00+05:30,102.32,103.09,102.31,102.98,1822575
2026-05-11 12:15:00+05:30,102.98,103.36,102.52,102.94,1634454
2026-05-11 13:15:00+05:30,102.94,103.05,102.23,102.56,1930317
2026-05-11 14:15:00+05:30,102.56,102.65,101.38,101.5,4389980
2026-05-11 15:15:00+05:30,101.5,101.65,101.46,101.63,1940661
2026-05-12 09:15:00+05:30,101.06,101.97,100.77,101.7,4344268
2026-05-12 10:15:00+05:30,101.71,102.0,100.9,100.92,1654213
2026-05-12 11:15:00+05:30,100.92,101.05,100.58,100.61,1688632
2026-05-12 12:15:00+05:30,100.61,100.79,100.0,100.31,1772100
2026-05-12 13:15:00+05:30,100.36,100.46,99.9,100.08,1498785
2026-05-12 14:15:00+05:30,100.01,100.49,99.65,99.87,2427244
2026-05-12 15:15:00+05:30,99.87,100.09,99.8,99.99,1444763
2026-05-13 09:15:00+05:30,100.08,100.58,98.49,99.89,6957623
2026-05-13 10:15:00+05:30,99.88,100.61,99.81,99.98,3739412
2026-05-13 11:15:00+05:30,99.99,100.95,99.99,100.7,3524102
2026-05-13 12:15:00+05:30,100.7,100.84,99.93,100.62,3744736
2026-05-13 13:15:00+05:30,100.62,100.69,100.14,100.57,1358405
2026-05-13 14:15:00+05:30,100.57,100.66,99.61,99.92,2644968
2026-05-13 15:15:00+05:30,99.91,100.19,99.73,100.18,1145238
2026-05-14 09:15:00+05:30,100.38,101.45,99.83,100.25,4115727
2026-05-14 10:15:00+05:30,100.22,100.4,99.41,99.93,1733535
2026-05-14 11:15:00+05:30,99.89,100.99,99.89,100.99,2048549
2026-05-14 12:15:00+05:30,100.99,102.01,100.99,101.61,2982439
