datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,34385,34385,32925,33480,71380
2026-05-06 10:15:00+05:30,33480,33595,33285,33340,18499
2026-05-06 11:15:00+05:30,33325,33485,33235,33315,13734
2026-05-06 12:15:00+05:30,33315,33700,33240,33670,24814
2026-05-06 13:15:00+05:30,33690,33825,33580,33695,15115
2026-05-06 14:15:00+05:30,33695,33715,33300,33320,19338
2026-05-06 15:15:00+05:30,33320,33490,33310,33450,10127
2026-05-07 09:15:00+05:30,33800,34490,33500,34415,46331
2026-05-07 10:15:00+05:30,34415,34680,34415,34555,18662
2026-05-07 11:15:00+05:30,34555,34695,34460,34575,12782
2026-05-07 12:15:00+05:30,34575,34600,34525,34600,7082
2026-05-07 13:15:00+05:30,34600,34845,34600,34690,16357
2026-05-07 14:15:00+05:30,34710,34950,34685,34880,23542
2026-05-07 15:15:00+05:30,34870,34920,34850,34850,21071
2026-05-08 09:15:00+05:30,34950,35095,33945,34095,52650
2026-05-08 10:15:00+05:30,34095,34105,33545,33595,23117
2026-05-08 11:15:00+05:30,33595,33870,33475,33570,19414
2026-05-08 12:15:00+05:30,33570,33655,33475,33510,15946
2026-05-08 13:15:00+05:30,33500,34080,33445,34020,28620
2026-05-08 14:15:00+05:30,34010,34175,34000,34020,17530
2026-05-08 15:15:00+05:30,34000,34055,33950,33960,11485
2026-05-11 09:15:00+05:30,33635,33995,33090,33430,27170
2026-05-11 10:15:00+05:30,33440,33440,32840,32980,16074
2026-05-11 11:15:00+05:30,32990,33195,32890,33055,11722
2026-05-11 12:15:00+05:30,33055,33060,32705,32840,15488
2026-05-11 13:15:00+05:30,32840,32925,32770,32800,11443
2026-05-11 14:15:00+05:30,32800,33310,32800,33025,32429
2026-05-11 15:15:00+05:30,33025,33095,33000,33085,8906
2026-05-12 09:15:00+05:30,33020,33660,32900,33185,26740
2026-05-12 10:15:00+05:30,33190,33360,32860,32870,13888
2026-05-12 11:15:00+05:30,32865,33000,32765,32785,9445
2026-05-12 12:15:00+05:30,32790,32835,32620,32650,8046
2026-05-12 13:15:00+05:30,32660,32695,32450,32475,7590
2026-05-12 14:15:00+05:30,32470,32600,32125,32310,33137
2026-05-12 15:15:00+05:30,32310,32570,32215,32570,16562
2026-05-13 09:15:00+05:30,32265,32660,31675,31985,43030
2026-05-13 10:15:00+05:30,31970,32225,31885,31970,12605
2026-05-13 11:15:00+05:30,31965,32210,31905,32025,8842
2026-05-13 12:15:00+05:30,32000,32425,31855,32160,16068
2026-05-13 13:15:00+05:30,32160,32320,32040,32310,9094
2026-05-13 14:15:00+05:30,32310,32415,31700,31755,15593
2026-05-13 15:15:00+05:30,31775,31815,31645,31720,10328
2026-05-14 09:15:00+05:30,32100,32110,31375,31570,31887
2026-05-14 10:15:00+05:30,31570,32000,31565,31965,18149
2026-05-14 11:15:00+05:30,31965,32035,31725,31985,15785
2026-05-14 12:15:00+05:30,31985,32395,31985,32270,18202
2026-05-14 13:15:00+05:30,32270,32275,32020,32185,15825
2026-05-14 14:15:00+05:30,32185,32390,32150,32265,23610
2026-05-14 15:15:00+05:30,32280,32330,32115,32230,9594
2026-05-15 09:15:00+05:30,32350,32390,31195,31830,36750
2026-05-15 10:15:00+05:30,31820,32235,31820,32105,13657
2026-05-15 11:15:00+05:30,32105,32350,32005,32340,12930
2026-05-15 12:15:00+05:30,32340,32600,32335,32510,9356
2026-05-15 13:15:00+05:30,32510,32695,32460,32570,10185
2026-05-15 14:15:00+05:30,32570,32610,32335,32535,17252
2026-05-15 15:15:00+05:30,32530,32595,32480,32550,7452
2026-05-18 09:15:00+05:30,32400,32825,32005,32545,33511
2026-05-18 10:15:00+05:30,32545,32610,32205,32300,9209
2026-05-18 11:15:00+05:30,32300,32690,32255,32340,9907
2026-05-18 12:15:00+05:30,32340,32500,32265,32370,5838
2026-05-18 13:15:00+05:30,32370,32460,32260,32445,4258
2026-05-18 14:15:00+05:30,32445,32790,32380,32790,10712
2026-05-18 15:15:00+05:30,32790,32950,32785,32900,8037
2026-05-19 09:15:00+05:30,32965,33730,32785,33720,30751
2026-05-19 10:15:00+05:30,33680,33730,33335,33400,13939
2026-05-19 11:15:00+05:30,33400,33415,33130,33250,9531
2026-05-19 12:15:00+05:30,33250,33340,33155,33170,9176
2026-05-19 13:15:00+05:30,33180,33450,33140,33350,11948
2026-05-19 14:15:00+05:30,33350,33530,33290,33460,21531
2026-05-19 15:15:00+05:30,33460,33475,33035,33060,11193
2026-05-20 09:15:00+05:30,33000,34250,32710,34050,40559
2026-05-20 10:15:00+05:30,34055,34545,33975,34440,33760
2026-05-20 11:15:00+05:30,34440,34765,34400,34750,35010
2026-05-20 12:15:00+05:30,34750,35500,34750,35355,51871
2026-05-20 13:15:00+05:30,35355,35495,35010,35060,30148
2026-05-20 14:15:00+05:30,35045,35450,35035,35430,34710
2026-05-20 15:15:00+05:30,35430,35790,35400,35700,26340
2026-05-21 09:15:00+05:30,35980,36695,35950,36640,51692
2026-05-21 10:15:00+05:30,36655,36750,35850,35925,33662
2026-05-21 11:15:00+05:30,35915,36420,35870,36420,17219
2026-05-21 12:15:00+05:30,36420,36595,36230,36525,25899
2026-05-21 13:15:00+05:30,36530,36550,36385,36405,10633
2026-05-21 14:15:00+05:30,36405,36530,36365,36470,14921
2026-05-21 15:15:00+05:30,36470,36500,36400,36500,9698
2026-05-22 09:15:00+05:30,36585,36700,35900,36130,29152
2026-05-22 10:15:00+05:30,36130,36140,35600,35600,13326
2026-05-22 11:15:00+05:30,35605,36060,35595,35940,17381
2026-05-22 12:15:00+05:30,35920,35935,35715,35875,12364
2026-05-22 13:15:00+05:30,35875,35930,35450,35450,14346
2026-05-22 14:15:00+05:30,35450,35640,35415,35570,19603
2026-05-22 15:15:00+05:30,35570,35700,35520,35640,11878
2026-05-25 09:15:00+05:30,36000,36040,35030,35600,40903
2026-05-25 10:15:00+05:30,35625,35780,35450,35540,16655
2026-05-25 11:15:00+05:30,35540,35660,35215,35280,16988
