datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,41.89,41.97,41.41,41.52,1776887
2026-05-06 10:15:00+05:30,41.52,41.7,41.5,41.53,975166
2026-05-06 11:15:00+05:30,41.53,41.8,41.43,41.61,1298716
2026-05-06 12:15:00+05:30,41.61,41.64,41.41,41.5,494208
2026-05-06 13:15:00+05:30,41.5,41.68,41.47,41.52,1164391
2026-05-06 14:15:00+05:30,41.52,41.95,41.5,41.86,2915259
2026-05-06 15:15:00+05:30,41.85,42.05,41.76,42.0,1678050
2026-05-07 09:15:00+05:30,42.07,43.65,42.07,42.45,12544926
2026-05-07 10:15:00+05:30,42.44,43.03,42.44,42.73,3169152
2026-05-07 11:15:00+05:30,42.73,42.98,42.67,42.73,1610074
2026-05-07 12:15:00+05:30,42.72,42.78,42.58,42.74,1200116
2026-05-07 13:15:00+05:30,42.74,42.77,42.51,42.55,1553458
2026-05-07 14:15:00+05:30,42.57,43.13,42.53,43.02,6404921
2026-05-07 15:15:00+05:30,43.05,43.09,42.91,43.03,2447173
2026-05-08 09:15:00+05:30,42.81,43.99,42.61,43.81,8735162
2026-05-08 10:15:00+05:30,43.85,45.14,43.74,44.52,13619023
2026-05-08 11:15:00+05:30,44.54,44.55,44.02,44.08,4272350
2026-05-08 12:15:00+05:30,44.06,44.52,43.88,44.43,5274334
2026-05-08 13:15:00+05:30,44.4,44.5,44.06,44.12,2788772
2026-05-08 14:15:00+05:30,44.12,44.39,44.0,44.13,3546538
2026-05-08 15:15:00+05:30,44.13,44.49,44.07,44.4,3408999
2026-05-11 09:15:00+05:30,44.39,44.39,43.21,43.94,8126975
2026-05-11 10:15:00+05:30,43.94,44.45,43.73,44.4,3569959
2026-05-11 11:15:00+05:30,44.39,45.4,44.39,45.3,8159465
2026-05-11 12:15:00+05:30,45.27,45.3,44.79,45.3,3929168
2026-05-11 13:15:00+05:30,45.3,45.3,44.71,45.15,3790305
2026-05-11 14:15:00+05:30,45.18,45.18,44.9,44.92,5379341
2026-05-11 15:15:00+05:30,44.94,45.13,44.91,45.09,3146599
2026-05-12 09:15:00+05:30,44.96,45.18,43.66,44.68,7190938
2026-05-12 10:15:00+05:30,44.68,44.68,43.92,43.94,2171899
2026-05-12 11:15:00+05:30,43.94,44.18,43.91,43.97,1403882
2026-05-12 12:15:00+05:30,43.97,44.12,43.51,43.77,2263896
2026-05-12 13:15:00+05:30,43.77,43.87,42.82,43.55,5179277
2026-05-12 14:15:00+05:30,43.55,43.58,42.85,42.93,4464969
2026-05-12 15:15:00+05:30,42.94,43.38,42.93,43.32,1848278
2026-05-13 09:15:00+05:30,43.7,44.1,41.95,43.9,19811841
2026-05-13 10:15:00+05:30,43.92,44.3,43.37,43.55,5699324
2026-05-13 11:15:00+05:30,43.56,43.69,43.41,43.45,2180842
2026-05-13 12:15:00+05:30,43.45,43.47,42.78,43.0,3362379
2026-05-13 13:15:00+05:30,43.0,43.2,42.89,43.07,4649459
2026-05-13 14:15:00+05:30,43.07,43.4,42.98,43.36,5224481
2026-05-13 15:15:00+05:30,43.39,43.49,42.67,43.05,2979830
2026-05-14 09:15:00+05:30,43.5,44.0,43.09,43.42,8239599
2026-05-14 10:15:00+05:30,43.41,43.49,42.91,43.08,2809337
2026-05-14 11:15:00+05:30,43.08,43.23,42.94,43.14,2053041
2026-05-14 12:15:00+05:30,43.14,43.25,43.1,43.15,1417202
2026-05-14 13:15:00+05:30,43.16,43.16,42.8,42.85,2430526
2026-05-14 14:15:00+05:30,42.85,43.3,42.76,42.9,3509890
2026-05-14 15:15:00+05:30,42.88,42.99,42.75,42.99,1605983
2026-05-15 09:15:00+05:30,42.96,43.26,42.22,42.42,3184602
2026-05-15 10:15:00+05:30,42.42,42.48,41.95,42.0,1839541
2026-05-15 11:15:00+05:30,41.98,42.44,41.9,42.37,2300406
2026-05-15 12:15:00+05:30,42.36,42.51,42.14,42.2,2056259
2026-05-15 13:15:00+05:30,42.2,42.29,42.08,42.14,1358941
2026-05-15 14:15:00+05:30,42.14,42.23,41.97,42.15,2791177
2026-05-15 15:15:00+05:30,42.13,42.15,41.82,41.93,1626678
2026-05-18 09:15:00+05:30,41.5,41.75,40.06,40.18,5547139
2026-05-18 10:15:00+05:30,40.18,41.03,40.17,40.82,3075560
2026-05-18 11:15:00+05:30,40.82,40.95,40.52,40.6,1234209
2026-05-18 12:15:00+05:30,40.6,40.9,40.55,40.67,1285857
2026-05-18 13:15:00+05:30,40.67,41.17,40.62,41.1,1456439
2026-05-18 14:15:00+05:30,41.12,41.35,40.93,41.31,1807753
2026-05-18 15:15:00+05:30,41.31,41.73,41.31,41.64,2121311
2026-05-19 09:15:00+05:30,41.38,41.73,40.86,41.66,5518156
2026-05-19 10:15:00+05:30,41.66,41.71,41.11,41.32,2764845
2026-05-19 11:15:00+05:30,41.32,41.43,41.22,41.36,1249518
2026-05-19 12:15:00+05:30,41.35,41.52,41.12,41.22,1785276
2026-05-19 13:15:00+05:30,41.21,41.58,41.16,41.55,2807640
2026-05-19 14:15:00+05:30,41.55,42.07,41.51,42.03,4666679
2026-05-19 15:15:00+05:30,42.03,42.87,41.83,42.53,3938799
2026-05-20 09:15:00+05:30,42.17,43.48,41.7,43.07,7846236
2026-05-20 10:15:00+05:30,43.06,43.4,42.95,43.3,2316929
2026-05-20 11:15:00+05:30,43.31,43.34,43.0,43.04,1463517
2026-05-20 12:15:00+05:30,43.07,43.1,42.49,42.53,2275745
2026-05-20 13:15:00+05:30,42.53,42.55,42.31,42.31,1174562
2026-05-20 14:15:00+05:30,42.31,42.35,42.13,42.16,1443598
2026-05-20 15:15:00+05:30,42.16,42.2,42.0,42.18,1054786
2026-05-21 09:15:00+05:30,42.6,42.78,42.01,42.1,2495715
2026-05-21 10:15:00+05:30,42.1,42.28,41.71,41.81,2956819
2026-05-21 11:15:00+05:30,41.81,41.89,41.65,41.84,1013846
2026-05-21 12:15:00+05:30,41.84,41.85,41.4,41.51,1595347
2026-05-21 13:15:00+05:30,41.51,41.74,41.36,41.54,1587982
2026-05-21 14:15:00+05:30,41.54,41.63,41.45,41.5,1348708
2026-05-21 15:15:00+05:30,41.5,41.5,41.3,41.44,1282931
2026-05-22 09:15:00+05:30,41.6,41.69,41.16,41.41,3052810
2026-05-22 10:15:00+05:30,41.41,41.8,41.3,41.6,1743565
2026-05-22 11:15:00+05:30,41.6,41.92,41.58,41.83,1502328
2026-05-22 12:15:00+05:30,41.81,41.81,41.3,41.48,1181882
2026-05-22 13:15:00+05:30,41.48,41.57,41.3,41.37,1143489
2026-05-22 14:15:00+05:30,41.37,41.37,41.18,41.18,1047836
2026-05-22 15:15:00+05:30,41.17,41.35,41.17,41.35,788485
2026-05-25 09:15:00+05:30,41.69,41.94,41.55,41.86,1993592
2026-05-25 10:15:00+05:30,41.82,41.91,41.7,41.78,994460
2026-05-25 11:15:00+05:30,41.78,41.83,41.65,41.7,490388
2026-05-25 12:15:00+05:30,41.7,41.8,41.33,41.36,1255956
2026-05-25 13:15:00+05:30,41.39,41.62,41.34,41.49,879334
2026-05-25 14:15:00+05:30,41.47,41.9,41.45,41.71,1395362
2026-05-25 15:15:00+05:30,41.71,41.99,41.71,41.99,1124299
2026-05-26 09:15:00+05:30,41.65,42.15,41.62,41.97,2083292
2026-05-26 10:15:00+05:30,41.97,42.19,41.9,42.07,969123
2026-05-26 11:15:00+05:30,42.07,42.07,41.75,41.87,572119
2026-05-26 12:15:00+05:30,41.89,41.89,41.73,41.83,462383
2026-05-26 13:15:00+05:30,41.8,41.95,41.65,41.84,1000084
2026-05-26 14:15:00+05:30,41.84,42.04,41.8,41.9,1703302
2026-05-26 15:15:00+05:30,41.9,41.99,41.01,41.6,2235353
2026-05-27 09:15:00+05:30,41.75,41.8,41.46,41.62,2132469
2026-05-27 10:15:00+05:30,41.6,41.75,41.57,41.7,771366
2026-05-27 11:15:00+05:30,41.72,41.72,41.55,41.6,492527
2026-05-27 12:15:00+05:30,41.6,41.64,41.54,41.56,441754
2026-05-27 13:15:00+05:30,41.56,41.61,41.5,41.55,403934
2026-05-27 14:15:00+05:30,41.55,41.56,41.33,41.38,1246066
2026-05-27 15:15:00+05:30,41.39,41.45,41.29,41.4,931461
2026-05-29 09:15:00+05:30,41.5,41.73,41.24,41.41,2253842
2026-05-29 10:15:00+05:30,41.41,41.72,41.4,41.65,1557977
2026-05-29 11:15:00+05:30,41.66,42.13,41.66,41.81,4080782
2026-05-29 12:15:00+05:30,41.81,41.9,41.55,41.58,893564
2026-05-29 13:15:00+05:30,41.58,41.69,41.48,41.54,1032572
2026-05-29 14:15:00+05:30,41.54,41.63,41.0,41.04,4384651
2026-05-29 15:15:00+05:30,41.05,41.1,40.25,40.94,2619978
2026-06-01 09:15:00+05:30,41.25,41.3,40.4,40.5,5752756
2026-06-01 10:15:00+05:30,40.45,40.79,40.3,40.72,2048543
2026-06-01 11:15:00+05:30,40.71,40.87,40.5,40.52,1307090
2026-06-01 12:15:00+05:30,40.52,40.87,40.5,40.75,2219289
2026-06-01 13:15:00+05:30,40.75,40.76,40.5,40.56,2236863
2026-06-01 14:15:00+05:30,40.57,40.71,40.46,40.47,2410827
2026-06-01 15:15:00+05:30,40.47,40.5,40.34,40.36,979768
2026-06-02 09:15:00+05:30,40.1,40.59,40.02,40.52,2131500
2026-06-02 10:15:00+05:30,40.5,41.25,40.15,41.07,4235600
2026-06-02 11:15:00+05:30,41.07,41.18,40.71,40.83,2068252
2026-06-02 12:15:00+05:30,40.83,41.56,40.81,41.47,2751300
2026-06-02 13:15:00+05:30,41.47,41.59,41.46,41.55,2110884
2026-06-02 14:15:00+05:30,41.55,41.89,41.41,41.8,10112161
2026-06-02 15:15:00+05:30,41.81,41.86,41.3,41.45,1611369
2026-06-03 09:15:00+05:30,41.45,41.5,40.73,40.82,2927635
2026-06-03 10:15:00+05:30,40.82,40.95,40.48,40.52,2338777
2026-06-03 11:15:00+05:30,40.52,40.56,40.3,40.37,1730807
2026-06-03 12:15:00+05:30,40.35,40.49,40.31,40.43,1391728
2026-06-03 13:15:00+05:30,40.43,40.61,40.4,40.53,1161736
2026-06-03 14:15:00+05:30,40.55,40.67,40.11,40.24,5346865
2026-06-03 15:15:00+05:30,40.24,40.31,39.79,40.09,4931997
2026-06-04 09:15:00+05:30,40.0,40.7,39.84,40.6,2667662
2026-06-04 10:15:00+05:30,40.62,40.63,40.4,40.41,857312
2026-06-04 11:15:00+05:30,40.42,40.55,40.4,40.44,602846
2026-06-04 12:15:00+05:30,40.44,40.45,40.3,40.33,526880
2026-06-04 13:15:00+05:30,40.33,40.44,40.24,40.33,574946
2026-06-04 14:15:00+05:30,40.33,40.33,40.06,40.17,1846136
2026-06-04 15:15:00+05:30,40.17,40.25,40.07,40.25,911241
2026-06-05 09:15:00+05:30,40.3,40.6,40.25,40.47,1746162
2026-06-05 10:15:00+05:30,40.47,40.56,40.22,40.35,1128445
2026-06-05 11:15:00+05:30,40.35,40.37,40.03,40.16,1414120
2026-06-05 12:15:00+05:30,40.16,40.19,40.01,40.04,934565
2026-06-05 13:15:00+05:30,40.03,40.1,39.94,40.02,1065476
2026-06-05 14:15:00+05:30,40.05,40.12,39.99,40.01,1853638
2026-06-05 15:15:00+05:30,40.04,40.09,39.9,40.09,1858755
2026-06-08 09:15:00+05:30,39.55,39.93,39.4,39.66,2770440
2026-06-08 10:15:00+05:30,39.67,39.83,39.46,39.59,1694740
2026-06-08 11:15:00+05:30,39.58,39.63,39.25,39.61,1463400
2026-06-08 12:15:00+05:30,39.62,39.66,39.48,39.52,746783
2026-06-08 13:15:00+05:30,39.53,39.54,39.29,39.3,919051
2026-06-08 14:15:00+05:30,39.3,39.4,38.92,38.98,4325562
2026-06-08 15:15:00+05:30,38.97,39.17,38.9,38.99,1628064
2026-06-09 09:15:00+05:30,39.2,40.2,39.2,39.93,3760541
2026-06-09 10:15:00+05:30,39.93,40.0,39.75,39.85,904724
2026-06-09 11:15:00+05:30,39.87,39.92,39.55,39.65,1560864
2026-06-09 12:15:00+05:30,39.65,39.74,39.51,39.58,783357
2026-06-09 13:15:00+05:30,39.59,39.64,39.48,39.54,981064
2026-06-09 14:15:00+05:30,39.54,40.08,39.45,40.06,1794965
2026-06-09 15:15:00+05:30,40.04,40.18,39.96,40.17,1138634
2026-06-10 09:15:00+05:30,40.1,40.55,40.06,40.08,2943612
2026-06-10 10:15:00+05:30,40.08,40.2,39.97,40.1,1024150
2026-06-10 11:15:00+05:30,40.1,40.1,39.94,40.03,852671
2026-06-10 12:15:00+05:30,40.03,40.03,39.84,39.95,639985
2026-06-10 13:15:00+05:30,39.95,40.24,39.72,40.15,1471072
2026-06-10 14:15:00+05:30,40.15,40.33,40.1,40.12,2360008
2026-06-10 15:15:00+05:30,40.13,40.19,40.08,40.15,1771954
2026-06-11 09:15:00+05:30,39.7,39.7,39.36,39.56,1587256
2026-06-11 10:15:00+05:30,39.56,39.78,39.52,39.56,727380
2026-06-11 11:15:00+05:30,39.55,39.84,39.55,39.7,1094228
2026-06-11 12:15:00+05:30,39.7,39.74,39.51,39.55,533804
2026-06-11 13:15:00+05:30,39.55,39.58,39.42,39.47,765791
2026-06-11 14:15:00+05:30,39.47,39.94,39.05,39.23,2324215
2026-06-11 15:15:00+05:30,39.23,39.4,39.21,39.39,698157
2026-06-12 09:15:00+05:30,40.25,40.68,39.73,39.76,4668459
2026-06-12 10:15:00+05:30,39.79,40.15,39.76,39.99,1203925
2026-06-12 11:15:00+05:30,39.99,40.1,39.77,39.84,1904555
2026-06-12 12:15:00+05:30,39.84,39.88,39.75,39.82,965053
2026-06-12 13:15:00+05:30,39.82,40.28,39.66,40.21,1865883
2026-06-12 14:15:00+05:30,40.22,40.61,40.13,40.45,3978452
2026-06-12 15:15:00+05:30,40.46,40.55,40.38,40.45,1198199
2026-06-15 09:15:00+05:30,40.7,41.14,40.11,40.28,7541120
2026-06-15 10:15:00+05:30,40.28,40.67,40.2,40.54,2427028
2026-06-15 11:15:00+05:30,40.51,40.56,40.12,40.15,2588967
2026-06-15 12:15:00+05:30,40.13,40.18,40.06,40.15,2038897
2026-06-15 13:15:00+05:30,40.15,40.18,40.01,40.09,1222563
2026-06-15 14:15:00+05:30,40.05,40.12,40.0,40.02,2127105
2026-06-15 15:15:00+05:30,40.01,40.03,39.95,40.03,1379805
2026-06-16 09:15:00+05:30,40.15,40.54,39.8,40.45,5100273
2026-06-16 10:15:00+05:30,40.4,40.97,40.01,40.05,4350261
2026-06-16 11:15:00+05:30,40.04,40.07,39.92,39.99,1615589
2026-06-16 12:15:00+05:30,39.99,39.99,39.82,39.87,918831
2026-06-16 13:15:00+05:30,39.87,39.9,39.81,39.85,1252479
2026-06-16 14:15:00+05:30,39.85,40.12,39.75,39.95,2595249
2026-06-16 15:15:00+05:30,39.96,39.99,39.91,39.97,937880
2026-06-17 09:15:00+05:30,40.15,40.3,39.76,39.85,3422803
2026-06-17 10:15:00+05:30,39.85,39.9,39.75,39.83,1782870
2026-06-17 11:15:00+05:30,39.83,39.95,39.8,39.88,1131666
2026-06-17 12:15:00+05:30,39.87,39.88,39.81,39.85,732299
2026-06-17 13:15:00+05:30,39.85,39.91,39.7,39.8,1699971
2026-06-17 14:15:00+05:30,39.77,39.8,39.51,39.57,3786475
2026-06-17 15:15:00+05:30,39.56,39.65,39.55,39.64,1382684
2026-06-18 09:15:00+05:30,39.69,40.29,39.56,39.98,3952593
2026-06-18 10:15:00+05:30,39.98,40.11,39.66,39.78,2256584
2026-06-18 11:15:00+05:30,39.79,39.85,39.75,39.79,1213884
2026-06-18 12:15:00+05:30,39.79,39.97,39.75,39.89,1056555
2026-06-18 13:15:00+05:30,39.89,39.93,39.71,39.74,865033
2026-06-18 14:15:00+05:30,39.74,39.88,39.69,39.84,1411227
2026-06-18 15:15:00+05:30,39.85,39.88,39.8,39.84,819380
2026-06-19 09:15:00+05:30,39.5,39.59,38.52,39.18,7996508
2026-06-19 10:15:00+05:30,39.18,39.25,39.09,39.23,1373131
2026-06-19 11:15:00+05:30,39.23,39.4,39.18,39.25,1444403
2026-06-19 12:15:00+05:30,39.26,39.3,39.02,39.05,1542598
2026-06-19 13:15:00+05:30,39.06,39.21,38.99,39.2,1410270
2026-06-19 14:15:00+05:30,39.2,39.53,39.1,39.48,5712693
2026-06-19 15:15:00+05:30,39.47,39.99,39.43,39.82,3642502
2026-06-22 09:15:00+05:30,39.99,40.72,39.91,40.48,10532305
2026-06-22 10:15:00+05:30,40.48,40.66,40.31,40.4,2504064
2026-06-22 11:15:00+05:30,40.42,40.44,40.19,40.27,1683537
2026-06-22 12:15:00+05:30,40.27,40.38,40.19,40.24,1328932
2026-06-22 13:15:00+05:30,40.21,40.4,40.13,40.18,1724450
2026-06-22 14:15:00+05:30,40.18,40.31,39.95,40.0,2900340
2026-06-22 15:15:00+05:30,39.99,40.14,39.98,40.0,2077129
2026-06-23 09:15:00+05:30,40.14,40.49,39.78,40.2,3153169
2026-06-23 10:15:00+05:30,40.2,40.2,39.95,39.99,1786003
2026-06-23 11:15:00+05:30,39.99,40.0,39.85,39.93,1427444
2026-06-23 12:15:00+05:30,39.93,40.13,39.92,40.09,3270578
2026-06-23 13:15:00+05:30,40.09,40.12,39.97,40.03,1439847
2026-06-23 14:15:00+05:30,40.03,40.13,39.98,40.05,2739042
2026-06-23 15:15:00+05:30,40.04,40.05,39.9,39.9,1269843
2026-06-24 09:15:00+05:30,40.03,40.14,39.72,39.96,1845722
2026-06-24 10:15:00+05:30,39.97,40.29,39.86,40.25,1493561
2026-06-24 11:15:00+05:30,40.25,40.54,40.13,40.35,2841836
2026-06-24 12:15:00+05:30,40.35,40.5,40.3,40.5,1526986
2026-06-24 13:15:00+05:30,40.5,40.59,40.17,40.19,2493132
2026-06-24 14:15:00+05:30,40.18,40.22,40.05,40.11,1461800
2026-06-24 15:15:00+05:30,40.11,40.12,40.01,40.09,964543
2026-06-25 09:15:00+05:30,40.18,40.25,39.96,40.1,1898756
2026-06-25 10:15:00+05:30,40.12,40.13,40.0,40.03,822230
2026-06-25 11:15:00+05:30,40.02,40.11,40.0,40.05,673535
2026-06-25 12:15:00+05:30,40.06,40.09,39.9,40.0,773994
2026-06-25 13:15:00+05:30,39.99,40.48,39.98,40.38,2060599
2026-06-25 14:15:00+05:30,40.38,40.41,40.3,40.4,2947511
2026-06-25 15:15:00+05:30,40.39,40.4,40.32,40.35,1087167
2026-06-29 09:15:00+05:30,40.37,40.37,39.8,39.95,2330256
2026-06-29 10:15:00+05:30,39.92,40.05,39.71,39.75,1706813
2026-06-29 11:15:00+05:30,39.75,39.75,39.46,39.49,1935493
2026-06-29 12:15:00+05:30,39.47,39.49,39.23,39.28,1501513
2026-06-29 13:15:00+05:30,39.28,39.3,39.08,39.15,2038153
2026-06-29 14:15:00+05:30,39.15,39.48,39.13,39.35,2891221
2026-06-29 15:15:00+05:30,39.36,39.55,39.34,39.45,1152686
2026-06-30 09:15:00+05:30,39.5,39.62,39.2,39.39,1769257
2026-06-30 10:15:00+05:30,39.39,39.44,39.27,39.4,886761
2026-06-30 11:15:00+05:30,39.4,39.75,39.36,39.59,2400674
2026-06-30 12:15:00+05:30,39.59,39.69,39.51,39.65,1555018
2026-06-30 13:15:00+05:30,39.65,39.84,39.55,39.75,2307527
2026-06-30 14:15:00+05:30,39.76,39.99,39.5,39.51,3798429
2026-06-30 15:15:00+05:30,39.51,39.51,39.26,39.35,3248155
2026-07-01 09:15:00+05:30,39.5,40.2,39.49,40.17,2845585
2026-07-01 10:15:00+05:30,40.16,40.23,39.75,40.11,2979565
2026-07-01 11:15:00+05:30,40.1,40.33,39.53,39.66,2942436
2026-07-01 12:15:00+05:30,39.65,39.8,39.33,39.8,2687173
2026-07-01 13:15:00+05:30,39.8,39.9,39.75,39.85,1387962
2026-07-01 14:15:00+05:30,39.85,39.86,39.56,39.66,1817415
2026-07-01 15:15:00+05:30,39.66,39.7,39.6,39.69,1034856
2026-07-02 09:15:00+05:30,40.0,41.98,39.83,41.92,27271092
2026-07-02 10:15:00+05:30,41.92,42.3,41.4,41.49,19426180
2026-07-02 11:15:00+05:30,41.49,41.52,41.4,41.49,3207781
2026-07-02 12:15:00+05:30,41.49,41.52,41.2,41.32,3255726
2026-07-02 13:15:00+05:30,41.32,41.32,41.04,41.21,2544140
2026-07-02 14:15:00+05:30,41.2,41.43,40.99,41.25,7220168
2026-07-02 15:15:00+05:30,41.27,41.5,41.23,41.49,4525030
2026-07-03 09:15:00+05:30,41.72,41.85,41.15,41.64,4129575
2026-07-03 10:15:00+05:30,41.64,41.65,41.33,41.44,1571815
2026-07-03 11:15:00+05:30,41.44,41.44,41.04,41.18,1682637
2026-07-03 12:15:00+05:30,41.18,41.28,40.9,40.95,3521257
2026-07-03 13:15:00+05:30,40.94,41.0,40.9,40.99,856111
2026-07-03 14:15:00+05:30,40.99,41.05,40.95,40.99,2700343
2026-07-03 15:15:00+05:30,41.0,41.09,40.94,41.0,1475200
