datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,55.29,55.31,54.02,54.17,24552524
2026-05-06 10:15:00+05:30,54.18,54.24,53.89,53.97,8876831
2026-05-06 11:15:00+05:30,53.97,53.99,53.35,53.66,13404138
2026-05-06 12:15:00+05:30,53.66,53.7,53.31,53.48,7130242
2026-05-06 13:15:00+05:30,53.44,53.7,53.43,53.59,4835624
2026-05-06 14:15:00+05:30,53.57,54.49,53.57,54.29,21825644
2026-05-06 15:15:00+05:30,54.27,54.44,54.16,54.36,9589658
2026-05-07 09:15:00+05:30,54.59,54.6,53.75,53.85,21844922
2026-05-07 10:15:00+05:30,53.88,54.58,53.87,54.38,10273609
2026-05-07 11:15:00+05:30,54.39,54.8,54.2,54.78,7555289
2026-05-07 12:15:00+05:30,54.78,54.85,54.5,54.59,8181593
2026-05-07 13:15:00+05:30,54.59,55.6,54.48,55.52,15686559
2026-05-07 14:15:00+05:30,55.52,55.87,55.31,55.56,22592971
2026-05-07 15:15:00+05:30,55.55,55.82,55.52,55.7,11802812
2026-05-08 09:15:00+05:30,55.9,55.92,55.34,55.67,17389503
2026-05-08 10:15:00+05:30,55.67,55.74,55.23,55.27,8218030
2026-05-08 11:15:00+05:30,55.26,55.33,55.14,55.2,5250431
2026-05-08 12:15:00+05:30,55.2,55.46,55.16,55.32,3989654
2026-05-08 13:15:00+05:30,55.33,55.4,55.03,55.17,4285634
2026-05-08 14:15:00+05:30,55.15,55.39,55.08,55.11,7715700
2026-05-08 15:15:00+05:30,55.11,55.12,54.57,54.85,9270201
2026-05-11 09:15:00+05:30,54.35,54.43,53.6,54.14,17118742
2026-05-11 10:15:00+05:30,54.1,54.13,53.62,53.8,10003376
2026-05-11 11:15:00+05:30,53.8,54.06,53.71,53.81,5328429
2026-05-11 12:15:00+05:30,53.81,53.93,53.61,53.88,4865562
2026-05-11 13:15:00+05:30,53.86,53.99,53.7,53.81,5449002
2026-05-11 14:15:00+05:30,53.77,53.81,53.28,53.35,17145674
2026-05-11 15:15:00+05:30,53.35,53.41,53.02,53.32,9556856
