datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,20.89,21.43,20.81,21.3,95704691
2026-05-06 10:15:00+05:30,21.3,21.8,21.28,21.48,77574164
2026-05-06 11:15:00+05:30,21.5,21.69,21.41,21.69,25935152
2026-05-06 12:15:00+05:30,21.68,21.74,21.5,21.72,29065002
2026-05-06 13:15:00+05:30,21.73,21.87,21.72,21.78,40608026
2026-05-06 14:15:00+05:30,21.79,22.19,21.78,22.14,88917759
2026-05-06 15:15:00+05:30,22.14,22.2,22.04,22.06,29296971
2026-05-07 09:15:00+05:30,22.04,22.56,22.01,22.41,98510071
2026-05-07 10:15:00+05:30,22.4,22.67,22.4,22.59,34986237
2026-05-07 11:15:00+05:30,22.59,22.64,22.51,22.61,17752333
2026-05-07 12:15:00+05:30,22.61,22.63,22.55,22.55,13355214
2026-05-07 13:15:00+05:30,22.55,22.65,22.51,22.62,17352362
2026-05-07 14:15:00+05:30,22.63,22.69,22.47,22.47,30312347
2026-05-07 15:15:00+05:30,22.49,22.54,22.46,22.47,19484180
2026-05-08 09:15:00+05:30,22.47,22.7,22.33,22.53,39164068
2026-05-08 10:15:00+05:30,22.54,22.61,22.42,22.42,12294800
2026-05-08 11:15:00+05:30,22.42,22.45,22.06,22.14,20940455
2026-05-08 12:15:00+05:30,22.14,22.29,22.04,22.26,11358719
2026-05-08 13:15:00+05:30,22.26,22.58,22.25,22.54,20653837
2026-05-08 14:15:00+05:30,22.54,23.05,22.5,22.93,73358353
2026-05-08 15:15:00+05:30,22.93,22.98,22.89,22.9,24405156
2026-05-11 09:15:00+05:30,22.61,23.09,22.47,22.94,82550949
2026-05-11 10:15:00+05:30,22.94,22.95,22.7,22.77,17371402
2026-05-11 11:15:00+05:30,22.79,22.97,22.66,22.95,14626664
2026-05-11 12:15:00+05:30,22.95,22.97,22.81,22.85,10528444
2026-05-11 13:15:00+05:30,22.85,23.18,22.74,22.98,26349539
2026-05-11 14:15:00+05:30,23.0,23.03,22.65,22.68,24112917
2026-05-11 15:15:00+05:30,22.68,22.74,22.66,22.7,14745162
2026-05-12 09:15:00+05:30,22.67,22.93,22.35,22.78,52020857
2026-05-12 10:15:00+05:30,22.8,22.87,22.41,22.43,14663296
2026-05-12 11:15:00+05:30,22.43,22.53,22.24,22.3,21292512
2026-05-12 12:15:00+05:30,22.3,22.35,22.15,22.29,14272182
2026-05-12 13:15:00+05:30,22.28,22.32,22.03,22.07,15466901
2026-05-12 14:15:00+05:30,22.07,22.24,21.98,22.04,29989099
2026-05-12 15:15:00+05:30,22.04,22.18,22.03,22.14,13120776
2026-05-13 09:15:00+05:30,22.05,22.33,21.92,22.17,37125585
2026-05-13 10:15:00+05:30,22.17,22.38,22.16,22.24,15679389
2026-05-13 11:15:00+05:30,22.23,22.55,22.22,22.52,18287851
2026-05-13 12:15:00+05:30,22.52,22.55,22.28,22.37,14274567
2026-05-13 13:15:00+05:30,22.37,22.4,22.27,22.35,7942321
2026-05-13 14:15:00+05:30,22.36,22.38,22.08,22.11,12814238
2026-05-13 15:15:00+05:30,22.11,22.13,22.05,22.11,5967343
2026-05-14 09:15:00+05:30,22.31,22.45,22.07,22.18,28260344
