datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,91.04,92.23,90.37,90.71,3052639
2026-05-06 10:15:00+05:30,90.72,90.81,89.92,90.11,1395410
2026-05-06 11:15:00+05:30,90.15,92.9,90.06,92.54,3695791
2026-05-06 12:15:00+05:30,92.54,94.31,92.06,94.07,7950889
2026-05-06 13:15:00+05:30,94.1,94.94,94.0,94.94,6701070
2026-05-06 14:15:00+05:30,94.94,96.1,94.26,94.26,5765081
2026-05-06 15:15:00+05:30,94.28,94.7,94.25,94.57,1390307
2026-05-07 09:15:00+05:30,95.25,97.0,94.18,94.28,7591667
2026-05-07 10:15:00+05:30,94.28,95.75,94.28,94.78,1457921
2026-05-07 11:15:00+05:30,94.78,95.51,94.35,95.5,1209114
2026-05-07 12:15:00+05:30,95.5,95.85,94.61,94.99,1576372
2026-05-07 13:15:00+05:30,94.99,96.06,94.62,95.21,1211293
2026-05-07 14:15:00+05:30,95.2,95.35,94.22,94.8,2010231
2026-05-07 15:15:00+05:30,94.62,94.73,94.42,94.42,936032
2026-05-08 09:15:00+05:30,94.2,95.61,93.94,95.2,4290052
2026-05-08 10:15:00+05:30,95.2,95.25,94.3,95.14,1138754
2026-05-08 11:15:00+05:30,95.14,95.29,94.62,95.22,1897786
2026-05-08 12:15:00+05:30,95.22,96.25,95.17,96.0,3804287
2026-05-08 13:15:00+05:30,96.0,96.25,95.02,95.05,1551974
2026-05-08 14:15:00+05:30,95.05,95.42,95.02,95.14,2080490
2026-05-08 15:15:00+05:30,95.14,95.4,95.0,95.22,880471
2026-05-11 09:15:00+05:30,94.2,94.36,91.25,91.81,7367826
2026-05-11 10:15:00+05:30,91.81,92.55,91.2,92.33,1560331
2026-05-11 11:15:00+05:30,92.33,92.39,91.93,92.29,563850
2026-05-11 12:15:00+05:30,92.29,92.43,91.78,92.01,461125
2026-05-11 13:15:00+05:30,92.05,92.07,91.72,91.79,562173
2026-05-11 14:15:00+05:30,91.79,91.9,90.0,90.11,2852728
2026-05-11 15:15:00+05:30,90.02,90.52,89.97,90.45,1171647
2026-05-12 09:15:00+05:30,90.37,90.75,89.22,89.96,2700391
2026-05-12 10:15:00+05:30,90.0,90.02,88.8,88.84,1167648
2026-05-12 11:15:00+05:30,88.84,89.25,88.56,88.62,576759
2026-05-12 12:15:00+05:30,88.62,88.78,86.8,87.01,2151474
2026-05-12 13:15:00+05:30,86.99,87.84,86.15,86.34,4279094
2026-05-12 14:15:00+05:30,86.34,86.8,85.4,85.84,2699666
2026-05-12 15:15:00+05:30,85.88,87.04,85.7,87.0,1551400
2026-05-13 09:15:00+05:30,86.5,88.3,85.41,88.05,6201371
2026-05-13 10:15:00+05:30,88.06,88.65,86.82,86.95,2938353
2026-05-13 11:15:00+05:30,87.02,87.74,86.86,87.39,1582398
2026-05-13 12:15:00+05:30,87.35,88.4,86.88,88.22,2118939
2026-05-13 13:15:00+05:30,88.23,90.17,87.97,88.8,4913978
2026-05-13 14:15:00+05:30,88.81,89.46,87.26,88.41,3003056
2026-05-13 15:15:00+05:30,88.38,88.98,88.25,88.7,983881
2026-05-14 09:15:00+05:30,89.0,91.34,88.99,89.85,3659379
2026-05-14 10:15:00+05:30,89.86,90.25,88.52,89.26,1182481
2026-05-14 11:15:00+05:30,89.28,90.76,89.01,90.5,1306494
2026-05-14 12:15:00+05:30,90.5,91.0,90.44,90.44,1260868
2026-05-14 13:15:00+05:30,90.5,91.08,90.12,90.16,1275576
2026-05-14 14:15:00+05:30,90.16,90.75,90.06,90.65,1200402
2026-05-14 15:15:00+05:30,90.7,90.89,90.61,90.83,630471
2026-05-15 09:15:00+05:30,90.9,90.92,89.1,89.4,2690441
2026-05-15 10:15:00+05:30,89.49,90.12,89.32,89.77,558903
2026-05-15 11:15:00+05:30,89.76,89.88,89.32,89.57,425449
2026-05-15 12:15:00+05:30,89.57,89.6,89.3,89.42,273601
2026-05-15 13:15:00+05:30,89.49,89.5,88.72,88.83,548617
2026-05-15 14:15:00+05:30,88.81,88.87,87.75,88.08,2296602
2026-05-15 15:15:00+05:30,88.19,88.19,87.5,87.96,664368
2026-05-18 09:15:00+05:30,87.68,87.68,82.91,83.93,7210109
2026-05-18 10:15:00+05:30,83.93,84.31,82.43,83.5,3950004
2026-05-18 11:15:00+05:30,83.45,84.38,83.41,84.15,957656
2026-05-18 12:15:00+05:30,84.15,84.43,83.92,84.15,963193
2026-05-18 13:15:00+05:30,84.11,84.48,84.07,84.22,647552
2026-05-18 14:15:00+05:30,84.22,85.08,84.03,84.6,3068312
2026-05-18 15:15:00+05:30,84.59,84.75,84.0,84.1,1268123
2026-05-19 09:15:00+05:30,84.71,87.31,84.71,87.07,2829392
2026-05-19 10:15:00+05:30,87.1,88.46,86.72,87.86,2213496
2026-05-19 11:15:00+05:30,87.86,88.2,87.4,87.48,710772
2026-05-19 12:15:00+05:30,87.48,87.8,87.3,87.6,606649
2026-05-19 13:15:00+05:30,87.6,87.84,87.45,87.63,456499
2026-05-19 14:15:00+05:30,87.63,87.82,87.32,87.57,861391
2026-05-19 15:15:00+05:30,87.61,87.94,87.46,87.72,1151067
2026-05-20 09:15:00+05:30,83.0,85.28,82.3,82.4,13872035
2026-05-20 10:15:00+05:30,82.38,82.75,81.9,82.5,4068524
2026-05-20 11:15:00+05:30,82.5,82.65,81.82,81.95,2689767
2026-05-20 12:15:00+05:30,81.95,84.55,81.91,83.52,6309754
2026-05-20 13:15:00+05:30,83.52,83.52,82.81,83.1,1583138
2026-05-20 14:15:00+05:30,83.1,83.33,82.8,83.12,2182163
