datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,522.6,529.3,519.35,525.3,197867
2026-05-06 10:15:00+05:30,525.3,525.4,520.3,523.15,40756
2026-05-06 11:15:00+05:30,523.15,524.8,522.0,522.8,42502
2026-05-06 12:15:00+05:30,522.8,522.8,517.8,519.8,38758
2026-05-06 13:15:00+05:30,519.8,523.0,519.6,520.5,26453
2026-05-06 14:15:00+05:30,520.5,525.95,520.45,524.05,71569
2026-05-06 15:15:00+05:30,524.05,526.5,524.0,525.95,30592
2026-05-07 09:15:00+05:30,527.6,532.95,523.9,525.55,102719
2026-05-07 10:15:00+05:30,525.55,529.65,525.1,527.3,53055
2026-05-07 11:15:00+05:30,527.3,530.7,527.3,528.95,31931
2026-05-07 12:15:00+05:30,529.25,530.8,528.4,529.15,32644
2026-05-07 13:15:00+05:30,529.15,532.0,528.25,530.4,35113
2026-05-07 14:15:00+05:30,530.1,530.4,519.1,519.9,120677
2026-05-07 15:15:00+05:30,520.0,520.3,515.0,519.7,116926
2026-05-08 09:15:00+05:30,520.95,530.8,520.55,527.8,132120
2026-05-08 10:15:00+05:30,528.2,537.0,526.6,531.65,216015
2026-05-08 11:15:00+05:30,531.2,531.8,526.2,527.2,85306
2026-05-08 12:15:00+05:30,527.2,531.15,526.75,530.3,87427
2026-05-08 13:15:00+05:30,530.3,531.85,527.0,527.7,74557
2026-05-08 14:15:00+05:30,527.7,531.65,524.2,525.0,150000
2026-05-08 15:15:00+05:30,524.95,525.3,524.5,525.0,60679
2026-05-11 09:15:00+05:30,525.0,525.4,514.0,518.75,126945
2026-05-11 10:15:00+05:30,518.75,522.5,518.0,521.5,61011
2026-05-11 11:15:00+05:30,521.5,522.8,519.05,522.8,32459
2026-05-11 12:15:00+05:30,522.8,525.8,522.4,525.45,51537
2026-05-11 13:15:00+05:30,525.45,531.3,524.15,530.3,136740
2026-05-11 14:15:00+05:30,530.3,531.65,523.6,523.6,126277
2026-05-11 15:15:00+05:30,523.9,525.6,522.3,525.6,65132
2026-05-12 09:15:00+05:30,523.6,524.0,505.3,506.85,237767
2026-05-12 10:15:00+05:30,506.85,509.15,505.5,505.55,71427
2026-05-12 11:15:00+05:30,505.85,507.25,503.0,503.1,59473
2026-05-12 12:15:00+05:30,503.1,506.25,502.8,505.9,192762
2026-05-12 13:15:00+05:30,505.75,506.85,505.3,506.1,79934
2026-05-12 14:15:00+05:30,506.0,508.4,505.75,508.3,161489
2026-05-12 15:15:00+05:30,508.25,510.0,505.05,508.5,89890
2026-05-13 09:15:00+05:30,504.9,504.9,495.0,496.2,202142
2026-05-13 10:15:00+05:30,496.5,497.15,490.5,492.0,133920
2026-05-13 11:15:00+05:30,492.0,494.85,491.95,494.45,65421
2026-05-13 12:15:00+05:30,494.85,494.85,492.0,492.7,48733
2026-05-13 13:15:00+05:30,492.75,493.15,491.6,492.3,60272
2026-05-13 14:15:00+05:30,492.3,497.6,491.5,492.15,112297
2026-05-13 15:15:00+05:30,492.15,493.4,492.0,493.4,48679
2026-05-14 09:15:00+05:30,497.95,497.95,481.2,484.75,203469
2026-05-14 10:15:00+05:30,484.6,484.95,481.25,483.0,46957
2026-05-14 11:15:00+05:30,483.0,485.45,483.0,484.85,29712
2026-05-14 12:15:00+05:30,485.0,487.55,484.05,486.85,33527
2026-05-14 13:15:00+05:30,486.85,487.7,485.65,486.5,34206
2026-05-14 14:15:00+05:30,486.1,486.8,483.0,484.95,67448
2026-05-14 15:15:00+05:30,484.95,487.7,484.55,487.7,28814
2026-05-15 09:15:00+05:30,485.0,497.0,485.0,493.85,180621
2026-05-15 10:15:00+05:30,493.45,494.9,490.6,492.0,38302
2026-05-15 11:15:00+05:30,492.0,493.05,488.15,488.5,23463
2026-05-15 12:15:00+05:30,488.5,489.05,486.3,487.1,28624
2026-05-15 13:15:00+05:30,487.1,488.15,486.1,486.25,28841
2026-05-15 14:15:00+05:30,486.5,490.2,485.55,487.4,64740
2026-05-15 15:15:00+05:30,487.4,489.9,487.25,489.45,35308
2026-05-18 09:15:00+05:30,484.0,485.95,471.0,471.8,159489
2026-05-18 10:15:00+05:30,471.8,479.55,470.1,478.35,83975
2026-05-18 11:15:00+05:30,478.05,482.4,477.65,479.9,50969
2026-05-18 12:15:00+05:30,480.5,481.9,479.2,480.7,21304
2026-05-18 13:15:00+05:30,480.9,481.25,479.3,480.7,15676
2026-05-18 14:15:00+05:30,480.7,490.55,478.35,486.0,121861
2026-05-18 15:15:00+05:30,485.8,489.0,485.7,485.7,34009
2026-05-19 09:15:00+05:30,486.5,506.85,486.5,497.3,209819
2026-05-19 10:15:00+05:30,497.3,500.0,497.0,499.65,59088
2026-05-19 11:15:00+05:30,499.65,499.7,495.4,496.0,35258
2026-05-19 12:15:00+05:30,496.0,496.5,494.4,495.75,32722
2026-05-19 13:15:00+05:30,495.75,496.4,493.0,494.2,33194
2026-05-19 14:15:00+05:30,494.2,495.8,493.4,494.05,49675
2026-05-19 15:15:00+05:30,494.2,495.0,493.4,495.0,22535
2026-05-20 09:15:00+05:30,493.95,495.4,489.3,491.45,65832
2026-05-20 10:15:00+05:30,491.45,492.8,488.6,492.65,28644
2026-05-20 11:15:00+05:30,492.65,492.65,490.1,490.55,13689
2026-05-20 12:15:00+05:30,490.55,491.85,490.1,490.6,26897
2026-05-20 13:15:00+05:30,490.6,494.0,490.25,493.75,22592
2026-05-20 14:15:00+05:30,493.55,493.9,490.1,491.0,40144
2026-05-20 15:15:00+05:30,490.55,492.0,488.45,492.0,28945
2026-05-21 09:15:00+05:30,493.5,503.15,493.0,498.5,87995
2026-05-21 10:15:00+05:30,498.85,498.85,493.0,494.7,28632
2026-05-21 11:15:00+05:30,494.7,495.2,493.8,494.4,16484
2026-05-21 12:15:00+05:30,494.4,495.0,492.35,494.95,17495
2026-05-21 13:15:00+05:30,494.95,495.1,488.95,489.35,56178
2026-05-21 14:15:00+05:30,488.95,490.05,488.8,489.7,39484
2026-05-21 15:15:00+05:30,489.9,490.2,488.3,490.0,28232
2026-05-22 09:15:00+05:30,490.3,494.25,488.1,490.15,41804
2026-05-22 10:15:00+05:30,490.15,494.6,489.8,494.6,26674
2026-05-22 11:15:00+05:30,494.6,495.75,493.05,493.6,16690
2026-05-22 12:15:00+05:30,493.6,493.6,486.5,491.65,42325
2026-05-22 13:15:00+05:30,491.65,491.95,490.0,490.4,20117
2026-05-22 14:15:00+05:30,490.4,490.4,488.0,489.7,24474
2026-05-22 15:15:00+05:30,489.7,489.7,487.5,488.9,16732
2026-05-25 09:15:00+05:30,493.0,496.8,492.05,493.6,44935
2026-05-25 10:15:00+05:30,493.6,495.0,491.75,495.0,47295
2026-05-25 11:15:00+05:30,495.0,495.0,493.2,493.85,28107
2026-05-25 12:15:00+05:30,493.85,494.75,492.3,493.35,18269
2026-05-25 13:15:00+05:30,493.35,494.65,492.0,492.55,19085
2026-05-25 14:15:00+05:30,492.55,494.0,491.8,493.5,25222
2026-05-25 15:15:00+05:30,493.2,495.0,492.8,495.0,12689
2026-05-26 09:15:00+05:30,493.05,499.0,491.75,492.8,105660
2026-05-26 10:15:00+05:30,492.8,493.25,492.0,492.7,22305
2026-05-26 11:15:00+05:30,492.7,493.1,491.2,491.75,21144
2026-05-26 12:15:00+05:30,491.75,492.05,490.65,490.85,13671
2026-05-26 13:15:00+05:30,490.65,491.1,489.0,490.05,23660
2026-05-26 14:15:00+05:30,490.05,490.1,487.0,487.5,57127
2026-05-26 15:15:00+05:30,487.45,488.45,486.0,487.7,28801
2026-05-27 09:15:00+05:30,487.75,491.0,485.0,490.9,49551
2026-05-27 10:15:00+05:30,490.9,498.0,490.05,493.4,69269
2026-05-27 11:15:00+05:30,493.4,494.0,490.4,491.5,24864
2026-05-27 12:15:00+05:30,491.5,491.55,488.55,490.55,11659
2026-05-27 13:15:00+05:30,490.55,490.55,488.0,489.65,19707
2026-05-27 14:15:00+05:30,489.65,492.5,488.5,490.8,31708
2026-05-27 15:15:00+05:30,490.8,493.0,490.05,492.65,12807
2026-05-29 09:15:00+05:30,495.3,509.8,492.15,507.5,295145
2026-05-29 10:15:00+05:30,507.55,509.15,503.4,505.3,95508
2026-05-29 11:15:00+05:30,505.3,505.75,500.45,500.95,45179
2026-05-29 12:15:00+05:30,500.95,502.0,498.55,498.85,37449
2026-05-29 13:15:00+05:30,498.85,499.95,497.1,499.6,32361
2026-05-29 14:15:00+05:30,499.9,500.95,492.05,493.75,69893
2026-05-29 15:15:00+05:30,493.95,495.7,492.0,495.7,32710
2026-06-01 09:15:00+05:30,495.1,509.5,495.1,507.85,153874
2026-06-01 10:15:00+05:30,507.65,510.0,505.4,508.6,84501
2026-06-01 11:15:00+05:30,508.6,508.6,504.9,507.25,40622
2026-06-01 12:15:00+05:30,507.25,507.25,503.25,504.2,38577
2026-06-01 13:15:00+05:30,504.0,504.4,498.0,498.45,48128
2026-06-01 14:15:00+05:30,498.45,499.15,495.0,496.05,214394
2026-06-01 15:15:00+05:30,496.0,496.4,488.7,493.5,176754
2026-06-02 09:15:00+05:30,496.0,528.0,495.4,522.0,1839958
2026-06-02 10:15:00+05:30,522.0,529.4,519.3,520.9,1027384
2026-06-02 11:15:00+05:30,520.9,524.8,513.45,513.9,562233
2026-06-02 12:15:00+05:30,513.9,520.75,512.05,519.9,335591
2026-06-02 13:15:00+05:30,519.9,523.7,518.15,520.55,229048
2026-06-02 14:15:00+05:30,520.55,520.85,519.0,519.85,283649
2026-06-02 15:15:00+05:30,519.9,523.0,519.0,522.3,227536
2026-06-03 09:15:00+05:30,519.85,519.85,501.5,501.8,202620
2026-06-03 10:15:00+05:30,501.8,505.95,501.75,503.3,71423
2026-06-03 11:15:00+05:30,502.75,503.8,500.0,500.6,52308
2026-06-03 12:15:00+05:30,500.6,504.7,500.35,504.25,49838
2026-06-03 13:15:00+05:30,504.45,507.0,503.4,505.05,34785
2026-06-03 14:15:00+05:30,505.05,510.95,505.05,510.35,100791
2026-06-03 15:15:00+05:30,510.5,511.8,507.7,509.5,44408
2026-06-04 09:15:00+05:30,509.5,509.5,487.5,488.6,352370
2026-06-04 10:15:00+05:30,488.3,490.5,484.2,484.7,479279
2026-06-04 11:15:00+05:30,484.7,486.85,484.2,484.95,258264
2026-06-04 12:15:00+05:30,484.9,485.75,483.0,483.55,181774
2026-06-04 13:15:00+05:30,483.4,485.3,483.15,484.95,129341
2026-06-04 14:15:00+05:30,484.95,485.65,484.15,484.65,200969
2026-06-04 15:15:00+05:30,484.6,484.6,476.5,480.0,263074
2026-06-05 09:15:00+05:30,484.0,488.1,481.15,487.55,227713
2026-06-05 10:15:00+05:30,487.45,487.7,482.25,483.85,47724
2026-06-05 11:15:00+05:30,483.85,486.45,483.0,484.7,31158
2026-06-05 12:15:00+05:30,484.7,486.15,483.4,483.7,21050
2026-06-05 13:15:00+05:30,483.7,485.2,482.7,484.15,26681
2026-06-05 14:15:00+05:30,484.15,486.9,482.85,482.85,69236
2026-06-05 15:15:00+05:30,483.1,484.95,482.65,484.0,30993
2026-06-08 09:15:00+05:30,476.65,479.9,472.75,478.3,117210
2026-06-08 10:15:00+05:30,478.25,484.8,477.65,482.55,50939
2026-06-08 11:15:00+05:30,482.85,483.45,481.25,483.0,27367
2026-06-08 12:15:00+05:30,483.0,484.65,482.2,482.85,34057
2026-06-08 13:15:00+05:30,482.5,483.2,478.8,480.05,40867
2026-06-08 14:15:00+05:30,480.35,480.35,474.45,475.9,69727
2026-06-08 15:15:00+05:30,475.6,475.85,472.6,473.0,41374
2026-06-09 09:15:00+05:30,475.0,479.8,467.05,469.7,204594
2026-06-09 10:15:00+05:30,469.7,470.0,465.3,467.6,106033
2026-06-09 11:15:00+05:30,467.6,469.3,467.2,468.65,44787
2026-06-09 12:15:00+05:30,468.7,469.25,464.4,464.4,92219
2026-06-09 13:15:00+05:30,464.55,466.35,461.85,462.45,94840
2026-06-09 14:15:00+05:30,462.45,464.35,459.55,464.15,184956
2026-06-09 15:15:00+05:30,464.1,467.5,463.25,467.5,78573
2026-06-10 09:15:00+05:30,467.75,472.9,465.55,468.25,136646
2026-06-10 10:15:00+05:30,468.1,469.2,462.5,462.6,63291
2026-06-10 11:15:00+05:30,462.6,464.65,460.55,461.85,67795
2026-06-10 12:15:00+05:30,461.85,462.0,460.45,461.15,26469
2026-06-10 13:15:00+05:30,461.2,462.0,460.5,460.55,39623
2026-06-10 14:15:00+05:30,460.65,461.65,457.0,457.55,104329
2026-06-10 15:15:00+05:30,457.65,457.7,455.85,457.35,41467
2026-06-11 09:15:00+05:30,457.0,457.0,438.4,443.75,387884
2026-06-11 10:15:00+05:30,443.75,449.2,442.0,443.55,129301
2026-06-11 11:15:00+05:30,443.55,446.1,442.9,444.0,99887
2026-06-11 12:15:00+05:30,444.0,444.6,441.35,441.7,52567
2026-06-11 13:15:00+05:30,441.7,442.95,441.0,442.65,50633
2026-06-11 14:15:00+05:30,442.65,445.2,440.3,442.7,143880
2026-06-11 15:15:00+05:30,442.65,446.0,442.55,445.0,63490
2026-06-12 09:15:00+05:30,453.0,455.0,444.95,449.35,121688
2026-06-12 10:15:00+05:30,449.35,454.0,447.0,449.0,83064
2026-06-12 11:15:00+05:30,449.0,449.5,445.2,445.35,53263
2026-06-12 12:15:00+05:30,445.35,446.15,443.2,444.0,27138
2026-06-12 13:15:00+05:30,444.0,448.65,443.7,448.65,49223
