datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,225.25,236.0,223.1,232.9,892894
2021-07-11 00:00:00+05:30,235.9,253.7,222.5,225.35,3900814
2021-07-18 00:00:00+05:30,228.75,238.6,224.1,231.45,3211192
2021-07-25 00:00:00+05:30,230.9,260.3,227.0,246.1,7758811
2021-08-01 00:00:00+05:30,247.95,271.9,245.75,258.05,7774711
2021-08-08 00:00:00+05:30,257.95,263.5,231.0,234.85,4054079
2021-08-15 00:00:00+05:30,236.75,244.3,205.0,226.35,4277946
2021-08-22 00:00:00+05:30,226.35,228.2,207.0,208.15,1614759
2021-08-29 00:00:00+05:30,211.9,226.7,192.05,217.85,5065218
2021-09-05 00:00:00+05:30,218.7,247.9,217.0,237.6,6324190
2021-09-12 00:00:00+05:30,237.6,244.7,230.35,237.05,1764895
2021-09-19 00:00:00+05:30,237.0,291.75,233.0,267.75,21753714
2021-09-26 00:00:00+05:30,261.0,278.95,242.6,261.05,7132335
2021-10-03 00:00:00+05:30,263.7,266.7,250.1,258.95,3910783
2021-10-10 00:00:00+05:30,261.9,276.75,258.0,266.75,4987274
2021-10-17 00:00:00+05:30,271.0,272.4,254.4,260.2,2259928
2021-10-24 00:00:00+05:30,263.4,266.5,240.0,244.35,2778042
2021-10-31 00:00:00+05:30,245.0,253.75,225.8,233.35,2879253
2021-11-07 00:00:00+05:30,236.85,259.8,233.75,256.7,1920599
2021-11-14 00:00:00+05:30,258.0,272.45,247.6,255.15,3661275
2021-11-21 00:00:00+05:30,255.0,258.7,228.0,232.3,2071174
2021-11-28 00:00:00+05:30,234.6,236.9,213.0,216.0,3483677
2021-12-05 00:00:00+05:30,216.0,225.0,199.0,221.35,3258299
2021-12-12 00:00:00+05:30,220.1,231.75,214.0,225.9,1841632
2021-12-19 00:00:00+05:30,227.9,238.95,211.4,213.95,2423577
2021-12-26 00:00:00+05:30,211.0,218.4,203.4,210.6,1424850
2022-01-02 00:00:00+05:30,210.0,228.35,207.65,222.3,1558192
2022-01-09 00:00:00+05:30,223.25,234.85,218.0,230.75,1824765
2022-01-16 00:00:00+05:30,232.55,237.1,225.5,232.05,1771357
2022-01-23 00:00:00+05:30,233.8,246.9,221.3,223.35,2863792
2022-01-30 00:00:00+05:30,220.5,224.35,204.6,222.1,1452793
2022-02-06 00:00:00+05:30,224.3,248.8,221.25,237.05,2942598
2022-02-13 00:00:00+05:30,234.5,234.5,210.7,211.45,2103671
2022-02-20 00:00:00+05:30,207.0,227.25,203.05,225.15,2603265
2022-02-27 00:00:00+05:30,220.0,227.85,198.35,215.1,2194795
2022-03-06 00:00:00+05:30,212.05,219.15,207.0,214.9,1297757
2022-03-13 00:00:00+05:30,210.0,223.0,206.0,218.05,1139849
2022-03-20 00:00:00+05:30,219.0,226.95,212.0,221.35,1046239
