datetime,open,high,low,close,volume
2024-04-28 00:00:00+05:30,171.0,193.7,155.0,170.8,1386705
2024-05-05 00:00:00+05:30,170.8,173.8,164.3,166.1,114345
2024-05-12 00:00:00+05:30,166.2,168.5,146.4,152.9,371515
2024-05-19 00:00:00+05:30,147.2,184.0,147.2,175.4,534430
2024-05-26 00:00:00+05:30,175.4,180.0,166.2,173.5,964830
2024-06-02 00:00:00+05:30,176.1,179.6,160.0,165.1,778340
2024-06-09 00:00:00+05:30,178.0,216.9,156.7,211.4,6006085
2024-06-16 00:00:00+05:30,213.6,230.0,200.0,224.1,3069915
2024-06-23 00:00:00+05:30,227.5,228.6,197.9,226.2,1698435
2024-06-30 00:00:00+05:30,228.6,236.0,221.0,231.4,1377825
2024-07-07 00:00:00+05:30,235.0,235.4,224.2,225.6,848645
2024-07-14 00:00:00+05:30,228.8,235.4,222.0,224.3,626375
2024-07-21 00:00:00+05:30,224.3,226.9,201.0,202.9,679710
2024-07-28 00:00:00+05:30,202.9,212.4,191.9,209.8,843300
2024-08-04 00:00:00+05:30,209.8,218.1,203.9,210.0,730475
2024-08-11 00:00:00+05:30,198.2,288.6,197.4,282.4,10535640
2024-08-18 00:00:00+05:30,280.0,294.0,261.0,277.6,4192495
2024-08-25 00:00:00+05:30,279.8,344.6,275.6,344.1,3275455
2024-09-01 00:00:00+05:30,347.6,366.0,325.0,338.1,3318480
2024-09-08 00:00:00+05:30,341.6,348.6,320.2,328.8,961695
2024-09-15 00:00:00+05:30,328.0,337.2,310.0,336.3,1058925
2024-09-22 00:00:00+05:30,344.5,349.6,319.4,338.0,1408735
2024-09-29 00:00:00+05:30,344.0,358.2,335.9,340.8,2171850
2024-10-06 00:00:00+05:30,341.8,365.0,341.1,360.4,1974165
2024-10-13 00:00:00+05:30,362.6,366.0,332.1,360.3,2110770
2024-10-20 00:00:00+05:30,360.3,370.0,346.6,365.5,3043855
2024-10-27 00:00:00+05:30,368.0,380.0,312.0,323.1,3977930
2024-11-03 00:00:00+05:30,323.1,340.9,311.0,335.8,1837840
2024-11-10 00:00:00+05:30,338.8,353.2,326.4,329.2,1314935
2024-11-17 00:00:00+05:30,330.0,338.6,308.2,314.6,1139150
2024-11-24 00:00:00+05:30,310.2,327.8,310.0,310.8,900035
2024-12-01 00:00:00+05:30,312.0,326.6,310.0,316.2,710695
2024-12-08 00:00:00+05:30,315.0,337.8,311.8,331.0,1347420
2024-12-15 00:00:00+05:30,333.6,382.1,328.6,366.0,2900790
2024-12-22 00:00:00+05:30,366.2,377.6,334.3,339.2,828415
2024-12-29 00:00:00+05:30,340.0,343.7,332.2,341.6,414700
2025-01-05 00:00:00+05:30,343.6,397.6,336.3,389.6,6376670
2025-01-12 00:00:00+05:30,391.2,397.6,357.6,372.4,2388995
2025-01-19 00:00:00+05:30,366.8,375.8,332.9,350.2,3296850
2025-01-26 00:00:00+05:30,353.0,385.0,339.0,352.1,2439235
2025-02-02 00:00:00+05:30,351.6,353.0,318.2,340.3,2708890
2025-02-09 00:00:00+05:30,340.3,367.2,333.0,360.1,1444330
2025-02-16 00:00:00+05:30,366.0,371.0,324.2,328.5,1766385
2025-02-23 00:00:00+05:30,328.0,329.6,289.4,305.8,3333945
2025-03-02 00:00:00+05:30,305.8,308.0,265.1,281.9,2487750
2025-03-09 00:00:00+05:30,284.5,320.0,284.5,302.0,5684460
2025-03-16 00:00:00+05:30,306.6,306.6,283.0,293.4,1045745
2025-03-23 00:00:00+05:30,295.0,327.9,281.0,310.4,1746425
2025-03-30 00:00:00+05:30,311.8,350.0,305.2,346.1,3093540
2025-04-06 00:00:00+05:30,346.5,362.2,333.6,336.9,1165210
2025-04-13 00:00:00+05:30,282.6,333.1,282.3,321.8,1849015
2025-04-20 00:00:00+05:30,328.0,355.3,325.3,354.0,766145
2025-04-27 00:00:00+05:30,357.6,385.4,341.0,344.9,3773775
2025-05-04 00:00:00+05:30,350.8,364.6,342.8,359.2,1286325
2025-05-11 00:00:00+05:30,366.3,380.5,330.3,349.1,1907710
2025-05-18 00:00:00+05:30,362.0,432.8,355.3,430.0,9368475
2025-05-25 00:00:00+05:30,433.2,455.6,428.4,444.7,3868605
2025-06-01 00:00:00+05:30,446.6,477.2,436.0,475.8,11301080
2025-06-08 00:00:00+05:30,479.6,506.2,470.7,499.0,5272570
2025-06-15 00:00:00+05:30,504.0,510.0,484.2,489.8,1768150
2025-06-22 00:00:00+05:30,489.8,519.4,480.0,517.6,5794540
2025-06-29 00:00:00+05:30,511.0,548.5,507.1,524.1,5078890
2025-07-06 00:00:00+05:30,530.9,539.6,486.4,513.6,5523045
2025-07-13 00:00:00+05:30,516.9,539.8,511.2,525.7,4635700
2025-07-20 00:00:00+05:30,529.4,566.0,501.2,561.0,9371860
2025-07-27 00:00:00+05:30,561.0,579.2,453.2,548.2,23325215
2025-08-03 00:00:00+05:30,545.0,578.0,528.0,551.3,5218380
2025-08-10 00:00:00+05:30,546.0,580.8,545.2,568.7,3488720
2025-08-17 00:00:00+05:30,568.0,599.8,499.1,579.5,8696685
2025-08-24 00:00:00+05:30,588.0,604.2,565.8,596.6,5872690
2025-08-31 00:00:00+05:30,596.2,650.0,594.0,646.6,6157795
2025-09-07 00:00:00+05:30,646.4,649.6,600.0,617.8,7155390
2025-09-14 00:00:00+05:30,622.1,631.7,608.0,627.0,1789275
2025-09-21 00:00:00+05:30,628.0,659.0,621.0,632.1,10131120
2025-09-28 00:00:00+05:30,623.6,623.6,591.0,593.1,3019570
2025-10-05 00:00:00+05:30,594.3,639.9,590.2,638.2,2554740
2025-10-12 00:00:00+05:30,640.0,661.0,628.2,659.9,2638115
2025-10-19 00:00:00+05:30,660.0,663.7,618.0,632.4,1520545
