datetime,open,high,low,close,volume
2025-07-27 00:00:00+05:30,723.05,770.0,701.9,757.35,73008299
2025-08-03 00:00:00+05:30,750.0,801.85,732.0,738.4,11913530
2025-08-10 00:00:00+05:30,738.4,762.0,711.55,729.6,4192984
2025-08-17 00:00:00+05:30,730.1,836.4,725.05,824.95,12894230
2025-08-24 00:00:00+05:30,825.0,860.8,791.2,822.9,8700790
2025-08-31 00:00:00+05:30,828.2,864.9,815.2,818.05,3646456
2025-09-07 00:00:00+05:30,826.0,858.0,801.2,829.8,2811300
2025-09-14 00:00:00+05:30,829.75,841.95,812.5,833.5,1753372
2025-09-21 00:00:00+05:30,833.5,873.5,824.0,846.1,2951466
2025-09-28 00:00:00+05:30,840.7,848.95,770.4,780.9,2204858
2025-10-05 00:00:00+05:30,782.1,784.6,752.2,759.25,1532573
2025-10-12 00:00:00+05:30,759.65,806.0,745.05,800.8,1748208
2025-10-19 00:00:00+05:30,793.0,797.6,753.45,757.6,1501446
2025-10-26 00:00:00+05:30,758.1,762.85,715.15,719.95,2382927
2025-11-02 00:00:00+05:30,722.05,736.7,708.0,710.1,2200334
2025-11-09 00:00:00+05:30,709.7,712.25,686.0,696.55,1389031
2025-11-16 00:00:00+05:30,696.0,715.5,668.4,678.9,3716319
2025-11-23 00:00:00+05:30,681.0,682.7,632.9,635.1,2247536
2025-11-30 00:00:00+05:30,635.45,651.0,620.0,634.7,2636694
2025-12-07 00:00:00+05:30,640.0,668.9,636.7,654.45,2043578
2025-12-14 00:00:00+05:30,654.9,700.7,634.2,699.45,3507349
2025-12-21 00:00:00+05:30,690.0,701.0,655.45,678.95,2879475
2025-12-28 00:00:00+05:30,680.0,687.4,651.0,653.95,450676
2026-01-04 00:00:00+05:30,654.0,659.55,633.55,654.45,937394
2026-01-11 00:00:00+05:30,650.05,660.0,628.0,629.7,1063965
2026-01-18 00:00:00+05:30,629.7,631.85,604.0,616.9,549241
2026-01-25 00:00:00+05:30,610.0,630.0,587.1,608.9,977037
2026-02-01 00:00:00+05:30,605.55,638.0,580.65,587.85,1364857
2026-02-08 00:00:00+05:30,590.1,656.6,579.15,652.9,1811328
2026-02-15 00:00:00+05:30,653.9,705.6,650.6,689.95,1609895
2026-02-22 00:00:00+05:30,685.0,700.05,677.0,681.9,540455
2026-03-01 00:00:00+05:30,685.3,713.95,681.6,701.25,858107
2026-03-08 00:00:00+05:30,653.05,697.7,650.0,663.2,1211082
2026-03-15 00:00:00+05:30,636.0,679.9,608.3,640.05,2579010
2026-03-22 00:00:00+05:30,640.05,650.35,626.25,644.85,779529
2026-03-29 00:00:00+05:30,635.0,690.45,625.2,681.45,2026610
2026-04-05 00:00:00+05:30,667.85,677.3,648.15,660.75,830609
2026-04-12 00:00:00+05:30,660.95,749.0,656.35,744.4,2698055
2026-04-19 00:00:00+05:30,730.1,749.4,710.3,721.1,1076129
2026-04-26 00:00:00+05:30,724.95,767.1,709.5,739.55,1878967
2026-05-03 00:00:00+05:30,744.0,785.9,739.15,760.1,1274267
2026-05-10 00:00:00+05:30,766.2,805.0,752.35,784.65,1187842
2026-05-17 00:00:00+05:30,783.5,825.65,763.8,783.3,2063855
2026-05-24 00:00:00+05:30,781.1,819.65,763.5,777.1,3472392
2026-05-31 00:00:00+05:30,777.1,786.4,745.4,759.95,3918430
2026-06-07 00:00:00+05:30,759.0,764.0,736.15,761.5,1136924
2026-06-14 00:00:00+05:30,750.0,795.0,750.0,788.7,2090404
2026-06-21 00:00:00+05:30,798.0,814.8,761.5,791.05,4044642
2026-06-28 00:00:00+05:30,792.0,794.7,755.1,761.7,1820141
2026-07-05 00:00:00+05:30,761.7,783.4,760.0,770.0,2595367
