datetime,open,high,low,close,volume
2022-02-13 00:00:00+05:30,227.0,419.9,227.0,381.0,351278232
2022-02-20 00:00:00+05:30,364.2,405.0,351.15,354.3,93249956
2022-02-27 00:00:00+05:30,351.9,366.2,305.0,366.1,83364606
2022-03-06 00:00:00+05:30,367.1,395.9,359.1,360.8,53839501
2022-03-13 00:00:00+05:30,346.0,358.8,337.25,344.2,44385130
2022-03-20 00:00:00+05:30,345.55,380.85,338.45,379.8,48944311
2022-03-27 00:00:00+05:30,390.0,423.9,382.3,419.25,89254617
2022-04-03 00:00:00+05:30,424.9,542.7,424.05,542.7,128116238
2022-04-10 00:00:00+05:30,560.0,639.3,522.75,549.6,68924182
2022-04-17 00:00:00+05:30,550.1,636.15,550.1,636.15,45261835
2022-04-24 00:00:00+05:30,637.0,732.0,622.6,728.55,105299858
2022-05-01 00:00:00+05:30,743.0,878.0,736.6,780.4,130055381
2022-05-08 00:00:00+05:30,758.0,783.0,715.95,715.95,24322809
2022-08-21 00:00:00+05:30,693.9,761.6,680.05,733.8,25420673
2022-08-28 00:00:00+05:30,733.8,740.0,663.95,682.65,19945566
2022-09-04 00:00:00+05:30,655.0,702.0,655.0,676.4,8655545
2022-09-11 00:00:00+05:30,680.2,715.0,665.0,703.6,12339048
2022-09-18 00:00:00+05:30,712.1,744.0,702.35,721.95,19397898
2022-09-25 00:00:00+05:30,726.7,841.7,712.2,809.95,45276047
2022-10-02 00:00:00+05:30,812.8,819.2,731.0,755.5,25658955
2022-10-09 00:00:00+05:30,754.95,764.95,686.0,750.95,19585776
2022-10-16 00:00:00+05:30,741.0,758.25,630.2,654.85,17382584
2022-10-23 00:00:00+05:30,655.0,716.85,636.2,682.3,17533975
2022-10-30 00:00:00+05:30,693.0,694.0,664.05,671.05,5353030
2022-11-06 00:00:00+05:30,674.95,730.0,667.0,684.55,22748417
2022-11-13 00:00:00+05:30,687.9,703.4,671.15,675.3,8182657
2022-11-20 00:00:00+05:30,671.2,678.4,635.0,636.6,7314575
2022-11-27 00:00:00+05:30,633.8,648.0,615.05,631.5,6899039
2022-12-04 00:00:00+05:30,631.0,668.4,620.0,641.4,8675790
2022-12-11 00:00:00+05:30,642.95,664.9,632.05,639.1,9485903
2022-12-18 00:00:00+05:30,640.0,666.0,630.0,636.25,10960961
2022-12-25 00:00:00+05:30,639.5,640.0,497.4,499.65,18944355
2023-01-01 00:00:00+05:30,505.5,627.8,492.55,617.65,16766002
2023-01-08 00:00:00+05:30,618.45,623.3,562.8,568.35,7720621
2023-01-15 00:00:00+05:30,577.5,596.85,564.45,573.3,8047870
2023-01-22 00:00:00+05:30,575.0,578.2,552.45,554.45,4287265
2023-01-29 00:00:00+05:30,556.65,573.65,516.85,516.85,8978742
2023-02-05 00:00:00+05:30,491.0,500.0,399.95,399.95,15630180
2023-02-12 00:00:00+05:30,379.95,456.95,360.95,435.9,40088519
2023-02-19 00:00:00+05:30,425.0,443.2,383.25,438.25,23924048
2023-02-26 00:00:00+05:30,438.95,455.0,357.25,362.55,24867810
2023-03-05 00:00:00+05:30,360.0,418.55,327.25,418.55,26262494
2023-03-12 00:00:00+05:30,439.45,484.45,425.75,453.5,33911289
2023-03-19 00:00:00+05:30,450.0,471.75,408.35,427.65,23171765
2023-03-26 00:00:00+05:30,423.0,435.5,406.5,407.7,12949511
2023-04-02 00:00:00+05:30,409.0,411.8,357.4,405.85,15703357
2023-04-09 00:00:00+05:30,405.85,414.75,391.2,409.2,8827568
2023-04-16 00:00:00+05:30,412.0,426.0,408.05,410.5,8288783
2023-04-23 00:00:00+05:30,410.5,417.0,398.85,404.3,7668244
