datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,60.05,62.45,59.65,60.3,81234831
2021-07-18 00:00:00+05:30,60.35,61.65,59.55,59.9,87864693
2021-07-25 00:00:00+05:30,59.85,62.6,59.2,60.9,94356804
2021-08-01 00:00:00+05:30,60.9,63.9,60.05,61.55,132646611
2021-08-08 00:00:00+05:30,61.65,62.35,58.05,58.45,133973574
2021-08-15 00:00:00+05:30,55.0,58.55,54.1,58.15,216535683
2021-08-22 00:00:00+05:30,58.05,60.6,56.75,57.0,80352717
2021-08-29 00:00:00+05:30,57.45,62.0,56.4,61.75,107655201
2021-09-05 00:00:00+05:30,61.65,66.5,61.2,66.2,139998426
2021-09-12 00:00:00+05:30,67.1,67.65,64.45,65.7,83114742
2021-09-19 00:00:00+05:30,65.85,69.65,64.9,68.45,103185468
2021-09-26 00:00:00+05:30,67.5,70.25,67.0,68.5,79356147
2021-10-03 00:00:00+05:30,68.7,70.8,66.4,67.25,123935274
2021-10-10 00:00:00+05:30,67.35,69.5,66.0,66.7,68448933
2021-10-17 00:00:00+05:30,66.7,71.3,66.7,70.2,72348591
2021-10-24 00:00:00+05:30,68.4,73.85,66.65,67.15,97587990
2021-10-31 00:00:00+05:30,67.5,72.95,61.15,68.95,138930645
2021-11-07 00:00:00+05:30,69.25,69.6,65.45,67.3,70309593
2021-11-14 00:00:00+05:30,67.2,76.0,67.2,74.55,150163863
2021-11-21 00:00:00+05:30,74.9,75.35,69.45,69.6,63484005
2021-11-28 00:00:00+05:30,69.95,71.0,65.55,66.05,78567705
2021-12-05 00:00:00+05:30,65.4,69.95,62.95,68.9,86970546
2021-12-12 00:00:00+05:30,68.9,71.55,68.05,68.5,78059850
2021-12-19 00:00:00+05:30,68.95,70.95,66.75,67.1,96254523
2021-12-26 00:00:00+05:30,66.95,69.9,63.9,68.0,54550578
2022-01-02 00:00:00+05:30,68.0,71.0,67.15,70.0,98893164
2022-01-09 00:00:00+05:30,69.9,73.0,69.15,69.35,74064468
2022-01-16 00:00:00+05:30,69.65,74.05,69.1,73.35,66834096
2022-01-23 00:00:00+05:30,74.0,74.25,68.35,69.0,115163469
2022-01-30 00:00:00+05:30,69.0,70.35,64.75,69.05,98210523
2022-02-06 00:00:00+05:30,71.55,73.25,67.8,68.25,142866081
2022-02-13 00:00:00+05:30,68.3,68.6,65.45,66.8,83519283
2022-02-20 00:00:00+05:30,65.65,68.2,64.2,66.65,85911849
2022-02-27 00:00:00+05:30,66.0,67.3,62.35,66.7,88403112
2022-03-06 00:00:00+05:30,65.7,74.9,65.4,71.65,161949855
