datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,301.9,302.95,294.15,294.9,967209
2021-07-11 00:00:00+05:30,297.0,304.9,293.0,300.15,4778607
2021-07-18 00:00:00+05:30,303.0,312.3,299.1,300.7,4990972
2021-07-25 00:00:00+05:30,299.8,309.5,299.0,304.0,3304999
2021-08-01 00:00:00+05:30,305.15,321.95,296.3,304.95,13563250
2021-08-08 00:00:00+05:30,308.7,335.0,307.1,319.45,14074833
2021-08-15 00:00:00+05:30,321.4,336.35,312.5,331.7,9765381
2021-08-22 00:00:00+05:30,331.65,348.9,319.25,337.45,6616159
2021-08-29 00:00:00+05:30,332.95,336.85,310.4,322.55,4142431
2021-09-05 00:00:00+05:30,324.95,328.85,315.0,315.95,2667521
2021-09-12 00:00:00+05:30,317.75,319.5,305.0,305.85,2181762
2021-09-19 00:00:00+05:30,305.8,327.45,305.5,312.6,4360980
2021-09-26 00:00:00+05:30,311.5,358.7,302.15,341.15,11445920
2021-10-03 00:00:00+05:30,341.8,348.95,324.0,339.85,6192735
2021-10-10 00:00:00+05:30,341.0,451.0,333.35,434.45,18785889
2021-10-17 00:00:00+05:30,425.0,427.65,378.75,383.35,6288138
2021-10-24 00:00:00+05:30,386.95,391.0,326.6,330.85,6038841
2021-10-31 00:00:00+05:30,331.1,372.5,315.2,369.7,7521980
2021-11-07 00:00:00+05:30,371.05,375.85,346.6,351.3,3778482
2021-11-14 00:00:00+05:30,348.5,366.8,344.25,345.3,4191870
2021-11-21 00:00:00+05:30,348.5,381.7,347.05,365.35,11705482
2021-11-28 00:00:00+05:30,366.5,403.95,349.65,369.45,16458217
2021-12-05 00:00:00+05:30,369.45,417.95,349.0,405.4,25649845
2021-12-12 00:00:00+05:30,407.45,416.3,391.65,400.15,11771699
2021-12-19 00:00:00+05:30,404.0,424.1,385.2,386.75,9917978
2021-12-26 00:00:00+05:30,384.7,395.4,353.75,380.75,8192438
2022-01-02 00:00:00+05:30,380.75,400.0,371.0,394.8,5583052
2022-01-09 00:00:00+05:30,392.0,437.9,392.0,423.15,16777686
2022-01-16 00:00:00+05:30,425.0,470.0,421.55,468.9,20130370
2022-01-23 00:00:00+05:30,470.0,484.95,457.0,467.2,14340367
2022-01-30 00:00:00+05:30,467.2,469.35,422.1,432.1,9149833
2022-02-06 00:00:00+05:30,433.0,444.65,395.4,396.95,12283670
2022-02-13 00:00:00+05:30,396.0,409.4,384.1,387.9,7282487
2022-02-20 00:00:00+05:30,384.4,399.0,367.9,383.4,8174990
2022-02-27 00:00:00+05:30,382.0,382.4,348.75,368.65,6690072
2022-03-06 00:00:00+05:30,368.4,396.55,363.65,390.45,4650283
2022-03-13 00:00:00+05:30,385.0,430.7,377.15,423.0,13841539
2022-03-20 00:00:00+05:30,425.9,429.45,399.55,418.15,6649484
2022-03-27 00:00:00+05:30,420.95,441.0,406.5,409.85,14331477
2022-04-03 00:00:00+05:30,410.0,436.4,403.25,430.25,10854828
2022-04-10 00:00:00+05:30,431.0,476.0,431.0,464.75,14939516
2022-04-17 00:00:00+05:30,470.0,493.5,440.05,474.65,16936401
2022-04-24 00:00:00+05:30,475.0,516.0,437.2,469.2,26902586
2022-05-01 00:00:00+05:30,464.0,479.6,445.4,457.55,11628411
2022-05-08 00:00:00+05:30,456.0,466.3,436.0,448.95,5053720
2022-05-15 00:00:00+05:30,445.75,447.1,386.05,391.3,9605241
2022-05-22 00:00:00+05:30,385.0,414.75,379.35,396.05,12999865
2022-05-29 00:00:00+05:30,398.25,419.9,335.3,350.1,18374370
2022-06-05 00:00:00+05:30,356.55,370.8,350.5,351.85,8568837
2022-06-12 00:00:00+05:30,351.0,356.9,326.9,329.65,8232330
2022-06-19 00:00:00+05:30,326.0,326.95,294.6,299.95,9156611
2022-06-26 00:00:00+05:30,302.5,304.6,273.1,284.7,8790281
2022-07-03 00:00:00+05:30,288.0,296.0,260.8,271.25,12724409
2022-07-10 00:00:00+05:30,272.0,300.2,271.0,298.05,12697727
2022-07-17 00:00:00+05:30,295.1,308.45,293.2,303.55,10170470
2022-07-24 00:00:00+05:30,306.5,324.9,300.45,320.25,12718765
2022-07-31 00:00:00+05:30,321.9,324.9,307.15,322.15,10966321
2022-08-07 00:00:00+05:30,323.7,336.9,310.5,321.7,18117741
2022-08-14 00:00:00+05:30,323.5,344.9,322.05,342.9,12178950
2022-08-21 00:00:00+05:30,345.4,346.8,335.0,338.95,6499448
2022-08-28 00:00:00+05:30,330.35,351.0,312.15,348.15,18475322
2022-09-04 00:00:00+05:30,342.0,357.8,335.1,345.8,11366050
2022-09-11 00:00:00+05:30,347.5,353.5,340.4,351.55,5798446
2022-09-18 00:00:00+05:30,352.45,366.8,339.95,341.9,10949954
2022-09-25 00:00:00+05:30,342.6,357.0,327.0,329.5,8466765
2022-10-02 00:00:00+05:30,329.5,329.5,302.0,319.45,9676575
2022-10-09 00:00:00+05:30,318.5,326.75,310.65,320.6,5603559
2022-10-16 00:00:00+05:30,317.1,329.85,312.2,325.95,5018834
2022-10-23 00:00:00+05:30,325.1,332.45,317.65,324.45,6205336
2022-10-30 00:00:00+05:30,327.95,331.95,314.7,316.55,3207912
2022-11-06 00:00:00+05:30,318.15,329.3,303.5,307.6,13096927
2022-11-13 00:00:00+05:30,309.0,314.25,285.15,286.4,8894955
2022-11-20 00:00:00+05:30,287.0,297.0,280.5,282.45,6745726
2022-11-27 00:00:00+05:30,283.0,304.0,279.75,303.05,11526931
2022-12-04 00:00:00+05:30,303.15,311.8,300.6,302.05,8324346
2022-12-11 00:00:00+05:30,305.0,315.0,302.55,305.65,9871801
2022-12-18 00:00:00+05:30,304.0,323.95,302.7,315.25,18789293
2022-12-25 00:00:00+05:30,317.95,318.4,275.5,277.0,17270252
2023-01-01 00:00:00+05:30,278.0,314.2,274.3,310.2,10941513
2023-01-08 00:00:00+05:30,312.0,321.0,310.05,313.3,10780882
2023-01-15 00:00:00+05:30,316.0,317.8,303.3,306.75,3972250
2023-01-22 00:00:00+05:30,307.05,310.3,297.15,303.5,4150928
2023-01-29 00:00:00+05:30,302.15,306.8,286.25,291.8,3482937
2023-02-05 00:00:00+05:30,291.8,318.8,287.1,293.85,9971241
2023-02-12 00:00:00+05:30,292.5,299.3,284.25,298.2,6892234
2023-02-19 00:00:00+05:30,298.0,305.5,292.45,293.25,6223874
2023-02-26 00:00:00+05:30,293.25,296.0,272.0,274.2,4526598
2023-03-05 00:00:00+05:30,274.0,284.65,268.2,283.05,4842430
2023-03-12 00:00:00+05:30,284.8,295.3,281.75,286.3,4630477
2023-03-19 00:00:00+05:30,286.0,289.0,270.85,274.4,4544061
2023-03-26 00:00:00+05:30,273.6,274.0,261.0,261.8,3007279
2023-04-02 00:00:00+05:30,261.8,267.4,248.4,264.1,5552176
2023-04-09 00:00:00+05:30,266.4,274.15,265.1,272.6,3542527
2023-04-16 00:00:00+05:30,274.05,290.3,274.0,289.55,5544516
2023-04-23 00:00:00+05:30,288.95,292.1,274.55,277.2,4577363
2023-04-30 00:00:00+05:30,278.75,287.7,272.05,285.65,7211544
2023-05-07 00:00:00+05:30,287.7,304.2,285.65,300.3,8061014
2023-05-14 00:00:00+05:30,301.75,306.05,289.5,290.05,6352337
2023-05-21 00:00:00+05:30,289.8,312.8,287.05,290.6,13283763
2023-05-28 00:00:00+05:30,291.0,295.3,282.2,286.6,5098161
2023-06-04 00:00:00+05:30,280.0,293.45,277.5,280.75,7956697
2023-06-11 00:00:00+05:30,280.9,284.6,273.6,274.45,5109600
2023-06-18 00:00:00+05:30,275.0,283.3,273.55,278.3,7999047
2023-06-25 00:00:00+05:30,278.5,280.9,267.05,267.9,5231413
2023-07-02 00:00:00+05:30,267.5,278.35,266.2,272.65,5875471
2023-07-09 00:00:00+05:30,273.95,279.3,270.2,274.3,7342846
2023-07-16 00:00:00+05:30,274.55,275.7,263.55,266.3,5004857
2023-07-23 00:00:00+05:30,267.55,270.8,264.6,268.55,6358196
2023-07-30 00:00:00+05:30,269.7,278.8,268.0,274.85,7170879
2023-08-06 00:00:00+05:30,277.15,281.3,266.45,271.5,9718044
