datetime,open,high,low,close,volume
2021-07-25 00:00:00+05:30,116.0,138.9,115.0,126.0,694895290
2021-08-01 00:00:00+05:30,126.35,147.8,123.55,133.5,856145096
2021-08-08 00:00:00+05:30,135.75,141.0,130.1,131.35,225066642
2021-08-15 00:00:00+05:30,132.4,139.75,122.1,137.35,281156054
2021-08-22 00:00:00+05:30,136.4,141.45,130.6,139.3,112477048
2021-08-29 00:00:00+05:30,137.8,137.8,120.5,124.7,219136226
2021-09-05 00:00:00+05:30,127.85,151.4,127.55,149.75,227306257
2021-09-12 00:00:00+05:30,149.25,149.35,138.55,141.6,112337526
2021-09-19 00:00:00+05:30,143.25,152.75,136.2,137.9,209576575
2021-09-26 00:00:00+05:30,137.7,140.85,131.0,136.65,100932072
2021-10-03 00:00:00+05:30,139.85,144.75,136.15,138.0,70098242
2021-10-10 00:00:00+05:30,139.1,140.0,133.7,136.15,46421258
2021-10-17 00:00:00+05:30,137.5,137.75,133.7,135.0,25035701
2021-10-24 00:00:00+05:30,136.0,146.15,133.85,137.75,76162736
2021-10-31 00:00:00+05:30,138.0,139.25,130.5,131.55,53820827
2021-11-07 00:00:00+05:30,133.6,134.3,127.5,131.35,33589780
2021-11-14 00:00:00+05:30,132.95,155.2,130.6,153.0,285049040
2021-11-21 00:00:00+05:30,149.0,169.0,142.35,154.7,321847568
2021-11-28 00:00:00+05:30,158.25,161.3,136.8,148.15,256273037
2021-12-05 00:00:00+05:30,148.8,158.0,137.5,144.9,384668610
2021-12-12 00:00:00+05:30,146.6,148.65,135.3,140.55,153663206
2021-12-19 00:00:00+05:30,142.2,144.95,132.35,135.35,165152600
2021-12-26 00:00:00+05:30,135.3,140.75,124.6,131.45,115493271
2022-01-02 00:00:00+05:30,131.35,138.4,128.0,137.4,63840126
2022-01-09 00:00:00+05:30,139.7,142.45,129.0,129.25,95726260
2022-01-16 00:00:00+05:30,130.5,134.45,129.4,133.6,50769604
2022-01-23 00:00:00+05:30,133.6,134.6,112.55,113.65,127852883
2022-01-30 00:00:00+05:30,114.0,114.2,84.15,89.55,473322160
2022-02-06 00:00:00+05:30,91.35,99.75,89.65,94.2,96608112
2022-02-13 00:00:00+05:30,95.1,95.5,86.5,88.7,81037245
2022-02-20 00:00:00+05:30,87.0,90.1,75.75,85.9,218975931
2022-02-27 00:00:00+05:30,84.2,85.15,77.0,78.8,112427075
2022-03-06 00:00:00+05:30,79.0,83.2,76.55,80.2,93541344
2022-03-13 00:00:00+05:30,79.0,83.95,77.6,79.9,66475226
