datetime,open,high,low,close,volume
2022-11-27 00:00:00+05:30,468.8,543.6,448.2,512.55,16169998
2022-12-04 00:00:00+05:30,514.0,536.6,494.0,518.0,1638535
2022-12-11 00:00:00+05:30,517.0,687.7,511.2,565.0,7354639
2022-12-18 00:00:00+05:30,567.75,627.8,561.05,610.25,1856375
2022-12-25 00:00:00+05:30,626.95,626.95,550.0,553.65,1002438
2023-01-01 00:00:00+05:30,585.45,622.85,561.35,614.7,674425
2023-01-08 00:00:00+05:30,614.7,659.9,598.2,637.25,1402812
2023-01-15 00:00:00+05:30,643.0,646.95,577.0,588.05,409440
2023-01-22 00:00:00+05:30,585.0,604.0,585.0,591.9,155484
2023-01-29 00:00:00+05:30,600.0,615.9,586.0,593.25,282829
2023-02-05 00:00:00+05:30,607.5,624.95,552.0,561.7,890347
2023-02-12 00:00:00+05:30,563.95,621.85,558.1,603.55,1351812
2023-02-19 00:00:00+05:30,606.9,612.0,556.95,565.0,291308
2023-02-26 00:00:00+05:30,559.1,567.05,530.2,541.4,214809
2023-03-05 00:00:00+05:30,542.0,553.0,522.95,549.7,245461
2023-03-12 00:00:00+05:30,555.0,574.85,543.0,545.65,167439
2023-03-19 00:00:00+05:30,549.0,550.0,522.0,530.1,212159
2023-03-26 00:00:00+05:30,520.5,551.4,496.1,528.85,351528
2023-04-02 00:00:00+05:30,517.0,549.8,515.9,540.6,188393
2023-04-09 00:00:00+05:30,532.0,550.0,532.0,549.7,193184
2023-04-16 00:00:00+05:30,559.95,559.95,518.0,523.55,732438
2023-04-23 00:00:00+05:30,529.8,550.0,520.2,533.0,284081
2023-04-30 00:00:00+05:30,539.65,539.65,511.6,515.0,370007
2023-05-07 00:00:00+05:30,519.0,537.2,514.2,518.55,200028
2023-05-14 00:00:00+05:30,526.35,570.65,515.1,541.75,810981
2023-05-21 00:00:00+05:30,544.9,558.55,521.55,529.55,728238
2023-05-28 00:00:00+05:30,529.55,552.2,519.0,543.4,789005
2023-06-04 00:00:00+05:30,540.0,554.5,533.5,548.25,1038054
2023-06-11 00:00:00+05:30,550.0,620.95,547.45,593.4,3618333
2023-06-18 00:00:00+05:30,599.85,616.6,589.0,599.7,944916
2023-06-25 00:00:00+05:30,641.0,674.4,624.0,636.8,2641437
2023-07-02 00:00:00+05:30,636.0,674.8,625.0,647.75,3054847
2023-07-09 00:00:00+05:30,654.45,689.0,642.05,664.9,1452223
2023-07-16 00:00:00+05:30,671.45,677.7,635.2,639.3,541134
2023-07-23 00:00:00+05:30,642.85,667.95,621.05,651.25,1144282
2023-07-30 00:00:00+05:30,660.0,739.7,652.5,725.1,2057634
2023-08-06 00:00:00+05:30,747.65,819.7,710.5,739.85,4123647
2023-08-13 00:00:00+05:30,741.2,876.55,741.2,810.05,3488418
2023-08-20 00:00:00+05:30,814.9,837.45,770.6,789.7,1487277
2023-08-27 00:00:00+05:30,791.45,806.45,732.25,743.6,1509533
2023-09-03 00:00:00+05:30,750.0,787.0,725.1,728.25,9079253
2023-09-10 00:00:00+05:30,734.0,743.15,692.7,728.7,4624535
2023-09-17 00:00:00+05:30,735.05,740.0,681.4,687.55,2788756
2023-09-24 00:00:00+05:30,696.5,709.9,679.6,697.1,1154902
2023-10-01 00:00:00+05:30,697.5,714.7,688.0,696.7,1299830
2023-10-08 00:00:00+05:30,702.3,730.0,696.3,724.4,979437
2023-10-15 00:00:00+05:30,714.4,755.9,703.55,742.55,1570900
2023-10-22 00:00:00+05:30,742.55,793.95,740.05,754.55,1651092
2023-10-29 00:00:00+05:30,757.8,768.9,689.95,734.7,1192718
2023-11-05 00:00:00+05:30,742.35,769.0,712.35,752.4,1467333
2023-11-12 00:00:00+05:30,755.15,809.5,755.15,786.8,1699948
2023-11-19 00:00:00+05:30,786.8,813.7,766.7,804.85,1054148
2023-11-26 00:00:00+05:30,810.0,812.0,782.85,786.25,797120
2023-12-03 00:00:00+05:30,794.0,794.0,728.65,733.35,1516695
2023-12-10 00:00:00+05:30,749.9,760.0,724.0,735.15,26415305
2023-12-17 00:00:00+05:30,738.5,744.95,671.0,725.3,3803901
2023-12-24 00:00:00+05:30,730.0,737.45,686.3,689.65,1594646
2023-12-31 00:00:00+05:30,694.95,736.2,688.05,734.9,1891819
2024-01-07 00:00:00+05:30,740.0,741.5,705.1,733.95,1104582
2024-01-14 00:00:00+05:30,734.4,748.95,715.0,732.45,1856028
2024-01-21 00:00:00+05:30,736.1,774.05,725.1,751.35,1643667
2024-01-28 00:00:00+05:30,753.4,765.0,721.1,749.85,1261248
2024-02-04 00:00:00+05:30,753.6,783.2,746.95,775.55,1659962
2024-02-11 00:00:00+05:30,784.9,787.75,761.05,775.45,2950478
2024-02-18 00:00:00+05:30,776.25,784.75,727.95,769.15,1895027
2024-02-25 00:00:00+05:30,771.95,772.0,710.95,720.6,1096799
2024-03-03 00:00:00+05:30,720.6,728.9,697.5,710.0,2281109
2024-03-10 00:00:00+05:30,711.45,711.9,652.15,664.8,2767016
2024-03-17 00:00:00+05:30,673.95,697.1,600.05,617.1,2397795
2024-03-24 00:00:00+05:30,615.0,720.0,614.0,715.75,3103011
2024-03-31 00:00:00+05:30,714.15,737.7,693.0,719.45,2955860
2024-04-07 00:00:00+05:30,722.9,767.2,718.85,758.7,2700490
2024-04-14 00:00:00+05:30,762.95,774.85,705.35,729.5,6697842
2024-04-21 00:00:00+05:30,715.0,716.95,676.55,691.85,995415
2024-04-28 00:00:00+05:30,692.2,778.0,677.2,741.05,2123703
2024-05-05 00:00:00+05:30,739.05,778.9,716.4,774.7,5526859
2024-05-12 00:00:00+05:30,780.2,790.0,706.55,728.85,2778148
2024-05-19 00:00:00+05:30,732.8,770.5,715.2,740.6,1813420
2024-05-26 00:00:00+05:30,745.0,745.0,702.0,703.9,972225
2024-06-02 00:00:00+05:30,705.05,772.0,690.55,757.05,3318188
2024-06-09 00:00:00+05:30,772.0,862.75,714.7,791.1,6243572
2024-06-16 00:00:00+05:30,791.1,824.2,790.95,809.9,2341856
2024-06-23 00:00:00+05:30,822.5,837.9,796.3,823.15,1414765
2024-06-30 00:00:00+05:30,824.5,824.5,779.55,793.25,1135937
2024-07-07 00:00:00+05:30,808.8,839.95,793.1,799.1,1528301
2024-07-14 00:00:00+05:30,800.0,832.55,768.4,796.15,3572180
2024-07-21 00:00:00+05:30,795.0,823.0,745.45,767.65,2397176
