datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,248.3,253.9,244.15,248.95,5396530
2021-07-11 00:00:00+05:30,251.0,251.2,236.05,237.0,8057754
2021-07-18 00:00:00+05:30,238.0,243.0,232.5,235.35,14064228
2021-07-25 00:00:00+05:30,234.0,243.8,231.75,241.9,9427533
2021-08-01 00:00:00+05:30,241.9,259.8,240.0,250.7,19462196
2021-08-08 00:00:00+05:30,251.5,256.75,240.1,245.15,7700148
2021-08-15 00:00:00+05:30,245.0,248.65,225.0,236.5,9888436
2021-08-22 00:00:00+05:30,247.0,285.9,240.75,277.6,67939674
2021-08-29 00:00:00+05:30,289.9,296.9,269.4,294.5,43014822
2021-09-05 00:00:00+05:30,297.0,303.8,276.25,287.3,28867999
2021-09-12 00:00:00+05:30,288.4,292.7,274.05,277.35,13228533
2021-09-19 00:00:00+05:30,278.0,280.3,266.5,267.95,11920653
2021-09-26 00:00:00+05:30,261.6,273.7,255.05,271.55,11801455
2021-10-03 00:00:00+05:30,272.95,275.65,260.15,265.7,11436310
2021-10-10 00:00:00+05:30,266.0,281.8,265.25,271.45,9930058
2021-10-17 00:00:00+05:30,272.55,276.2,262.3,274.45,7514462
2021-10-24 00:00:00+05:30,273.25,274.15,250.55,256.15,12038748
2021-10-31 00:00:00+05:30,253.55,258.0,242.5,244.3,7235822
2021-11-07 00:00:00+05:30,244.3,255.6,231.3,252.35,5942033
2021-11-14 00:00:00+05:30,255.0,273.7,250.65,257.25,10786417
2021-11-21 00:00:00+05:30,266.0,299.25,261.1,283.1,33957856
2021-11-28 00:00:00+05:30,285.65,303.0,258.85,283.35,23319475
2021-12-05 00:00:00+05:30,284.75,295.7,275.0,285.45,13052148
2021-12-12 00:00:00+05:30,285.45,285.45,267.15,280.65,9275334
2021-12-19 00:00:00+05:30,279.1,292.5,274.3,276.3,9515367
2021-12-26 00:00:00+05:30,273.0,282.0,265.25,273.65,5211445
2022-01-02 00:00:00+05:30,274.35,308.0,272.2,297.3,13792271
2022-01-09 00:00:00+05:30,299.7,313.45,283.25,286.95,15006375
2022-01-16 00:00:00+05:30,286.5,295.5,282.35,286.45,7696111
2022-01-23 00:00:00+05:30,283.55,294.75,274.0,276.0,6072004
2022-01-30 00:00:00+05:30,275.95,275.95,260.75,265.3,4261576
2022-02-06 00:00:00+05:30,267.5,279.8,263.9,264.8,4040533
2022-02-13 00:00:00+05:30,263.95,266.55,254.7,259.2,5020752
2022-02-20 00:00:00+05:30,257.0,269.85,253.0,261.15,7148521
2022-02-27 00:00:00+05:30,259.0,259.95,229.0,241.35,7213264
2022-03-06 00:00:00+05:30,241.35,272.35,239.7,263.5,7085518
2022-03-13 00:00:00+05:30,254.5,267.0,251.0,262.4,6436648
2022-03-20 00:00:00+05:30,261.2,262.35,246.85,254.45,6283265
2022-03-27 00:00:00+05:30,259.0,284.9,256.6,275.65,8434697
2022-04-03 00:00:00+05:30,276.0,292.85,264.05,284.1,11171989
2022-04-10 00:00:00+05:30,286.0,286.45,267.3,271.9,5429886
2022-04-17 00:00:00+05:30,271.9,280.8,270.15,270.75,3079629
2022-04-24 00:00:00+05:30,270.0,280.85,267.25,274.4,7013974
2022-05-01 00:00:00+05:30,273.25,278.0,265.55,267.15,4610495
2022-05-08 00:00:00+05:30,266.0,269.1,247.2,250.9,5205959
2022-05-15 00:00:00+05:30,246.6,252.4,233.3,236.0,4906264
2022-05-22 00:00:00+05:30,237.2,244.0,232.6,241.0,6173052
2022-05-29 00:00:00+05:30,243.5,248.0,233.0,234.7,4060980
2022-06-05 00:00:00+05:30,238.0,246.4,234.0,240.55,3255555
2022-06-12 00:00:00+05:30,240.15,246.0,237.6,244.25,2163262
2022-06-19 00:00:00+05:30,241.3,241.6,221.45,227.5,3676567
2022-06-26 00:00:00+05:30,228.65,240.8,219.75,235.9,5588614
2022-07-03 00:00:00+05:30,236.55,241.5,228.15,235.9,2614981
2022-07-10 00:00:00+05:30,236.0,256.65,233.95,250.8,3981096
2022-07-17 00:00:00+05:30,246.1,262.6,246.0,261.55,4217789
2022-07-24 00:00:00+05:30,262.5,281.6,261.85,278.05,3732798
2022-07-31 00:00:00+05:30,277.85,281.05,263.65,278.45,4596561
2022-08-07 00:00:00+05:30,278.45,282.9,263.0,264.4,3102685
2022-08-14 00:00:00+05:30,261.35,291.4,261.35,281.35,10083504
2022-08-21 00:00:00+05:30,283.0,299.9,277.4,298.75,8515537
2022-08-28 00:00:00+05:30,299.95,304.85,288.1,291.2,6219411
2022-09-04 00:00:00+05:30,288.0,298.85,284.4,291.65,3020331
2022-09-11 00:00:00+05:30,292.9,294.7,285.55,288.15,2590803
2022-09-18 00:00:00+05:30,288.0,315.75,287.1,297.2,10088776
2022-09-25 00:00:00+05:30,299.0,325.0,250.35,262.25,69298076
2022-10-02 00:00:00+05:30,259.95,266.0,255.05,264.2,10520746
2022-10-09 00:00:00+05:30,264.0,286.8,259.1,275.2,8095512
2022-10-16 00:00:00+05:30,272.0,277.9,263.35,274.2,3115923
2022-10-23 00:00:00+05:30,275.0,277.0,269.6,274.45,1592353
2022-10-30 00:00:00+05:30,276.25,279.5,265.0,277.65,3486323
2022-11-06 00:00:00+05:30,278.0,286.8,273.65,282.4,3640145
2022-11-13 00:00:00+05:30,283.0,292.45,275.0,282.25,2492023
2022-11-20 00:00:00+05:30,289.0,313.9,277.35,285.7,20356061
2022-11-27 00:00:00+05:30,285.7,290.8,275.5,287.55,3521373
2022-12-04 00:00:00+05:30,287.3,295.8,284.65,288.7,4679088
2022-12-11 00:00:00+05:30,289.95,293.8,281.4,285.7,4454292
2022-12-18 00:00:00+05:30,286.0,291.95,275.2,277.9,3373363
2022-12-25 00:00:00+05:30,277.7,290.6,269.1,272.15,4535278
2023-01-01 00:00:00+05:30,273.2,290.5,271.3,286.1,3853153
2023-01-08 00:00:00+05:30,284.1,288.35,280.9,284.85,3135911
2023-01-15 00:00:00+05:30,285.75,290.0,281.0,287.65,2620117
2023-01-22 00:00:00+05:30,287.0,288.6,281.0,284.3,2166775
2023-01-29 00:00:00+05:30,285.7,285.95,275.35,280.65,2119807
2023-02-05 00:00:00+05:30,280.25,284.0,274.0,277.3,3337801
2023-02-12 00:00:00+05:30,278.7,285.0,274.55,282.75,2770441
2023-02-19 00:00:00+05:30,277.8,278.0,261.65,268.7,3686722
2023-02-26 00:00:00+05:30,269.85,281.0,269.35,270.95,2380116
2023-03-05 00:00:00+05:30,270.95,279.0,262.35,276.6,3022979
2023-03-12 00:00:00+05:30,277.95,282.0,267.6,270.95,3205008
2023-03-19 00:00:00+05:30,271.15,272.0,259.45,262.95,3586388
2023-03-26 00:00:00+05:30,262.9,263.9,245.5,254.85,3952979
2023-04-02 00:00:00+05:30,252.25,266.95,251.1,259.9,3644052
2023-04-09 00:00:00+05:30,262.15,266.2,251.0,253.0,4201304
2023-04-16 00:00:00+05:30,255.4,269.4,253.25,265.2,3457176
2023-04-23 00:00:00+05:30,264.95,272.15,262.05,265.15,2795620
2023-04-30 00:00:00+05:30,265.5,267.4,254.75,260.8,3507234
2023-05-07 00:00:00+05:30,261.0,267.05,258.85,266.25,2844769
2023-05-14 00:00:00+05:30,267.85,274.4,263.4,270.5,4035028
2023-05-21 00:00:00+05:30,268.0,285.0,268.0,282.25,3845150
2023-05-28 00:00:00+05:30,281.7,295.0,278.8,287.3,4953689
2023-06-04 00:00:00+05:30,288.8,289.2,272.6,276.25,5245654
2023-06-11 00:00:00+05:30,277.7,284.85,271.9,284.05,5118952
2023-06-18 00:00:00+05:30,284.05,310.9,279.65,310.2,11404858
2023-06-25 00:00:00+05:30,314.4,316.05,301.45,304.8,8413640
2023-07-02 00:00:00+05:30,306.8,316.8,298.45,315.05,5884466
2023-07-09 00:00:00+05:30,319.0,328.25,310.05,325.8,9081851
2023-07-16 00:00:00+05:30,326.95,334.55,318.05,327.05,14785625
2023-07-23 00:00:00+05:30,327.15,337.5,322.3,335.2,11621999
2023-07-30 00:00:00+05:30,335.1,344.0,330.25,335.25,9889424
2023-08-06 00:00:00+05:30,338.0,352.5,323.25,338.5,11498720
2023-08-13 00:00:00+05:30,332.2,337.95,314.4,317.95,10926082
2023-08-20 00:00:00+05:30,318.0,326.05,308.5,316.2,8608570
2023-08-27 00:00:00+05:30,316.05,335.15,316.0,333.45,4840147
2023-09-03 00:00:00+05:30,330.0,336.2,321.65,324.4,6280426
2023-09-10 00:00:00+05:30,328.0,342.75,326.2,339.3,4745229
2023-09-17 00:00:00+05:30,342.8,347.0,325.3,330.5,7673326
2023-09-24 00:00:00+05:30,332.0,338.85,324.0,331.3,6297704
2023-10-01 00:00:00+05:30,331.0,348.35,328.1,339.95,5968134
2023-10-08 00:00:00+05:30,342.7,344.0,326.4,327.9,5282385
2023-10-15 00:00:00+05:30,327.9,339.0,326.8,338.5,9063343
2023-10-22 00:00:00+05:30,339.0,339.75,330.5,332.2,4317545
2023-10-29 00:00:00+05:30,333.8,335.75,313.8,325.05,7695293
2023-11-05 00:00:00+05:30,325.5,338.0,320.15,334.1,4715514
2023-11-12 00:00:00+05:30,336.75,366.0,331.4,358.4,6802391
2023-11-19 00:00:00+05:30,359.8,373.15,352.0,356.3,7942074
2023-11-26 00:00:00+05:30,359.0,374.9,356.2,366.5,11195380
2023-12-03 00:00:00+05:30,371.1,388.2,365.1,383.8,9375824
2023-12-10 00:00:00+05:30,388.35,390.0,377.2,382.05,8014276
2023-12-17 00:00:00+05:30,382.05,399.4,376.15,394.2,11816638
2023-12-24 00:00:00+05:30,395.95,407.35,385.0,390.7,7788472
2023-12-31 00:00:00+05:30,394.45,423.0,387.55,419.2,6081133
2024-01-07 00:00:00+05:30,424.7,448.8,421.05,434.3,8389002
2024-01-14 00:00:00+05:30,433.0,435.6,414.95,421.2,6728057
2024-01-21 00:00:00+05:30,423.0,425.9,408.95,419.0,5884574
2024-01-28 00:00:00+05:30,417.7,434.0,415.15,430.15,3567713
2024-02-04 00:00:00+05:30,430.0,436.0,418.8,429.75,4281165
2024-02-11 00:00:00+05:30,429.75,469.7,428.2,434.95,10256493
2024-02-18 00:00:00+05:30,438.0,439.25,414.0,434.15,5282768
2024-02-25 00:00:00+05:30,437.0,452.9,430.25,438.6,4154427
2024-03-03 00:00:00+05:30,440.75,445.0,390.0,402.65,6273601
2024-03-10 00:00:00+05:30,406.0,406.5,375.05,397.35,14326725
2024-03-17 00:00:00+05:30,399.0,416.55,378.0,388.85,10454037
2024-03-24 00:00:00+05:30,392.7,409.9,386.5,404.7,6449639
2024-03-31 00:00:00+05:30,398.7,421.95,391.35,420.2,4043674
2024-04-07 00:00:00+05:30,426.0,442.6,421.5,436.85,3742525
2024-04-14 00:00:00+05:30,441.05,443.9,426.65,431.45,4542503
2024-04-21 00:00:00+05:30,432.0,449.9,423.35,430.2,4930299
2024-04-28 00:00:00+05:30,430.2,457.3,430.15,443.55,5183876
2024-05-05 00:00:00+05:30,447.0,456.25,435.1,451.95,3480527
