datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,69.0,71.2,67.2,69.5,6131114
2021-07-18 00:00:00+05:30,70.5,70.9,67.6,68.25,3251338
2021-07-25 00:00:00+05:30,67.1,69.2,65.3,65.8,2609740
2021-08-01 00:00:00+05:30,66.15,73.4,64.0,69.7,13917106
2021-08-08 00:00:00+05:30,70.2,73.5,68.15,70.35,5905210
2021-08-15 00:00:00+05:30,70.85,70.9,62.0,66.05,4071038
2021-08-22 00:00:00+05:30,64.45,65.7,60.5,62.6,3563309
2021-08-29 00:00:00+05:30,62.95,71.15,57.6,70.6,11554956
2021-09-05 00:00:00+05:30,71.25,73.7,67.65,67.95,8654161
2021-09-12 00:00:00+05:30,67.55,73.3,66.9,68.6,7464829
2021-09-19 00:00:00+05:30,68.75,72.6,67.6,68.75,5761655
2021-09-26 00:00:00+05:30,67.4,71.9,65.0,68.45,5001500
2021-10-03 00:00:00+05:30,68.65,76.85,68.1,75.4,15565455
2021-10-10 00:00:00+05:30,76.5,83.25,76.05,77.3,18666627
2021-10-17 00:00:00+05:30,78.1,80.8,77.0,78.05,6182953
2021-10-24 00:00:00+05:30,79.0,79.4,70.7,72.75,8363949
2021-10-31 00:00:00+05:30,73.3,79.4,70.5,73.45,12990767
2021-11-07 00:00:00+05:30,74.0,74.9,72.0,73.3,1921216
2021-11-14 00:00:00+05:30,73.45,73.9,69.4,70.8,2456802
2021-11-21 00:00:00+05:30,70.8,72.0,66.6,67.35,1499178
2021-11-28 00:00:00+05:30,67.45,70.9,64.5,67.35,3113545
2021-12-05 00:00:00+05:30,67.3,68.7,64.3,67.7,2030890
2021-12-12 00:00:00+05:30,67.75,74.15,66.75,71.4,3737061
2021-12-19 00:00:00+05:30,71.95,76.9,70.5,71.15,6849704
2021-12-26 00:00:00+05:30,70.1,71.85,66.75,67.9,2960446
2022-01-02 00:00:00+05:30,67.9,74.55,66.8,73.85,3272340
2022-01-09 00:00:00+05:30,73.9,78.5,73.1,74.85,5378300
2022-01-16 00:00:00+05:30,74.75,111.75,74.5,109.85,76864686
2022-01-23 00:00:00+05:30,109.65,115.5,100.3,106.65,39757961
2022-01-30 00:00:00+05:30,107.8,121.75,92.3,119.95,17808371
2022-02-06 00:00:00+05:30,121.9,134.95,110.5,132.5,23174429
2022-02-13 00:00:00+05:30,136.7,143.0,122.7,132.6,30734571
2022-02-20 00:00:00+05:30,125.8,152.1,121.75,135.45,36088538
2022-02-27 00:00:00+05:30,137.5,142.9,125.0,132.75,34663042
2022-03-06 00:00:00+05:30,133.5,168.95,130.1,161.85,67477920
2022-03-13 00:00:00+05:30,161.75,174.25,158.1,167.1,47618888
2022-03-20 00:00:00+05:30,168.0,175.8,162.05,164.4,14417046
2022-03-27 00:00:00+05:30,165.45,192.3,160.1,189.2,42420094
2022-04-03 00:00:00+05:30,190.15,198.75,182.25,192.25,29745101
2022-04-10 00:00:00+05:30,193.25,228.4,192.65,218.15,38704949
2022-04-17 00:00:00+05:30,219.25,220.4,202.25,206.6,9995049
2022-04-24 00:00:00+05:30,206.4,214.7,193.25,201.35,21739708
2022-05-01 00:00:00+05:30,200.15,218.0,184.5,186.9,32909731
2022-05-08 00:00:00+05:30,179.5,203.4,171.0,189.6,31918197
