datetime,open,high,low,close,volume
2025-11-16 00:00:00+05:30,112.0,153.5,112.0,148.53,1309169815
2025-11-23 00:00:00+05:30,154.15,193.8,152.25,157.84,1376347807
2025-11-30 00:00:00+05:30,159.26,165.45,150.0,158.88,304301719
2025-12-07 00:00:00+05:30,160.0,161.95,142.91,151.18,158702198
2025-12-14 00:00:00+05:30,151.6,157.5,142.11,145.13,244154771
2025-12-21 00:00:00+05:30,144.99,163.5,142.4,160.87,255802494
2025-12-28 00:00:00+05:30,164.71,175.5,160.03,165.23,432886603
2026-01-04 00:00:00+05:30,165.6,166.84,153.45,155.19,94184592
2026-01-11 00:00:00+05:30,155.0,167.2,152.62,158.97,215324322
2026-01-18 00:00:00+05:30,160.0,179.78,157.7,173.23,358341999
2026-01-25 00:00:00+05:30,173.2,174.68,155.76,167.51,212184110
2026-02-01 00:00:00+05:30,168.9,184.5,152.52,168.1,242324337
2026-02-08 00:00:00+05:30,167.0,175.0,157.0,169.22,170297745
2026-02-15 00:00:00+05:30,170.0,184.0,164.06,172.92,286606862
2026-02-22 00:00:00+05:30,167.0,174.89,164.5,169.16,137617919
2026-03-01 00:00:00+05:30,170.14,171.5,161.22,163.49,78627067
2026-03-08 00:00:00+05:30,155.49,163.1,152.0,152.97,80796742
2026-03-15 00:00:00+05:30,149.0,161.9,146.0,155.83,90841993
2026-03-22 00:00:00+05:30,155.0,163.73,153.81,161.46,76850892
2026-03-29 00:00:00+05:30,158.93,166.56,156.05,162.28,84394592
2026-04-05 00:00:00+05:30,160.0,165.4,149.05,164.82,80331019
2026-04-12 00:00:00+05:30,164.56,198.5,162.14,193.7,220547398
2026-04-19 00:00:00+05:30,188.0,214.36,187.05,198.34,301648532
2026-04-26 00:00:00+05:30,201.0,223.7,193.52,218.02,623022987
2026-05-03 00:00:00+05:30,220.0,227.2,204.0,214.99,131175750
2026-05-10 00:00:00+05:30,217.1,224.4,203.31,204.59,131854548
2026-05-17 00:00:00+05:30,201.97,201.97,180.0,187.67,776063289
2026-05-24 00:00:00+05:30,186.0,193.38,182.55,187.79,161960483
2026-05-31 00:00:00+05:30,190.0,193.68,184.21,184.89,79880565
2026-06-07 00:00:00+05:30,186.0,198.04,184.0,196.09,199980572
2026-06-14 00:00:00+05:30,194.0,201.0,188.61,198.97,133709014
2026-06-21 00:00:00+05:30,202.9,208.49,197.4,199.87,299762624
2026-06-28 00:00:00+05:30,200.59,202.0,192.1,199.79,108480191
2026-07-05 00:00:00+05:30,199.0,208.17,194.51,206.5,145523377
2026-07-12 00:00:00+05:30,206.3,207.2,202.8,202.89,7913226
