datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,203.0,205.25,198.0,199.75,766921
2021-07-18 00:00:00+05:30,201.7,209.2,198.4,201.2,1863099
2021-07-25 00:00:00+05:30,198.0,207.0,197.5,203.05,889076
2021-08-01 00:00:00+05:30,203.65,212.45,197.1,197.8,2784622
2021-08-08 00:00:00+05:30,198.1,208.4,196.1,200.4,1793606
2021-08-15 00:00:00+05:30,200.4,201.4,181.4,191.1,848525
2021-08-22 00:00:00+05:30,189.0,192.75,184.0,185.15,606834
2021-08-29 00:00:00+05:30,186.1,189.8,182.55,183.65,844128
2021-09-05 00:00:00+05:30,188.0,197.35,183.95,194.85,876450
2021-09-12 00:00:00+05:30,194.85,200.4,193.05,194.45,579937
2021-09-19 00:00:00+05:30,200.0,200.2,191.05,194.15,875458
2021-09-26 00:00:00+05:30,192.0,197.5,187.3,189.85,481806
2021-10-03 00:00:00+05:30,190.8,195.0,185.5,186.85,694824
2021-10-10 00:00:00+05:30,187.8,215.55,187.3,207.45,5894795
2021-10-17 00:00:00+05:30,208.9,239.3,207.6,220.95,7423718
2021-10-24 00:00:00+05:30,225.0,234.9,211.9,224.35,2919385
2021-10-31 00:00:00+05:30,225.0,234.0,213.55,219.3,1968514
2021-11-07 00:00:00+05:30,224.0,266.8,218.0,262.5,6276012
2021-11-14 00:00:00+05:30,266.7,276.7,250.7,265.4,7356995
2021-11-21 00:00:00+05:30,269.4,279.8,244.0,248.4,2671773
2021-11-28 00:00:00+05:30,248.7,254.25,225.65,227.0,2407144
2021-12-05 00:00:00+05:30,225.05,243.55,217.6,241.8,2179956
2021-12-12 00:00:00+05:30,241.8,248.45,233.1,238.3,939398
2021-12-19 00:00:00+05:30,238.8,242.25,219.45,220.5,719154
2021-12-26 00:00:00+05:30,217.9,223.0,207.25,213.55,823416
2022-01-02 00:00:00+05:30,212.8,226.0,203.2,223.35,674036
2022-01-09 00:00:00+05:30,223.0,274.0,220.75,261.75,7988533
2022-01-16 00:00:00+05:30,256.0,261.25,245.75,251.85,3266754
2022-01-23 00:00:00+05:30,251.75,259.0,237.25,240.15,1141268
2022-01-30 00:00:00+05:30,241.25,243.95,220.25,238.05,801642
2022-02-06 00:00:00+05:30,240.7,249.95,234.0,245.3,1355448
2022-02-13 00:00:00+05:30,244.4,247.35,235.2,238.35,636269
2022-02-20 00:00:00+05:30,238.25,238.25,220.0,224.7,628747
2022-02-27 00:00:00+05:30,224.7,224.7,199.0,219.35,1489080
2022-03-06 00:00:00+05:30,213.7,231.55,213.45,227.6,539477
2022-03-13 00:00:00+05:30,220.0,235.3,218.55,230.75,572103
2022-03-20 00:00:00+05:30,231.4,244.0,215.1,236.6,1055854
2022-03-27 00:00:00+05:30,241.9,243.75,226.35,227.7,923777
2022-04-03 00:00:00+05:30,226.05,234.6,221.0,230.8,669691
2022-04-10 00:00:00+05:30,239.4,262.5,237.0,251.9,3923721
2022-04-17 00:00:00+05:30,253.8,319.35,253.5,297.05,17252452
2022-04-24 00:00:00+05:30,297.5,333.0,276.7,317.85,12289439
2022-05-01 00:00:00+05:30,317.0,321.7,282.5,283.7,2665838
2022-05-08 00:00:00+05:30,284.0,297.3,272.5,276.45,2007633
2022-05-15 00:00:00+05:30,274.2,294.2,258.0,283.45,2760615
2022-05-22 00:00:00+05:30,284.9,316.8,274.1,309.5,3380107
2022-05-29 00:00:00+05:30,312.0,324.4,248.3,266.6,3693915
2022-06-05 00:00:00+05:30,269.1,272.65,253.0,255.5,1597344
2022-06-12 00:00:00+05:30,255.1,256.7,236.1,238.35,1260489
2022-06-19 00:00:00+05:30,235.3,235.3,215.0,222.15,1206759
2022-06-26 00:00:00+05:30,223.25,231.65,207.7,229.85,1055327
2022-07-03 00:00:00+05:30,233.65,241.85,218.45,220.55,985088
2022-07-10 00:00:00+05:30,221.0,251.6,220.6,240.55,1004222
2022-07-17 00:00:00+05:30,239.0,248.6,223.5,234.1,1721698
2022-07-24 00:00:00+05:30,234.1,258.0,232.05,256.0,1705102
2022-07-31 00:00:00+05:30,252.2,262.3,241.1,257.2,1202254
2022-08-07 00:00:00+05:30,258.45,267.8,250.0,253.55,1060924
2022-08-14 00:00:00+05:30,254.7,286.5,254.15,277.6,2661816
2022-08-21 00:00:00+05:30,279.5,285.9,260.45,265.95,902643
2022-08-28 00:00:00+05:30,267.3,310.0,252.25,287.6,4852061
2022-09-04 00:00:00+05:30,280.0,321.55,280.0,310.1,6444396
2022-09-11 00:00:00+05:30,312.6,362.55,300.95,344.7,9373076
2022-09-18 00:00:00+05:30,345.9,368.85,339.15,347.4,6197868
2022-09-25 00:00:00+05:30,356.0,362.25,336.85,338.7,4063827
2022-10-02 00:00:00+05:30,337.4,353.0,303.15,348.7,3516466
2022-10-09 00:00:00+05:30,349.5,430.0,347.9,392.1,13149006
