datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,73.6,95.7,73.6,88.95,308184193
2021-07-18 00:00:00+05:30,93.0,93.0,74.55,80.25,39893658
2021-07-25 00:00:00+05:30,79.0,84.0,73.0,73.0,21765372
2021-08-01 00:00:00+05:30,73.05,75.4,66.5,74.95,27624613
2021-08-08 00:00:00+05:30,76.3,76.85,66.15,71.75,15491191
2021-08-15 00:00:00+05:30,72.0,72.5,63.6,69.15,17235885
2021-08-22 00:00:00+05:30,69.2,69.5,57.6,57.85,12423235
2021-08-29 00:00:00+05:30,59.0,70.2,55.55,68.4,17619205
2021-09-05 00:00:00+05:30,69.5,71.7,66.15,68.8,12159213
2021-09-12 00:00:00+05:30,70.0,75.8,70.0,75.3,15959806
2021-09-19 00:00:00+05:30,75.7,80.9,73.15,74.3,44065715
2021-09-26 00:00:00+05:30,73.9,75.6,68.0,71.1,10137114
2021-10-03 00:00:00+05:30,71.1,73.8,69.0,72.25,7767384
2021-10-10 00:00:00+05:30,73.5,82.6,73.0,76.55,22348186
2021-10-17 00:00:00+05:30,79.5,80.35,74.55,78.95,22448068
2021-10-24 00:00:00+05:30,82.85,82.85,71.4,71.8,21344984
2021-10-31 00:00:00+05:30,72.7,77.35,68.8,71.25,23922261
2021-11-07 00:00:00+05:30,73.0,77.2,72.5,75.95,14468332
2021-11-14 00:00:00+05:30,77.45,79.7,72.5,75.75,22293285
2021-11-21 00:00:00+05:30,76.0,77.7,72.05,72.85,18932129
2021-11-28 00:00:00+05:30,74.0,79.1,69.0,72.85,48551806
2021-12-05 00:00:00+05:30,73.0,73.8,68.0,71.2,40449773
2021-12-12 00:00:00+05:30,71.6,93.7,70.2,86.8,238141208
2021-12-19 00:00:00+05:30,88.8,91.8,76.4,80.15,150790542
2021-12-26 00:00:00+05:30,79.1,79.7,72.9,77.0,65788369
2022-01-02 00:00:00+05:30,76.8,83.0,75.1,78.8,62969043
2022-01-09 00:00:00+05:30,79.4,89.45,78.4,86.2,142566684
2022-01-16 00:00:00+05:30,87.0,93.45,83.05,91.85,126261416
2022-01-23 00:00:00+05:30,92.6,101.35,83.3,84.35,210745836
2022-01-30 00:00:00+05:30,83.95,84.8,75.6,81.2,62437461
2022-02-06 00:00:00+05:30,82.7,85.75,78.75,82.25,66763254
2022-02-13 00:00:00+05:30,82.55,84.9,78.35,81.1,50275580
2022-02-20 00:00:00+05:30,78.3,81.1,74.0,75.85,54396321
2022-02-27 00:00:00+05:30,75.2,75.5,63.0,69.9,76842961
2022-03-06 00:00:00+05:30,68.75,74.25,67.1,69.95,43420694
2022-03-13 00:00:00+05:30,68.0,76.5,67.5,72.9,42828339
2022-03-20 00:00:00+05:30,73.45,76.0,72.0,75.0,30886956
2022-03-27 00:00:00+05:30,75.55,76.2,71.0,71.6,34678835
2022-04-03 00:00:00+05:30,72.0,81.95,70.0,81.0,84857786
2022-04-10 00:00:00+05:30,81.65,86.3,79.35,81.0,75553263
2022-04-17 00:00:00+05:30,81.0,82.9,78.25,80.65,34067405
2022-04-24 00:00:00+05:30,79.95,79.95,75.0,77.25,38081464
2022-05-01 00:00:00+05:30,75.55,79.4,73.75,74.2,34450107
2022-05-08 00:00:00+05:30,70.7,70.95,64.2,67.9,36685216
2022-05-15 00:00:00+05:30,69.0,71.15,61.2,63.5,37619335
2022-05-22 00:00:00+05:30,64.0,68.8,63.55,65.85,25798618
2022-05-29 00:00:00+05:30,65.9,67.45,57.6,62.05,24423851
2022-06-05 00:00:00+05:30,63.05,67.45,62.25,64.5,28755555
2022-06-12 00:00:00+05:30,64.2,66.3,62.85,63.9,20365206
2022-06-19 00:00:00+05:30,62.8,62.9,57.75,58.6,28580334
2022-06-26 00:00:00+05:30,58.95,59.2,51.55,56.2,25288397
2022-07-03 00:00:00+05:30,57.25,57.95,54.25,55.2,16321214
2022-07-10 00:00:00+05:30,55.2,58.9,54.35,57.9,17788430
2022-07-17 00:00:00+05:30,57.4,68.15,57.25,67.1,70594959
2022-07-24 00:00:00+05:30,68.0,71.8,67.4,68.4,49845001
2022-07-31 00:00:00+05:30,64.7,68.2,62.4,66.55,45768212
2022-08-07 00:00:00+05:30,66.9,69.8,64.5,68.05,35897026
2022-08-14 00:00:00+05:30,68.4,78.2,67.6,74.95,87531276
2022-08-21 00:00:00+05:30,75.35,77.8,72.25,72.8,38027269
2022-08-28 00:00:00+05:30,73.15,74.6,70.05,71.65,30325662
2022-09-04 00:00:00+05:30,69.3,79.7,69.05,76.4,72526219
2022-09-11 00:00:00+05:30,77.1,82.5,76.65,79.05,74745823
2022-09-18 00:00:00+05:30,79.5,81.4,75.15,75.75,51161944
2022-09-25 00:00:00+05:30,76.15,77.4,72.45,73.0,33398228
2022-10-02 00:00:00+05:30,72.45,73.9,68.65,72.85,41192159
2022-10-09 00:00:00+05:30,75.0,80.25,73.15,79.4,51826795
2022-10-16 00:00:00+05:30,78.15,82.35,75.25,75.85,61708860
2022-10-23 00:00:00+05:30,75.75,80.25,74.2,77.8,46523307
2022-10-30 00:00:00+05:30,79.0,81.2,76.75,77.0,26543731
2022-11-06 00:00:00+05:30,77.9,85.2,77.75,81.25,97772942
2022-11-13 00:00:00+05:30,81.75,84.9,78.15,82.85,36986838
2022-11-20 00:00:00+05:30,82.9,84.3,77.7,78.3,39664052
2022-11-27 00:00:00+05:30,78.2,81.15,76.5,80.25,32365488
2022-12-04 00:00:00+05:30,81.5,82.35,78.35,81.4,45060967
2022-12-11 00:00:00+05:30,81.9,88.8,80.45,84.95,155300021
2022-12-18 00:00:00+05:30,85.2,87.85,78.55,79.2,61551789
2022-12-25 00:00:00+05:30,79.3,80.75,65.8,66.4,46649640
2023-01-01 00:00:00+05:30,65.9,75.0,65.65,73.7,35089364
2023-01-08 00:00:00+05:30,73.9,77.65,71.9,72.75,34693490
2023-01-15 00:00:00+05:30,73.5,73.95,71.9,73.65,24355617
2023-01-22 00:00:00+05:30,73.9,74.25,70.8,71.65,16001359
2023-01-29 00:00:00+05:30,72.15,72.5,67.2,67.95,14904285
2023-02-05 00:00:00+05:30,68.3,71.5,66.65,67.6,30699067
2023-02-12 00:00:00+05:30,67.55,70.2,67.05,69.4,22457307
2023-02-19 00:00:00+05:30,69.8,70.6,67.4,67.8,16828640
2023-02-26 00:00:00+05:30,68.0,68.25,63.55,64.9,17851535
2023-03-05 00:00:00+05:30,64.85,68.2,62.8,67.45,15645151
2023-03-12 00:00:00+05:30,67.65,70.2,66.7,67.35,20532416
2023-03-19 00:00:00+05:30,67.4,67.65,61.7,62.55,19137792
2023-03-26 00:00:00+05:30,62.0,63.65,60.1,60.8,19673949
2023-04-02 00:00:00+05:30,61.0,62.95,55.75,60.95,40032075
2023-04-09 00:00:00+05:30,61.1,63.3,60.2,62.5,10444032
2023-04-16 00:00:00+05:30,62.95,64.55,62.1,63.85,12288427
2023-04-23 00:00:00+05:30,63.6,63.85,60.35,61.95,12187145
2023-04-30 00:00:00+05:30,62.05,65.7,61.4,64.8,25083043
2023-05-07 00:00:00+05:30,65.15,68.45,63.7,66.6,27808874
2023-05-14 00:00:00+05:30,66.8,68.65,64.6,66.2,26798608
2023-05-21 00:00:00+05:30,66.3,69.2,64.15,64.85,21083666
2023-05-28 00:00:00+05:30,64.4,65.95,63.0,63.35,13139813
2023-06-04 00:00:00+05:30,63.9,65.65,62.8,64.65,17197535
2023-06-11 00:00:00+05:30,65.0,72.0,64.95,70.15,57468697
2023-06-18 00:00:00+05:30,70.45,72.3,68.15,68.4,35829240
2023-06-25 00:00:00+05:30,68.5,70.4,65.25,65.55,32526253
2023-07-02 00:00:00+05:30,65.55,66.55,64.6,64.95,15899712
2023-07-09 00:00:00+05:30,66.05,69.35,66.05,66.7,32911898
2023-07-16 00:00:00+05:30,66.85,66.85,63.45,64.1,17111554
2023-07-23 00:00:00+05:30,64.5,66.9,64.35,64.75,18725484
2023-07-30 00:00:00+05:30,64.75,66.15,63.5,63.75,17790226
2023-08-06 00:00:00+05:30,64.0,67.1,63.65,65.45,31413539
2023-08-13 00:00:00+05:30,68.65,75.2,68.1,68.8,126578174
2023-08-20 00:00:00+05:30,68.8,69.35,66.85,67.25,15298680
2023-08-27 00:00:00+05:30,67.45,72.85,66.75,71.5,88205871
2023-09-03 00:00:00+05:30,72.0,78.55,70.5,74.85,121386073
2023-09-10 00:00:00+05:30,75.4,80.95,74.55,76.15,98873570
2023-09-17 00:00:00+05:30,76.6,78.55,71.2,72.9,54155748
2023-09-24 00:00:00+05:30,75.0,77.55,72.1,72.3,48584596
2023-10-01 00:00:00+05:30,72.5,80.2,71.35,77.15,83473256
2023-10-08 00:00:00+05:30,76.7,78.25,73.65,75.35,30718774
2023-10-15 00:00:00+05:30,73.45,76.15,71.75,74.55,35876658
2023-10-22 00:00:00+05:30,74.85,76.85,67.9,68.85,41589965
2023-10-29 00:00:00+05:30,68.8,68.95,61.5,64.6,35683058
2023-11-05 00:00:00+05:30,64.8,67.95,64.25,66.05,22097972
2023-11-12 00:00:00+05:30,66.45,67.2,65.05,66.25,16606776
2023-11-19 00:00:00+05:30,66.2,71.25,65.65,68.8,28340525
2023-11-26 00:00:00+05:30,69.1,69.2,65.85,66.75,19236184
2023-12-03 00:00:00+05:30,67.0,68.75,66.4,66.75,16550812
2023-12-10 00:00:00+05:30,68.0,71.7,65.95,68.3,57756185
2023-12-17 00:00:00+05:30,68.55,76.3,67.4,74.1,107221353
2023-12-24 00:00:00+05:30,74.8,83.5,72.65,82.0,362439922
2023-12-31 00:00:00+05:30,82.75,87.4,81.5,84.15,185588389
2024-01-07 00:00:00+05:30,85.9,94.65,82.55,91.95,255117492
2024-01-14 00:00:00+05:30,92.15,93.95,87.05,87.7,101630414
2024-01-21 00:00:00+05:30,87.95,101.35,81.2,99.7,262542354
2024-01-28 00:00:00+05:30,101.25,108.8,92.65,105.75,293546521
2024-02-04 00:00:00+05:30,106.4,108.0,96.1,96.8,106680394
2024-02-11 00:00:00+05:30,97.35,112.45,97.25,102.1,240791249
2024-02-18 00:00:00+05:30,102.55,103.05,89.95,100.4,102166743
2024-02-25 00:00:00+05:30,100.9,116.7,99.65,112.3,367997736
2024-03-03 00:00:00+05:30,112.0,117.8,102.1,108.5,176890372
2024-03-10 00:00:00+05:30,108.85,112.3,102.1,102.55,86117637
2024-03-17 00:00:00+05:30,102.75,102.95,80.25,90.1,141145623
2024-03-24 00:00:00+05:30,90.1,93.25,85.3,92.1,81675546
2024-03-31 00:00:00+05:30,92.15,94.35,90.25,91.8,54474841
2024-04-07 00:00:00+05:30,92.55,101.0,92.3,99.05,78791695
2024-04-14 00:00:00+05:30,99.6,101.3,95.3,99.0,63247463
2024-04-21 00:00:00+05:30,95.95,96.9,89.55,91.8,46608086
2024-04-28 00:00:00+05:30,93.45,98.65,92.0,95.8,61898864
2024-05-05 00:00:00+05:30,96.35,106.35,95.65,100.6,164978079
2024-05-12 00:00:00+05:30,101.25,102.6,90.55,93.7,66887096
2024-05-19 00:00:00+05:30,93.3,101.4,90.2,100.95,52275956
2024-05-26 00:00:00+05:30,101.75,104.25,98.85,103.15,60277777
2024-06-02 00:00:00+05:30,103.55,109.4,99.45,103.75,145077307
2024-06-09 00:00:00+05:30,108.1,108.1,82.85,97.45,119035695
2024-06-16 00:00:00+05:30,97.6,120.3,97.1,117.95,294205758
2024-06-23 00:00:00+05:30,124.0,130.5,119.1,121.48,309032872
2024-06-30 00:00:00+05:30,116.4,120.3,107.49,113.17,192298835
2024-07-07 00:00:00+05:30,114.0,131.5,111.8,130.36,251388266
2024-07-14 00:00:00+05:30,131.0,135.4,120.0,120.65,186437818
2024-07-21 00:00:00+05:30,121.0,124.18,113.85,115.5,72649724
2024-07-28 00:00:00+05:30,113.37,125.1,105.4,123.25,156855726
2024-08-04 00:00:00+05:30,123.81,140.5,123.5,132.77,310188154
2024-08-11 00:00:00+05:30,127.1,142.5,122.27,132.51,322394764
2024-08-18 00:00:00+05:30,133.1,146.2,130.5,131.71,245135052
2024-08-25 00:00:00+05:30,132.75,151.23,131.72,149.98,286202200
2024-09-01 00:00:00+05:30,150.5,152.0,141.75,149.62,141727683
2024-09-08 00:00:00+05:30,149.62,160.66,146.01,152.89,232644519
2024-09-15 00:00:00+05:30,152.7,156.35,146.25,150.72,128318915
2024-09-22 00:00:00+05:30,151.2,163.4,148.55,161.81,228244249
2024-09-29 00:00:00+05:30,166.0,171.0,150.31,151.0,160461262
2024-10-06 00:00:00+05:30,150.5,152.74,137.34,139.83,88599988
2024-10-13 00:00:00+05:30,139.98,142.85,128.81,137.52,107119784
2024-10-20 00:00:00+05:30,138.4,140.77,126.98,130.07,62049311
2024-10-27 00:00:00+05:30,131.2,132.84,111.51,113.28,122051487
2024-11-03 00:00:00+05:30,114.9,122.8,112.35,121.89,62760420
2024-11-10 00:00:00+05:30,121.6,131.5,117.35,126.79,118877378
2024-11-17 00:00:00+05:30,126.05,133.8,120.02,126.89,103738430
2024-11-24 00:00:00+05:30,128.7,132.4,125.16,126.28,58458803
2024-12-01 00:00:00+05:30,129.3,135.93,126.3,129.09,78254272
2024-12-08 00:00:00+05:30,129.0,134.88,127.57,132.26,71034492
2024-12-15 00:00:00+05:30,132.2,132.89,121.85,125.23,58969108
2024-12-22 00:00:00+05:30,125.4,127.26,113.0,113.35,56408472
2024-12-29 00:00:00+05:30,114.54,116.75,111.45,112.99,59902564
2025-01-05 00:00:00+05:30,113.24,116.4,109.81,114.4,42731000
2025-01-12 00:00:00+05:30,114.0,114.46,100.1,100.47,58744980
2025-01-19 00:00:00+05:30,99.09,106.77,92.2,103.75,100338920
2025-01-26 00:00:00+05:30,104.0,106.4,96.44,99.15,58616331
2025-02-02 00:00:00+05:30,98.0,106.95,91.26,106.12,97192959
2025-02-09 00:00:00+05:30,104.0,105.11,98.36,100.54,68850004
2025-02-16 00:00:00+05:30,100.55,101.05,84.5,85.7,53919770
2025-02-23 00:00:00+05:30,85.47,93.14,81.82,89.41,74952802
2025-03-02 00:00:00+05:30,88.1,88.87,78.47,79.19,43999282
2025-03-09 00:00:00+05:30,79.5,85.5,77.23,83.87,74475263
2025-03-16 00:00:00+05:30,84.6,87.0,77.0,77.55,53946504
2025-03-23 00:00:00+05:30,78.46,84.42,77.05,82.81,80081493
2025-03-30 00:00:00+05:30,84.79,85.71,78.7,79.1,85637459
2025-04-06 00:00:00+05:30,79.2,83.5,78.5,79.16,49951009
2025-04-13 00:00:00+05:30,72.98,77.17,71.6,76.01,35906300
2025-04-20 00:00:00+05:30,78.0,84.4,77.51,83.3,43917273
2025-04-27 00:00:00+05:30,83.9,87.59,80.5,81.15,53698832
2025-05-04 00:00:00+05:30,81.15,83.36,77.85,78.15,27281982
2025-05-11 00:00:00+05:30,78.51,81.0,72.06,74.14,55688405
2025-05-18 00:00:00+05:30,77.0,91.23,76.55,88.43,147565679
2025-05-25 00:00:00+05:30,89.14,92.65,79.61,87.1,172991930
