datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,14.35,15.0,14.1,14.65,14683167
2021-07-18 00:00:00+05:30,14.75,14.95,13.75,14.15,16642144
2021-07-25 00:00:00+05:30,13.95,15.2,13.35,14.3,39445550
2021-08-01 00:00:00+05:30,14.3,14.75,13.65,14.4,23301355
2021-08-08 00:00:00+05:30,14.5,14.75,13.25,13.6,19483695
2021-08-15 00:00:00+05:30,13.65,13.9,11.35,12.45,17916602
2021-08-22 00:00:00+05:30,12.4,12.4,11.0,11.1,9044661
2021-08-29 00:00:00+05:30,11.3,11.85,10.55,11.25,15428926
2021-09-05 00:00:00+05:30,11.25,12.45,11.25,11.5,14767316
2021-09-12 00:00:00+05:30,11.5,11.7,11.05,11.3,8705891
2021-09-19 00:00:00+05:30,11.3,13.5,11.1,12.75,42761617
2021-09-26 00:00:00+05:30,12.2,13.1,11.85,12.0,19981560
2021-10-03 00:00:00+05:30,12.1,14.35,11.9,13.05,96397196
2021-10-10 00:00:00+05:30,13.25,13.9,12.9,13.15,39513811
2021-10-17 00:00:00+05:30,13.35,15.4,13.15,13.9,92473041
2021-10-24 00:00:00+05:30,14.0,14.55,12.65,12.75,30727359
2021-10-31 00:00:00+05:30,12.85,12.95,12.05,12.2,17642137
2021-11-07 00:00:00+05:30,12.3,12.75,11.5,12.25,12369033
2021-11-14 00:00:00+05:30,12.5,13.15,12.0,12.2,14494964
2021-11-21 00:00:00+05:30,12.2,13.5,12.15,12.8,27925509
2021-11-28 00:00:00+05:30,12.8,12.85,11.9,11.95,14136386
2021-12-05 00:00:00+05:30,11.95,14.75,11.65,13.65,49642425
2021-12-12 00:00:00+05:30,13.65,18.55,13.6,17.6,263170360
2021-12-19 00:00:00+05:30,17.8,18.85,15.5,15.8,92977962
2021-12-26 00:00:00+05:30,15.5,16.45,14.25,15.55,65588454
2022-01-02 00:00:00+05:30,15.25,17.9,15.05,16.25,80045390
2022-01-09 00:00:00+05:30,16.5,17.3,16.0,16.35,53698578
2022-01-16 00:00:00+05:30,16.65,17.55,16.2,16.85,51338131
2022-01-23 00:00:00+05:30,16.85,17.1,15.65,15.75,28853608
2022-01-30 00:00:00+05:30,15.75,16.1,14.35,15.35,27742411
2022-02-06 00:00:00+05:30,15.6,15.7,14.8,14.9,20819313
2022-02-13 00:00:00+05:30,15.0,15.3,14.05,14.35,30488490
2022-02-20 00:00:00+05:30,14.0,14.55,13.0,13.6,27630877
2022-02-27 00:00:00+05:30,13.55,13.55,10.8,11.95,30623020
2022-03-06 00:00:00+05:30,12.0,12.4,11.55,11.9,13452011
2022-03-13 00:00:00+05:30,11.65,12.85,11.05,12.4,19604896
2022-03-20 00:00:00+05:30,12.5,13.3,11.75,12.55,27822011
2022-03-27 00:00:00+05:30,12.6,12.65,11.6,11.65,17392082
2022-04-03 00:00:00+05:30,11.6,12.05,11.05,12.0,29002732
2022-04-10 00:00:00+05:30,12.2,13.75,12.05,13.1,45402156
2022-04-17 00:00:00+05:30,13.2,13.2,12.25,12.3,13287775
2022-04-24 00:00:00+05:30,12.3,12.6,11.8,11.9,20288135
2022-05-01 00:00:00+05:30,11.85,11.85,11.25,11.3,18200764
2022-05-08 00:00:00+05:30,11.2,11.6,10.75,10.85,19501575
2022-05-15 00:00:00+05:30,10.75,10.8,9.2,9.6,19900759
2022-05-22 00:00:00+05:30,9.85,10.6,9.55,10.5,13611998
2022-05-29 00:00:00+05:30,10.4,10.6,9.0,9.5,15018891
2022-06-05 00:00:00+05:30,9.7,11.05,9.6,10.3,23862680
2022-06-12 00:00:00+05:30,10.3,10.5,9.8,9.85,10726251
2022-06-19 00:00:00+05:30,9.8,9.85,8.5,8.8,11928926
2022-06-26 00:00:00+05:30,8.9,8.95,8.25,8.9,9605728
2022-07-03 00:00:00+05:30,9.0,9.55,8.6,9.1,8730297
2022-07-10 00:00:00+05:30,9.1,9.4,8.95,9.15,8368046
2022-07-17 00:00:00+05:30,9.05,10.05,9.05,9.45,16165754
2022-07-24 00:00:00+05:30,9.5,10.15,9.45,9.85,14879720
2022-07-31 00:00:00+05:30,9.85,10.15,9.5,9.7,10674812
2022-08-07 00:00:00+05:30,9.75,10.8,9.7,10.4,43293165
2022-08-14 00:00:00+05:30,10.45,10.5,9.7,10.05,16929571
2022-08-21 00:00:00+05:30,10.05,11.35,9.95,10.85,43101756
2022-08-28 00:00:00+05:30,10.85,11.55,10.55,10.95,32801913
2022-09-04 00:00:00+05:30,10.55,12.7,10.4,11.9,51662443
2022-09-11 00:00:00+05:30,11.95,12.65,11.5,11.55,28458007
2022-09-18 00:00:00+05:30,11.65,11.65,10.65,10.75,15845531
2022-09-25 00:00:00+05:30,10.8,11.2,10.05,10.1,18560039
2022-10-02 00:00:00+05:30,10.0,10.2,9.45,9.55,12502441
2022-10-09 00:00:00+05:30,9.45,10.35,9.4,10.3,11229336
2022-10-16 00:00:00+05:30,10.25,10.25,9.55,9.75,9477723
