datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,20.65,20.8,20.21,20.21,293091
2021-07-11 00:00:00+05:30,20.45,23.66,20.31,22.82,12755664
2021-07-18 00:00:00+05:30,23.16,28.83,22.03,26.22,29823850
2021-07-25 00:00:00+05:30,26.02,28.24,25.28,25.73,8650202
2021-08-01 00:00:00+05:30,25.09,35.19,25.09,34.7,37043975
2021-08-08 00:00:00+05:30,35.04,35.09,29.03,32.23,15171394
2021-08-15 00:00:00+05:30,32.53,33.42,28.68,31.44,8313655
2021-08-22 00:00:00+05:30,31.4,32.63,28.88,29.28,4168506
2021-08-29 00:00:00+05:30,29.47,30.56,25.38,26.12,12914272
2021-09-05 00:00:00+05:30,26.12,28.78,25.88,27.65,14224713
2021-09-12 00:00:00+05:30,27.85,29.08,25.43,25.53,14943156
2021-09-19 00:00:00+05:30,25.83,26.71,24.69,25.33,33402228
2021-09-26 00:00:00+05:30,25.14,26.02,24.69,25.23,20420639
2021-10-03 00:00:00+05:30,25.68,25.83,24.05,24.45,34480799
2021-10-10 00:00:00+05:30,25.04,25.04,24.15,24.69,11801517
2021-10-17 00:00:00+05:30,25.14,33.22,24.79,31.84,76753678
2021-10-24 00:00:00+05:30,33.12,33.12,26.37,27.99,17305472
2021-10-31 00:00:00+05:30,27.99,30.75,26.91,29.28,12761889
2021-11-07 00:00:00+05:30,29.47,33.27,29.28,32.97,15172184
2021-11-14 00:00:00+05:30,33.27,35.24,31.84,32.18,20854495
2021-11-21 00:00:00+05:30,32.18,33.27,30.06,30.51,9005638
2021-11-28 00:00:00+05:30,30.61,32.13,29.37,30.71,7189399
2021-12-05 00:00:00+05:30,30.16,36.57,28.68,35.88,35754277
2021-12-12 00:00:00+05:30,36.96,38.05,31.54,33.66,39829304
2021-12-19 00:00:00+05:30,34.01,34.11,30.95,31.44,17172661
2021-12-26 00:00:00+05:30,31.05,31.05,27.99,28.83,16106181
2022-01-02 00:00:00+05:30,28.83,30.51,28.39,28.49,21200549
2022-01-09 00:00:00+05:30,28.64,29.57,27.8,29.08,21143130
2022-01-16 00:00:00+05:30,29.23,33.02,29.23,31.74,20800394
2022-01-23 00:00:00+05:30,31.79,33.27,30.16,31.64,20475165
2022-01-30 00:00:00+05:30,30.8,31.44,27.85,29.87,8929917
2022-02-06 00:00:00+05:30,30.8,32.13,30.02,31.74,10592792
2022-02-13 00:00:00+05:30,31.84,34.35,31.2,31.64,20656939
2022-02-20 00:00:00+05:30,31.05,31.64,28.39,29.52,9250764
2022-02-27 00:00:00+05:30,29.57,29.67,24.25,27.45,11649859
2022-03-06 00:00:00+05:30,26.86,28.09,26.12,26.71,5798317
2022-03-13 00:00:00+05:30,26.37,27.85,24.64,26.37,10756328
2022-03-20 00:00:00+05:30,25.92,27.6,25.14,26.91,8014535
2022-03-27 00:00:00+05:30,27.06,29.18,26.61,27.95,12296759
2022-04-03 00:00:00+05:30,27.5,28.78,26.61,27.95,10093228
2022-04-10 00:00:00+05:30,28.59,28.68,26.61,26.81,12559814
2022-04-17 00:00:00+05:30,26.81,30.02,26.02,28.93,15072454
2022-04-24 00:00:00+05:30,28.78,31.15,27.26,27.9,38385731
2022-05-01 00:00:00+05:30,27.21,28.34,26.37,26.71,10086401
2022-05-08 00:00:00+05:30,26.52,26.91,23.41,23.66,13254828
2022-05-15 00:00:00+05:30,22.97,24.1,20.95,23.26,14733229
2022-05-22 00:00:00+05:30,23.26,24.25,22.18,22.97,8058230
2022-05-29 00:00:00+05:30,23.12,23.66,20.01,21.29,4612688
2022-06-05 00:00:00+05:30,20.6,24.25,20.6,22.77,7439959
2022-06-12 00:00:00+05:30,22.67,23.26,21.98,22.43,3578994
2022-06-19 00:00:00+05:30,21.93,22.38,20.4,20.7,3513337
2022-06-26 00:00:00+05:30,20.95,21.54,19.57,20.11,3710193
2022-07-03 00:00:00+05:30,20.4,20.65,18.58,19.12,3033046
2022-07-10 00:00:00+05:30,18.98,20.4,18.88,20.21,3731787
2022-07-17 00:00:00+05:30,20.11,20.8,19.12,19.22,3663906
2022-07-24 00:00:00+05:30,19.67,20.6,19.22,20.01,3255545
2022-07-31 00:00:00+05:30,19.71,22.18,19.07,21.88,12672335
2022-08-07 00:00:00+05:30,22.08,26.61,22.08,25.63,28198707
2022-08-14 00:00:00+05:30,25.83,28.09,25.23,27.6,17443721
2022-08-21 00:00:00+05:30,27.21,27.8,25.23,26.52,7004132
2022-08-28 00:00:00+05:30,26.61,27.3,25.43,26.71,5840556
2022-09-04 00:00:00+05:30,25.88,31.15,25.73,30.85,22600624
2022-09-11 00:00:00+05:30,30.8,34.25,30.36,33.42,26125351
2022-09-18 00:00:00+05:30,33.56,39.28,33.51,35.78,36032429
2022-09-25 00:00:00+05:30,37.31,38.84,33.32,34.94,14682072
2022-10-02 00:00:00+05:30,34.89,37.16,31.79,36.37,14227833
2022-10-09 00:00:00+05:30,36.13,37.65,35.14,37.46,7333934
2022-10-16 00:00:00+05:30,37.16,39.43,36.47,37.06,19775841
2022-10-23 00:00:00+05:30,36.72,38.64,36.47,36.52,9997326
2022-10-30 00:00:00+05:30,36.47,37.95,36.27,37.16,4350289
2022-11-06 00:00:00+05:30,37.36,38.34,36.23,37.16,12384037
2022-11-13 00:00:00+05:30,37.85,37.85,31.2,31.69,21067469
2022-11-20 00:00:00+05:30,31.64,31.64,28.34,28.44,14660706
2022-11-27 00:00:00+05:30,28.34,30.26,27.6,29.47,8781373
2022-12-04 00:00:00+05:30,29.87,32.53,28.88,31.35,15319134
2022-12-11 00:00:00+05:30,29.82,31.3,29.28,29.57,13219414
2022-12-18 00:00:00+05:30,29.57,29.57,27.35,27.7,8837726
2022-12-25 00:00:00+05:30,27.65,29.52,25.28,25.92,13997948
2023-01-01 00:00:00+05:30,25.63,27.3,25.43,26.76,11207844
2023-01-08 00:00:00+05:30,26.86,27.11,25.43,25.63,5208353
2023-01-15 00:00:00+05:30,25.83,26.76,25.23,26.61,7336706
2023-01-22 00:00:00+05:30,27.11,27.16,25.19,26.57,5000812
2023-01-29 00:00:00+05:30,26.61,26.76,23.12,23.66,6684045
2023-02-05 00:00:00+05:30,23.76,25.58,21.88,22.87,10786492
2023-02-12 00:00:00+05:30,22.57,23.95,22.03,22.97,6609688
2023-02-19 00:00:00+05:30,22.82,23.85,22.18,23.71,5826523
2023-02-26 00:00:00+05:30,23.85,26.81,23.16,26.61,8385971
2023-03-05 00:00:00+05:30,26.37,27.35,24.79,26.71,6680294
2023-03-12 00:00:00+05:30,26.86,29.28,26.12,28.09,8372406
2023-03-19 00:00:00+05:30,28.29,28.29,24.4,25.23,10257617
2023-03-26 00:00:00+05:30,24.4,25.14,23.46,23.66,4294440
2023-04-02 00:00:00+05:30,23.66,24.05,22.47,23.02,9538778
2023-04-09 00:00:00+05:30,23.07,25.23,22.82,24.94,4680042
2023-04-16 00:00:00+05:30,24.94,25.33,23.51,23.9,3727842
2023-04-23 00:00:00+05:30,24.05,24.74,23.66,24.54,3074798
2023-04-30 00:00:00+05:30,24.54,27.01,23.85,26.22,7891946
2023-05-07 00:00:00+05:30,26.42,28.88,25.88,28.59,7726816
2023-05-14 00:00:00+05:30,28.83,29.67,27.5,28.24,5452725
