datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,48.7,48.7,46.0,46.65,9708318
2021-07-18 00:00:00+05:30,47.4,47.5,45.95,46.25,10276537
2021-07-25 00:00:00+05:30,46.25,46.8,44.5,44.75,9388095
2021-08-01 00:00:00+05:30,44.75,45.4,43.1,43.95,10193246
2021-08-08 00:00:00+05:30,45.0,46.2,43.85,44.05,9449885
2021-08-15 00:00:00+05:30,44.6,45.45,42.05,44.4,16725256
2021-08-22 00:00:00+05:30,44.7,44.75,41.6,41.75,9012513
2021-08-29 00:00:00+05:30,42.0,44.25,40.15,42.85,15172228
2021-09-05 00:00:00+05:30,42.85,43.9,42.75,43.45,4904083
2021-09-12 00:00:00+05:30,43.9,45.75,43.4,45.35,12665741
2021-09-19 00:00:00+05:30,45.6,46.25,43.75,44.8,13818106
2021-09-26 00:00:00+05:30,45.0,46.6,42.8,45.8,16670822
2021-10-03 00:00:00+05:30,46.5,46.7,44.85,45.1,7595739
2021-10-10 00:00:00+05:30,45.3,48.4,44.95,46.3,22480860
2021-10-17 00:00:00+05:30,46.55,47.0,45.4,46.5,10406103
2021-10-24 00:00:00+05:30,47.25,52.9,44.75,51.55,51049882
2021-10-31 00:00:00+05:30,52.9,53.4,46.05,47.25,44366652
2021-11-07 00:00:00+05:30,47.65,47.95,46.5,47.7,5218367
2021-11-14 00:00:00+05:30,48.25,50.75,47.35,48.8,20313048
2021-11-21 00:00:00+05:30,49.1,49.2,46.25,46.6,7579038
2021-11-28 00:00:00+05:30,46.6,47.95,45.0,45.3,9839442
2021-12-05 00:00:00+05:30,45.3,45.9,43.75,45.15,5986965
2021-12-12 00:00:00+05:30,45.2,47.8,44.8,47.15,6752152
2021-12-19 00:00:00+05:30,47.8,47.8,44.8,45.0,8718588
2021-12-26 00:00:00+05:30,45.9,45.9,43.85,44.85,5992732
2022-01-02 00:00:00+05:30,44.5,45.55,44.4,45.15,4034860
2022-01-09 00:00:00+05:30,45.35,46.85,45.1,46.25,8555723
2022-01-16 00:00:00+05:30,46.95,48.25,46.1,47.05,8610743
2022-01-23 00:00:00+05:30,47.4,48.15,46.1,46.25,7339765
2022-01-30 00:00:00+05:30,46.3,46.5,44.05,45.05,6151980
2022-02-06 00:00:00+05:30,45.5,46.4,44.75,45.1,5671181
2022-02-13 00:00:00+05:30,45.15,45.5,44.2,44.8,4504684
2022-02-20 00:00:00+05:30,44.8,44.8,42.6,42.95,6246591
2022-02-27 00:00:00+05:30,42.3,42.7,39.1,40.1,7188028
2022-03-06 00:00:00+05:30,40.95,40.95,39.7,40.1,4951100
2022-03-13 00:00:00+05:30,40.0,41.7,39.25,41.45,4759053
2022-03-20 00:00:00+05:30,41.65,41.65,41.1,41.3,2620556
2022-03-27 00:00:00+05:30,41.5,41.85,40.85,41.05,4927159
2022-04-03 00:00:00+05:30,41.2,41.2,39.35,40.5,7861151
2022-04-10 00:00:00+05:30,40.9,44.0,40.75,43.45,8702720
2022-04-17 00:00:00+05:30,43.35,44.15,42.35,43.0,3554422
2022-04-24 00:00:00+05:30,42.85,43.9,42.1,43.3,4855409
2022-05-01 00:00:00+05:30,43.1,43.1,41.2,41.35,2700644
2022-05-08 00:00:00+05:30,41.05,41.5,39.65,40.05,2395255
2022-05-15 00:00:00+05:30,40.25,40.5,38.05,39.3,4168322
2022-05-22 00:00:00+05:30,39.3,40.25,38.9,39.6,2203675
2022-05-29 00:00:00+05:30,39.95,40.8,38.05,39.35,2934893
2022-06-05 00:00:00+05:30,40.0,40.75,39.5,39.55,3133500
2022-06-12 00:00:00+05:30,39.8,39.8,38.5,38.6,2427301
2022-06-19 00:00:00+05:30,38.2,38.4,35.2,35.35,3483435
2022-06-26 00:00:00+05:30,35.35,36.4,34.8,36.2,2047341
2022-07-03 00:00:00+05:30,36.5,36.65,35.8,36.05,1397445
2022-07-10 00:00:00+05:30,36.1,37.6,36.1,37.35,1764735
2022-07-17 00:00:00+05:30,37.4,37.75,36.8,36.95,1569025
