datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,61.1,63.35,58.35,62.6,26847728
2021-07-18 00:00:00+05:30,63.2,65.95,61.55,64.5,33848858
2021-07-25 00:00:00+05:30,63.7,67.35,59.6,64.7,34292254
2021-08-01 00:00:00+05:30,64.8,73.8,64.7,69.55,71708218
2021-08-08 00:00:00+05:30,69.1,72.4,66.8,68.85,31193170
2021-08-15 00:00:00+05:30,69.25,69.35,58.25,64.6,34794710
2021-08-22 00:00:00+05:30,64.5,64.9,57.85,60.8,19273794
2021-08-29 00:00:00+05:30,61.5,63.9,58.3,60.0,19985786
2021-09-05 00:00:00+05:30,60.5,62.3,58.45,61.2,14559458
2021-09-12 00:00:00+05:30,61.5,61.8,58.85,59.7,9008492
2021-09-19 00:00:00+05:30,59.7,62.35,58.75,61.5,16070012
2021-09-26 00:00:00+05:30,60.2,60.75,55.5,57.0,13597640
2021-10-03 00:00:00+05:30,57.3,57.65,55.2,56.8,11174582
2021-10-10 00:00:00+05:30,57.1,60.75,57.0,57.8,17124198
2021-10-17 00:00:00+05:30,58.2,62.3,57.6,60.9,18650712
2021-10-24 00:00:00+05:30,61.5,64.0,56.1,56.7,16590462
2021-10-31 00:00:00+05:30,57.1,60.45,54.6,58.0,16914966
2021-11-07 00:00:00+05:30,57.75,58.35,56.0,56.7,4957674
2021-11-14 00:00:00+05:30,57.0,57.05,54.4,54.65,8194462
2021-11-21 00:00:00+05:30,54.95,55.0,52.0,52.25,6037946
2021-11-28 00:00:00+05:30,52.55,54.55,48.8,50.55,10718732
2021-12-05 00:00:00+05:30,50.65,52.9,48.2,51.95,7892300
2021-12-12 00:00:00+05:30,52.0,55.25,52.0,52.8,12592952
2021-12-19 00:00:00+05:30,53.3,54.0,48.3,48.75,11132702
2021-12-26 00:00:00+05:30,48.45,52.2,46.75,50.9,14831084
2022-01-02 00:00:00+05:30,50.8,51.25,48.8,49.4,6312984
2022-01-09 00:00:00+05:30,49.65,53.55,49.55,52.75,12195290
2022-01-16 00:00:00+05:30,53.0,53.2,51.0,52.0,11115608
2022-01-23 00:00:00+05:30,52.3,59.7,52.1,54.05,50913008
2022-01-30 00:00:00+05:30,53.75,54.35,49.0,52.6,11958850
2022-02-06 00:00:00+05:30,53.5,54.4,49.4,52.2,22711068
2022-02-13 00:00:00+05:30,52.5,53.0,49.6,50.0,10885244
2022-02-20 00:00:00+05:30,49.05,49.2,46.05,46.5,10052006
2022-02-27 00:00:00+05:30,46.0,46.4,40.0,42.75,11319740
2022-03-06 00:00:00+05:30,42.05,46.2,41.8,43.9,6981096
2022-03-13 00:00:00+05:30,43.6,45.95,42.05,44.8,8769932
2022-03-20 00:00:00+05:30,45.0,48.35,43.55,46.5,20115678
2022-03-27 00:00:00+05:30,46.85,49.3,45.7,46.9,18450720
2022-04-03 00:00:00+05:30,46.55,47.1,43.95,46.6,14322906
2022-04-10 00:00:00+05:30,46.9,49.75,46.75,48.4,13457736
2022-04-17 00:00:00+05:30,48.65,49.1,46.8,47.8,4610450
2022-04-24 00:00:00+05:30,47.8,50.75,47.05,48.9,15078040
2022-05-01 00:00:00+05:30,48.7,48.7,45.3,46.2,6690468
2022-05-08 00:00:00+05:30,46.0,46.9,43.2,45.3,6486926
2022-05-15 00:00:00+05:30,44.6,45.0,38.8,40.0,8311722
2022-05-22 00:00:00+05:30,40.65,47.95,39.35,46.4,13452310
2022-05-29 00:00:00+05:30,46.2,46.2,41.1,42.0,8630522
2022-06-05 00:00:00+05:30,42.5,45.5,42.1,44.15,6466180
2022-06-12 00:00:00+05:30,44.0,44.6,41.9,43.65,5727966
2022-06-19 00:00:00+05:30,43.0,43.0,38.75,40.5,5502736
2022-06-26 00:00:00+05:30,40.3,40.5,37.5,38.8,4947308
2022-07-03 00:00:00+05:30,39.4,40.5,38.4,39.1,4173048
2022-07-10 00:00:00+05:30,39.1,40.6,38.6,39.8,3584838
2022-07-17 00:00:00+05:30,39.8,41.0,39.15,39.5,3432522
2022-07-24 00:00:00+05:30,39.75,42.5,39.5,41.9,5937998
2022-07-31 00:00:00+05:30,41.6,43.5,41.0,42.95,7096334
2022-08-07 00:00:00+05:30,43.25,46.4,42.4,43.3,12254348
2022-08-14 00:00:00+05:30,42.85,42.85,40.9,41.8,5193696
2022-08-21 00:00:00+05:30,42.0,43.9,41.4,42.0,4324920
2022-08-28 00:00:00+05:30,42.45,43.95,40.55,43.2,4877528
2022-09-04 00:00:00+05:30,42.6,44.3,42.05,43.0,3829020
2022-09-11 00:00:00+05:30,43.25,45.9,43.05,44.5,6960986
2022-09-18 00:00:00+05:30,44.7,45.7,40.8,45.0,8015020
2022-09-25 00:00:00+05:30,44.85,45.3,42.25,44.5,7740480
2022-10-02 00:00:00+05:30,44.4,45.0,39.9,41.25,9165380
2022-10-09 00:00:00+05:30,41.1,42.0,40.5,41.85,3124190
2022-10-16 00:00:00+05:30,41.7,43.65,41.0,41.2,4198376
2022-10-23 00:00:00+05:30,41.1,41.75,39.5,39.6,4295000
2022-10-30 00:00:00+05:30,40.0,40.4,38.8,39.2,2571120
2022-11-06 00:00:00+05:30,39.4,40.75,38.7,40.55,4022962
2022-11-13 00:00:00+05:30,40.8,42.1,40.55,41.6,4625048
2022-11-20 00:00:00+05:30,41.5,46.5,41.3,45.2,14077112
2022-11-27 00:00:00+05:30,45.45,47.1,43.5,46.05,9561628
2022-12-04 00:00:00+05:30,46.1,47.5,44.8,47.0,13328254
2022-12-11 00:00:00+05:30,47.25,48.3,45.3,45.6,10665870
2022-12-18 00:00:00+05:30,45.8,53.1,45.3,49.05,34408260
2022-12-25 00:00:00+05:30,49.2,53.7,45.1,45.5,27219956
2023-01-01 00:00:00+05:30,45.9,53.9,45.35,51.8,21363828
2023-01-08 00:00:00+05:30,52.0,57.25,51.9,55.5,45375892
2023-01-15 00:00:00+05:30,55.85,58.4,54.4,56.7,24950044
2023-01-22 00:00:00+05:30,57.0,59.1,54.5,58.4,21860090
2023-01-29 00:00:00+05:30,58.5,60.85,53.95,58.3,30672798
2023-02-05 00:00:00+05:30,58.5,67.9,57.9,65.0,58386544
2023-02-12 00:00:00+05:30,65.2,72.7,65.2,71.0,37361560
2023-02-19 00:00:00+05:30,71.2,76.4,70.5,73.0,31304240
2023-02-26 00:00:00+05:30,73.5,79.2,72.45,78.8,26478076
2023-03-05 00:00:00+05:30,78.8,79.2,71.5,73.85,27034480
2023-03-12 00:00:00+05:30,74.0,89.8,73.75,87.3,44743912
2023-03-19 00:00:00+05:30,87.5,88.1,74.7,77.4,28527706
2023-03-26 00:00:00+05:30,76.75,77.2,70.35,70.6,24172962
2023-04-02 00:00:00+05:30,70.6,76.05,67.7,72.95,16824396
2023-04-09 00:00:00+05:30,73.45,81.7,73.2,80.45,19063836
2023-04-16 00:00:00+05:30,80.9,83.35,80.0,81.7,15907516
2023-04-23 00:00:00+05:30,81.3,82.7,76.55,79.6,19368768
2023-04-30 00:00:00+05:30,79.6,83.5,78.9,81.8,10885954
2023-05-07 00:00:00+05:30,82.3,84.9,77.6,78.0,13572928
2023-05-14 00:00:00+05:30,78.5,88.3,77.75,85.3,21595104
2023-05-21 00:00:00+05:30,85.7,99.2,85.05,93.45,58473062
2023-05-28 00:00:00+05:30,93.95,102.4,93.8,98.35,31568046
2023-06-04 00:00:00+05:30,98.5,126.95,95.5,123.5,94221062
2023-06-11 00:00:00+05:30,124.15,126.5,113.5,120.45,18628064
2023-06-18 00:00:00+05:30,120.6,125.5,116.0,118.0,11158442
2023-06-25 00:00:00+05:30,117.95,121.6,114.15,115.1,7792836
2023-07-02 00:00:00+05:30,115.8,132.2,115.55,127.95,14913012
2023-07-09 00:00:00+05:30,128.55,144.2,128.5,143.0,16180956
2023-07-16 00:00:00+05:30,143.0,168.05,142.65,158.1,18926306
2023-07-23 00:00:00+05:30,158.7,191.75,158.5,190.15,27322688
2023-07-30 00:00:00+05:30,190.15,192.25,157.5,162.8,17753888
2023-08-06 00:00:00+05:30,162.8,171.15,150.15,160.9,18091734
2023-08-13 00:00:00+05:30,161.0,176.6,157.6,170.3,11414036
2023-08-20 00:00:00+05:30,175.0,175.0,157.6,159.9,5669498
2023-08-27 00:00:00+05:30,160.4,167.2,151.2,156.0,7750524
2023-09-03 00:00:00+05:30,157.2,186.45,153.8,180.35,13235372
2023-09-10 00:00:00+05:30,182.0,190.7,177.75,186.0,9469294
2023-09-17 00:00:00+05:30,186.9,195.5,154.75,184.9,15468834
2023-09-24 00:00:00+05:30,184.5,185.5,170.0,173.05,4079038
2023-10-01 00:00:00+05:30,173.9,179.9,172.1,173.3,4325846
2023-10-08 00:00:00+05:30,173.9,186.65,168.55,172.65,6049580
2023-10-15 00:00:00+05:30,171.6,183.2,164.3,180.7,7253606
2023-10-22 00:00:00+05:30,181.7,202.5,180.7,198.6,16893458
2023-10-29 00:00:00+05:30,198.6,205.0,165.0,191.7,22686686
2023-11-05 00:00:00+05:30,194.0,233.8,190.6,230.3,24682960
2023-11-12 00:00:00+05:30,232.0,248.5,228.9,247.85,12425344
2023-11-19 00:00:00+05:30,248.0,257.5,241.6,243.55,6308856
2023-11-26 00:00:00+05:30,244.4,245.05,221.9,222.7,10342190
2023-12-03 00:00:00+05:30,223.8,239.8,222.55,235.35,13209480
2023-12-10 00:00:00+05:30,242.5,242.5,216.1,217.45,11497058
2023-12-17 00:00:00+05:30,218.5,225.0,214.0,218.1,10719822
2023-12-24 00:00:00+05:30,217.0,226.0,202.5,212.2,13115030
2023-12-31 00:00:00+05:30,212.35,213.45,203.5,206.0,5346794
2024-01-07 00:00:00+05:30,206.0,229.35,202.0,224.8,17329116
2024-01-14 00:00:00+05:30,225.25,250.4,225.2,244.3,14364466
2024-01-21 00:00:00+05:30,245.7,269.45,241.75,245.7,34560102
2024-01-28 00:00:00+05:30,247.85,257.5,235.5,256.9,9094378
2024-02-04 00:00:00+05:30,258.2,265.0,246.1,247.6,9775294
2024-02-11 00:00:00+05:30,247.6,275.0,243.5,266.7,13216250
2024-02-18 00:00:00+05:30,268.85,269.95,231.35,251.0,8937952
2024-02-25 00:00:00+05:30,253.0,279.2,253.0,264.3,10953570
2024-03-03 00:00:00+05:30,264.5,265.4,233.6,246.7,9582882
2024-03-10 00:00:00+05:30,247.9,248.2,227.5,233.0,5353332
2024-03-17 00:00:00+05:30,233.0,234.0,190.0,217.7,13568298
2024-03-24 00:00:00+05:30,216.5,220.85,199.1,217.65,8389336
2024-03-31 00:00:00+05:30,218.0,222.5,210.0,216.35,4486368
2024-04-07 00:00:00+05:30,219.6,257.0,219.4,248.45,10131214
2024-04-14 00:00:00+05:30,251.0,259.1,240.5,256.3,6877866
2024-04-21 00:00:00+05:30,245.05,254.5,232.3,240.2,7023820
2024-04-28 00:00:00+05:30,242.45,282.0,240.1,279.7,15241758
2024-05-05 00:00:00+05:30,282.5,290.0,272.25,287.5,8317390
2024-05-12 00:00:00+05:30,290.35,299.0,259.6,265.95,27364208
2024-05-19 00:00:00+05:30,266.5,281.0,257.7,276.35,10813300
2024-05-26 00:00:00+05:30,276.5,282.5,265.45,271.25,6584086
2024-06-02 00:00:00+05:30,274.0,285.0,266.5,268.9,10260758
2024-06-09 00:00:00+05:30,278.5,284.0,236.5,277.6,15571640
2024-06-16 00:00:00+05:30,280.9,291.5,273.5,280.4,8947886
2024-06-23 00:00:00+05:30,283.0,290.4,271.9,285.8,6321184
2024-06-30 00:00:00+05:30,285.8,295.5,266.0,271.9,8868984
2024-07-07 00:00:00+05:30,271.9,282.25,269.0,276.0,6449902
2024-07-14 00:00:00+05:30,276.0,291.6,272.5,281.9,10321054
2024-07-21 00:00:00+05:30,283.5,292.35,264.55,274.15,12040570
2024-07-28 00:00:00+05:30,272.5,291.3,263.4,289.4,8225796
2024-08-04 00:00:00+05:30,290.5,332.0,290.5,325.2,38025474
2024-08-11 00:00:00+05:30,315.0,335.0,298.75,326.6,20227152
2024-08-18 00:00:00+05:30,327.0,328.5,300.55,314.4,5795122
2024-08-25 00:00:00+05:30,318.0,355.0,314.2,344.4,19354678
2024-09-01 00:00:00+05:30,347.85,354.0,331.6,340.3,10952860
2024-09-08 00:00:00+05:30,342.5,362.0,339.05,345.7,12254302
2024-09-15 00:00:00+05:30,345.95,359.2,331.8,354.6,9838794
2024-09-22 00:00:00+05:30,356.8,366.05,344.5,355.1,6976106
2024-09-29 00:00:00+05:30,357.0,379.9,351.25,372.75,11190318
2024-10-06 00:00:00+05:30,375.9,379.95,349.0,363.1,8817912
2024-10-13 00:00:00+05:30,365.9,383.85,342.7,353.6,8770140
2024-10-20 00:00:00+05:30,355.5,375.6,352.4,365.25,5433291
2024-10-27 00:00:00+05:30,376.0,378.15,293.55,301.85,15026276
