datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,35.75,35.75,34.9,35.75,282410
2021-07-11 00:00:00+05:30,37.5,41.3,37.4,39.25,2945845
2021-07-18 00:00:00+05:30,39.5,43.25,35.1,37.5,2785966
2021-07-25 00:00:00+05:30,37.25,39.0,32.4,33.0,772465
2021-08-01 00:00:00+05:30,33.2,37.3,32.5,37.0,824439
2021-08-08 00:00:00+05:30,37.0,38.5,33.8,34.75,526262
2021-08-15 00:00:00+05:30,34.2,38.3,31.8,36.45,1021347
2021-08-22 00:00:00+05:30,34.65,36.0,30.65,30.75,518874
2021-08-29 00:00:00+05:30,30.1,32.75,29.5,31.05,323956
2021-09-05 00:00:00+05:30,31.2,32.5,29.85,30.5,525096
2021-09-12 00:00:00+05:30,31.4,37.0,30.1,36.15,1200770
2021-09-19 00:00:00+05:30,36.8,36.8,32.85,33.6,307264
2021-09-26 00:00:00+05:30,33.95,35.0,32.55,34.3,416543
2021-10-03 00:00:00+05:30,34.35,35.45,31.55,33.4,425341
2021-10-10 00:00:00+05:30,33.65,36.6,33.5,35.1,575722
2021-10-17 00:00:00+05:30,35.0,36.2,32.7,33.65,491740
2021-10-24 00:00:00+05:30,33.7,34.9,30.75,31.25,606207
2021-10-31 00:00:00+05:30,31.55,34.85,30.05,32.8,626362
2021-11-07 00:00:00+05:30,33.8,34.9,32.0,34.45,432809
2021-11-14 00:00:00+05:30,34.5,39.15,33.9,36.75,1122477
2021-11-21 00:00:00+05:30,36.9,37.35,32.25,32.55,470966
2021-11-28 00:00:00+05:30,32.4,34.8,30.95,33.2,956590
2021-12-05 00:00:00+05:30,33.85,35.3,31.35,35.3,899149
2021-12-12 00:00:00+05:30,36.7,48.5,34.65,46.85,4384821
2021-12-19 00:00:00+05:30,48.7,48.7,41.1,41.6,1913103
2021-12-26 00:00:00+05:30,41.55,45.05,39.55,43.15,986733
2022-01-02 00:00:00+05:30,43.75,46.0,42.2,43.7,833443
2022-01-09 00:00:00+05:30,44.5,44.5,42.1,42.65,777055
2022-01-16 00:00:00+05:30,43.1,53.9,43.0,53.9,2497045
2022-01-23 00:00:00+05:30,56.55,59.35,51.15,52.8,2181807
2022-01-30 00:00:00+05:30,52.7,52.9,47.7,49.65,1639304
2022-02-06 00:00:00+05:30,50.4,53.65,47.75,52.2,1424071
2022-02-13 00:00:00+05:30,53.2,54.3,44.3,46.2,996806
2022-02-20 00:00:00+05:30,42.5,46.0,38.9,42.05,1908115
2022-02-27 00:00:00+05:30,42.0,45.0,36.4,37.85,1296415
