datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,79.5,79.6,76.3,77.5,8771204
2021-07-18 00:00:00+05:30,78.25,78.35,74.5,75.0,8466897
2021-07-25 00:00:00+05:30,74.95,74.95,70.3,72.3,4646220
2021-08-01 00:00:00+05:30,71.5,74.15,70.35,70.95,5960805
2021-08-08 00:00:00+05:30,72.15,75.7,66.1,66.85,18362612
2021-08-15 00:00:00+05:30,68.0,68.5,63.75,66.1,11632773
2021-08-22 00:00:00+05:30,66.0,66.15,61.0,61.8,3892227
2021-08-29 00:00:00+05:30,62.05,63.75,61.5,62.9,3153625
2021-09-05 00:00:00+05:30,63.7,69.25,62.7,66.2,9667147
2021-09-12 00:00:00+05:30,66.1,68.5,65.6,65.95,3706353
2021-09-19 00:00:00+05:30,66.65,74.4,65.7,71.9,10449095
2021-09-26 00:00:00+05:30,70.1,73.0,67.0,69.5,6358319
2021-10-03 00:00:00+05:30,70.4,74.2,68.1,73.5,6174934
2021-10-10 00:00:00+05:30,74.1,81.85,70.2,78.0,23558019
2021-10-17 00:00:00+05:30,78.5,80.85,77.0,78.8,11334663
2021-10-24 00:00:00+05:30,79.5,80.5,74.55,75.4,10832933
2021-10-31 00:00:00+05:30,75.4,78.6,72.0,76.25,9677761
2021-11-07 00:00:00+05:30,76.3,79.5,76.3,78.0,5970026
2021-11-14 00:00:00+05:30,78.0,83.6,77.25,78.05,17663916
2021-11-21 00:00:00+05:30,78.55,78.55,72.05,72.85,4477484
2021-11-28 00:00:00+05:30,73.5,73.75,67.0,67.4,5277841
2021-12-05 00:00:00+05:30,67.4,70.4,64.45,69.2,4337579
2021-12-12 00:00:00+05:30,69.3,72.15,67.0,71.75,4108628
2021-12-19 00:00:00+05:30,71.8,72.55,67.75,68.25,4203809
2021-12-26 00:00:00+05:30,67.9,68.65,64.7,67.75,3024153
2022-01-02 00:00:00+05:30,66.95,68.9,66.5,68.45,2567515
2022-01-09 00:00:00+05:30,68.75,75.9,68.0,71.55,11521073
2022-01-16 00:00:00+05:30,72.35,72.35,69.0,69.9,4948664
2022-01-23 00:00:00+05:30,70.05,70.5,67.2,67.8,3767541
2022-01-30 00:00:00+05:30,67.5,67.8,63.4,66.3,3059834
2022-02-06 00:00:00+05:30,67.2,71.5,66.0,66.85,9780218
2022-02-13 00:00:00+05:30,66.85,67.25,64.1,64.3,4066866
2022-02-20 00:00:00+05:30,63.25,64.5,62.1,62.3,3194291
2022-02-27 00:00:00+05:30,62.0,62.55,55.65,59.45,6199158
2022-03-06 00:00:00+05:30,59.3,63.75,58.25,61.95,5164725
2022-03-13 00:00:00+05:30,60.9,64.0,59.4,61.4,4421668
2022-03-20 00:00:00+05:30,61.8,62.25,59.8,61.15,2172557
2022-03-27 00:00:00+05:30,61.4,62.0,59.5,59.6,3123364
2022-04-03 00:00:00+05:30,59.5,62.8,57.7,61.9,7051495
2022-04-10 00:00:00+05:30,62.1,67.05,61.8,66.2,7513106
2022-04-17 00:00:00+05:30,66.25,66.9,64.35,65.6,1896800
2022-04-24 00:00:00+05:30,65.45,65.45,61.5,63.15,2636448
2022-05-01 00:00:00+05:30,62.8,63.75,60.7,60.9,2031925
2022-05-08 00:00:00+05:30,60.35,61.8,58.3,60.2,2178609
2022-05-15 00:00:00+05:30,60.0,67.7,55.15,61.7,11377323
2022-05-22 00:00:00+05:30,62.55,64.3,60.45,62.0,5761273
2022-05-29 00:00:00+05:30,62.15,63.1,57.0,58.35,3032970
2022-06-05 00:00:00+05:30,59.45,61.9,59.0,60.5,1779964
2022-06-12 00:00:00+05:30,60.35,61.4,59.6,59.95,1376359
2022-06-19 00:00:00+05:30,59.0,59.75,56.05,57.4,1344379
2022-06-26 00:00:00+05:30,57.5,59.2,55.05,58.35,1520443
2022-07-03 00:00:00+05:30,58.95,61.95,58.0,61.4,1926619
2022-07-10 00:00:00+05:30,61.0,65.0,60.25,62.95,3750270
2022-07-17 00:00:00+05:30,62.95,67.1,62.35,66.25,8696711
2022-07-24 00:00:00+05:30,66.35,66.8,64.3,64.85,3540683
2022-07-31 00:00:00+05:30,64.8,66.45,63.85,65.05,2785507
2022-08-07 00:00:00+05:30,65.05,73.35,65.0,71.2,18915254
2022-08-14 00:00:00+05:30,72.0,72.0,69.0,69.95,4523038
2022-08-21 00:00:00+05:30,69.9,72.9,69.5,70.0,4694663
2022-08-28 00:00:00+05:30,70.5,82.85,69.75,79.5,43608667
2022-09-04 00:00:00+05:30,78.1,85.8,77.0,84.8,24082789
2022-09-11 00:00:00+05:30,84.65,85.5,80.0,82.45,9859519
2022-09-18 00:00:00+05:30,82.9,101.4,81.05,94.3,59940448
2022-09-25 00:00:00+05:30,95.1,100.0,91.55,93.15,22624414
2022-10-02 00:00:00+05:30,92.7,99.3,85.8,96.3,30012784
2022-10-09 00:00:00+05:30,96.9,104.65,93.6,101.75,48144646
2022-10-16 00:00:00+05:30,100.2,105.4,94.5,103.15,50892791
2022-10-23 00:00:00+05:30,103.5,108.7,99.5,100.05,33250293
2022-10-30 00:00:00+05:30,101.85,105.7,99.55,104.65,17524096
2022-11-06 00:00:00+05:30,105.7,106.45,100.7,104.45,14278442
2022-11-13 00:00:00+05:30,105.5,109.55,100.35,103.45,19940101
2022-11-20 00:00:00+05:30,103.6,104.25,97.9,98.5,8060587
2022-11-27 00:00:00+05:30,99.0,101.0,90.3,100.15,20779582
