datetime,open,high,low,close,volume
2021-11-28 00:00:00+05:30,512.2,754.9,461.1,697.6,91306226
2021-12-05 00:00:00+05:30,700.0,720.0,622.7,638.35,15795252
2021-12-12 00:00:00+05:30,641.55,649.7,600.0,631.8,5912869
2021-12-19 00:00:00+05:30,638.0,639.3,586.0,594.2,5012413
2021-12-26 00:00:00+05:30,580.0,582.35,486.0,495.7,10955035
2022-01-02 00:00:00+05:30,496.95,583.85,488.0,561.55,13154787
2022-01-09 00:00:00+05:30,565.9,571.95,538.1,542.8,4189058
2022-01-16 00:00:00+05:30,545.75,609.9,543.2,591.4,7572218
2022-01-23 00:00:00+05:30,591.4,617.5,542.9,551.85,4103106
2022-01-30 00:00:00+05:30,550.7,550.7,480.1,492.8,4069135
2022-02-06 00:00:00+05:30,509.9,527.5,492.0,506.5,3292213
2022-02-13 00:00:00+05:30,508.75,573.8,492.0,507.9,6169560
2022-02-20 00:00:00+05:30,481.0,498.0,465.35,476.45,2768261
2022-02-27 00:00:00+05:30,476.0,476.0,368.1,398.05,5897362
2022-03-06 00:00:00+05:30,394.05,429.0,385.95,410.2,2565933
2022-03-13 00:00:00+05:30,399.7,440.8,395.1,418.8,2959015
2022-03-20 00:00:00+05:30,421.8,463.0,411.5,431.7,3555385
2022-03-27 00:00:00+05:30,435.0,441.25,412.95,414.3,2271208
2022-04-03 00:00:00+05:30,410.0,450.0,398.1,442.55,6330414
2022-04-10 00:00:00+05:30,449.95,546.55,440.0,506.7,16417061
2022-04-17 00:00:00+05:30,509.0,521.95,488.0,496.0,2817691
2022-04-24 00:00:00+05:30,489.9,489.9,453.75,462.45,2491707
2022-05-01 00:00:00+05:30,455.0,465.8,437.15,442.2,2194306
2022-05-08 00:00:00+05:30,434.9,445.65,405.0,410.65,1286447
2022-05-15 00:00:00+05:30,410.65,417.85,376.0,388.5,2314327
2022-05-22 00:00:00+05:30,391.9,430.0,380.75,407.0,2791462
2022-05-29 00:00:00+05:30,409.0,423.0,366.1,391.0,2630385
2022-06-05 00:00:00+05:30,397.0,416.0,388.0,390.1,3752318
2022-06-12 00:00:00+05:30,389.7,389.7,363.1,365.15,2185935
2022-06-19 00:00:00+05:30,357.0,359.9,324.55,326.5,2149507
2022-06-26 00:00:00+05:30,329.65,342.75,305.25,334.55,2880784
2022-07-03 00:00:00+05:30,340.95,346.35,330.3,334.5,1489167
2022-07-10 00:00:00+05:30,336.0,368.0,335.15,365.5,1902825
2022-07-17 00:00:00+05:30,360.0,363.3,308.75,351.2,3018781
2022-07-24 00:00:00+05:30,355.85,378.8,348.65,372.05,2895030
