datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,126.2,128.0,125.25,125.8,205360
2021-07-11 00:00:00+05:30,131.7,131.7,125.05,126.85,1740951
2021-07-18 00:00:00+05:30,127.75,148.1,125.8,143.1,11519813
2021-07-25 00:00:00+05:30,141.0,143.8,130.0,133.25,1731897
2021-08-01 00:00:00+05:30,132.8,144.7,130.0,138.8,4549684
2021-08-08 00:00:00+05:30,140.0,141.75,130.65,133.25,2879349
2021-08-15 00:00:00+05:30,134.2,138.4,125.05,132.15,2586178
2021-08-22 00:00:00+05:30,132.75,133.9,125.1,126.15,1394516
2021-08-29 00:00:00+05:30,127.1,127.5,114.35,119.05,2243474
2021-09-05 00:00:00+05:30,120.1,134.35,118.6,130.15,5314395
2021-09-12 00:00:00+05:30,130.95,131.0,122.5,124.1,817395
2021-09-19 00:00:00+05:30,124.95,138.0,124.6,136.05,5068552
2021-09-26 00:00:00+05:30,134.5,136.0,125.25,127.5,2451168
2021-10-03 00:00:00+05:30,128.25,134.05,118.7,132.95,4716812
2021-10-10 00:00:00+05:30,133.8,137.7,128.25,132.65,2877092
2021-10-17 00:00:00+05:30,133.8,141.85,132.0,133.25,3821005
2021-10-24 00:00:00+05:30,134.2,135.9,125.15,130.05,1873760
2021-10-31 00:00:00+05:30,133.5,157.9,127.45,155.7,12456387
2021-11-07 00:00:00+05:30,160.0,178.25,159.05,175.35,18053276
2021-11-14 00:00:00+05:30,176.4,179.5,165.0,167.05,2371852
2021-11-21 00:00:00+05:30,167.05,179.85,161.1,163.75,3269678
2021-11-28 00:00:00+05:30,165.8,174.0,154.2,169.4,3706477
2021-12-05 00:00:00+05:30,165.0,175.0,157.05,162.9,3965859
2021-12-12 00:00:00+05:30,164.8,176.0,161.1,174.75,4003528
2021-12-19 00:00:00+05:30,178.0,179.5,161.4,164.1,3288332
2021-12-26 00:00:00+05:30,160.0,178.4,150.65,167.4,7645494
2022-01-02 00:00:00+05:30,168.2,178.35,163.8,168.6,4724940
2022-01-09 00:00:00+05:30,172.0,209.4,170.55,198.6,30630871
2022-01-16 00:00:00+05:30,199.6,205.9,189.0,192.6,6427679
2022-01-23 00:00:00+05:30,194.0,214.0,193.1,200.95,12799190
2022-01-30 00:00:00+05:30,199.9,210.9,180.1,201.0,7078887
2022-02-06 00:00:00+05:30,204.0,208.5,196.05,204.45,4628107
2022-02-13 00:00:00+05:30,203.9,203.9,185.0,196.55,3432705
2022-02-20 00:00:00+05:30,190.0,200.7,176.2,194.9,3923351
2022-02-27 00:00:00+05:30,194.9,201.2,175.5,197.85,4731221
2022-03-06 00:00:00+05:30,195.0,199.0,182.45,184.6,2379728
2022-03-13 00:00:00+05:30,184.6,194.55,173.5,184.5,2640425
2022-03-20 00:00:00+05:30,185.0,206.0,181.6,199.15,5522913
2022-03-27 00:00:00+05:30,200.0,213.35,195.3,207.85,9925437
2022-04-03 00:00:00+05:30,209.0,216.65,196.45,205.45,8311815
2022-04-10 00:00:00+05:30,206.85,229.7,203.5,227.4,12583510
2022-04-17 00:00:00+05:30,230.05,237.45,223.0,224.9,6859266
2022-04-24 00:00:00+05:30,224.0,287.0,218.2,271.2,18280880
2022-05-01 00:00:00+05:30,270.0,274.4,245.05,247.9,6047557
