datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,55.0,55.4,54.1,54.35,3261336
2021-07-11 00:00:00+05:30,54.7,56.2,53.25,53.8,25261153
2021-07-18 00:00:00+05:30,54.2,55.5,51.85,52.05,13411535
2021-07-25 00:00:00+05:30,51.65,52.6,48.25,48.7,10631386
2021-08-01 00:00:00+05:30,48.7,53.45,47.35,50.45,34844405
2021-08-08 00:00:00+05:30,50.3,51.4,46.0,48.35,17171916
2021-08-15 00:00:00+05:30,48.55,48.9,41.5,45.85,19181065
2021-08-22 00:00:00+05:30,45.85,46.55,41.05,41.55,7956664
2021-08-29 00:00:00+05:30,41.95,46.4,39.05,44.85,23324706
2021-09-05 00:00:00+05:30,44.95,47.5,43.5,46.05,15283180
2021-09-12 00:00:00+05:30,46.05,47.35,45.1,45.75,5505860
2021-09-19 00:00:00+05:30,45.7,47.3,44.45,44.9,10956141
2021-09-26 00:00:00+05:30,43.05,44.6,42.5,43.1,5830901
2021-10-03 00:00:00+05:30,43.45,48.25,43.2,45.1,21867500
2021-10-10 00:00:00+05:30,45.45,47.15,44.6,44.7,15679642
2021-10-17 00:00:00+05:30,45.05,48.65,44.35,47.1,19066464
2021-10-24 00:00:00+05:30,47.5,51.9,45.3,45.65,30854421
2021-10-31 00:00:00+05:30,45.75,45.9,41.1,41.95,8977183
2021-11-07 00:00:00+05:30,42.5,43.85,42.1,43.35,3218560
2021-11-14 00:00:00+05:30,44.2,44.35,41.75,42.1,4385027
2021-11-21 00:00:00+05:30,42.25,42.35,40.0,40.25,3140769
2021-11-28 00:00:00+05:30,40.35,41.35,38.05,38.65,5444590
2021-12-05 00:00:00+05:30,38.65,40.85,34.0,40.25,9116056
2021-12-12 00:00:00+05:30,40.6,46.9,40.0,44.3,31497123
2021-12-19 00:00:00+05:30,44.6,46.35,42.1,42.3,12284580
2021-12-26 00:00:00+05:30,41.85,48.65,40.05,47.6,46539370
2022-01-02 00:00:00+05:30,47.25,47.25,44.05,44.25,11986195
2022-01-09 00:00:00+05:30,44.9,46.15,44.2,44.4,10476737
2022-01-16 00:00:00+05:30,44.75,46.45,44.4,44.8,11711338
2022-01-23 00:00:00+05:30,45.0,51.9,44.85,49.55,54284725
2022-01-30 00:00:00+05:30,48.65,57.25,46.1,55.6,73040826
2022-02-06 00:00:00+05:30,56.8,64.7,53.65,55.0,118336730
2022-02-13 00:00:00+05:30,54.9,55.4,50.05,50.75,31018835
2022-02-20 00:00:00+05:30,49.4,52.5,46.2,48.4,26548970
2022-02-27 00:00:00+05:30,48.0,48.3,41.05,44.9,19620395
2022-03-06 00:00:00+05:30,44.1,47.9,43.6,45.5,13029419
2022-03-13 00:00:00+05:30,44.95,49.2,43.8,48.35,17614652
2022-03-20 00:00:00+05:30,48.2,49.7,47.0,47.45,10142553
2022-03-27 00:00:00+05:30,47.75,47.95,44.55,45.85,10532413
2022-04-03 00:00:00+05:30,46.2,46.35,44.0,45.7,12414570
2022-04-10 00:00:00+05:30,46.0,53.9,45.95,51.55,35010002
2022-04-17 00:00:00+05:30,51.25,53.7,49.4,51.7,15088465
2022-04-24 00:00:00+05:30,51.6,55.3,49.65,52.4,32034314
2022-05-01 00:00:00+05:30,49.0,49.85,44.8,45.1,15888173
2022-05-08 00:00:00+05:30,45.0,45.45,41.25,42.6,7143029
2022-05-15 00:00:00+05:30,42.85,43.35,38.2,38.6,9564266
2022-05-22 00:00:00+05:30,38.9,42.6,38.65,42.0,11167139
2022-05-29 00:00:00+05:30,42.25,42.25,37.0,39.55,5429224
2022-06-05 00:00:00+05:30,39.95,42.45,39.7,40.8,5579360
2022-06-12 00:00:00+05:30,40.95,41.15,39.35,39.45,3748113
2022-06-19 00:00:00+05:30,38.3,38.8,34.0,34.2,4250872
2022-06-26 00:00:00+05:30,34.25,40.6,31.0,39.85,15065804
2022-07-03 00:00:00+05:30,39.4,41.8,37.8,39.5,19697515
2022-07-10 00:00:00+05:30,40.2,43.0,38.9,40.5,19325600
2022-07-17 00:00:00+05:30,39.0,41.2,37.5,38.2,8299887
2022-07-24 00:00:00+05:30,38.3,39.7,38.3,38.9,4151254
2022-07-31 00:00:00+05:30,39.2,41.9,38.1,40.15,8300086
2022-08-07 00:00:00+05:30,40.15,40.9,38.75,39.2,4757381
2022-08-14 00:00:00+05:30,39.2,40.75,39.2,40.05,5671234
2022-08-21 00:00:00+05:30,40.35,42.9,40.0,41.15,9611414
2022-08-28 00:00:00+05:30,40.75,42.8,39.5,42.2,8487421
