datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,35.57,36.33,35.33,36.03,19776543
2021-07-11 00:00:00+05:30,36.33,36.67,34.73,35.1,57453869
2021-07-18 00:00:00+05:30,35.83,37.0,35.17,35.27,77312301
2021-07-25 00:00:00+05:30,35.0,35.4,33.47,33.53,37575176
2021-08-01 00:00:00+05:30,33.47,35.17,32.03,34.3,62081598
2021-08-08 00:00:00+05:30,34.4,34.5,31.47,32.47,37949066
2021-08-15 00:00:00+05:30,32.6,32.63,29.0,30.9,44313676
2021-08-22 00:00:00+05:30,31.0,31.0,28.4,28.57,29322253
2021-08-29 00:00:00+05:30,29.0,30.6,27.03,29.43,57240013
2021-09-05 00:00:00+05:30,29.67,31.13,29.33,29.93,29103020
2021-09-12 00:00:00+05:30,30.0,30.23,29.07,29.23,16194406
2021-09-19 00:00:00+05:30,29.23,30.77,28.7,29.37,44307118
2021-09-26 00:00:00+05:30,29.07,31.93,28.13,30.9,81084124
2021-10-03 00:00:00+05:30,32.0,34.0,30.77,32.13,98648122
2021-10-10 00:00:00+05:30,32.3,32.4,31.0,31.3,33794413
2021-10-17 00:00:00+05:30,31.33,33.2,31.2,32.3,55313320
2021-10-24 00:00:00+05:30,32.8,33.67,30.5,31.13,56875538
2021-10-31 00:00:00+05:30,31.17,31.6,29.2,29.77,26313634
2021-11-07 00:00:00+05:30,30.0,31.53,29.73,30.97,15906037
2021-11-14 00:00:00+05:30,31.07,32.87,30.57,31.53,51093334
2021-11-21 00:00:00+05:30,31.67,31.8,29.0,29.17,18970472
2021-11-28 00:00:00+05:30,29.27,29.43,27.73,27.93,23282761
2021-12-05 00:00:00+05:30,27.53,28.9,26.1,28.33,34323919
2021-12-12 00:00:00+05:30,28.33,31.6,28.23,31.13,42943890
2021-12-19 00:00:00+05:30,31.53,31.6,28.2,28.47,27650893
2021-12-26 00:00:00+05:30,28.13,28.87,27.0,28.0,23698321
2022-01-02 00:00:00+05:30,27.83,31.37,27.5,30.67,54760760
2022-01-09 00:00:00+05:30,31.0,34.27,30.1,33.5,149946701
2022-01-16 00:00:00+05:30,33.73,35.73,33.47,35.57,126051769
2022-01-23 00:00:00+05:30,35.67,35.8,31.5,31.93,64057613
2022-01-30 00:00:00+05:30,32.07,32.07,29.43,31.0,41262831
2022-02-06 00:00:00+05:30,31.5,32.17,30.53,30.7,41897106
2022-02-13 00:00:00+05:30,30.57,30.77,29.57,29.87,21273701
2022-02-20 00:00:00+05:30,29.47,29.67,27.37,27.53,44199272
2022-02-27 00:00:00+05:30,27.33,27.57,22.77,25.97,81377998
2022-03-06 00:00:00+05:30,25.53,26.77,24.47,25.07,40744208
