datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,90.95,95.4,88.25,94.7,41252370
2021-07-18 00:00:00+05:30,95.5,98.5,91.0,94.3,30931106
2021-07-25 00:00:00+05:30,92.85,93.9,87.2,88.65,14175403
2021-08-01 00:00:00+05:30,88.5,91.45,84.5,87.8,19136650
2021-08-08 00:00:00+05:30,88.0,90.4,84.65,88.1,21488635
2021-08-15 00:00:00+05:30,88.15,88.5,79.6,83.4,13260764
2021-08-22 00:00:00+05:30,83.4,83.6,76.55,77.25,8766525
2021-08-29 00:00:00+05:30,78.55,79.25,70.0,76.45,22155829
2021-09-05 00:00:00+05:30,77.25,81.4,75.05,80.6,21750609
2021-09-12 00:00:00+05:30,80.6,81.7,75.85,78.7,10293820
2021-09-19 00:00:00+05:30,78.95,87.5,77.5,80.0,33891360
2021-09-26 00:00:00+05:30,78.5,83.9,77.15,81.5,20134084
2021-10-03 00:00:00+05:30,81.75,83.5,79.55,81.9,14662999
2021-10-10 00:00:00+05:30,82.4,85.5,82.0,83.25,17754448
2021-10-17 00:00:00+05:30,83.7,85.45,81.3,81.5,12292909
2021-10-24 00:00:00+05:30,82.1,83.9,75.6,77.0,19148828
2021-10-31 00:00:00+05:30,77.85,78.2,69.5,71.15,21158617
2021-11-07 00:00:00+05:30,71.7,75.25,70.05,75.05,14572341
2021-11-14 00:00:00+05:30,75.5,83.9,74.6,80.05,43839970
2021-11-21 00:00:00+05:30,80.85,83.0,77.15,77.5,16320019
2021-11-28 00:00:00+05:30,77.95,78.25,73.3,74.4,12296634
2021-12-05 00:00:00+05:30,74.0,75.5,69.0,74.45,14223574
2021-12-12 00:00:00+05:30,74.5,77.75,72.6,76.0,10330593
2021-12-19 00:00:00+05:30,76.65,77.75,70.1,70.45,11520885
2021-12-26 00:00:00+05:30,69.75,70.35,66.2,68.5,13558599
2022-01-02 00:00:00+05:30,68.5,71.6,67.5,70.35,11593819
2022-01-09 00:00:00+05:30,70.5,73.3,68.75,70.6,22185501
2022-01-16 00:00:00+05:30,71.3,78.5,70.15,77.7,53820806
2022-01-23 00:00:00+05:30,78.3,79.9,73.1,73.75,22429988
2022-01-30 00:00:00+05:30,73.75,76.4,68.1,74.5,22627644
2022-02-06 00:00:00+05:30,75.1,78.5,73.8,73.95,25044446
2022-02-13 00:00:00+05:30,73.8,75.1,70.05,70.45,15738968
2022-02-20 00:00:00+05:30,69.9,69.9,64.5,65.5,15536912
2022-02-27 00:00:00+05:30,65.0,65.25,55.75,59.75,20247455
2022-03-06 00:00:00+05:30,59.3,64.0,57.7,61.35,11361740
2022-03-13 00:00:00+05:30,59.5,65.0,57.4,62.15,15084315
2022-03-20 00:00:00+05:30,62.65,63.2,59.7,61.75,10033651
2022-03-27 00:00:00+05:30,62.4,62.8,60.2,60.6,11954898
2022-04-03 00:00:00+05:30,60.5,65.5,58.35,64.95,29323494
2022-04-10 00:00:00+05:30,65.25,71.8,65.25,68.7,31275523
2022-04-17 00:00:00+05:30,68.75,72.0,68.25,69.8,11436382
2022-04-24 00:00:00+05:30,71.0,72.9,69.05,70.15,23352738
2022-05-01 00:00:00+05:30,69.5,70.5,67.25,68.55,12667429
2022-05-08 00:00:00+05:30,67.8,68.0,63.5,63.7,9239753
2022-05-15 00:00:00+05:30,63.7,66.2,60.2,62.05,19256826
2022-05-22 00:00:00+05:30,64.4,64.95,61.6,64.65,11029063
2022-05-29 00:00:00+05:30,64.65,65.85,58.75,61.1,8568231
2022-06-05 00:00:00+05:30,61.7,66.1,61.65,64.3,12385198
2022-06-12 00:00:00+05:30,64.3,64.55,61.25,61.55,8147312
2022-06-19 00:00:00+05:30,60.35,63.5,56.05,57.55,8226477
2022-06-26 00:00:00+05:30,57.4,57.4,52.2,54.5,11102376
2022-07-03 00:00:00+05:30,55.75,56.4,53.1,55.25,8903758
