datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,26.15,26.7,26.0,26.1,10171559
2021-07-18 00:00:00+05:30,26.2,26.5,25.65,25.9,23905890
2021-07-25 00:00:00+05:30,25.8,26.25,25.5,26.05,16562599
2021-08-01 00:00:00+05:30,26.0,26.35,25.65,26.25,23397361
2021-08-08 00:00:00+05:30,26.5,27.3,25.95,26.0,35816473
2021-08-15 00:00:00+05:30,26.0,26.9,25.3,26.6,17257027
2021-08-22 00:00:00+05:30,26.75,26.85,26.05,26.25,22094870
2021-08-29 00:00:00+05:30,26.3,26.6,25.95,26.5,23569006
2021-09-05 00:00:00+05:30,26.6,28.6,26.55,27.7,159637214
2021-09-12 00:00:00+05:30,27.9,27.9,26.9,27.4,17995528
2021-09-19 00:00:00+05:30,27.4,28.25,27.15,27.7,35241388
2021-09-26 00:00:00+05:30,27.65,28.2,27.2,27.95,25305652
2021-10-03 00:00:00+05:30,28.05,30.1,27.35,29.1,92918569
2021-10-10 00:00:00+05:30,29.5,31.0,29.35,30.6,41234379
2021-10-17 00:00:00+05:30,31.0,31.2,29.05,30.9,34353236
2021-10-24 00:00:00+05:30,31.6,37.05,30.75,32.4,173614970
2021-10-31 00:00:00+05:30,32.9,33.15,30.1,30.7,41415960
2021-11-07 00:00:00+05:30,31.0,32.25,30.2,30.95,16952429
2021-11-14 00:00:00+05:30,31.2,33.2,30.85,32.3,32194146
2021-11-21 00:00:00+05:30,32.3,34.85,31.7,32.6,53343808
2021-11-28 00:00:00+05:30,32.9,32.9,30.5,30.65,30389642
2021-12-05 00:00:00+05:30,30.0,33.7,29.1,32.55,36247568
2021-12-12 00:00:00+05:30,32.7,34.9,31.9,32.1,51198090
2021-12-19 00:00:00+05:30,32.35,32.6,30.3,31.4,28967200
2021-12-26 00:00:00+05:30,31.15,31.35,29.25,30.35,22677998
2022-01-02 00:00:00+05:30,30.15,32.0,30.0,30.95,71855632
2022-01-09 00:00:00+05:30,31.05,32.55,30.95,31.2,31018822
2022-01-16 00:00:00+05:30,31.5,32.1,30.9,31.2,24781126
2022-01-23 00:00:00+05:30,31.35,31.75,30.35,30.45,21459057
2022-01-30 00:00:00+05:30,30.4,31.45,29.35,29.75,20690716
2022-02-06 00:00:00+05:30,30.0,30.35,29.8,29.9,15723627
2022-02-13 00:00:00+05:30,30.0,30.1,29.1,29.3,16876866
2022-02-20 00:00:00+05:30,29.0,30.3,28.7,29.95,20006971
2022-02-27 00:00:00+05:30,30.1,30.15,27.15,27.7,25592047
2022-03-06 00:00:00+05:30,27.4,29.7,27.05,28.05,22666621
2022-03-13 00:00:00+05:30,27.7,29.25,27.65,28.45,20789890
2022-03-20 00:00:00+05:30,28.65,28.7,27.85,28.05,38638240
2022-03-27 00:00:00+05:30,28.25,28.55,27.2,27.25,23533484
2022-04-03 00:00:00+05:30,27.3,29.65,27.05,27.85,100021509
2022-04-10 00:00:00+05:30,28.3,31.35,28.15,30.55,70662182
2022-04-17 00:00:00+05:30,30.4,32.3,30.35,31.55,39910460
2022-04-24 00:00:00+05:30,31.65,37.6,31.3,35.55,161484932
2022-05-01 00:00:00+05:30,35.35,35.6,32.7,33.2,68516498
2022-05-08 00:00:00+05:30,32.95,34.1,31.7,33.75,51258036
2022-05-15 00:00:00+05:30,33.75,33.8,30.05,31.15,51439579
2022-05-22 00:00:00+05:30,30.95,33.15,30.75,32.0,35844645
2022-05-29 00:00:00+05:30,32.3,33.55,30.65,33.25,41825671
2022-06-05 00:00:00+05:30,33.6,34.25,32.5,32.55,34511449
2022-06-12 00:00:00+05:30,32.7,34.4,32.4,32.9,21583620
2022-06-19 00:00:00+05:30,32.7,32.8,29.95,30.15,33434893
2022-06-26 00:00:00+05:30,30.2,31.2,28.8,31.05,25848297
2022-07-03 00:00:00+05:30,31.5,32.8,30.4,30.85,55524530
2022-07-10 00:00:00+05:30,30.85,32.75,30.7,32.3,34969435
2022-07-17 00:00:00+05:30,32.25,34.9,31.9,34.6,41114681
2022-07-24 00:00:00+05:30,34.8,34.8,32.85,33.2,32520332
2022-07-31 00:00:00+05:30,32.8,34.75,32.75,34.15,36680843
2022-08-07 00:00:00+05:30,34.5,36.5,33.95,35.9,76968270
2022-08-14 00:00:00+05:30,35.45,35.95,33.4,34.0,25160259
2022-08-21 00:00:00+05:30,34.2,35.6,33.35,34.9,36788253
2022-08-28 00:00:00+05:30,34.7,36.0,33.5,35.55,54681985
2022-09-04 00:00:00+05:30,34.5,40.4,34.5,38.85,142368574
2022-09-11 00:00:00+05:30,39.5,39.8,36.55,36.7,66391846
2022-09-18 00:00:00+05:30,37.0,39.35,36.5,38.65,94170097
2022-09-25 00:00:00+05:30,39.25,39.8,37.7,38.5,99895881
2022-10-02 00:00:00+05:30,38.5,38.8,34.05,35.7,69018008
2022-10-09 00:00:00+05:30,36.1,38.7,35.05,37.9,73289496
2022-10-16 00:00:00+05:30,37.65,38.65,37.4,37.9,65815078
2022-10-23 00:00:00+05:30,37.6,42.7,37.5,41.5,211515099
2022-10-30 00:00:00+05:30,42.25,46.9,42.05,43.7,108645849
2022-11-06 00:00:00+05:30,44.0,44.2,41.2,43.8,81346564
2022-11-13 00:00:00+05:30,44.1,45.2,42.35,44.85,62993696
2022-11-20 00:00:00+05:30,45.0,45.15,41.0,42.05,57247605
2022-11-27 00:00:00+05:30,41.9,44.35,41.5,43.85,59127764
2022-12-04 00:00:00+05:30,43.5,44.75,41.75,41.95,65843475
2022-12-11 00:00:00+05:30,42.3,43.5,41.35,41.4,60174601
2022-12-18 00:00:00+05:30,41.4,42.35,40.0,41.0,61822442
2022-12-25 00:00:00+05:30,40.7,40.9,36.75,38.7,55778359
2023-01-01 00:00:00+05:30,38.75,40.5,38.3,39.75,46265398
2023-01-08 00:00:00+05:30,40.0,40.2,38.85,39.55,43094201
2023-01-15 00:00:00+05:30,39.75,39.75,38.7,38.85,30787422
2023-01-22 00:00:00+05:30,39.0,43.1,38.7,42.6,120742531
2023-01-29 00:00:00+05:30,42.95,44.4,42.55,43.2,61300341
2023-02-05 00:00:00+05:30,43.45,44.35,40.45,41.0,62347725
2023-02-12 00:00:00+05:30,41.25,41.8,39.75,40.0,35860638
2023-02-19 00:00:00+05:30,40.0,41.1,39.75,40.0,23956803
2023-02-26 00:00:00+05:30,39.8,40.0,38.3,38.6,32219538
2023-03-05 00:00:00+05:30,38.6,40.75,37.75,39.8,48581715
2023-03-12 00:00:00+05:30,39.95,41.9,39.15,41.05,38681916
2023-03-19 00:00:00+05:30,41.0,43.0,39.9,41.8,56644202
2023-03-26 00:00:00+05:30,41.8,41.85,39.5,39.6,30648075
2023-04-02 00:00:00+05:30,39.5,43.8,38.7,40.2,59364344
2023-04-09 00:00:00+05:30,40.2,40.6,39.9,40.25,29203614
2023-04-16 00:00:00+05:30,40.25,42.95,39.9,42.85,42233104
2023-04-23 00:00:00+05:30,42.85,43.7,41.8,42.85,41535598
2023-04-30 00:00:00+05:30,42.85,47.9,41.9,44.25,88866553
2023-05-07 00:00:00+05:30,44.25,46.65,43.85,45.7,55937228
2023-05-14 00:00:00+05:30,46.0,46.25,43.3,44.55,32319796
2023-05-21 00:00:00+05:30,44.6,45.1,43.25,44.1,27773982
2023-05-28 00:00:00+05:30,44.35,44.6,42.55,42.95,23266812
2023-06-04 00:00:00+05:30,43.2,45.2,42.75,43.2,62563275
2023-06-11 00:00:00+05:30,43.5,45.55,43.4,44.5,81217440
2023-06-18 00:00:00+05:30,44.65,46.25,43.95,45.0,71267381
2023-06-25 00:00:00+05:30,45.05,46.8,44.85,45.55,63644921
2023-07-02 00:00:00+05:30,45.85,46.65,45.15,45.95,96963165
2023-07-09 00:00:00+05:30,46.2,47.3,45.1,46.1,105927696
2023-07-16 00:00:00+05:30,46.2,49.15,44.85,45.9,134877879
2023-07-23 00:00:00+05:30,46.1,48.65,45.35,47.0,88059056
2023-07-30 00:00:00+05:30,47.5,51.8,47.4,50.25,121459457
2023-08-06 00:00:00+05:30,50.7,52.7,48.45,49.45,144422857
2023-08-13 00:00:00+05:30,49.65,50.8,48.9,50.15,58177301
2023-08-20 00:00:00+05:30,50.75,50.9,49.1,49.85,41878660
2023-08-27 00:00:00+05:30,49.85,51.8,49.5,50.0,53373970
2023-09-03 00:00:00+05:30,50.4,51.5,49.9,50.25,69833722
2023-09-10 00:00:00+05:30,50.8,54.35,50.6,52.8,225880168
2023-09-17 00:00:00+05:30,53.45,56.85,49.35,54.8,411613638
2023-09-24 00:00:00+05:30,54.8,56.35,51.75,52.05,212370965
2023-10-01 00:00:00+05:30,52.45,53.8,51.1,52.8,139533800
2023-10-08 00:00:00+05:30,53.1,53.95,51.7,53.15,105132043
2023-10-15 00:00:00+05:30,52.5,53.4,51.6,52.45,73625106
2023-10-22 00:00:00+05:30,51.95,53.9,51.05,51.5,82472489
2023-10-29 00:00:00+05:30,51.55,51.8,48.4,50.65,77089397
2023-11-05 00:00:00+05:30,50.9,51.35,49.2,50.15,62570105
2023-11-12 00:00:00+05:30,50.4,52.35,49.95,51.85,71522901
2023-11-19 00:00:00+05:30,51.7,53.1,51.6,52.7,59697923
2023-11-26 00:00:00+05:30,52.95,56.55,52.25,54.7,126480008
2023-12-03 00:00:00+05:30,54.9,57.65,53.65,56.4,128836245
2023-12-10 00:00:00+05:30,57.7,65.7,56.7,63.2,233148251
2023-12-17 00:00:00+05:30,63.75,66.85,61.2,65.05,206066705
2023-12-24 00:00:00+05:30,65.5,66.95,58.0,64.7,137892692
2023-12-31 00:00:00+05:30,65.25,66.1,63.5,64.6,69763787
2024-01-07 00:00:00+05:30,64.95,75.3,64.65,71.95,267612921
2024-01-14 00:00:00+05:30,72.8,72.8,68.4,69.15,142628450
2024-01-21 00:00:00+05:30,69.6,85.0,68.55,80.5,811811136
2024-01-28 00:00:00+05:30,83.3,84.4,75.2,83.3,483860030
2024-02-04 00:00:00+05:30,85.5,103.0,84.8,100.65,1284631520
2024-02-11 00:00:00+05:30,105.75,115.85,92.5,96.25,1379236156
2024-02-18 00:00:00+05:30,95.5,96.55,77.5,92.85,1463079808
2024-02-25 00:00:00+05:30,94.4,98.9,88.6,91.65,729139983
2024-03-03 00:00:00+05:30,90.75,94.1,86.05,90.45,416275248
