datetime,open,high,low,close,volume
2024-11-17 00:00:00+05:30,78.14,81.0,73.51,74.02,38862503
2024-11-24 00:00:00+05:30,72.71,74.73,69.21,73.7,15393765
2024-12-01 00:00:00+05:30,73.05,79.0,73.05,75.39,22074854
2024-12-08 00:00:00+05:30,75.64,109.34,73.9,95.02,118777660
2024-12-15 00:00:00+05:30,95.01,95.02,82.12,83.6,31352427
2024-12-22 00:00:00+05:30,84.0,87.39,75.7,76.27,16999923
2024-12-29 00:00:00+05:30,77.5,83.48,75.06,79.66,20442752
2025-01-05 00:00:00+05:30,80.0,86.0,78.0,83.33,13856965
2025-01-12 00:00:00+05:30,83.65,83.69,75.4,77.03,6165642
2025-01-19 00:00:00+05:30,76.0,82.8,74.95,81.38,6316458
2025-01-26 00:00:00+05:30,81.85,84.19,78.08,78.64,4865882
2025-02-02 00:00:00+05:30,77.11,85.5,72.65,79.35,8256760
2025-02-09 00:00:00+05:30,79.2,85.2,78.54,79.69,5856861
2025-02-16 00:00:00+05:30,78.8,81.84,77.25,79.54,6836128
2025-02-23 00:00:00+05:30,77.7,78.65,74.58,77.75,3893609
2025-03-02 00:00:00+05:30,74.0,78.4,72.45,72.97,3575577
2025-03-09 00:00:00+05:30,74.19,74.49,70.0,72.3,5167096
2025-03-16 00:00:00+05:30,73.44,73.44,69.99,71.24,2254600
2025-03-23 00:00:00+05:30,71.04,76.5,70.3,74.6,3943247
2025-03-30 00:00:00+05:30,74.05,80.89,71.2,78.08,5902484
2025-04-06 00:00:00+05:30,77.79,78.3,73.8,74.41,1792984
2025-04-13 00:00:00+05:30,68.54,75.4,68.54,73.82,3601234
2025-04-20 00:00:00+05:30,73.88,77.1,73.58,75.8,2306767
2025-04-27 00:00:00+05:30,75.8,89.5,75.8,84.62,57768245
2025-05-04 00:00:00+05:30,84.61,84.65,78.66,82.19,7669019
2025-05-11 00:00:00+05:30,83.37,92.9,79.35,86.73,88842915
2025-05-18 00:00:00+05:30,89.09,92.6,83.2,90.41,29872393
2025-05-25 00:00:00+05:30,90.0,95.21,87.6,89.38,27258717
2025-06-01 00:00:00+05:30,90.41,94.0,86.23,92.29,34652871
2025-06-08 00:00:00+05:30,84.5,85.8,81.25,82.97,209405646
2025-06-15 00:00:00+05:30,83.8,83.84,80.07,81.41,21198722
2025-06-22 00:00:00+05:30,81.35,82.36,79.64,81.15,11873364
2025-06-29 00:00:00+05:30,79.8,82.73,79.8,81.82,12421600
2025-07-06 00:00:00+05:30,82.3,85.77,80.51,85.05,18543943
2025-07-13 00:00:00+05:30,85.0,91.34,83.3,88.69,41376871
2025-07-20 00:00:00+05:30,89.0,92.9,88.06,89.29,20796252
2025-07-27 00:00:00+05:30,89.45,90.19,83.6,83.93,10289681
2025-08-03 00:00:00+05:30,83.91,87.95,81.1,81.51,16601480
2025-08-10 00:00:00+05:30,81.9,82.45,79.02,79.99,8194148
2025-08-17 00:00:00+05:30,80.07,82.23,78.8,81.93,3349159
2025-08-24 00:00:00+05:30,84.7,89.91,83.63,85.47,25321993
2025-08-31 00:00:00+05:30,85.8,85.8,80.8,81.52,4621186
2025-09-07 00:00:00+05:30,81.52,91.2,79.9,84.67,40996617
2025-09-14 00:00:00+05:30,85.0,85.92,81.38,81.61,10968683
2025-09-21 00:00:00+05:30,81.61,82.9,81.5,82.39,5204842
2025-09-28 00:00:00+05:30,83.39,83.39,80.09,80.47,7809231
2025-10-05 00:00:00+05:30,80.45,83.7,79.8,81.06,8828899
2025-10-12 00:00:00+05:30,81.09,81.24,78.65,79.34,11539743
2025-10-19 00:00:00+05:30,79.0,79.31,75.2,75.91,10322270
2025-10-26 00:00:00+05:30,76.9,76.9,73.5,74.3,17935635
2025-11-02 00:00:00+05:30,74.46,76.48,73.53,75.06,11678795
2025-11-09 00:00:00+05:30,75.29,77.49,72.0,76.03,20731088
2025-11-16 00:00:00+05:30,76.12,77.14,75.14,76.57,5099480
2025-11-23 00:00:00+05:30,76.9,78.69,75.32,75.57,4843878
2025-11-30 00:00:00+05:30,75.1,76.83,74.0,74.34,3240261
2025-12-07 00:00:00+05:30,73.97,76.0,73.1,73.48,3840308
2025-12-14 00:00:00+05:30,74.6,76.46,73.4,75.38,9980106
2025-12-21 00:00:00+05:30,75.44,78.1,74.22,75.52,8285617
2025-12-28 00:00:00+05:30,76.01,76.39,75.01,75.34,1794876
2026-01-04 00:00:00+05:30,74.92,76.0,74.34,75.16,2268003
2026-01-11 00:00:00+05:30,75.5,80.5,74.5,79.17,19068699
2026-01-18 00:00:00+05:30,79.17,79.56,76.8,78.61,3473391
2026-01-25 00:00:00+05:30,78.2,78.52,76.01,77.0,4304300
2026-02-01 00:00:00+05:30,77.0,79.9,73.44,77.48,8330376
2026-02-08 00:00:00+05:30,77.4,80.51,76.5,77.68,5343558
2026-02-15 00:00:00+05:30,77.75,80.2,75.3,76.24,2764523
2026-02-22 00:00:00+05:30,75.51,77.2,75.5,76.92,1785030
2026-03-01 00:00:00+05:30,76.92,77.17,74.69,75.09,1806128
2026-03-08 00:00:00+05:30,70.1,74.27,70.1,71.67,3788193
2026-03-15 00:00:00+05:30,70.0,77.0,67.85,72.3,29670480
2026-03-22 00:00:00+05:30,72.22,72.22,69.0,70.0,5653339
2026-03-29 00:00:00+05:30,69.49,73.6,67.5,69.93,4562850
2026-04-05 00:00:00+05:30,69.66,73.2,68.37,72.59,2768944
2026-04-12 00:00:00+05:30,72.59,75.22,71.56,73.67,3108091
2026-04-19 00:00:00+05:30,72.0,80.43,71.86,80.11,3854717
2026-04-26 00:00:00+05:30,79.98,81.81,76.62,77.07,3776736
2026-05-03 00:00:00+05:30,77.05,81.23,76.36,78.32,3205995
2026-05-10 00:00:00+05:30,81.0,81.9,77.68,81.29,7403390
2026-05-17 00:00:00+05:30,84.4,89.77,79.14,79.83,69366490
