datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,40.95,44.3,40.35,41.75,2265350
2021-07-18 00:00:00+05:30,41.8,42.5,38.8,39.2,1328580
2021-07-25 00:00:00+05:30,39.3,40.7,36.55,37.9,1284430
2021-08-01 00:00:00+05:30,38.2,39.1,36.3,37.55,1593210
2021-08-08 00:00:00+05:30,36.7,40.6,36.4,36.65,1805830
2021-08-15 00:00:00+05:30,38.45,38.45,32.5,34.3,1185990
2021-08-22 00:00:00+05:30,33.7,36.0,30.3,31.15,1433370
2021-08-29 00:00:00+05:30,31.15,37.6,29.1,35.25,1785960
2021-09-05 00:00:00+05:30,36.4,38.2,33.1,36.5,1288380
2021-09-12 00:00:00+05:30,37.2,37.2,34.65,35.6,484020
2021-09-19 00:00:00+05:30,36.0,42.1,35.0,40.55,2172580
2021-09-26 00:00:00+05:30,39.1,43.4,38.7,41.15,2111290
2021-10-03 00:00:00+05:30,41.7,43.0,39.55,40.15,1984470
2021-10-10 00:00:00+05:30,40.15,49.7,39.8,49.0,6084540
2021-10-17 00:00:00+05:30,50.5,59.65,50.0,54.6,10310430
2021-10-24 00:00:00+05:30,55.6,55.6,42.55,47.0,3418390
2021-10-31 00:00:00+05:30,47.6,53.0,43.1,50.1,3197080
2021-11-07 00:00:00+05:30,50.15,53.0,49.85,52.7,1581390
2021-11-14 00:00:00+05:30,53.3,56.9,52.1,52.55,2090010
2021-11-21 00:00:00+05:30,55.0,55.0,50.3,51.65,1652530
2021-11-28 00:00:00+05:30,50.6,62.0,48.1,56.8,6197670
2021-12-05 00:00:00+05:30,57.8,65.5,50.5,61.2,8477220
2021-12-12 00:00:00+05:30,61.75,67.5,58.5,63.7,6492910
2021-12-19 00:00:00+05:30,64.35,74.4,63.6,66.55,9306970
2021-12-26 00:00:00+05:30,66.0,73.25,61.0,70.1,6030630
2022-01-02 00:00:00+05:30,71.0,86.2,68.55,80.3,11316460
2022-01-09 00:00:00+05:30,81.0,87.15,76.25,84.4,7837190
2022-01-16 00:00:00+05:30,84.5,86.2,78.45,82.6,4411740
2022-01-23 00:00:00+05:30,82.6,83.9,72.9,75.35,2750460
2022-01-30 00:00:00+05:30,75.5,80.7,70.2,76.2,3413080
2022-02-06 00:00:00+05:30,76.1,78.9,73.5,75.15,2822330
2022-02-13 00:00:00+05:30,75.7,79.4,70.6,71.35,3370500
2022-02-20 00:00:00+05:30,70.0,71.0,63.05,64.6,4561810
2022-02-27 00:00:00+05:30,64.4,65.0,55.7,63.45,3905570
2022-03-06 00:00:00+05:30,62.5,67.25,60.2,63.05,3391930
2022-03-13 00:00:00+05:30,60.1,68.5,59.55,67.8,1557700
2022-03-20 00:00:00+05:30,68.2,69.4,64.45,67.25,564300
2022-03-27 00:00:00+05:30,68.0,72.9,67.0,70.75,1845140
2022-04-03 00:00:00+05:30,71.35,77.75,68.6,74.95,2506670
2022-04-10 00:00:00+05:30,77.0,79.5,73.75,76.75,1622650
2022-04-17 00:00:00+05:30,77.5,77.8,71.5,74.75,1841980
2022-04-24 00:00:00+05:30,74.5,84.3,73.7,78.6,5532730
2022-05-01 00:00:00+05:30,78.5,82.8,75.1,78.9,3084630
2022-05-08 00:00:00+05:30,76.6,79.3,72.5,74.1,2032200
2022-05-15 00:00:00+05:30,74.1,74.9,59.5,62.55,2037290
2022-05-22 00:00:00+05:30,62.55,69.0,59.65,67.45,1565530
2022-05-29 00:00:00+05:30,69.0,75.0,65.9,69.2,3389660
2022-06-05 00:00:00+05:30,75.6,100.4,75.6,86.85,31793070
2022-06-12 00:00:00+05:30,89.3,97.75,88.3,92.35,5176020
2022-06-19 00:00:00+05:30,90.5,94.5,84.5,85.3,3299360
2022-06-26 00:00:00+05:30,84.3,88.4,80.5,86.95,1224730
2022-07-03 00:00:00+05:30,89.9,93.8,85.1,89.05,488460
2022-07-10 00:00:00+05:30,86.9,94.8,86.4,93.15,486600
2022-07-17 00:00:00+05:30,91.15,95.0,90.0,90.8,226590
2022-07-24 00:00:00+05:30,93.45,94.5,89.0,92.95,315740
2022-07-31 00:00:00+05:30,95.0,95.3,89.0,93.7,517240
2022-08-07 00:00:00+05:30,95.4,96.0,91.95,92.3,480620
2022-08-14 00:00:00+05:30,92.0,94.1,86.6,89.4,627110
2022-08-21 00:00:00+05:30,89.5,92.9,88.5,90.35,456600
2022-08-28 00:00:00+05:30,91.0,91.0,85.5,86.4,390190
2022-09-04 00:00:00+05:30,84.9,94.5,82.1,88.9,359020
2022-09-11 00:00:00+05:30,88.9,93.0,87.9,91.25,453600
2022-09-18 00:00:00+05:30,91.7,104.4,90.0,102.8,5320650
2022-09-25 00:00:00+05:30,104.3,111.0,101.05,104.55,2113530
2022-10-02 00:00:00+05:30,100.5,105.9,97.7,102.5,1234600
2022-10-09 00:00:00+05:30,102.5,107.1,99.35,103.0,873690
2022-10-16 00:00:00+05:30,103.0,114.4,102.0,105.05,4010850
2022-10-23 00:00:00+05:30,105.85,112.9,103.2,111.7,1592960
2022-10-30 00:00:00+05:30,111.7,112.5,106.0,106.4,488240
2022-11-06 00:00:00+05:30,107.45,108.7,98.0,101.45,768690
2022-11-13 00:00:00+05:30,103.0,105.0,98.0,99.65,895270
2022-11-20 00:00:00+05:30,99.9,108.85,99.9,103.35,2373760
2022-11-27 00:00:00+05:30,103.8,104.8,98.45,101.2,901800
2022-12-04 00:00:00+05:30,101.3,101.3,95.55,98.85,1046990
2022-12-11 00:00:00+05:30,99.5,106.2,98.9,103.9,1134640
