datetime,open,high,low,close,volume
2022-10-23 00:00:00+05:30,195.3,195.3,167.5,167.5,7528057
2022-10-30 00:00:00+05:30,165.55,175.35,151.1,154.75,31173207
2022-11-06 00:00:00+05:30,147.45,174.75,147.45,165.6,99851563
2022-11-13 00:00:00+05:30,167.3,167.95,132.8,137.4,33312511
2022-11-20 00:00:00+05:30,138.65,140.35,122.25,132.85,21690280
2022-11-27 00:00:00+05:30,133.75,137.1,125.25,130.45,13443121
2022-12-04 00:00:00+05:30,131.45,142.4,128.55,137.5,22283719
2022-12-11 00:00:00+05:30,138.3,140.5,128.05,128.65,11741256
2022-12-18 00:00:00+05:30,128.85,132.25,124.1,124.75,9617742
2022-12-25 00:00:00+05:30,125.0,125.75,110.4,111.8,12506647
2023-01-01 00:00:00+05:30,112.3,115.95,110.55,111.95,10654688
2023-01-08 00:00:00+05:30,112.75,123.65,111.9,113.0,15101871
2023-01-15 00:00:00+05:30,113.5,118.05,112.55,114.65,14890031
2023-01-22 00:00:00+05:30,114.55,116.6,109.55,110.25,7249858
2023-01-29 00:00:00+05:30,110.8,111.2,99.5,100.45,7770706
2023-02-05 00:00:00+05:30,100.3,105.0,95.0,98.25,15007609
2023-02-12 00:00:00+05:30,98.75,100.05,80.65,86.35,37636504
2023-02-19 00:00:00+05:30,88.05,92.7,82.55,89.2,20569361
2023-02-26 00:00:00+05:30,88.9,89.55,79.8,80.4,9939379
2023-03-05 00:00:00+05:30,80.35,80.35,76.05,76.35,12814437
2023-03-12 00:00:00+05:30,76.7,77.45,70.3,70.55,15406053
2023-03-19 00:00:00+05:30,70.2,72.55,65.05,65.5,34314880
2023-03-26 00:00:00+05:30,66.8,69.25,64.65,66.15,19706145
2023-04-02 00:00:00+05:30,66.4,69.15,61.6,66.85,20300072
2023-04-09 00:00:00+05:30,67.65,71.55,67.6,68.35,11977785
2023-04-16 00:00:00+05:30,68.35,72.6,67.1,69.8,16923781
2023-04-23 00:00:00+05:30,70.05,77.4,69.35,72.4,43735874
2023-04-30 00:00:00+05:30,72.7,72.75,67.9,69.15,16332552
2023-05-07 00:00:00+05:30,69.35,72.05,69.1,69.65,12982053
2023-05-14 00:00:00+05:30,69.9,75.9,69.15,73.3,26517658
2023-05-21 00:00:00+05:30,73.45,73.6,69.95,71.35,9884054
2023-05-28 00:00:00+05:30,73.3,82.0,71.8,80.6,85125070
2023-06-04 00:00:00+05:30,82.05,83.0,78.8,80.05,38737598
2023-06-11 00:00:00+05:30,80.8,88.25,80.2,85.65,60531250
2023-06-18 00:00:00+05:30,86.1,95.45,85.85,92.4,101044119
2023-06-25 00:00:00+05:30,92.7,95.05,88.05,88.55,36053660
2023-07-02 00:00:00+05:30,88.65,91.9,87.2,90.3,19173401
2023-07-09 00:00:00+05:30,91.2,93.7,88.5,89.75,34834209
2023-07-16 00:00:00+05:30,90.05,92.0,88.95,90.45,20566852
2023-07-23 00:00:00+05:30,90.5,103.1,90.35,101.95,73140665
2023-07-30 00:00:00+05:30,102.95,107.4,99.9,103.25,43730153
2023-08-06 00:00:00+05:30,103.3,108.2,100.55,103.2,35903268
2023-08-13 00:00:00+05:30,104.05,104.45,98.0,98.2,23518530
2023-08-20 00:00:00+05:30,98.45,102.3,95.05,98.8,15547409
2023-08-27 00:00:00+05:30,99.15,102.6,98.7,99.4,18223487
2023-09-03 00:00:00+05:30,99.6,104.6,99.4,103.95,22608797
2023-09-10 00:00:00+05:30,104.3,108.9,102.2,105.75,28277716
2023-09-17 00:00:00+05:30,106.35,106.7,98.8,101.7,22946674
2023-09-24 00:00:00+05:30,101.75,103.8,95.85,98.15,16697489
2023-10-01 00:00:00+05:30,98.4,102.6,94.8,102.05,22734460
2023-10-08 00:00:00+05:30,102.2,102.65,99.6,99.95,8477525
2023-10-15 00:00:00+05:30,99.6,101.25,96.85,97.1,12729044
2023-10-22 00:00:00+05:30,97.35,101.3,96.6,99.45,18466804
2023-10-29 00:00:00+05:30,99.45,100.3,87.5,92.5,14434963
2023-11-05 00:00:00+05:30,98.0,109.4,94.7,104.65,114749821
2023-11-12 00:00:00+05:30,106.0,121.7,95.3,121.35,101664951
2023-11-19 00:00:00+05:30,121.35,122.85,115.8,116.75,21968497
2023-11-26 00:00:00+05:30,117.1,126.8,116.85,122.95,52908645
2023-12-03 00:00:00+05:30,123.9,128.2,121.5,126.2,26683787
2023-12-10 00:00:00+05:30,128.0,129.25,123.35,126.75,25136331
2023-12-17 00:00:00+05:30,127.05,131.85,125.25,125.9,39747701
2023-12-24 00:00:00+05:30,125.9,141.8,120.6,140.5,65967769
2023-12-31 00:00:00+05:30,141.2,142.5,137.05,138.85,21343108
2024-01-07 00:00:00+05:30,138.9,145.8,137.8,144.8,38210745
2024-01-14 00:00:00+05:30,143.3,145.45,141.2,142.05,21879625
2024-01-21 00:00:00+05:30,142.7,144.95,133.25,143.6,23367760
2024-01-28 00:00:00+05:30,144.5,148.7,141.65,142.8,16677723
2024-02-04 00:00:00+05:30,143.75,149.0,136.7,137.65,31049448
2024-02-11 00:00:00+05:30,138.0,143.75,132.3,135.75,25286302
2024-02-18 00:00:00+05:30,135.75,137.7,129.2,134.5,12480409
2024-02-25 00:00:00+05:30,136.25,137.3,132.05,136.5,12907653
2024-03-03 00:00:00+05:30,135.8,139.2,129.15,132.5,17451479
2024-03-10 00:00:00+05:30,132.45,133.6,125.0,126.9,15568768
2024-03-17 00:00:00+05:30,127.0,127.45,114.35,115.5,19835267
2024-03-24 00:00:00+05:30,116.95,126.0,115.0,121.25,32689050
2024-03-31 00:00:00+05:30,121.25,129.4,118.25,128.9,19359479
2024-04-07 00:00:00+05:30,132.95,141.45,129.1,140.35,21331839
2024-04-14 00:00:00+05:30,140.75,147.7,137.8,138.75,19030643
