datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,15.8,17.8,15.6,17.3,9228730
2021-07-18 00:00:00+05:30,17.5,18.8,16.45,16.75,6524484
2021-07-25 00:00:00+05:30,16.7,18.2,16.15,17.2,6355624
2021-08-01 00:00:00+05:30,17.3,17.55,16.1,16.9,3388528
2021-08-08 00:00:00+05:30,16.8,17.5,15.6,16.4,2976548
2021-08-15 00:00:00+05:30,16.45,16.9,12.6,14.65,5188024
2021-08-22 00:00:00+05:30,14.7,14.8,13.1,13.4,1524284
2021-08-29 00:00:00+05:30,13.4,14.35,11.8,14.1,2371204
2021-09-05 00:00:00+05:30,14.0,14.7,13.6,13.95,1364278
2021-09-12 00:00:00+05:30,13.85,15.0,13.85,13.9,1074292
2021-09-19 00:00:00+05:30,14.15,15.15,13.75,14.0,2361842
2021-09-26 00:00:00+05:30,13.8,14.1,13.1,13.5,980830
2021-10-03 00:00:00+05:30,13.5,14.3,13.3,13.5,1819986
2021-10-10 00:00:00+05:30,13.7,16.7,13.45,15.5,10525910
2021-10-17 00:00:00+05:30,15.7,16.0,14.8,15.0,1831844
2021-10-24 00:00:00+05:30,15.2,15.8,13.9,13.95,1824770
2021-10-31 00:00:00+05:30,14.0,15.5,12.15,14.15,2899300
2021-11-07 00:00:00+05:30,14.45,14.6,13.95,14.5,688506
2021-11-14 00:00:00+05:30,14.5,17.0,14.1,15.6,7721750
2021-11-21 00:00:00+05:30,15.95,15.95,14.2,14.4,2883564
2021-11-28 00:00:00+05:30,14.5,14.6,13.75,13.9,1784988
2021-12-05 00:00:00+05:30,14.1,14.4,13.0,13.9,1904076
2021-12-12 00:00:00+05:30,14.1,16.2,13.65,15.7,5756222
2021-12-19 00:00:00+05:30,15.8,16.6,14.8,14.95,4273902
2021-12-26 00:00:00+05:30,14.9,16.15,14.15,15.0,3821028
2022-01-02 00:00:00+05:30,15.2,19.6,14.8,17.65,21516740
2022-01-09 00:00:00+05:30,17.85,19.4,17.15,17.65,7965954
2022-01-16 00:00:00+05:30,17.9,18.25,15.6,16.8,3921116
2022-01-23 00:00:00+05:30,16.95,18.7,16.2,17.45,7526034
2022-01-30 00:00:00+05:30,17.45,17.6,15.6,16.7,2272912
2022-02-06 00:00:00+05:30,16.9,22.6,16.45,21.6,33008468
2022-02-13 00:00:00+05:30,21.7,23.3,19.9,20.25,15769248
2022-02-20 00:00:00+05:30,19.55,21.0,18.05,19.2,6320416
2022-02-27 00:00:00+05:30,19.4,19.9,15.1,17.45,6512196
2022-03-06 00:00:00+05:30,17.45,18.15,16.8,16.95,2510222
2022-03-13 00:00:00+05:30,16.5,17.9,16.0,17.35,2480814
