datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,125.9,127.65,122.3,123.05,631753
2021-07-18 00:00:00+05:30,123.15,136.35,122.25,135.55,4069021
2021-07-25 00:00:00+05:30,134.0,134.95,119.5,128.4,1531603
2021-08-01 00:00:00+05:30,128.9,131.0,120.0,122.25,922714
2021-08-08 00:00:00+05:30,123.8,129.0,115.0,119.1,1591511
2021-08-15 00:00:00+05:30,119.5,123.35,107.1,118.2,1255884
2021-08-22 00:00:00+05:30,120.9,138.0,116.15,125.9,7663447
2021-08-29 00:00:00+05:30,128.45,129.75,120.85,123.0,806473
2021-09-05 00:00:00+05:30,124.9,148.0,122.7,143.3,6557824
2021-09-12 00:00:00+05:30,145.0,150.4,137.0,142.45,1996725
2021-09-19 00:00:00+05:30,141.45,144.0,135.0,139.0,939532
2021-09-26 00:00:00+05:30,139.0,140.0,131.0,134.75,725365
2021-10-03 00:00:00+05:30,135.45,178.5,132.4,173.9,16238340
2021-10-10 00:00:00+05:30,177.0,187.7,170.0,172.45,7140817
2021-10-17 00:00:00+05:30,172.45,177.55,166.15,168.55,578184
2021-10-24 00:00:00+05:30,173.0,182.0,160.05,179.0,3106037
2021-10-31 00:00:00+05:30,180.0,196.8,144.1,191.8,25773546
2021-11-07 00:00:00+05:30,196.8,217.7,196.6,199.5,7771224
2021-11-14 00:00:00+05:30,199.5,229.1,197.25,210.95,8852409
2021-11-21 00:00:00+05:30,210.9,214.0,179.1,180.5,2526595
2021-11-28 00:00:00+05:30,180.9,196.55,164.65,175.2,6529474
2021-12-05 00:00:00+05:30,176.0,193.95,157.2,183.5,4641379
2021-12-12 00:00:00+05:30,180.0,188.0,173.4,184.7,2602410
2021-12-19 00:00:00+05:30,186.2,192.8,172.35,174.95,2350731
2021-12-26 00:00:00+05:30,168.5,189.85,166.55,174.35,1411468
2022-01-02 00:00:00+05:30,174.6,191.0,171.45,189.45,2337779
2022-01-09 00:00:00+05:30,190.0,195.0,177.5,178.6,1549800
2022-01-16 00:00:00+05:30,178.6,204.55,177.4,202.0,5943603
2022-01-23 00:00:00+05:30,202.0,212.8,193.35,202.35,7785249
2022-01-30 00:00:00+05:30,203.55,231.7,174.05,207.6,15121087
