datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,34.24,34.68,33.8,34.29,16069840
2021-07-11 00:00:00+05:30,34.43,34.58,31.92,32.06,63835717
2021-07-18 00:00:00+05:30,32.31,32.6,31.73,31.92,34767704
2021-07-25 00:00:00+05:30,31.77,32.45,31.0,31.87,39366372
2021-08-01 00:00:00+05:30,31.92,34.05,30.56,32.16,77927950
2021-08-08 00:00:00+05:30,32.6,33.03,31.05,31.29,44524024
2021-08-15 00:00:00+05:30,31.44,31.68,29.02,30.37,33359396
2021-08-22 00:00:00+05:30,30.27,30.61,28.78,28.92,21508234
2021-08-29 00:00:00+05:30,29.31,29.98,28.15,29.55,21903306
2021-09-05 00:00:00+05:30,29.74,31.68,29.69,30.71,31509785
2021-09-12 00:00:00+05:30,30.9,30.95,29.98,30.27,14828203
2021-09-19 00:00:00+05:30,30.18,32.74,29.69,31.24,79949223
2021-09-26 00:00:00+05:30,30.9,31.14,29.4,29.98,29666345
2021-10-03 00:00:00+05:30,30.18,32.6,29.79,31.77,75823775
2021-10-10 00:00:00+05:30,32.21,33.18,31.39,32.84,68537203
2021-10-17 00:00:00+05:30,33.32,41.78,32.89,39.85,213754642
2021-10-24 00:00:00+05:30,40.33,46.52,39.61,44.01,252882157
2021-10-31 00:00:00+05:30,44.49,46.09,39.46,41.16,135463407
2021-11-07 00:00:00+05:30,41.69,44.88,41.2,44.06,75121234
2021-11-14 00:00:00+05:30,44.69,49.52,43.72,44.88,165072482
2021-11-21 00:00:00+05:30,45.27,45.27,41.35,41.88,57477084
2021-11-28 00:00:00+05:30,42.32,42.99,38.4,38.79,79406684
2021-12-05 00:00:00+05:30,38.79,42.36,36.71,40.96,83745180
2021-12-12 00:00:00+05:30,41.4,44.59,39.61,43.62,81299740
2021-12-19 00:00:00+05:30,44.3,44.3,38.88,39.17,58040939
2021-12-26 00:00:00+05:30,38.69,40.14,36.46,38.21,67550908
2022-01-02 00:00:00+05:30,38.11,39.7,37.34,38.5,42508136
2022-01-09 00:00:00+05:30,38.35,42.07,38.35,40.24,54543128
2022-01-16 00:00:00+05:30,40.24,41.49,39.37,40.62,37057914
2022-01-23 00:00:00+05:30,40.38,41.11,38.21,38.69,32425245
2022-01-30 00:00:00+05:30,38.69,43.77,36.27,42.03,77406308
2022-02-06 00:00:00+05:30,42.9,45.65,40.14,42.95,127592773
2022-02-13 00:00:00+05:30,43.43,46.52,41.11,41.3,110574622
2022-02-20 00:00:00+05:30,39.85,40.38,36.95,38.45,60020629
2022-02-27 00:00:00+05:30,38.25,38.4,33.13,35.3,74116213
2022-03-06 00:00:00+05:30,35.11,37.14,34.63,35.3,39294434
2022-03-13 00:00:00+05:30,34.29,36.42,33.18,35.11,63966114
2022-03-20 00:00:00+05:30,35.3,36.03,34.58,35.16,38786394
2022-03-27 00:00:00+05:30,35.5,35.55,33.47,33.66,48125061
2022-04-03 00:00:00+05:30,33.95,36.42,32.5,36.27,53315247
2022-04-10 00:00:00+05:30,36.51,39.9,36.17,39.12,90325500
2022-04-17 00:00:00+05:30,39.32,39.56,36.85,37.14,29298600
2022-04-24 00:00:00+05:30,36.56,37.43,35.64,35.74,28586531
2022-05-01 00:00:00+05:30,35.4,35.88,33.08,33.37,34227009
2022-05-08 00:00:00+05:30,33.27,34.24,30.9,31.05,33160684
2022-05-15 00:00:00+05:30,31.05,32.98,28.92,31.48,55050846
2022-05-22 00:00:00+05:30,31.82,32.93,30.56,31.39,35839302
2022-05-29 00:00:00+05:30,31.68,32.21,29.89,31.19,34497475
2022-06-05 00:00:00+05:30,31.73,35.21,31.48,33.8,50460864
2022-06-12 00:00:00+05:30,33.71,34.19,32.31,32.5,29755459
2022-06-19 00:00:00+05:30,31.82,32.55,29.98,31.05,42329830
2022-06-26 00:00:00+05:30,31.73,31.73,29.69,30.71,29902342
2022-07-03 00:00:00+05:30,31.24,31.34,29.4,29.89,17446279
2022-07-10 00:00:00+05:30,29.98,31.58,29.79,31.34,22107538
2022-07-17 00:00:00+05:30,31.24,32.98,31.1,31.82,23131661
2022-07-24 00:00:00+05:30,32.11,33.9,31.92,33.47,32411625
2022-07-31 00:00:00+05:30,33.51,34.05,32.11,33.47,31583702
2022-08-07 00:00:00+05:30,33.71,35.59,33.27,34.14,41860885
2022-08-14 00:00:00+05:30,34.14,35.5,33.56,35.16,25297174
2022-08-21 00:00:00+05:30,35.4,36.8,35.21,35.4,29050897
2022-08-28 00:00:00+05:30,35.21,38.79,34.14,37.67,57951766
2022-09-04 00:00:00+05:30,36.22,38.16,35.79,37.63,26071285
2022-09-11 00:00:00+05:30,37.67,39.32,37.29,38.69,42702641
2022-09-18 00:00:00+05:30,38.93,42.17,38.74,41.25,88437432
2022-09-25 00:00:00+05:30,41.83,43.38,38.88,39.22,56054004
2022-10-02 00:00:00+05:30,38.59,39.9,37.05,39.7,35939391
2022-10-09 00:00:00+05:30,39.61,40.29,37.96,39.66,19012773
2022-10-16 00:00:00+05:30,39.08,39.41,37.87,38.21,17917625
2022-10-23 00:00:00+05:30,38.21,44.44,37.72,44.06,86073654
2022-10-30 00:00:00+05:30,44.78,48.85,43.43,48.41,85168712
2022-11-06 00:00:00+05:30,48.56,50.1,46.04,49.96,88518458
2022-11-13 00:00:00+05:30,50.68,63.6,50.68,61.18,241530406
2022-11-20 00:00:00+05:30,61.08,68.53,56.49,68.0,175107622
2022-11-27 00:00:00+05:30,67.95,74.53,65.43,70.51,163466687
2022-12-04 00:00:00+05:30,71.0,77.48,70.66,75.88,125274664
2022-12-11 00:00:00+05:30,76.12,84.78,74.86,77.48,178747447
2022-12-18 00:00:00+05:30,77.38,89.76,76.51,78.44,220794374
2022-12-25 00:00:00+05:30,79.22,81.92,61.03,61.85,174538544
2023-01-01 00:00:00+05:30,62.77,80.09,62.34,74.28,304028670
2023-01-08 00:00:00+05:30,74.77,77.38,73.22,74.67,109430211
2023-01-15 00:00:00+05:30,75.35,76.41,71.33,72.69,65117833
2023-01-22 00:00:00+05:30,73.03,77.57,72.98,75.11,99600146
2023-01-29 00:00:00+05:30,76.41,77.23,66.5,68.96,56087578
2023-02-05 00:00:00+05:30,68.29,73.61,64.9,68.0,85564498
2023-02-12 00:00:00+05:30,68.38,69.45,65.58,67.66,43109789
2023-02-19 00:00:00+05:30,68.0,68.09,64.18,65.09,29556745
2023-02-26 00:00:00+05:30,65.19,65.77,60.36,61.18,39731119
2023-03-05 00:00:00+05:30,61.03,67.13,59.73,66.55,91685630
2023-03-12 00:00:00+05:30,68.09,69.64,63.93,64.76,52420488
2023-03-19 00:00:00+05:30,64.9,65.63,57.94,59.19,63742395
2023-03-26 00:00:00+05:30,59.19,61.18,57.02,57.84,39932422
2023-04-02 00:00:00+05:30,57.94,62.05,54.89,60.89,41198214
2023-04-09 00:00:00+05:30,61.32,62.68,60.65,61.37,20450165
2023-04-16 00:00:00+05:30,61.56,64.71,60.74,63.93,32335769
2023-04-23 00:00:00+05:30,63.93,68.67,63.35,65.48,47959129
2023-04-30 00:00:00+05:30,65.58,70.37,65.05,69.88,52267994
2023-05-07 00:00:00+05:30,70.9,72.74,68.87,70.41,37006359
2023-05-14 00:00:00+05:30,71.38,71.82,64.08,65.63,64683863
2023-05-21 00:00:00+05:30,65.77,66.69,62.82,63.6,41997108
2023-05-28 00:00:00+05:30,63.93,64.8,62.68,64.22,28683045
2023-06-04 00:00:00+05:30,64.9,67.27,63.79,66.88,31193600
2023-06-11 00:00:00+05:30,67.32,67.56,65.58,65.92,21369355
2023-06-18 00:00:00+05:30,66.16,66.98,64.27,65.29,23845587
2023-06-25 00:00:00+05:30,65.58,66.74,62.97,63.21,35142443
2023-07-02 00:00:00+05:30,63.55,66.59,62.29,66.4,34148463
2023-07-09 00:00:00+05:30,66.74,74.48,66.55,73.9,114861621
2023-07-16 00:00:00+05:30,74.62,76.99,73.75,74.91,71342718
2023-07-23 00:00:00+05:30,75.2,84.87,74.77,83.91,120024077
2023-07-30 00:00:00+05:30,84.54,87.73,80.43,83.62,110253047
2023-08-06 00:00:00+05:30,84.05,84.39,79.89,81.78,58519048
2023-08-13 00:00:00+05:30,81.88,86.86,79.7,84.92,70071634
2023-08-20 00:00:00+05:30,85.41,90.15,82.6,87.92,78363394
2023-08-27 00:00:00+05:30,88.16,88.16,82.6,83.09,68011074
2023-09-03 00:00:00+05:30,83.81,85.99,78.59,79.8,139476686
2023-09-10 00:00:00+05:30,80.57,83.91,80.28,81.73,85751868
2023-09-17 00:00:00+05:30,82.55,91.5,80.38,89.47,265237557
2023-09-24 00:00:00+05:30,90.24,96.05,88.89,95.03,348911902
2023-10-01 00:00:00+05:30,96.14,100.01,92.42,99.34,208539073
2023-10-08 00:00:00+05:30,99.92,106.15,96.53,98.37,179956447
2023-10-15 00:00:00+05:30,95.66,98.9,92.27,96.05,104219374
2023-10-22 00:00:00+05:30,96.34,99.63,93.34,94.35,72549757
2023-10-29 00:00:00+05:30,94.74,95.18,84.78,93.14,113518073
2023-11-05 00:00:00+05:30,94.5,99.77,92.42,97.59,123473505
2023-11-12 00:00:00+05:30,98.66,98.85,95.85,97.64,57857319
2023-11-19 00:00:00+05:30,97.4,108.72,97.01,101.61,133083416
2023-11-26 00:00:00+05:30,101.61,104.32,98.56,99.96,58577597
2023-12-03 00:00:00+05:30,100.45,104.75,99.63,101.75,74663034
2023-12-10 00:00:00+05:30,105.09,111.14,104.9,109.83,154318469
2023-12-17 00:00:00+05:30,110.41,121.68,110.17,120.61,134439893
2023-12-24 00:00:00+05:30,120.23,120.23,105.43,110.89,103221004
2023-12-31 00:00:00+05:30,111.52,114.04,109.39,111.72,49071942
2024-01-07 00:00:00+05:30,112.25,117.95,111.72,116.6,65886725
2024-01-14 00:00:00+05:30,117.57,124.68,114.28,123.42,78704507
2024-01-21 00:00:00+05:30,124.87,137.15,120.42,133.67,168667423
2024-01-28 00:00:00+05:30,136.77,137.01,127.14,132.27,82202876
2024-02-04 00:00:00+05:30,132.9,143.97,131.06,140.44,140122096
2024-02-11 00:00:00+05:30,141.46,146.78,133.04,140.49,140368391
2024-02-18 00:00:00+05:30,141.6,141.65,124.77,136.48,145368682
2024-02-25 00:00:00+05:30,136.77,142.38,132.51,137.64,141488583
2024-03-03 00:00:00+05:30,136.77,142.38,130.82,138.65,330769665
2024-03-10 00:00:00+05:30,140.44,153.11,138.94,148.71,138717782
2024-03-17 00:00:00+05:30,149.49,152.1,129.71,139.67,113459690
2024-03-24 00:00:00+05:30,140.64,146.78,135.61,139.77,72918651
2024-03-31 00:00:00+05:30,139.77,145.67,138.41,144.99,33329239
2024-04-07 00:00:00+05:30,145.96,154.37,145.57,151.47,66268180
2024-04-14 00:00:00+05:30,149.34,150.7,140.64,140.83,66717491
2024-04-21 00:00:00+05:30,136.77,138.89,130.09,132.61,55063320
2024-04-28 00:00:00+05:30,134.54,144.8,134.54,142.47,86911662
2024-05-05 00:00:00+05:30,143.54,148.37,141.07,144.02,61685819
2024-05-12 00:00:00+05:30,145.47,145.67,129.56,133.87,85624957
2024-05-19 00:00:00+05:30,130.92,135.17,122.6,133.14,99133058
2024-05-26 00:00:00+05:30,133.28,148.37,131.21,147.89,96336419
2024-06-02 00:00:00+05:30,148.57,153.02,140.64,151.42,149553914
2024-06-09 00:00:00+05:30,159.01,163.37,121.82,138.17,175775601
2024-06-16 00:00:00+05:30,139.67,142.57,136.62,139.23,68684557
2024-06-23 00:00:00+05:30,140.25,140.73,136.53,138.64,40647857
2024-06-30 00:00:00+05:30,133.96,136.77,128.43,128.73,84947420
2024-07-07 00:00:00+05:30,129.41,129.42,125.64,127.8,60453597
2024-07-14 00:00:00+05:30,127.09,132.97,125.16,128.17,63335796
2024-07-21 00:00:00+05:30,128.55,134.58,127.48,131.21,59386920
2024-07-28 00:00:00+05:30,130.24,134.41,124.87,128.52,51816593
2024-08-04 00:00:00+05:30,129.85,132.96,127.47,128.9,50631659
2024-08-11 00:00:00+05:30,125.26,125.59,116.16,118.99,74062845
2024-08-18 00:00:00+05:30,118.5,118.85,112.49,113.68,47374516
2024-08-25 00:00:00+05:30,114.63,123.83,114.34,122.92,51119901
2024-09-01 00:00:00+05:30,122.94,123.56,117.13,117.56,44504757
2024-09-08 00:00:00+05:30,118.48,119.57,116.07,117.23,38306091
2024-09-15 00:00:00+05:30,116.56,118.97,113.27,116.25,45179100
2024-09-22 00:00:00+05:30,118.78,123.13,115.39,119.39,66453242
2024-09-29 00:00:00+05:30,120.32,124.77,117.49,119.46,75160673
2024-10-06 00:00:00+05:30,119.16,119.84,112.91,114.97,41807884
2024-10-13 00:00:00+05:30,115.54,116.25,108.9,110.38,37664068
2024-10-20 00:00:00+05:30,110.7,112.63,106.66,108.54,50882606
2024-10-27 00:00:00+05:30,108.96,110.37,103.18,104.69,55752622
2024-11-03 00:00:00+05:30,105.23,114.81,104.62,113.99,36244424
2024-11-10 00:00:00+05:30,114.81,118.4,109.45,113.67,42323420
2024-11-17 00:00:00+05:30,113.65,116.69,109.54,110.17,29437081
2024-11-24 00:00:00+05:30,110.26,113.93,108.33,111.27,29074206
2024-12-01 00:00:00+05:30,113.25,122.07,113.25,117.64,67873557
2024-12-08 00:00:00+05:30,118.0,126.61,115.5,124.69,85275595
2024-12-15 00:00:00+05:30,124.04,126.51,119.78,123.08,47156506
2024-12-22 00:00:00+05:30,123.14,125.16,112.3,112.95,45758807
2024-12-29 00:00:00+05:30,113.35,116.62,112.05,114.01,25244296
2025-01-05 00:00:00+05:30,113.99,122.69,113.3,120.0,83194804
2025-01-12 00:00:00+05:30,119.75,119.75,99.72,100.22,108678111
2025-01-19 00:00:00+05:30,99.04,107.74,97.51,105.14,75005063
2025-01-26 00:00:00+05:30,105.91,108.91,103.01,103.78,41310939
2025-02-02 00:00:00+05:30,103.25,112.96,101.05,108.76,94759048
2025-02-09 00:00:00+05:30,107.57,117.88,104.82,113.99,75331989
2025-02-16 00:00:00+05:30,113.99,114.18,104.66,105.85,55961798
2025-02-23 00:00:00+05:30,106.17,114.13,103.14,111.89,55077177
2025-03-02 00:00:00+05:30,110.85,114.13,106.42,108.43,38628869
2025-03-09 00:00:00+05:30,108.43,114.38,104.07,113.92,46073098
2025-03-16 00:00:00+05:30,113.56,114.87,108.72,109.97,26667017
2025-03-23 00:00:00+05:30,110.61,118.97,108.49,118.51,41312808
2025-03-30 00:00:00+05:30,119.94,124.38,115.74,122.05,106835806
2025-04-06 00:00:00+05:30,120.18,128.54,116.7,118.11,79485853
2025-04-13 00:00:00+05:30,110.07,118.54,108.83,113.97,46048093
2025-04-20 00:00:00+05:30,116.18,123.66,115.58,122.44,31537949
2025-04-27 00:00:00+05:30,122.44,126.51,118.76,120.85,80604000
2025-05-04 00:00:00+05:30,121.02,127.19,120.48,122.08,35317639
2025-05-11 00:00:00+05:30,120.95,122.83,110.75,118.87,106894407
2025-05-18 00:00:00+05:30,121.87,130.73,121.77,128.66,89824429
2025-05-25 00:00:00+05:30,129.95,136.96,128.06,135.83,90326604
2025-06-01 00:00:00+05:30,135.9,143.05,134.35,141.98,66130548
2025-06-08 00:00:00+05:30,144.12,153.45,143.15,148.26,123418851
2025-06-15 00:00:00+05:30,148.9,152.89,140.25,141.45,45113065
2025-06-22 00:00:00+05:30,141.45,143.56,133.79,138.78,46039707
2025-06-29 00:00:00+05:30,136.86,146.92,136.86,144.18,54268172
2025-07-06 00:00:00+05:30,145.03,150.79,144.61,148.07,62015431
2025-07-13 00:00:00+05:30,147.53,149.52,136.9,139.03,64008787
2025-07-20 00:00:00+05:30,139.11,144.7,139.11,141.66,67932010
2025-07-27 00:00:00+05:30,140.73,141.85,135.95,136.22,72926967
2025-08-03 00:00:00+05:30,136.0,137.05,127.8,128.1,62764322
2025-08-10 00:00:00+05:30,128.62,132.8,127.14,130.98,56952851
2025-08-17 00:00:00+05:30,131.0,137.0,130.98,134.84,31170151
2025-08-24 00:00:00+05:30,136.86,138.55,133.71,134.76,39885562
2025-08-31 00:00:00+05:30,134.77,136.0,124.64,124.82,40434626
2025-09-07 00:00:00+05:30,125.5,130.59,125.45,127.34,32343560
2025-09-14 00:00:00+05:30,127.74,136.48,126.61,133.88,43480364
2025-09-21 00:00:00+05:30,133.88,141.23,132.5,140.3,66697444
2025-09-28 00:00:00+05:30,140.35,141.63,133.9,134.08,39560457
2025-10-05 00:00:00+05:30,134.29,140.45,134.26,137.71,38398704
2025-10-12 00:00:00+05:30,137.7,140.18,135.3,139.27,41328117
2025-10-19 00:00:00+05:30,139.27,141.0,135.8,136.69,34577338
2025-10-26 00:00:00+05:30,137.69,145.0,137.49,141.77,38586887
2025-11-02 00:00:00+05:30,142.48,152.0,140.8,148.67,133534989
2025-11-09 00:00:00+05:30,149.0,153.66,147.8,153.3,63353192
2025-11-16 00:00:00+05:30,153.98,157.4,150.32,152.76,65664484
2025-11-23 00:00:00+05:30,153.75,156.6,149.61,150.89,39207553
2025-11-30 00:00:00+05:30,150.95,157.51,150.51,153.27,46318766
2025-12-07 00:00:00+05:30,154.0,160.15,150.15,153.3,98513568
2025-12-14 00:00:00+05:30,153.3,153.57,145.87,152.74,51398396
2025-12-21 00:00:00+05:30,152.74,155.48,151.1,154.03,40992745
2025-12-28 00:00:00+05:30,155.05,155.2,150.0,150.22,19512315
2026-01-04 00:00:00+05:30,150.19,157.1,148.12,156.7,69373250
2026-01-11 00:00:00+05:30,158.0,167.3,157.51,162.26,96351596
2026-01-18 00:00:00+05:30,163.5,182.9,160.3,176.15,150120902
2026-01-25 00:00:00+05:30,175.84,180.75,170.76,172.77,97366350
2026-02-01 00:00:00+05:30,174.5,183.34,167.42,169.37,110112341
2026-02-08 00:00:00+05:30,169.37,183.1,165.11,178.13,58839510
2026-02-15 00:00:00+05:30,181.0,182.35,176.11,178.87,56111614
2026-02-22 00:00:00+05:30,178.0,195.69,176.08,193.98,95371014
2026-03-01 00:00:00+05:30,196.0,205.49,194.63,202.27,116831525
2026-03-08 00:00:00+05:30,195.04,201.2,188.0,188.65,76265523
2026-03-15 00:00:00+05:30,181.51,187.55,173.31,173.88,78320137
