datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,96.7,103.3,96.05,102.7,13432925
2021-07-18 00:00:00+05:30,103.3,107.2,102.7,106.35,11739370
2021-07-25 00:00:00+05:30,105.3,105.6,97.3,97.65,7344855
2021-08-01 00:00:00+05:30,98.1,102.5,98.1,101.55,15848220
2021-08-08 00:00:00+05:30,102.7,107.7,101.6,103.1,36348235
2021-08-15 00:00:00+05:30,102.8,106.4,96.1,103.4,13574605
2021-08-22 00:00:00+05:30,104.2,108.0,100.3,107.55,20560575
2021-08-29 00:00:00+05:30,109.2,114.7,106.8,113.65,36246155
2021-09-05 00:00:00+05:30,114.1,121.9,110.7,121.05,22168005
2021-09-12 00:00:00+05:30,122.7,126.9,121.35,124.7,21304750
2021-09-19 00:00:00+05:30,125.5,126.0,116.0,117.6,12870715
2021-09-26 00:00:00+05:30,117.6,125.6,116.3,123.75,45960690
2021-10-03 00:00:00+05:30,124.9,125.3,117.8,121.35,16945815
2021-10-10 00:00:00+05:30,122.0,123.25,119.0,120.1,10958085
2021-10-17 00:00:00+05:30,123.25,123.25,118.8,119.75,13598210
2021-10-24 00:00:00+05:30,120.7,122.65,108.7,110.7,22293465
2021-10-31 00:00:00+05:30,111.9,113.9,107.85,113.25,23849680
2021-11-07 00:00:00+05:30,114.5,126.9,113.7,124.9,17791165
2021-11-14 00:00:00+05:30,125.2,135.5,121.7,129.6,30723450
2021-11-21 00:00:00+05:30,130.7,132.6,122.1,126.6,13785275
2021-11-28 00:00:00+05:30,127.35,127.85,117.6,117.85,12549285
2021-12-05 00:00:00+05:30,117.7,122.4,112.45,117.1,10744330
2021-12-12 00:00:00+05:30,116.85,120.3,115.7,118.85,7111520
2021-12-19 00:00:00+05:30,119.45,123.15,114.3,115.5,10131780
2021-12-26 00:00:00+05:30,114.4,115.3,108.95,111.9,11912195
2022-01-02 00:00:00+05:30,111.6,120.05,110.05,118.45,8651610
2022-01-09 00:00:00+05:30,118.3,118.35,111.4,113.5,10412270
2022-01-16 00:00:00+05:30,113.9,124.0,111.9,123.8,23144990
2022-01-23 00:00:00+05:30,124.45,126.8,120.0,122.1,14764125
2022-01-30 00:00:00+05:30,120.8,121.6,112.7,118.2,16349390
2022-02-06 00:00:00+05:30,118.65,127.25,117.75,126.7,17766095
2022-02-13 00:00:00+05:30,126.7,127.7,118.15,124.9,19044990
2022-02-20 00:00:00+05:30,123.9,128.0,119.85,127.15,16461105
2022-02-27 00:00:00+05:30,127.5,129.2,117.3,124.3,13248545
2022-03-06 00:00:00+05:30,124.0,135.3,122.4,124.2,20617260
2022-03-13 00:00:00+05:30,121.5,125.2,116.7,121.4,18720720
2022-03-20 00:00:00+05:30,121.4,128.8,118.7,126.5,16233020
2022-03-27 00:00:00+05:30,125.3,132.0,122.75,127.7,15685840
2022-04-03 00:00:00+05:30,128.0,131.15,123.3,125.2,14486615
2022-04-10 00:00:00+05:30,126.1,133.2,125.5,128.3,18548295
2022-04-17 00:00:00+05:30,129.3,140.1,126.0,134.8,20670705
2022-04-24 00:00:00+05:30,135.2,149.2,134.9,138.65,38528135
2022-05-01 00:00:00+05:30,138.5,153.85,137.7,144.5,74116890
2022-05-08 00:00:00+05:30,144.3,150.9,140.3,143.4,44841775
2022-05-15 00:00:00+05:30,141.3,148.1,137.3,145.5,46167450
2022-05-22 00:00:00+05:30,146.7,152.7,139.7,147.1,25383110
2022-05-29 00:00:00+05:30,145.3,149.9,140.7,145.3,26246435
2022-06-05 00:00:00+05:30,146.7,155.6,139.25,146.7,64745385
2022-06-12 00:00:00+05:30,150.0,152.0,144.0,150.9,18316960
2022-06-19 00:00:00+05:30,149.7,161.1,147.05,150.2,34323620
2022-06-26 00:00:00+05:30,150.2,156.0,144.2,154.1,25828560
2022-07-03 00:00:00+05:30,156.0,161.8,145.6,158.8,16379260
2022-07-10 00:00:00+05:30,158.8,170.35,156.1,169.7,29261245
2022-07-17 00:00:00+05:30,170.25,176.7,163.55,165.3,26899575
2022-07-24 00:00:00+05:30,167.35,182.1,165.5,174.45,31731635
2022-07-31 00:00:00+05:30,175.5,178.5,171.8,176.55,17269690
2022-08-07 00:00:00+05:30,178.35,209.55,178.0,205.05,77334705
2022-08-14 00:00:00+05:30,204.8,206.85,198.45,205.1,32315290
2022-08-21 00:00:00+05:30,206.0,216.85,197.1,197.65,29642065
2022-08-28 00:00:00+05:30,199.4,209.0,181.6,204.7,58578275
2022-09-04 00:00:00+05:30,194.8,210.2,192.0,206.3,25550975
2022-09-11 00:00:00+05:30,209.2,222.0,204.1,216.05,34964160
2022-09-18 00:00:00+05:30,217.7,222.0,212.0,220.5,33754615
2022-09-25 00:00:00+05:30,216.0,238.95,213.7,231.8,32021195
2022-10-02 00:00:00+05:30,229.1,229.1,203.0,208.85,44586120
2022-10-09 00:00:00+05:30,209.0,231.0,208.5,227.05,31915045
2022-10-16 00:00:00+05:30,221.65,225.0,204.0,205.3,42430830
2022-10-23 00:00:00+05:30,202.0,207.2,193.0,202.6,53307850
2022-10-30 00:00:00+05:30,205.4,213.55,204.0,208.0,34394070
2022-11-06 00:00:00+05:30,209.35,246.6,206.4,227.8,95238525
2022-11-13 00:00:00+05:30,230.6,235.9,219.05,221.3,38670120
2022-11-20 00:00:00+05:30,222.2,230.6,215.1,228.8,45435080
2022-11-27 00:00:00+05:30,228.8,237.0,219.3,230.4,39406990
2022-12-04 00:00:00+05:30,230.4,270.8,226.2,263.7,247367620
2022-12-11 00:00:00+05:30,263.4,285.9,258.5,282.05,63915370
2022-12-18 00:00:00+05:30,283.0,286.5,268.0,279.3,39571030
2022-12-25 00:00:00+05:30,284.2,284.5,252.6,257.5,33908950
2023-01-01 00:00:00+05:30,258.0,276.05,252.05,264.5,23565270
2023-01-08 00:00:00+05:30,267.9,271.5,254.2,260.2,27918795
2023-01-15 00:00:00+05:30,262.35,264.9,224.5,227.15,51132165
2023-01-22 00:00:00+05:30,229.1,247.6,228.7,246.5,43126925
2023-01-29 00:00:00+05:30,247.6,250.25,242.0,248.5,12309010
2023-02-05 00:00:00+05:30,249.0,249.0,220.0,231.0,48258325
2023-02-12 00:00:00+05:30,230.7,270.2,228.0,254.35,58886180
2023-02-19 00:00:00+05:30,254.35,261.45,249.6,256.65,19101890
2023-02-26 00:00:00+05:30,258.0,269.2,256.0,258.3,36103530
2023-03-05 00:00:00+05:30,259.2,272.4,256.2,271.7,36712035
2023-03-12 00:00:00+05:30,272.6,275.65,264.05,268.75,22044860
2023-03-19 00:00:00+05:30,269.0,275.7,253.35,263.25,42871005
2023-03-26 00:00:00+05:30,263.1,278.8,258.3,270.4,26203555
2023-04-02 00:00:00+05:30,271.4,279.0,267.0,277.4,30480785
2023-04-09 00:00:00+05:30,279.0,294.8,276.45,278.7,35571045
2023-04-16 00:00:00+05:30,279.8,292.25,279.3,285.9,19925775
2023-04-23 00:00:00+05:30,287.2,292.0,275.0,279.45,51738965
2023-04-30 00:00:00+05:30,280.5,293.5,279.6,289.05,41453140
2023-05-07 00:00:00+05:30,292.0,295.95,280.0,290.5,42792585
2023-05-14 00:00:00+05:30,291.0,330.8,290.3,311.2,42292210
2023-05-21 00:00:00+05:30,311.2,324.8,310.2,317.5,25452010
2023-05-28 00:00:00+05:30,318.75,349.4,308.2,340.4,28128155
2023-06-04 00:00:00+05:30,344.8,344.8,325.2,339.05,28814045
2023-06-11 00:00:00+05:30,341.1,348.1,315.0,318.3,43315755
2023-06-18 00:00:00+05:30,316.9,344.8,310.0,328.5,42626960
2023-06-25 00:00:00+05:30,328.5,329.6,305.45,306.45,30464146
2023-07-02 00:00:00+05:30,307.55,325.0,302.0,321.0,23325115
2023-07-09 00:00:00+05:30,321.0,334.3,317.4,328.45,32797894
2023-07-16 00:00:00+05:30,329.2,339.6,322.75,333.15,23516764
2023-07-23 00:00:00+05:30,333.75,336.9,318.0,320.1,14408740
2023-07-30 00:00:00+05:30,320.6,327.4,313.95,321.7,14657342
2023-08-06 00:00:00+05:30,321.7,335.6,318.2,330.1,27683480
2023-08-13 00:00:00+05:30,332.0,342.0,321.05,339.75,25739888
2023-08-20 00:00:00+05:30,340.0,373.85,333.5,359.7,29936199
2023-08-27 00:00:00+05:30,359.85,368.0,346.1,349.55,16886325
2023-09-03 00:00:00+05:30,349.95,365.3,343.6,364.2,16016088
2023-09-10 00:00:00+05:30,367.2,376.8,362.0,363.95,18174955
2023-09-17 00:00:00+05:30,367.2,372.4,361.2,366.25,15404045
2023-09-24 00:00:00+05:30,366.85,368.2,356.7,367.3,12623940
2023-10-01 00:00:00+05:30,366.8,391.6,364.1,378.3,29043796
2023-10-08 00:00:00+05:30,378.7,378.8,363.2,370.8,20403822
2023-10-15 00:00:00+05:30,367.2,380.4,364.0,371.8,20216771
2023-10-22 00:00:00+05:30,371.75,377.6,364.0,370.5,25941051
2023-10-29 00:00:00+05:30,366.8,370.95,331.25,368.6,29866666
2023-11-05 00:00:00+05:30,368.55,382.35,361.3,380.75,21666681
2023-11-12 00:00:00+05:30,383.5,409.6,375.05,404.85,34764275
2023-11-19 00:00:00+05:30,404.8,420.4,399.2,417.4,21427048
2023-11-26 00:00:00+05:30,416.8,430.0,406.5,427.25,21058811
2023-12-03 00:00:00+05:30,430.0,451.9,421.55,435.6,22148661
2023-12-10 00:00:00+05:30,444.4,445.0,422.2,426.8,15372697
2023-12-17 00:00:00+05:30,429.55,447.9,428.4,439.6,18221661
2023-12-24 00:00:00+05:30,439.6,552.0,437.6,495.45,71998458
2023-12-31 00:00:00+05:30,502.8,503.1,488.8,494.75,16809545
2024-01-07 00:00:00+05:30,496.7,513.2,482.45,511.65,19549346
2024-01-14 00:00:00+05:30,511.65,524.0,503.4,506.0,21287042
2024-01-21 00:00:00+05:30,510.4,514.15,478.55,504.15,25121701
2024-01-28 00:00:00+05:30,504.4,511.9,488.4,502.95,20776198
2024-02-04 00:00:00+05:30,500.0,521.4,492.4,514.3,25516186
2024-02-11 00:00:00+05:30,515.8,565.45,504.0,548.0,39979232
2024-02-18 00:00:00+05:30,551.6,582.4,546.8,569.2,18570908
2024-02-25 00:00:00+05:30,571.5,610.0,568.8,605.8,12073312
2024-03-03 00:00:00+05:30,605.8,624.8,538.0,579.5,41594762
2024-03-10 00:00:00+05:30,580.0,580.7,544.8,569.35,26833957
2024-03-17 00:00:00+05:30,573.3,598.0,541.7,573.7,28922052
2024-03-24 00:00:00+05:30,575.2,579.15,552.8,560.95,17296718
2024-03-31 00:00:00+05:30,563.9,564.0,548.0,559.45,15362170
2024-04-07 00:00:00+05:30,563.2,618.0,554.6,597.5,27600819
2024-04-14 00:00:00+05:30,600.7,600.7,552.0,554.35,22503047
2024-04-21 00:00:00+05:30,544.0,569.1,539.9,558.45,26506454
2024-04-28 00:00:00+05:30,562.15,588.0,560.55,583.9,14944657
2024-05-05 00:00:00+05:30,582.0,611.0,577.1,602.7,20476962
2024-05-12 00:00:00+05:30,602.8,605.1,573.2,585.3,23387158
2024-05-19 00:00:00+05:30,594.7,623.6,562.05,602.9,46284645
2024-05-26 00:00:00+05:30,608.0,609.35,594.0,599.3,13223945
2024-06-02 00:00:00+05:30,600.35,600.35,556.1,570.7,27013583
2024-06-09 00:00:00+05:30,589.6,611.2,528.0,607.45,31107875
2024-06-16 00:00:00+05:30,610.0,660.0,609.2,655.7,29688388
2024-06-23 00:00:00+05:30,658.0,668.8,634.0,637.4,25873323
2024-06-30 00:00:00+05:30,637.0,659.8,624.55,651.8,20666883
2024-07-07 00:00:00+05:30,652.0,653.6,630.0,645.65,13526077
2024-07-14 00:00:00+05:30,645.95,663.1,626.05,633.8,17778020
2024-07-21 00:00:00+05:30,632.0,657.9,615.6,623.9,18414564
2024-07-28 00:00:00+05:30,624.0,677.2,603.1,670.65,26492120
2024-08-04 00:00:00+05:30,679.2,681.1,621.0,628.95,53721686
2024-08-11 00:00:00+05:30,615.8,619.8,582.0,603.45,25161165
2024-08-18 00:00:00+05:30,598.0,601.2,565.0,568.75,25170530
2024-08-25 00:00:00+05:30,571.6,643.8,567.2,632.85,33732465
2024-09-01 00:00:00+05:30,630.0,635.95,597.6,600.35,20911645
2024-09-08 00:00:00+05:30,600.35,617.6,591.7,597.3,23815359
2024-09-15 00:00:00+05:30,600.0,668.0,549.2,646.65,34955823
2024-09-22 00:00:00+05:30,648.0,661.45,616.25,654.45,32878196
2024-09-29 00:00:00+05:30,654.45,663.0,606.0,608.55,21068665
2024-10-06 00:00:00+05:30,624.0,624.0,570.5,578.9,30400469
2024-10-13 00:00:00+05:30,574.9,606.2,536.85,592.35,49963574
2024-10-20 00:00:00+05:30,596.8,613.9,578.7,588.75,20911424
2024-10-27 00:00:00+05:30,597.6,631.2,566.7,611.2,40918789
2024-11-03 00:00:00+05:30,608.25,615.55,589.4,608.5,16856270
2024-11-10 00:00:00+05:30,611.0,615.95,580.45,591.55,24182068
2024-11-17 00:00:00+05:30,588.0,607.95,565.0,575.65,18881902
2024-11-24 00:00:00+05:30,593.0,639.6,582.85,616.4,33360939
2024-12-01 00:00:00+05:30,622.0,638.6,595.0,621.2,30080570
