datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,116.85,118.05,115.4,115.9,8286150
2021-07-11 00:00:00+05:30,116.55,121.85,116.2,120.5,77039913
2021-07-18 00:00:00+05:30,122.15,122.7,118.95,120.95,44890761
2021-07-25 00:00:00+05:30,119.5,120.3,112.55,118.7,43377196
2021-08-01 00:00:00+05:30,119.05,137.3,115.4,135.15,176622103
2021-08-08 00:00:00+05:30,135.75,143.65,134.25,141.05,144892138
2021-08-15 00:00:00+05:30,141.85,150.2,135.0,148.05,154758982
2021-08-22 00:00:00+05:30,148.6,154.25,118.15,119.4,339004151
2021-08-29 00:00:00+05:30,122.25,131.95,115.4,130.65,216486722
2021-09-05 00:00:00+05:30,134.25,139.55,131.35,138.25,240414295
2021-09-12 00:00:00+05:30,139.65,142.55,131.35,135.15,94720779
2021-09-19 00:00:00+05:30,135.4,140.0,132.65,135.2,103598177
2021-09-26 00:00:00+05:30,131.4,135.4,126.0,130.9,91192250
2021-10-03 00:00:00+05:30,131.3,131.9,126.1,127.4,71987889
2021-10-10 00:00:00+05:30,128.5,138.1,127.55,131.35,86798770
2021-10-17 00:00:00+05:30,131.3,154.7,130.7,149.65,135256364
2021-10-24 00:00:00+05:30,156.1,175.75,144.45,145.75,254770876
2021-10-31 00:00:00+05:30,146.8,150.0,131.8,136.15,178899844
2021-11-07 00:00:00+05:30,140.05,142.55,134.25,140.15,105720039
2021-11-14 00:00:00+05:30,141.7,149.55,139.6,147.85,181507935
2021-11-21 00:00:00+05:30,148.25,155.05,129.55,138.85,212271665
2021-11-28 00:00:00+05:30,138.9,169.6,138.9,160.25,928086872
2021-12-05 00:00:00+05:30,159.7,161.25,150.65,152.25,129060354
2021-12-12 00:00:00+05:30,151.95,159.6,150.7,158.2,137722328
2021-12-19 00:00:00+05:30,162.0,164.0,149.05,149.95,119171951
2021-12-26 00:00:00+05:30,147.3,159.55,141.8,156.35,71838711
2022-01-02 00:00:00+05:30,157.4,157.7,149.95,154.15,52535319
2022-01-09 00:00:00+05:30,154.05,161.95,148.75,152.7,119633937
2022-01-16 00:00:00+05:30,153.05,155.5,148.45,151.7,70607625
2022-01-23 00:00:00+05:30,150.65,150.65,142.95,145.5,152357051
2022-01-30 00:00:00+05:30,144.85,151.6,137.7,147.55,91752249
2022-02-06 00:00:00+05:30,148.7,164.55,141.7,161.45,133173309
2022-02-13 00:00:00+05:30,162.3,175.7,161.25,171.95,130055875
2022-02-20 00:00:00+05:30,168.05,170.45,161.0,165.15,85453419
2022-02-27 00:00:00+05:30,164.9,165.9,151.45,164.45,96227042
2022-03-06 00:00:00+05:30,163.65,183.0,161.65,169.7,206468720
2022-03-13 00:00:00+05:30,169.95,180.8,164.85,172.0,131783583
2022-03-20 00:00:00+05:30,172.0,174.1,160.2,172.1,63855654
2022-03-27 00:00:00+05:30,174.3,190.95,173.1,187.6,154955875
