datetime,open,high,low,close,volume
2021-07-11 00:00:00+05:30,13.35,13.45,13.2,13.25,197136094
2021-07-18 00:00:00+05:30,13.25,13.85,12.95,13.4,492384258
2021-07-25 00:00:00+05:30,13.3,13.35,12.9,13.05,350858709
2021-08-01 00:00:00+05:30,13.8,14.1,12.7,12.75,691108291
2021-08-08 00:00:00+05:30,12.85,12.9,12.3,12.5,396758982
2021-08-15 00:00:00+05:30,12.6,12.95,11.85,11.9,408512412
2021-08-22 00:00:00+05:30,11.95,11.95,11.05,11.15,340789274
2021-08-29 00:00:00+05:30,11.25,11.3,10.5,11.05,512468100
2021-09-05 00:00:00+05:30,11.15,11.4,10.75,11.1,628066823
2021-09-12 00:00:00+05:30,11.15,11.4,10.8,10.95,354262852
2021-09-19 00:00:00+05:30,11.0,15.05,10.9,13.25,2724558373
2021-09-26 00:00:00+05:30,13.0,13.75,12.55,12.85,531938448
2021-10-03 00:00:00+05:30,13.0,13.4,12.2,12.85,632237951
2021-10-10 00:00:00+05:30,13.05,13.5,12.85,13.2,543796863
2021-10-17 00:00:00+05:30,13.3,13.45,13.0,13.2,324146911
2021-10-24 00:00:00+05:30,13.45,14.65,13.3,13.75,1155066063
2021-10-31 00:00:00+05:30,14.0,14.1,12.55,12.8,635813094
2021-11-07 00:00:00+05:30,12.85,13.25,12.7,13.15,233252275
2021-11-14 00:00:00+05:30,13.2,13.6,13.0,13.15,318542905
2021-11-21 00:00:00+05:30,13.2,13.25,12.8,12.85,199078817
2021-11-28 00:00:00+05:30,12.85,12.95,12.4,12.45,339220999
2021-12-05 00:00:00+05:30,12.35,12.95,12.1,12.55,470464322
2021-12-12 00:00:00+05:30,12.6,14.65,12.5,14.45,1147811098
2021-12-19 00:00:00+05:30,14.7,14.95,13.05,13.15,741060463
2021-12-26 00:00:00+05:30,13.05,13.85,12.55,13.25,497496156
2022-01-02 00:00:00+05:30,13.15,14.15,13.05,13.7,435464562
2022-01-09 00:00:00+05:30,13.7,14.95,13.45,13.95,1074762702
2022-01-16 00:00:00+05:30,13.95,14.25,13.6,14.05,473486208
2022-01-23 00:00:00+05:30,14.1,14.2,13.6,13.75,346685791
2022-01-30 00:00:00+05:30,14.2,14.2,13.25,13.35,477200814
2022-02-06 00:00:00+05:30,13.5,13.85,13.1,13.7,427211974
2022-02-13 00:00:00+05:30,13.9,14.35,13.7,13.9,495271298
2022-02-20 00:00:00+05:30,13.8,14.1,13.05,13.9,429593666
2022-02-27 00:00:00+05:30,13.75,13.9,12.5,13.15,523953034
2022-03-06 00:00:00+05:30,13.05,13.35,12.6,12.8,513894011
2022-03-13 00:00:00+05:30,12.7,13.0,12.6,12.75,480157986
2022-03-20 00:00:00+05:30,12.75,13.4,12.25,12.95,1036108635
2022-03-27 00:00:00+05:30,13.2,13.45,12.65,12.7,385181305
2022-04-03 00:00:00+05:30,12.75,12.8,12.1,12.65,586517203
2022-04-10 00:00:00+05:30,12.75,16.25,12.7,15.65,2048717924
2022-04-17 00:00:00+05:30,15.65,15.7,14.4,14.55,441679077
2022-04-24 00:00:00+05:30,14.45,14.45,13.55,13.95,384707220
2022-05-01 00:00:00+05:30,13.85,14.05,13.45,13.65,318217270
2022-05-08 00:00:00+05:30,14.25,14.5,13.1,13.2,388345078
2022-05-15 00:00:00+05:30,13.05,13.2,12.45,12.45,426409751
2022-05-22 00:00:00+05:30,12.55,14.3,12.5,13.95,724378734
2022-05-29 00:00:00+05:30,14.0,14.15,12.8,13.4,386967319
2022-06-05 00:00:00+05:30,13.45,13.55,13.05,13.25,206552468
2022-06-12 00:00:00+05:30,13.2,13.45,12.85,12.95,179237487
2022-06-19 00:00:00+05:30,12.85,13.0,12.35,12.45,266413689
2022-06-26 00:00:00+05:30,12.45,13.05,12.25,12.75,273977175
2022-07-03 00:00:00+05:30,12.9,12.95,12.55,12.65,145595534
2022-07-10 00:00:00+05:30,12.65,12.95,12.55,12.8,112536270
2022-07-17 00:00:00+05:30,12.75,13.7,12.7,13.3,334917794
2022-07-24 00:00:00+05:30,13.4,15.0,13.25,14.7,491909345
2022-07-31 00:00:00+05:30,14.85,15.3,13.65,14.95,824643387
2022-08-07 00:00:00+05:30,15.8,17.9,14.75,16.65,1995109990
2022-08-14 00:00:00+05:30,16.7,16.75,15.15,15.3,453973053
2022-08-21 00:00:00+05:30,15.3,16.8,15.3,16.55,691349057
2022-08-28 00:00:00+05:30,16.5,16.95,16.15,16.45,426836380
2022-09-04 00:00:00+05:30,16.1,16.6,15.85,16.2,309394231
2022-09-11 00:00:00+05:30,16.25,18.2,16.2,17.5,941890118
2022-09-18 00:00:00+05:30,17.7,17.8,16.65,16.75,562717368
2022-09-25 00:00:00+05:30,16.75,17.25,16.0,16.2,565685864
2022-10-02 00:00:00+05:30,16.0,16.0,15.35,15.65,364790006
2022-10-09 00:00:00+05:30,15.65,16.85,15.3,16.55,369508208
2022-10-16 00:00:00+05:30,16.4,16.6,15.6,15.8,265107725
2022-10-23 00:00:00+05:30,15.7,16.35,15.65,16.05,266389075
2022-10-30 00:00:00+05:30,16.0,16.0,15.5,15.65,235978307
2022-11-06 00:00:00+05:30,15.75,16.6,15.25,16.45,439397170
2022-11-13 00:00:00+05:30,16.55,16.95,16.25,16.85,347690925
2022-11-20 00:00:00+05:30,16.85,17.4,16.7,16.85,518862386
2022-11-27 00:00:00+05:30,16.85,17.4,16.5,16.95,383476949
2022-12-04 00:00:00+05:30,16.95,17.9,16.9,17.4,687425468
2022-12-11 00:00:00+05:30,17.6,20.5,17.3,19.7,1902506128
2022-12-18 00:00:00+05:30,19.95,24.75,19.65,21.2,4484653774
2022-12-25 00:00:00+05:30,21.5,22.1,17.25,17.45,1786814180
2023-01-01 00:00:00+05:30,17.6,20.85,17.55,20.6,2040073960
2023-01-08 00:00:00+05:30,20.85,22.4,20.75,21.1,1658638824
2023-01-15 00:00:00+05:30,21.4,21.5,19.65,20.15,916520468
2023-01-22 00:00:00+05:30,20.45,20.55,19.65,19.75,529768743
2023-01-29 00:00:00+05:30,17.75,18.6,17.3,17.5,975338723
2023-02-05 00:00:00+05:30,17.5,17.9,16.15,16.45,829566821
2023-02-12 00:00:00+05:30,16.5,17.35,16.4,17.05,653408400
2023-02-19 00:00:00+05:30,17.05,17.15,16.0,16.1,440757199
2023-02-26 00:00:00+05:30,16.2,17.0,16.1,16.15,616318937
2023-03-05 00:00:00+05:30,16.15,18.6,16.0,16.85,1105747961
2023-03-12 00:00:00+05:30,16.8,17.25,16.3,16.5,458888480
2023-03-19 00:00:00+05:30,14.4,16.3,14.4,15.05,1532672848
2023-03-26 00:00:00+05:30,15.4,15.55,14.9,15.05,841425024
2023-04-02 00:00:00+05:30,15.1,15.3,14.7,15.05,432532444
2023-04-09 00:00:00+05:30,15.1,15.6,15.05,15.4,206910126
2023-04-16 00:00:00+05:30,15.45,15.55,15.15,15.35,235242746
2023-04-23 00:00:00+05:30,15.35,17.3,15.25,16.2,855610395
2023-04-30 00:00:00+05:30,15.5,16.0,15.4,15.7,512604720
2023-05-07 00:00:00+05:30,15.75,16.4,15.7,15.95,334402487
2023-05-14 00:00:00+05:30,16.0,16.25,15.8,15.95,322306763
2023-05-21 00:00:00+05:30,15.95,16.15,15.55,15.65,340791563
2023-05-28 00:00:00+05:30,15.7,15.8,15.5,15.6,237690929
2023-06-04 00:00:00+05:30,15.65,16.65,15.6,16.4,628460140
2023-06-11 00:00:00+05:30,16.4,17.2,15.95,16.6,553645519
2023-06-18 00:00:00+05:30,16.6,16.7,15.95,16.3,349917754
2023-06-25 00:00:00+05:30,16.4,16.75,15.9,16.0,328524453
2023-07-02 00:00:00+05:30,16.05,16.35,15.95,16.25,237578458
2023-07-09 00:00:00+05:30,16.35,17.95,16.25,17.45,1158877472
2023-07-16 00:00:00+05:30,17.3,17.75,17.0,17.35,598532324
2023-07-23 00:00:00+05:30,17.5,18.2,17.3,18.05,903332009
2023-07-30 00:00:00+05:30,18.4,18.45,16.65,16.95,665608970
2023-08-06 00:00:00+05:30,16.95,17.3,16.85,16.95,393414123
2023-08-13 00:00:00+05:30,17.0,17.45,16.75,17.05,426394462
2023-08-20 00:00:00+05:30,17.05,17.3,16.8,16.9,347345087
2023-08-27 00:00:00+05:30,16.9,17.3,16.75,16.85,382238010
2023-09-03 00:00:00+05:30,16.9,17.6,16.7,17.35,701135293
2023-09-10 00:00:00+05:30,17.45,19.1,17.45,18.35,1697499327
2023-09-17 00:00:00+05:30,18.5,18.6,17.3,18.3,1178770226
2023-09-24 00:00:00+05:30,18.4,19.0,17.5,17.65,994659974
2023-10-01 00:00:00+05:30,17.75,17.75,17.0,17.25,652447644
2023-10-08 00:00:00+05:30,17.25,17.5,17.05,17.3,458326010
2023-10-15 00:00:00+05:30,17.2,17.35,16.85,17.1,354561418
2023-10-22 00:00:00+05:30,17.15,17.85,16.95,17.3,532005337
2023-10-29 00:00:00+05:30,17.4,17.45,15.7,15.95,623473482
2023-11-05 00:00:00+05:30,16.05,16.65,15.85,16.45,491895718
2023-11-12 00:00:00+05:30,16.55,18.8,16.5,18.4,1477993912
2023-11-19 00:00:00+05:30,18.4,21.15,18.15,20.8,2039717292
2023-11-26 00:00:00+05:30,20.9,21.1,19.05,19.8,1123528208
2023-12-03 00:00:00+05:30,19.85,20.45,19.2,19.3,867586358
2023-12-10 00:00:00+05:30,19.65,20.45,19.3,19.9,910728850
2023-12-17 00:00:00+05:30,20.0,22.1,19.95,21.95,2069463057
2023-12-24 00:00:00+05:30,22.0,23.05,19.95,21.05,1848751317
2023-12-31 00:00:00+05:30,21.15,21.8,20.7,21.45,625783212
2024-01-07 00:00:00+05:30,21.5,24.3,21.4,24.0,2406776989
2024-01-14 00:00:00+05:30,24.3,25.95,23.45,24.9,2402054264
2024-01-21 00:00:00+05:30,25.0,26.25,23.9,25.25,1811690510
2024-01-28 00:00:00+05:30,25.45,25.6,23.65,24.85,747166553
2024-02-04 00:00:00+05:30,25.3,25.5,23.6,23.7,1043633014
2024-02-11 00:00:00+05:30,23.7,32.85,22.6,31.4,6257996016
2024-02-18 00:00:00+05:30,31.95,32.35,26.75,28.4,1588486328
2024-02-25 00:00:00+05:30,28.5,28.55,24.95,26.2,2184163842
2024-03-03 00:00:00+05:30,26.0,26.15,23.6,25.25,1572580512
2024-03-10 00:00:00+05:30,25.35,25.7,23.5,23.85,839728203
2024-03-17 00:00:00+05:30,24.0,24.4,20.55,23.8,2155810991
2024-03-24 00:00:00+05:30,23.9,24.2,22.8,23.9,1105701997
2024-03-31 00:00:00+05:30,23.9,24.15,23.0,23.2,585295819
2024-04-07 00:00:00+05:30,23.3,25.75,23.3,25.2,1252101296
2024-04-14 00:00:00+05:30,25.3,25.35,24.2,24.25,555532200
2024-04-21 00:00:00+05:30,24.25,24.45,23.25,23.95,745040210
2024-04-28 00:00:00+05:30,24.05,26.5,24.0,26.15,1310921469
2024-05-05 00:00:00+05:30,27.5,28.55,24.25,24.95,2014359064
2024-05-12 00:00:00+05:30,25.2,25.25,22.05,22.5,1412581898
2024-05-19 00:00:00+05:30,22.5,23.45,21.85,23.35,952250885
2024-05-26 00:00:00+05:30,23.35,23.5,22.75,23.0,545533453
2024-06-02 00:00:00+05:30,23.1,23.45,22.4,23.0,853465360
2024-06-09 00:00:00+05:30,24.4,24.65,21.0,23.15,1157003942
2024-06-16 00:00:00+05:30,23.4,24.5,23.21,23.81,851541018
2024-06-23 00:00:00+05:30,23.89,24.65,23.5,23.84,532160658
2024-06-30 00:00:00+05:30,23.89,24.45,23.32,23.69,604179369
2024-07-07 00:00:00+05:30,23.78,27.04,23.61,26.64,1511973132
2024-07-14 00:00:00+05:30,26.95,27.44,24.6,25.6,2153691920
2024-07-21 00:00:00+05:30,25.65,26.85,24.62,24.77,913605822
2024-07-28 00:00:00+05:30,25.9,26.19,24.25,24.97,878292252
2024-08-04 00:00:00+05:30,25.25,27.2,24.8,25.45,1574024328
2024-08-11 00:00:00+05:30,24.5,24.75,23.16,23.94,948897467
2024-08-18 00:00:00+05:30,23.89,25.1,23.54,24.27,586574800
2024-08-25 00:00:00+05:30,24.29,24.94,24.25,24.39,498804833
2024-09-01 00:00:00+05:30,24.5,24.53,23.55,23.61,421883396
2024-09-08 00:00:00+05:30,23.61,24.02,23.1,23.14,427939155
2024-09-15 00:00:00+05:30,23.05,24.41,22.51,23.3,636180013
2024-09-22 00:00:00+05:30,23.31,23.97,22.8,23.0,470073033
2024-09-29 00:00:00+05:30,23.19,23.19,22.65,22.74,304299480
2024-10-06 00:00:00+05:30,22.73,22.74,21.52,21.95,347338972
2024-10-13 00:00:00+05:30,22.21,22.26,20.77,21.4,446878765
2024-10-20 00:00:00+05:30,21.4,21.49,20.57,21.09,250419774
2024-10-27 00:00:00+05:30,21.1,21.52,19.22,19.38,395300821
2024-11-03 00:00:00+05:30,20.35,21.29,20.1,20.71,485903164
2024-11-10 00:00:00+05:30,20.7,21.14,20.07,20.16,292924603
2024-11-17 00:00:00+05:30,20.16,20.33,19.02,19.31,274366308
2024-11-24 00:00:00+05:30,19.29,19.82,19.04,19.21,223370399
2024-12-01 00:00:00+05:30,19.51,20.65,19.06,19.96,611320063
2024-12-08 00:00:00+05:30,19.96,21.58,19.9,21.49,564295134
2024-12-15 00:00:00+05:30,21.49,22.02,20.7,21.09,548915070
2024-12-22 00:00:00+05:30,21.15,21.58,19.75,19.83,434286308
2024-12-29 00:00:00+05:30,19.9,20.12,19.71,19.82,196561998
2025-01-05 00:00:00+05:30,19.83,20.19,19.32,19.96,362601727
2025-01-12 00:00:00+05:30,19.98,20.03,17.92,17.96,449315060
2025-01-19 00:00:00+05:30,17.93,18.56,17.06,18.26,451471696
2025-01-26 00:00:00+05:30,18.29,19.13,17.98,18.24,434325637
2025-02-02 00:00:00+05:30,18.63,19.38,18.15,19.03,707914747
2025-02-09 00:00:00+05:30,18.93,19.56,18.66,19.12,311110645
2025-02-16 00:00:00+05:30,19.09,19.19,17.56,17.76,328104730
2025-02-23 00:00:00+05:30,17.75,18.42,17.23,17.93,336621470
2025-03-02 00:00:00+05:30,17.84,18.1,16.66,16.75,298817794
2025-03-09 00:00:00+05:30,16.75,17.25,16.13,16.88,472215120
2025-03-16 00:00:00+05:30,16.88,17.02,16.02,16.19,295868953
2025-03-23 00:00:00+05:30,16.3,17.32,16.09,17.17,435683278
2025-03-30 00:00:00+05:30,17.36,17.53,16.78,16.88,595718953
2025-04-06 00:00:00+05:30,16.74,18.04,16.63,17.19,363945250
2025-04-13 00:00:00+05:30,16.21,17.5,16.16,17.15,326219200
2025-04-20 00:00:00+05:30,17.49,18.15,17.31,18.09,246233130
2025-04-27 00:00:00+05:30,19.14,19.35,17.62,17.77,552192127
2025-05-04 00:00:00+05:30,17.78,18.39,17.63,17.7,244073079
2025-05-11 00:00:00+05:30,17.7,20.37,17.51,20.02,1556344389
2025-05-18 00:00:00+05:30,21.7,21.95,20.26,21.55,1472953728
2025-05-25 00:00:00+05:30,21.56,21.68,20.63,21.15,533890755
2025-06-01 00:00:00+05:30,21.21,21.65,20.87,21.48,447628851
2025-06-08 00:00:00+05:30,21.4,23.39,20.71,20.85,2458091921
2025-06-15 00:00:00+05:30,20.97,21.12,19.92,20.16,412952431
2025-06-22 00:00:00+05:30,20.2,20.42,19.32,19.73,563645412
2025-06-29 00:00:00+05:30,19.72,20.49,19.62,20.18,492624664
2025-07-06 00:00:00+05:30,20.22,20.6,19.98,20.05,348816749
2025-07-13 00:00:00+05:30,20.05,20.19,19.61,19.66,221304099
2025-07-20 00:00:00+05:30,19.66,20.65,19.55,20.17,421429646
2025-07-27 00:00:00+05:30,20.48,20.48,19.43,19.6,403633395
2025-08-03 00:00:00+05:30,19.64,19.81,18.55,18.6,322799590
2025-08-10 00:00:00+05:30,18.61,19.07,18.33,18.54,246331588
2025-08-17 00:00:00+05:30,18.54,18.88,18.45,18.78,137544566
2025-08-24 00:00:00+05:30,18.91,19.7,18.88,19.28,222538740
2025-08-31 00:00:00+05:30,20.2,20.2,18.65,19.1,663765440
2025-09-07 00:00:00+05:30,19.2,20.61,19.07,20.44,562044181
2025-09-14 00:00:00+05:30,20.51,21.14,20.14,20.86,424817486
2025-09-21 00:00:00+05:30,20.87,21.39,20.84,21.17,405313079
2025-09-28 00:00:00+05:30,21.24,21.63,20.9,20.97,473313287
2025-10-05 00:00:00+05:30,21.02,21.97,21.01,21.85,427054420
2025-10-12 00:00:00+05:30,21.9,24.3,21.78,24.0,985067738
2025-10-19 00:00:00+05:30,24.2,24.29,22.05,22.25,778423030
2025-10-26 00:00:00+05:30,22.5,23.2,22.14,22.67,420561153
2025-11-02 00:00:00+05:30,22.72,23.22,22.2,22.74,519827423
