datetime,open,high,low,close,volume
2021-07-04 00:00:00+05:30,328.0,340.7,319.25,335.5,4546068
2021-07-11 00:00:00+05:30,338.0,348.35,324.5,336.1,7165331
2021-07-18 00:00:00+05:30,338.5,385.0,332.05,377.65,16777296
2021-07-25 00:00:00+05:30,372.0,391.1,354.0,375.8,7739641
2021-08-01 00:00:00+05:30,378.7,428.4,376.65,415.9,14234423
2021-08-08 00:00:00+05:30,419.65,430.0,407.05,428.6,5734568
2021-08-15 00:00:00+05:30,430.0,439.95,377.0,417.9,8234679
2021-08-22 00:00:00+05:30,421.0,461.5,415.85,428.45,9398224
2021-08-29 00:00:00+05:30,432.65,463.0,420.15,455.4,4412864
2021-09-05 00:00:00+05:30,458.0,465.25,433.0,443.35,3352265
2021-09-12 00:00:00+05:30,444.3,472.25,428.15,467.8,4439362
2021-09-19 00:00:00+05:30,470.15,587.0,470.0,547.15,21032282
2021-09-26 00:00:00+05:30,535.0,550.8,493.55,509.25,3630377
2021-10-03 00:00:00+05:30,510.0,513.9,469.65,478.15,3877105
2021-10-10 00:00:00+05:30,481.8,521.6,463.05,508.1,10114657
2021-10-17 00:00:00+05:30,508.0,523.6,484.85,508.35,5538622
2021-10-24 00:00:00+05:30,513.4,524.4,477.8,487.35,5867363
2021-10-31 00:00:00+05:30,489.0,499.0,432.15,461.65,8703520
2021-11-07 00:00:00+05:30,464.0,475.75,453.3,462.45,1199989
2021-11-14 00:00:00+05:30,465.8,489.9,453.3,473.2,3129181
2021-11-21 00:00:00+05:30,479.7,508.6,445.25,449.0,23219076
2021-11-28 00:00:00+05:30,451.7,455.5,421.0,427.35,8189986
2021-12-05 00:00:00+05:30,429.85,453.0,380.6,439.45,6751932
2021-12-12 00:00:00+05:30,441.3,457.0,420.9,439.5,4827283
2021-12-19 00:00:00+05:30,444.4,499.0,442.2,473.6,17704818
2021-12-26 00:00:00+05:30,466.8,492.75,438.7,477.6,8426227
2022-01-02 00:00:00+05:30,475.0,538.0,466.6,521.55,13509486
2022-01-09 00:00:00+05:30,524.9,539.0,489.8,499.3,8240622
2022-01-16 00:00:00+05:30,503.3,504.0,471.35,474.0,5166305
2022-01-23 00:00:00+05:30,474.9,486.65,440.2,444.15,9728471
2022-01-30 00:00:00+05:30,443.7,443.7,383.95,409.4,6210536
2022-02-06 00:00:00+05:30,418.4,441.0,410.1,414.95,4301395
2022-02-13 00:00:00+05:30,414.5,422.55,385.25,390.0,5148227
2022-02-20 00:00:00+05:30,386.0,389.9,350.1,361.9,4379516
2022-02-27 00:00:00+05:30,358.1,359.55,313.35,339.7,6434709
2022-03-06 00:00:00+05:30,339.4,365.0,330.65,349.25,2885106
2022-03-13 00:00:00+05:30,339.5,372.0,331.3,364.2,4231134
2022-03-20 00:00:00+05:30,360.0,384.3,358.6,376.9,3299248
2022-03-27 00:00:00+05:30,380.0,392.35,363.65,375.45,3793840
2022-04-03 00:00:00+05:30,375.45,383.85,365.0,377.25,3397550
2022-04-10 00:00:00+05:30,380.1,394.7,378.1,385.15,3081526
2022-04-17 00:00:00+05:30,386.9,387.9,353.0,358.1,2363831
2022-04-24 00:00:00+05:30,354.0,354.0,312.5,340.65,7537994
2022-05-01 00:00:00+05:30,339.0,339.0,320.25,323.1,2250735
