symbol,yf_symbol,exchange,sector,notes,active
360ONE,360ONE.NS,NSE,Financial Services,,True
3MINDIA,3MINDIA.NS,NSE,Diversified,,True
ABB,ABB.NS,NSE,Capital Goods,,True
ACC,ACC.NS,NSE,Construction Materials,,True
ACMESOLAR,ACMESOLAR.NS,NSE,Power,,True
AIAENG,AIAENG.NS,NSE,Capital Goods,,True
APLAPOLLO,APLAPOLLO.NS,NSE,Capital Goods,,True
AUBANK,AUBANK.NS,NSE,Financial Services,,True
AWL,AWL.NS,NSE,Fast Moving Consumer Goods,,True
AADHARHFC,AADHARHFC.NS,NSE,Financial Services,,True
AARTIIND,AARTIIND.NS,NSE,Chemicals,,True
AAVAS,AAVAS.NS,NSE,Financial Services,,True
ABBOTINDIA,ABBOTINDIA.NS,NSE,Healthcare,,True
ACE,ACE.NS,NSE,Capital Goods,,True
ACUTAAS,ACUTAAS.NS,NSE,Healthcare,,True
ADANIENSOL,ADANIENSOL.NS,NSE,Power,,True
ADANIENT,ADANIENT.NS,NSE,Metals & Mining,,True
ADANIGREEN,ADANIGREEN.NS,NSE,Power,,True
ADANIPORTS,ADANIPORTS.NS,NSE,Services,,True
ADANIPOWER,ADANIPOWER.NS,NSE,Power,,True
ATGL,ATGL.NS,NSE,Oil Gas & Consumable Fuels,,True
ABCAPITAL,ABCAPITAL.NS,NSE,Financial Services,,True
ABFRL,ABFRL.NS,NSE,Consumer Services,,True
ABLBL,ABLBL.NS,NSE,Consumer Services,,True
ABREL,ABREL.NS,NSE,Realty,,True
ABSLAMC,ABSLAMC.NS,NSE,Financial Services,,True
CPPLUS,CPPLUS.NS,NSE,Capital Goods,,True
AEGISLOG,AEGISLOG.NS,NSE,Oil Gas & Consumable Fuels,,True
AEGISVOPAK,AEGISVOPAK.NS,NSE,Oil Gas & Consumable Fuels,,True
AFCONS,AFCONS.NS,NSE,Construction,,True
AFFLE,AFFLE.NS,NSE,Information Technology,,True
AJANTPHARM,AJANTPHARM.NS,NSE,Healthcare,,True
ALKEM,ALKEM.NS,NSE,Healthcare,,True
ABDL,ABDL.NS,NSE,Fast Moving Consumer Goods,,True
ARE&M,ARE&M.NS,NSE,Automobile and Auto Components,,True
AMBER,AMBER.NS,NSE,Consumer Durables,,True
AMBUJACEM,AMBUJACEM.NS,NSE,Construction Materials,,True
ANANDRATHI,ANANDRATHI.NS,NSE,Financial Services,,True
ANANTRAJ,ANANTRAJ.NS,NSE,Realty,,True
ANGELONE,ANGELONE.NS,NSE,Financial Services,,True
ANTHEM,ANTHEM.NS,NSE,Healthcare,,True
ANURAS,ANURAS.NS,NSE,Chemicals,,True
APARINDS,APARINDS.NS,NSE,Capital Goods,,True
APOLLOHOSP,APOLLOHOSP.NS,NSE,Healthcare,,True
APOLLOTYRE,APOLLOTYRE.NS,NSE,Automobile and Auto Components,,True
APTUS,APTUS.NS,NSE,Financial Services,,True
ASAHIINDIA,ASAHIINDIA.NS,NSE,Automobile and Auto Components,,True
ASHOKLEY,ASHOKLEY.NS,NSE,Capital Goods,,True
ASIANPAINT,ASIANPAINT.NS,NSE,Consumer Durables,,True
ASTERDM,ASTERDM.NS,NSE,Healthcare,,True
ASTRAL,ASTRAL.NS,NSE,Capital Goods,,True
ATHERENERG,ATHERENERG.NS,NSE,Automobile and Auto Components,,True
ATUL,ATUL.NS,NSE,Chemicals,,True
AUROPHARMA,AUROPHARMA.NS,NSE,Healthcare,,True
AIIL,AIIL.NS,NSE,Financial Services,,True
DMART,DMART.NS,NSE,Consumer Services,,True
AXISBANK,AXISBANK.NS,NSE,Financial Services,,True
BEML,BEML.NS,NSE,Capital Goods,,True
BLS,BLS.NS,NSE,Consumer Services,,True
BSE,BSE.NS,NSE,Financial Services,,True
BAJAJ-AUTO,BAJAJ-AUTO.NS,NSE,Automobile and Auto Components,,True
BAJFINANCE,BAJFINANCE.NS,NSE,Financial Services,,True
BAJAJFINSV,BAJAJFINSV.NS,NSE,Financial Services,,True
BAJAJHLDNG,BAJAJHLDNG.NS,NSE,Financial Services,,True
BAJAJHFL,BAJAJHFL.NS,NSE,Financial Services,,True
BALKRISIND,BALKRISIND.NS,NSE,Automobile and Auto Components,,True
